"inst_2199" "inst_3634" "inst_3737" "inst_4293" "inst_4759" "inst_6055"
"1007_s_at" 3656 6791 10023 15459 6471 19049
"1053_at" 19826 8779 5576 4407 10472 4094
"117_at" 21495 13215 18681 86 15911 11999
"121_at" 20354 18441 12931 4395 20612 6485
"1255_g_at" 13262 15933 16472 3313 12700 14866
"1294_at" 7015 3116 2372 15014 2544 20782
"1316_at" 2517 5838 1290 955 21148 2106
"1320_at" 13234 9158 965 3508 1053 4147
"1405_i_at" 6798 16765 16899 9577 15816 15418
"1431_at" 8522 685 399 21707 114 22028
"1438_at" 14925 8664 1589 21769 4549 10229
"1487_at" 17793 19754 8935 6254 8250 3570
"1494_f_at" 1852 22088 11937 5577 9730 1545
"1598_g_at" 19631 3076 3533 18848 2162 2678
"160020_at" 15668 19178 3912 20284 20307 19285
"1729_at" 6729 2073 8806 14783 1232 19677
"1773_at" 20153 1567 2685 6122 21881 21843
"177_at" 22169 203 231 17504 1175 736
"179_at" 21052 10517 1680 19326 21679 19974
"1861_at" 21501 10565 4336 8979 3833 6481
"200000_s_at" 18162 7176 11389 3434 17222 17991
"200001_at" 6445 10458 11489 17017 10425 17424
"200002_at" 18884 18981 10778 4420 18260 9172
"200003_s_at" 10827 14103 14971 11312 17407 13330
"200004_at" 18282 18235 10056 17090 9852 5295
"200005_at" 7479 7658 11407 9037 7154 8486
"200006_at" 8733 10195 18920 7523 18186 9340
"200007_at" 15215 10663 12135 7148 9241 7624
"200008_s_at" 21077 4120 4160 20555 18847 10825
"200009_at" 7060 8899 13308 14815 19118 10740
"200010_at" 16951 18682 10650 5313 9563 17476
"200011_s_at" 4660 9575 8657 17049 7575 10101
"200012_x_at" 7606 10622 19227 15375 20337 20099
"200013_at" 18101 17763 13189 6444 17651 17593
"200014_s_at" 7752 11426 10434 6984 5331 8553
"200015_s_at" 15372 9206 12017 6473 9314 7125
"200016_x_at" 10775 18353 12265 9409 9209 8801
"200017_at" 10855 14196 15065 11397 13067 13418
"200018_at" 10947 14186 15059 11392 10263 13414
"200019_s_at" 17450 18679 18784 7337 9508 17709
"200020_at" 7892 9168 21407 5024 8581 9376
"200021_at" 7967 14291 15148 11494 13217 13508
"200022_at" 10911 14115 12163 7644 18931 13344
"200023_s_at" 16920 8005 18776 3873 8703 8604
"200024_at" 15985 18145 13320 9066 10752 18270
"200025_s_at" 10952 18272 13147 5136 18743 10806
"200026_at" 10669 14293 19705 8390 7846 13510
"200027_at" 6229 11498 11482 5072 6969 8325
"200028_s_at" 4435 19500 10131 6805 18160 7511
"200029_at" 11004 11323 19830 17956 18601 7737
"200030_s_at" 15144 12202 18779 16020 10196 10349
"200031_s_at" 10880 14181 15044 11385 13035 13405
"200032_s_at" 10682 14198 13236 7420 10674 13421
"200033_at" 18978 10010 13125 9355 10244 9255
"200034_s_at" 18140 14106 13109 14708 18293 8391
"200035_at" 5626 19112 5778 1561 2069 6618
"200036_s_at" 15769 19478 18778 4913 10019 11255
"200037_s_at" 7813 19936 10943 6728 8757 6947
"200038_s_at" 10884 14271 13175 15112 9762 13488
"200039_s_at" 7819 6528 12728 7589 17169 11418
"200040_at" 7725 18159 8899 7401 4359 11613
"200041_s_at" 17041 9392 11657 19995 19586 18304
"200042_at" 16435 12109 9522 6910 4177 7850
"200043_at" 19219 19717 6379 16681 7399 7909
"200044_at" 5992 11396 9319 16790 17702 3951
"200045_at" 3685 7361 11807 15322 17696 8139
"200046_at" 18549 17846 11365 9441 7322 7211
"200047_s_at" 7113 18947 10992 5677 18602 5934
"200048_s_at" 6704 12380 11406 4370 6684 9320
"200049_at" 6809 7763 7207 16437 7146 17648
"200050_at" 18799 7419 10489 6753 4680 5412
"200051_at" 16138 19269 7888 3409 7803 6023
"200052_s_at" 19370 8561 9065 15337 10368 8131
"200053_at" 20831 7555 6702 18023 3796 7548
"200054_at" 6189 12150 19112 18625 7837 7537
"200055_at" 3746 6776 11138 16249 9530 11025
"200056_s_at" 18740 12228 7424 6440 9094 3178
"200057_s_at" 6565 11276 18886 15226 9949 9770
"200058_s_at" 6059 17695 9094 7882 17685 9213
"200059_s_at" 19056 11578 12389 16845 6012 9993
"200060_s_at" 15654 10015 10428 17307 17945 8974
"200061_s_at" 10797 14179 15043 17883 13034 13403
"200062_s_at" 10942 14091 14960 11300 12900 13316
"200063_s_at" 10800 14226 15091 11424 13118 13444
"200064_at" 19035 10650 11221 17509 19013 17275
"200065_s_at" 16638 6020 19003 19729 10813 10459
"200066_at" 19574 11402 6843 18425 10205 8978
"200067_x_at" 15298 7657 10926 16638 8665 6171
"200068_s_at" 5583 19018 11131 7339 8496 8767
"200069_at" 5801 19325 12091 4874 3088 20421
"200070_at" 623 8153 8798 19866 6850 18174
"200071_at" 15362 20028 10899 3663 9406 4726
"200072_s_at" 18043 11264 7627 16322 18281 8543
"200073_s_at" 17193 11327 12810 5965 6801 9752
"200074_s_at" 17100 17839 11084 6739 9723 10094
"200075_s_at" 16341 7729 6797 9505 9814 8877
"200076_s_at" 16197 7784 6245 20598 4061 6972
"200077_s_at" 15439 19806 12883 6409 17310 8369
"200078_s_at" 8185 11086 8704 8577 5889 9116
"200079_s_at" 7773 5974 11066 19614 9137 11467
"200080_s_at" 17177 18941 19139 5403 10649 5407
"200081_s_at" 18040 11391 8887 6012 18484 7854
"200082_s_at" 10667 14217 11961 17333 10737 13436
"200083_at" 3891 17779 10874 5137 4884 5400
"200084_at" 17250 18974 10413 15207 4886 7953
"200085_s_at" 5688 18469 19004 3895 17896 8902
"200086_s_at" 8401 11062 12179 4008 18195 8785
"200087_s_at" 7868 10773 9100 15487 10360 3814
"200088_x_at" 10898 14098 19091 6772 12912 13327
"200089_s_at" 16221 17956 10727 5080 9266 9790
"200090_at" 7034 1932 12087 15221 8776 10787
"200091_s_at" 18794 19573 13001 6850 9562 9293
"200092_s_at" 10858 14234 19083 7099 17669 11753
"200093_s_at" 17655 19425 11479 4915 4975 10203
"200094_s_at" 16998 11615 6706 6186 10881 17609
"200095_x_at" 10979 14281 15141 11486 13208 13496
"200096_s_at" 8604 12304 11969 7311 20047 9524
"200097_s_at" 16989 12454 11822 17617 4425 7578
"200098_s_at" 4038 17780 10873 5692 7606 8737
"200099_s_at" 11006 14238 12601 16620 13136 13452
"200593_s_at" 6484 8887 5466 4123 9139 8794
"200594_x_at" 3134 20732 12322 2806 9078 7131
"200595_s_at" 5982 18917 6499 6173 18761 4901
"200596_s_at" 16082 12059 4259 7712 17561 10487
"200597_at" 4611 8026 20914 5093 6846 2431
"200598_s_at" 16792 5337 10024 4005 6390 3977
"200599_s_at" 18172 9799 8551 14853 4810 11396
"200600_at" 8169 13203 12172 8841 18829 12781
"200601_at" 17892 19869 9631 6294 7164 2110
"200602_at" 19877 10591 20073 6633 17884 10245
"200603_at" 8587 18269 8603 6812 9018 4696
"200604_s_at" 21105 7183 3294 18818 19622 8359
