"inst_1506" "inst_1924" "inst_2006" "inst_4645" "inst_5243" "inst_5606"
"1007_s_at" 17840 18990 1260 18496 5065 2941
"1053_at" 16943 22048 1231 18720 13667 19543
"117_at" 8463 6013 5566 10246 6564 8273
"121_at" 20618 19228 20135 4359 18221 11537
"1255_g_at" 7649 10605 9933 5846 5585 7934
"1294_at" 10744 3235 4402 19831 20916 18553
"1316_at" 922 11170 21834 13346 802 352
"1320_at" 466 5951 15680 3758 21267 18928
"1405_i_at" 11150 7059 1483 17022 7844 5085
"1431_at" 6018 11878 10442 4428 21740 14439
"1438_at" 20983 4230 14106 22021 12366 13485
"1487_at" 5221 15854 20929 17914 18811 20541
"1494_f_at" 20798 21826 20460 3047 4568 640
"1598_g_at" 15033 15745 5920 13410 5369 1506
"160020_at" 21009 14220 21292 19858 21711 18738
"1729_at" 1864 16505 2422 14843 14978 17129
"1773_at" 21534 17733 20113 19115 21173 19602
"177_at" 11672 9794 21300 20820 894 5757
"179_at" 21568 21558 672 3060 20394 4678
"1861_at" 18933 1657 14224 13354 5252 13464
"200000_s_at" 17156 2452 5266 16373 18251 13003
"200001_at" 16641 1364 4539 10790 12912 13900
"200002_at" 4855 18738 19550 11850 13987 10585
"200003_s_at" 16129 3544 4366 6631 14211 6219
"200004_at" 17023 20346 4556 14923 15016 11030
"200005_at" 17057 15987 4740 13535 4865 11870
"200006_at" 4539 2927 17311 12007 5245 15366
"200007_at" 3222 18861 3664 3148 12658 11058
"200008_s_at" 3998 20060 20688 18175 18814 14646
"200009_at" 5909 16461 18265 15078 12327 11074
"200010_at" 15829 15722 19640 17413 13317 4136
"200011_s_at" 17301 19609 5167 17275 13516 11576
"200012_x_at" 6531 2574 6259 2125 3595 3068
"200013_at" 5291 14378 17567 13240 15231 15488
"200014_s_at" 15710 2769 5591 14309 16271 16839
"200015_s_at" 7447 15382 17830 16186 16326 16922
"200016_x_at" 6484 16129 17816 3583 4499 12382
"200017_at" 4937 18214 17242 4401 7429 6337
"200018_at" 7460 18659 6253 10606 7416 6327
"200019_s_at" 6766 2764 17886 4291 12343 4080
"200020_at" 15564 16837 6912 17124 11991 11913
"200021_at" 9742 18828 19180 6777 7616 6465
"200022_at" 7271 3561 6849 11233 4452 6239
"200023_s_at" 14931 3254 17236 2860 5178 10963
"200024_at" 6694 2724 5949 3791 3133 11471
"200025_s_at" 5099 1561 6448 3519 12746 3909
"200026_at" 16752 1160 1886 4081 3396 6470
"200027_at" 2562 17172 6584 11327 12960 14177
"200028_s_at" 3367 14636 18242 10795 12427 3455
"200029_at" 5083 2043 6626 3153 3357 3388
"200030_s_at" 6037 14709 20811 10352 5313 3442
"200031_s_at" 9643 15988 18655 6688 7399 6318
"200032_s_at" 6723 14674 4799 10273 7432 6342
"200033_at" 5152 21319 2267 13891 13154 12398
"200034_s_at" 5765 19644 4969 13365 4058 11765
"200035_at" 20860 1409 20123 13231 19698 18821
"200036_s_at" 6774 2327 4465 3858 15204 4018
"200037_s_at" 4667 20709 3867 12854 15266 12006
"200038_s_at" 7140 18011 6518 11267 4956 6443
"200039_s_at" 6433 15741 6056 14952 4425 11308
"200040_at" 15378 15125 19994 16181 5360 15388
"200041_s_at" 15565 19559 5078 15379 14372 16717
"200042_at" 4767 3197 18531 13809 14572 17965
"200043_at" 4255 18945 18356 11093 1502 12534
"200044_at" 6883 19760 4951 13902 16417 14039
"200045_at" 15653 17804 17325 15309 14806 12191
"200046_at" 2619 17103 4643 16172 3934 11009
"200047_s_at" 2308 21820 4972 10256 12101 13154
"200048_s_at" 3864 14306 6824 3526 12825 12997
"200049_at" 15676 281 22053 10270 13002 15437
"200050_at" 6569 20936 20276 18457 12932 19625
"200051_at" 21741 16743 2471 19805 13796 16760
"200052_s_at" 5061 17153 17991 14909 14150 14598
"200053_at" 19297 18140 6082 20355 19558 11257
"200054_at" 4991 14432 4598 12399 2226 15162
"200055_at" 5749 3506 17583 4072 17256 2892
"200056_s_at" 4905 17378 16985 11212 15651 16056
"200057_s_at" 6926 16178 2761 3381 4609 4261
"200058_s_at" 6365 14976 4746 19726 15800 4514
"200059_s_at" 5851 17800 17897 11370 15095 11849
"200060_s_at" 3183 18215 19283 19560 17110 15567
"200061_s_at" 7222 18980 5671 6687 7396 6316
"200062_s_at" 9872 14279 17336 6616 7229 6200
"200063_s_at" 7436 21894 20195 4459 7483 6372
"200064_at" 15365 17607 18795 17711 4687 11759
"200065_s_at" 15941 20997 19348 14152 5130 11442
"200066_at" 5021 19387 6139 20469 13755 12077
"200067_x_at" 4674 18201 22078 12043 3902 12317
"200068_s_at" 6186 14723 17519 13233 13196 3832
"200069_at" 2884 20116 5103 13170 4745 3299
"200070_at" 19133 19801 759 15275 4046 11681
"200071_at" 1324 17460 2286 14968 12353 16507
"200072_s_at" 6665 14462 18206 19499 17817 14215
"200073_s_at" 19145 20136 5918 15844 12927 11464
"200074_s_at" 5976 2962 18045 13692 13480 12612
"200075_s_at" 6966 14221 2233 13601 15500 18529
"200076_s_at" 17284 15289 17451 17242 14121 18047
"200077_s_at" 6654 18354 19810 11025 11789 10825
"200078_s_at" 7233 1567 18933 12907 13493 15103
"200079_s_at" 14964 15938 4279 14582 2945 13099
"200080_s_at" 17090 21827 18590 3114 12506 6365
"200081_s_at" 5941 17192 6505 14859 13582 16358
"200082_s_at" 15457 15296 4243 13919 12068 13225
"200083_at" 19168 16363 19012 13851 5220 15615
"200084_at" 4635 21680 3853 12935 4556 12050
"200085_s_at" 5078 1599 6507 12283 13121 15873
"200086_s_at" 15137 2167 6699 12791 4704 15938
"200087_s_at" 6150 18781 5249 20426 16438 15376
"200088_x_at" 9845 1922 17950 6625 7248 6215
"200089_s_at" 16270 17051 18383 13411 15584 11455
"200090_at" 2352 16935 5359 4191 14851 13673
"200091_s_at" 15594 21740 3154 13285 16467 15210
"200092_s_at" 15422 17062 20442 11647 13583 6385
"200093_s_at" 4623 15049 17313 13988 15396 12734
"200094_s_at" 5188 15666 4358 15254 19960 12453
"200095_x_at" 9820 3075 6776 6768 7600 6452
"200096_s_at" 18904 20489 2908 19569 793 19725
"200097_s_at" 15835 21398 1089 14951 16840 3521
"200098_s_at" 14990 2108 19503 3897 12854 10575
"200099_s_at" 7384 17162 2939 10893 7505 6390
"200593_s_at" 18541 21217 5795 20617 20248 18534
"200594_x_at" 15528 21368 19250 15378 15773 11036
"200595_s_at" 15921 20899 20020 14527 19159 18242
"200596_s_at" 16255 16814 5504 21224 19016 15925
"200597_at" 3564 18080 20417 18943 18955 3721
"200598_s_at" 4956 20217 19666 4466 15054 15513
"200599_s_at" 7270 20753 21176 19429 17449 15391
"200600_at" 11198 21677 5193 17733 11655 6677
"200601_at" 19556 20691 5855 20992 895 3372
"200602_at" 18644 22124 21230 16461 17323 17332
"200603_at" 7105 22221 17271 13685 17883 16635
"200604_s_at" 3939 16065 22148 20420 16732 17711
"200605_s_at" 3043 18210 20838 19269 19200 3778
"200606_at" 2488 1906 13594 11015 5254 13522
"200607_s_at" 4449 20766 4802 3347 13380 16435
"200608_s_at" 6126 22234 4879 12607 18316 17848
"200609_s_at" 5875 180 4693 19383 12597 3330
"200610_s_at" 3838 21281 21133 14978 15186 14165
"200611_s_at" 7102 14995 5694 17636 14198 3433
"200612_s_at" 21267 1201 22067 16794 21047 13572
"200613_at" 5705 1976 3822 12909 13929 16285
"200614_at" 17683 18048 3949 16890 13025 13623
"200615_s_at" 16098 16171 6280 11666 15037 10930
"200616_s_at" 5563 1288 4815 2222 12941 12483
"200617_at" 17466 18234 2410 17688 14465 10967
"200618_at" 15247 20385 3666 19989 13992 12230
"200619_at" 19316 3056 2091 18697 13378 1751
"200620_at" 7122 17810 20801 12191 14225 4546
"200621_at" 17098 16750 4955 17863 14539 13842
"200622_x_at" 4884 2462 3432 19997 3156 15319
"200623_s_at" 6948 246 2150 20341 2162 11185
"200624_s_at" 4045 22074 19388 18840 18797 15311
"200625_s_at" 16274 16760 1890 11378 12953 13547
