"inst_1363" "inst_2047" "inst_2209" "inst_5765" "inst_6241"
"1007_s_at" 21989 16201 17219 14832 1472
"1053_at" 19837 2396 5010 16157 18106
"117_at" 8521 14262 14049 7527 13758
"121_at" 20615 431 15218 6009 21549
"1255_g_at" 7646 9101 11885 8632 9189
"1294_at" 20107 18104 991 688 1019
"1316_at" 18015 10965 21594 17463 8562
"1320_at" 14922 8012 11329 7745 14400
"1405_i_at" 916 12777 13609 10650 13289
"1431_at" 10511 21681 22014 13274 424
"1438_at" 14846 19114 21490 21775 17711
"1487_at" 4146 20026 17273 15565 3445
"1494_f_at" 5024 11370 4341 14088 2413
"1598_g_at" 17571 18965 21865 16976 19542
"160020_at" 21642 21354 21879 6430 1778
"1729_at" 17015 17098 19962 1779 20986
"1773_at" 2206 6691 2751 16836 22060
"177_at" 17592 514 2217 11262 11985
"179_at" 1374 23 17437 17563 17395
"1861_at" 18746 20242 4186 18427 21010
"200000_s_at" 19504 18446 4638 18749 591
"200001_at" 16953 17865 6974 18542 17393
"200002_at" 5139 16006 15682 6661 6443
"200003_s_at" 16141 6341 10418 13113 17863
"200004_at" 17276 4105 5300 12831 5262
"200005_at" 17663 15737 15290 14152 17137
"200006_at" 2990 15618 6950 6605 8536
"200007_at" 5315 17132 6325 5819 5170
"200008_s_at" 21560 6320 1305 13748 20830
"200009_at" 3616 4431 4480 15328 17426
"200010_at" 18881 3674 4449 5815 19053
"200011_s_at" 17868 15902 18342 13503 3236
"200012_x_at" 2052 17494 8103 14622 17381
"200013_at" 4588 6151 6631 13249 17245
"200014_s_at" 4343 16691 6510 16654 7229
"200015_s_at" 2472 6313 7671 16416 8347
"200016_x_at" 4179 4793 16122 4309 6015
"200017_at" 3774 6086 10378 6653 6721
"200018_at" 4847 16339 10303 5887 7985
"200019_s_at" 19161 18241 16047 5761 7252
"200020_at" 21219 2433 2965 12953 5343
"200021_at" 1391 5451 10235 14242 18327
"200022_at" 17707 5222 10317 6750 17310
"200023_s_at" 4674 16040 17768 14598 4952
"200024_at" 16175 16079 8132 13447 17598
"200025_s_at" 1222 5911 8286 5435 7242
"200026_at" 1410 4821 15481 5710 20055
"200027_at" 2652 17609 14631 14115 7074
"200028_s_at" 4516 5428 15699 3931 3782
"200029_at" 3641 5269 6935 12893 6546
"200030_s_at" 17938 5672 15099 15307 7895
"200031_s_at" 16581 19051 10372 8349 18054
"200032_s_at" 1860 17552 10367 13423 17123
"200033_at" 5517 4414 7820 14461 8497
"200034_s_at" 16562 6178 5721 17435 18446
"200035_at" 16260 15924 20200 15793 1118
"200036_s_at" 2466 16612 15072 4025 17066
"200037_s_at" 2872 6029 15467 13599 4499
"200038_s_at" 3399 4297 10450 6596 8524
"200039_s_at" 4294 4349 7678 3093 17901
"200040_at" 996 16358 6683 13337 6515
"200041_s_at" 18133 4794 8348 16401 18101
"200042_at" 20017 15830 18838 4275 17256
"200043_at" 17943 18053 4256 16376 4302
"200044_at" 5387 16518 14790 5084 4406
"200045_at" 5050 16717 15065 16392 6885
"200046_at" 3737 16439 7672 2544 6847
"200047_s_at" 17293 4337 7290 4264 17869
"200048_s_at" 5033 15807 14821 13920 5222
"200049_at" 18894 16484 15357 6521 18747
"200050_at" 17524 15828 5263 16407 19835
"200051_at" 4700 21134 17811 19454 6323
"200052_s_at" 3807 5126 5571 15253 8468
"200053_at" 19687 6115 4736 1473 19605
"200054_at" 20653 5943 5173 16257 4891
"200055_at" 4375 18975 19021 4219 5916
"200056_s_at" 1080 18817 7339 12907 17192
"200057_s_at" 4135 3485 7587 17809 4561
"200058_s_at" 19017 6752 5607 15191 2642
"200059_s_at" 4742 16020 5989 3492 6543
"200060_s_at" 16341 1885 7640 4957 5575
"200061_s_at" 18638 16777 10387 8348 8366
"200062_s_at" 3178 6360 10352 8315 11522
"200063_s_at" 1717 5528 10294 6907 7414
"200064_at" 19865 5621 5236 17732 18643
"200065_s_at" 20157 5950 5633 15764 8518
"200066_at" 20736 17578 4817 3152 17370
"200067_x_at" 2558 6651 7928 3306 5338
"200068_s_at" 17198 3671 3898 5194 3731
"200069_at" 21469 6621 16991 5737 4913
"200070_at" 19882 21040 19321 1542 2343
"200071_at" 3710 2338 6218 2057 5670
"200072_s_at" 19405 4778 4567 16132 6923
"200073_s_at" 3440 20686 16098 5513 17276
"200074_s_at" 5504 5701 7659 14474 17696
"200075_s_at" 1008 17835 16587 5863 4923
"200076_s_at" 16836 18652 15664 17858 3805
"200077_s_at" 16580 16781 15987 13191 17127
"200078_s_at" 18502 5997 15311 15607 17689
"200079_s_at" 3651 5382 15973 16946 18759
"200080_s_at" 5137 2545 4897 6054 5850
"200081_s_at" 16492 6557 6073 6622 18210
"200082_s_at" 2085 5301 8293 16068 17360
"200083_at" 17598 4519 19532 16379 4140
"200084_at" 17791 6076 3602 5955 7475
"200085_s_at" 18239 5788 16857 4918 5401
