"inst_3548" "inst_5809" "inst_6126" "inst_7167"
"1007_s_at" 13467 19915 16561 16304
"1053_at" 15651 1906 12532 13510
"117_at" 7804 10581 17432 4207
"121_at" 17703 4204 20149 1400
"1255_g_at" 8239 8190 6025 6052
"1294_at" 1069 15316 10424 5128
"1316_at" 17142 13920 14645 9552
"1320_at" 12027 8873 7737 10215
"1405_i_at" 7900 1632 16789 10822
"1431_at" 2708 7661 10609 10119
"1438_at" 19133 10013 1285 2335
"1487_at" 15172 1574 19721 21155
"1494_f_at" 117 9114 9870 11858
"1598_g_at" 6362 21499 22100 19601
"160020_at" 5087 14649 456 466
"1729_at" 15906 20534 19861 19641
"1773_at" 739 20000 18308 22032
"177_at" 1991 12067 20536 8044
"179_at" 21547 13286 15955 1619
"1861_at" 4983 4366 1355 21721
"200000_s_at" 16585 15255 15397 3047
"200001_at" 17541 5912 14804 14040
"200002_at" 18666 15818 10005 13281
"200003_s_at" 18880 6064 4553 12740
"200004_at" 4215 19323 16033 3345
"200005_at" 13801 5280 12608 14048
"200006_at" 5713 5827 12879 14675
"200007_at" 15511 16923 12664 15242
"200008_s_at" 6610 19176 15340 14131
"200009_at" 4881 4851 12300 3434
"200010_at" 4817 19010 4555 12811
"200011_s_at" 15668 2708 16003 13191
"200012_x_at" 4255 5895 4507 3079
"200013_at" 15855 15586 11408 14128
"200014_s_at" 4772 14349 15357 13998
"200015_s_at" 5303 17371 16075 18852
"200016_x_at" 5711 6190 4484 3078
"200017_at" 14710 18297 4657 12667
"200018_at" 14071 16155 4649 14323
"200019_s_at" 14655 3592 9624 14749
"200020_at" 2912 5111 17719 12417
"200021_at" 8649 5509 4749 12163
"200022_at" 18431 5316 4570 2683
"200023_s_at" 6600 3594 15027 12823
"200024_at" 17012 5174 4623 13911
"200025_s_at" 13585 5238 4647 12297
"200026_at" 4624 5485 4756 12778
"200027_at" 4424 16133 10630 14389
"200028_s_at" 16560 2452 16179 15909
"200029_at" 4401 4484 4605 2363
"200030_s_at" 6385 5042 12864 13540
"200031_s_at" 14703 15045 4641 3106
"200032_s_at" 5691 17349 4659 13731
"200033_at" 5445 14458 13369 14419
"200034_s_at" 3191 5312 10346 14232
"200035_at" 15433 3617 11505 14821
"200036_s_at" 16607 14341 9537 12079
"200037_s_at" 14695 6137 12123 16759
"200038_s_at" 5500 13831 4731 12777
"200039_s_at" 5167 13850 13726 13513
"200040_at" 5235 15443 15584 15531
"200041_s_at" 4788 13682 12394 13864
"200042_at" 14790 13839 15639 16434
"200043_at" 13221 18753 12556 14457
"200044_at" 15253 13702 16238 16635
"200045_at" 4605 5469 12603 14122
"200046_at" 19527 15741 19874 15709
"200047_s_at" 13550 16214 12820 15017
"200048_s_at" 14956 3662 12115 12645
"200049_at" 21139 18063 13921 2039
"200050_at" 2145 18108 11825 14627
"200051_at" 5092 3291 18623 16868
"200052_s_at" 5372 14129 12446 14606
"200053_at" 14517 20210 18886 16350
"200054_at" 14215 19530 15709 2637
"200055_at" 19157 15542 13295 12994
"200056_s_at" 16182 17877 17233 16737
"200057_s_at" 6452 4356 9687 13361
"200058_s_at" 4668 17345 13322 16369
"200059_s_at" 15549 17907 9963 14948
"200060_s_at" 14766 18581 17998 15478
"200061_s_at" 4091 15638 4639 2427
"200062_s_at" 8489 6148 4536 12642
