"inst_2317" "inst_2355" "inst_3627" "inst_3730" "inst_4752"
"1007_s_at" 4078 22017 19107 6629 4002
"1053_at" 14294 17704 10168 3703 15000
"117_at" 10339 19390 15362 16962 11783
"121_at" 16137 21181 17287 11552 19281
"1255_g_at" 9333 11811 13514 15559 11651
"1294_at" 6505 2065 8890 648 2240
"1316_at" 21907 6040 5255 20056 21669
"1320_at" 12357 12311 4074 15669 20588
"1405_i_at" 7549 18062 14329 17410 13941
"1431_at" 1084 3355 4888 2624 4517
"1438_at" 21933 13463 7868 13187 6530
"1487_at" 2719 3169 8439 2653 14809
"1494_f_at" 15867 4387 21380 22173 20523
"1598_g_at" 16299 19945 3765 20424 4050
"160020_at" 21128 6961 21729 3603 20486
"1729_at" 1358 21469 20758 21275 19166
"1773_at" 18296 1269 16260 603 21384
"177_at" 16892 19161 16431 16099 2337
"179_at" 5159 284 18456 642 16310
"1861_at" 13522 18237 4949 11874 14574
"200000_s_at" 15784 18052 10235 10763 16104
"200001_at" 14924 4777 17627 11268 15176
"200002_at" 17652 20265 10118 10509 14941
"200003_s_at" 9118 7373 12477 15249 14186
"200004_at" 6070 5947 10817 9951 4584
"200005_at" 5062 3256 10193 6480 6769
"200006_at" 14053 7279 10583 12491 16914
"200007_at" 13581 5839 18137 11485 14928
"200008_s_at" 2948 6275 3895 2391 14461
"200009_at" 5836 7164 8338 8429 7201
"200010_at" 4781 7246 10779 9165 14127
"200011_s_at" 13870 17699 8065 8507 7405
"200012_x_at" 5538 6926 17671 19951 15781
"200013_at" 6879 17999 16825 11194 14639
"200014_s_at" 15341 5590 8708 12571 7671
"200015_s_at" 17125 4687 9614 10038 6963
"200016_x_at" 15517 17491 16474 13045 6262
"200017_at" 9044 17358 12569 15330 9990
"200018_at" 8976 16780 12559 15324 6841
"200019_s_at" 5713 7239 17505 19314 16571
"200020_at" 2750 4795 7342 11357 5460
"200021_at" 8978 16682 12664 15414 10143
"200022_at" 9198 6795 12490 11799 15627
"200023_s_at" 15942 16703 16637 10800 14502
"200024_at" 5906 16410 9766 19730 7616
"200025_s_at" 17025 17799 12557 11910 6199
"200026_at" 9084 10383 12667 19255 17355
"200027_at" 15450 6966 8297 11371 16140
"200028_s_at" 17095 5625 9825 8854 3740
"200029_at" 14355 6108 19224 19286 15754
"200030_s_at" 14872 7369 17180 19597 6888
"200031_s_at" 9054 10371 12553 15315 9964
"200032_s_at" 9250 10439 12572 19018 14582
"200033_at" 13516 17005 9214 11387 5101
"200034_s_at" 15886 18144 12480 11776 7072
"200035_at" 987 6101 9197 12593 2810
"200036_s_at" 15335 17390 18361 11171 16826
"200037_s_at" 7143 18354 9117 11573 6951
"200038_s_at" 6918 10284 12639 19052 14885
"200039_s_at" 15500 7217 16578 8296 5152
"200040_at" 14547 17914 10582 7630 6458
"200041_s_at" 5599 5950 16725 10273 14252
"200042_at" 18598 17369 5345 4564 14386
"200043_at" 20083 19580 16359 5153 5766
"200044_at" 19169 17299 6555 6766 4913
"200045_at" 15584 7237 16275 10257 7004
"200046_at" 6746 18673 8200 7842 7688
"200047_s_at" 15040 17755 9323 12106 16889
"200048_s_at" 14021 5828 10459 12142 4558
"200049_at" 17658 19121 9006 1850 3361
"200050_at" 16970 16615 4390 10129 5767
"200051_at" 5320 4978 4821 5325 15949
"200052_s_at" 6136 6336 10700 6279 16512
"200053_at" 13876 20590 5237 4815 1598
"200054_at" 18903 16259 19420 8756 6721
"200055_at" 6340 7088 17698 8396 18082
"200056_s_at" 16957 16936 5775 5472 14569
"200057_s_at" 6527 7034 19511 12521 5239
"200058_s_at" 15426 5160 16951 6107 15316
"200059_s_at" 14171 18990 7721 10323 15117
"200060_s_at" 6663 5627 9266 9020 6270
"200061_s_at" 9163 16501 12551 20355 9963
"200062_s_at" 9070 17807 12464 15237 9825
"200063_s_at" 13976 19428 12598 15354 10038
"200064_at" 5126 5168 5937 10791 14579
"200065_s_at" 5423 3030 8207 10951 7858
"200066_at" 16860 7114 4562 3800 16109
"200067_x_at" 16072 15895 5600 7838 17016
"200068_s_at" 6767 16670 6631 6051 4479
"200069_at" 3079 19419 7181 20223 16292
"200070_at" 6807 21876 9054 3702 18642
"200071_at" 16495 3114 6656 5222 6939
"200072_s_at" 4345 5940 8273 6598 7752
"200073_s_at" 16286 18894 7669 8362 5294
"200074_s_at" 18232 7207 9126 10719 17246
"200075_s_at" 14338 5687 17970 5771 18505
"200076_s_at" 16755 7475 17947 9472 18407
"200077_s_at" 6594 16958 9224 19304 6897
"200078_s_at" 5260 5758 5976 5721 15164
"200079_s_at" 4963 5458 10448 12099 17411
"200080_s_at" 17530 18107 17390 19586 4839
"200081_s_at" 5806 16245 8991 8010 14794
"200082_s_at" 6777 16598 12589 13290 15209
"200083_at" 16434 19140 8161 9345 16447
"200084_at" 15894 17689 6352 6672 14584
"200085_s_at" 13515 7073 17787 11109 18467
"200086_s_at" 16114 6746 10598 12492 19309
"200087_s_at" 14113 3102 6271 6881 3605
"200088_x_at" 9201 7333 12472 19669 9834
"200089_s_at" 6051 17478 16741 10920 15186
"200090_at" 17038 5679 7146 11650 19180
"200091_s_at" 17808 20205 12507 8547 5814
"200092_s_at" 16474 17049 12604 20592 7474
"200093_s_at" 20231 20669 18992 7537 18114
"200094_s_at" 6693 7425 9578 8139 15284
"200095_x_at" 9148 16761 12651 15405 10128
"200096_s_at" 2991 5553 17469 12031 4641
"200097_s_at" 18367 5204 10330 10513 4151
"200098_s_at" 14823 4891 17901 10344 15608
"200099_s_at" 8973 10285 12607 13570 10057
"200593_s_at" 5828 21118 3864 5356 3713
"200594_x_at" 6808 15899 8741 11474 6918
"200595_s_at" 19480 18418 10721 2502 3639
"200596_s_at" 7050 7005 9525 3704 6287
"200597_at" 1773 19330 4502 10847 3260
"200598_s_at" 16197 5823 5418 6526 14779
"200599_s_at" 4914 18158 8118 1529 4284
"200600_at" 5192 5819 11487 9952 1403
"200601_at" 19937 19541 20284 2188 2699
"200602_at" 6972 18478 4057 3095 14028
"200603_at" 18129 17366 9917 9369 6862
"200604_s_at" 15823 21323 2121 1531 15175
"200605_s_at" 16551 20734 6393 2810 15989
"200606_at" 2090 10881 10620 19238 7591
"200607_s_at" 13725 5372 6963 13058 14536
"200608_s_at" 16896 17456 10180 8342 6376
"200609_s_at" 19290 16130 3707 7046 14997
"200610_s_at" 13412 18699 6794 9547 5186
"200611_s_at" 17500 4367 9960 5308 14656
"200612_s_at" 19727 4857 1960 1569 21578
"200613_at" 19077 4813 16609 8871 16048
"200614_at" 14389 16233 9938 10124 5816
"200615_s_at" 5791 16979 7051 10222 18614
"200616_s_at" 14757 19091 16854 11381 14332
"200617_at" 14274 18427 17098 5457 2954
"200618_at" 15187 20043 5965 6906 4519
"200619_at" 4118 2838 20700 4384 7411
"200620_at" 17737 6944 9034 8642 19073
"200621_at" 7072 2184 16567 3110 19824
"200622_x_at" 13811 18321 9507 10308 18523
"200623_s_at" 17388 18273 20772 20441 1542
"200624_s_at" 6289 18848 4639 876 4557
"200625_s_at" 18062 16162 6761 8602 3425
"200626_s_at" 13715 2725 4317 6246 3348
"200627_at" 16418 17700 4415 9998 4124
"200628_s_at" 6774 2377 5982 5573 21120
"200629_at" 15180 2398 5721 6329 16761
"200630_x_at" 5505 5928 8074 20384 5526
"200631_s_at" 15014 16708 10044 10405 5093
"200632_s_at" 18302 18919 3051 2835 1828
"200633_at" 9087 7136 12550 15314 16044
"200634_at" 16483 18148 17563 6897 6595
"200635_s_at" 16681 13804 18758 8592 3188
"200636_s_at" 16633 10206 18985 11384 7263
"200637_s_at" 19657 10334 6506 3600 1994
"200638_s_at" 5397 6967 8700 11375 6687
"200639_s_at" 18195 20015 17862 13011 3009
"200640_at" 6331 7377 8853 10991 4476
"200641_s_at" 13439 4929 5159 2885 14435
"200642_at" 14525 15984 16652 11359 17518
"200643_at" 3389 5824 5367 1060 7264
"200644_at" 16627 2759 16715 8613 5173
"200645_at" 15494 16254 9389 9585 14879
"200646_s_at" 717 429 17994 3501 4146
"200647_x_at" 3616 4930 9758 8689 16645
"200648_s_at" 17470 6889 808 1565 3539
"200649_at" 18314 3760 21138 3119 3042
"200650_s_at" 6542 16616 16511 15206 6914
"200651_at" 14349 17420 12634 12473 16267
"200652_at" 16521 17882 2564 8870 3195
"200653_s_at" 19897 20066 6600 11198 2315
"200654_at" 4491 4739 16480 6849 6370
"200655_s_at" 6394 17547 18719 10244 5320
"200656_s_at" 4195 6520 5195 3068 5316
"200657_at" 4584 5917 17227 20001 15058
"200658_s_at" 5405 3143 6037 6448 18351
"200659_s_at" 6422 1489 4998 3214 17696
"200660_at" 6143 4692 19161 13226 15940
"200661_at" 6509 5992 18830 7034 18347
"200662_s_at" 16524 6236 5031 12833 6634
"200663_at" 17578 5006 8188 19082 17142
"200664_s_at" 17624 5516 7439 10713 18126
"200665_s_at" 12709 10118 15992 18235 13919
"200666_s_at" 18359 3190 10805 10209 18800
"200667_at" 14519 4673 8343 10575 17724
"200668_s_at" 6438 4655 9299 10136 7893
"200669_s_at" 5375 4818 5790 7536 16491
"200670_at" 16914 20767 5161 322 3190
"200671_s_at" 1266 12597 2017 20690 1485
"200672_x_at" 4835 1026 3199 2817 3105
"200673_at" 15984 17405 6674 11690 6182
"200674_s_at" 7216 7004 18301 20975 6901
"200675_at" 15269 18304 7190 8898 3647
"200676_s_at" 20818 1324 2580 8858 18740
"200677_at" 16061 17197 8720 7099 14042
"200678_x_at" 6578 17761 6901 9838 15024
"200679_x_at" 15389 7057 16391 6202 5346
"200680_x_at" 6922 18675 12655 19223 10137
"200681_at" 4692 4832 7411 12088 14166
"200682_s_at" 14939 6034 8155 7572 15813
"200683_s_at" 14754 7517 4348 7065 19631
"200684_s_at" 2449 3374 6647 3162 19223
"200685_at" 20431 19587 8782 8322 15761
"200686_s_at" 14503 4109 6372 10276 14397
"200687_s_at" 15416 7219 17419 5581 15797
"200688_at" 15007 531 2371 19233 19992
"200689_x_at" 6148 4283 17154 19685 15069
"200690_at" 20703 4890 8284 6913 3502
"200691_s_at" 5501 7299 9693 7030 5959
"200692_s_at" 6916 17318 4402 3775 15766
"200693_at" 13482 5668 8811 11629 6760
"200694_s_at" 14344 5498 17784 9983 14326
"200695_at" 4637 17135 6927 19475 2631
"200696_s_at" 20687 5074 19169 19321 3054
"200697_at" 17348 6537 8393 10572 2847
"200698_at" 14365 16715 3420 4260 5078
"200699_at" 16636 6592 9162 6464 4505
"200700_s_at" 13738 18145 10299 8149 6161
"200701_at" 6931 3883 7658 6383 18161
"200702_s_at" 13661 17695 6056 11861 20259
"200703_at" 15760 18636 16926 12605 14414
"200704_at" 17334 18929 17304 11594 3789
"200705_s_at" 5495 4062 9931 20965 15681
"200706_s_at" 5520 17860 2833 6013 6779
"200707_at" 3058 19357 20459 10035 16767
"200708_at" 13380 19250 17090 10190 14474
"200709_at" 4742 16097 19622 8057 3634
"200710_at" 4149 2127 4270 6293 7190
"200711_s_at" 14610 7506 4388 11846 7546
"200712_s_at" 14076 6295 2434 2072 16815
"200713_s_at" 6504 5319 6829 19196 15545
"200714_x_at" 6020 18175 18753 8406 7317
"200715_x_at" 13894 3376 9014 10826 18820
"200716_x_at" 8966 5094 12640 15401 15270
"200717_x_at" 9199 16084 12547 15312 9958
"200718_s_at" 14781 5770 17152 19813 6664
"200719_at" 5763 775 4530 12507 16302
"200720_s_at" 15031 2547 8250 3604 15278
"200721_s_at" 5639 18621 17588 7136 4958
"200722_s_at" 7159 4751 3937 885 7608
"200723_s_at" 6755 4524 6451 10163 15931
"200724_at" 21702 14566 2475 19611 13992
"200725_x_at" 4954 5587 16911 20011 14431
"200726_at" 19563 20340 6409 8118 15598
"200727_s_at" 15063 20695 10355 12400 16497
"200728_at" 15919 6193 10534 3276 7322
"200729_s_at" 6301 5454 6583 7100 6501
"200730_s_at" 14406 6395 2892 924 1711
"200731_s_at" 6635 3076 6414 1183 3266
"200732_s_at" 7106 20975 2913 4694 5306
"200733_s_at" 1996 20595 7504 5985 2510
"200734_s_at" 17091 4549 20533 6385 17111
"200735_x_at" 9236 6779 12602 15360 10046
"200736_s_at" 11397 4114 14349 11519 12273
"200737_at" 18080 17500 6111 4502 16423
"200738_s_at" 14604 6317 9877 12207 7130
"200739_s_at" 4796 6542 9992 7085 19659
"200740_s_at" 14520 5482 9983 13436 16105
"200741_s_at" 9158 15999 12465 15238 9827
"200742_s_at" 5969 19099 9358 11691 4462
"200743_s_at" 5282 3774 9328 10324 3950
"200744_s_at" 14879 5788 9947 3562 15850
"200745_s_at" 4371 2395 4849 9186 6125
"200746_s_at" 13942 20045 17739 5847 1526
"200747_s_at" 5356 18360 19386 10948 20013
"200748_s_at" 15526 2399 10496 15416 16700
"200749_at" 15935 3231 7614 12102 16541
"200750_s_at" 14696 16309 17091 15291 14776
"200751_s_at" 6932 6149 3695 4698 14227
"200752_s_at" 5672 22138 10411 12747 21117
"200753_x_at" 4332 5674 5019 5689 17382
"200754_x_at" 6434 5635 9198 10799 5321
"200755_s_at" 3053 3506 5254 5144 14210
"200756_x_at" 16791 417 881 1160 3695
"200757_s_at" 5071 21988 4276 8062 6442
"200758_s_at" 13436 5760 19925 4218 18087
"200759_x_at" 19211 2612 7917 7622 2560
"200760_s_at" 14487 7008 7000 11688 17504
"200761_s_at" 13491 3093 9921 12192 7795
"200762_at" 5956 7177 17286 10987 20401
"200763_s_at" 14318 17074 12611 15370 10066
"200764_s_at" 13711 21018 9630 10706 16055
"200765_x_at" 6608 8412 18019 16253 5787
"200766_at" 2359 4834 7741 5648 15045
"200767_s_at" 3816 20379 9966 7285 16273
"200768_s_at" 5014 15880 6429 2856 5060
"200769_s_at" 2576 15900 3594 8258 17599
"200770_s_at" 15545 2835 1222 5521 17580
"200771_at" 13534 3510 2465 10444 4734
"200772_x_at" 6897 16506 9633 15335 5902
"200773_x_at" 6636 16964 10833 12130 4367
"200774_at" 15610 19281 16634 8964 5998
"200775_s_at" 16353 3616 4078 11793 18331
"200776_s_at" 5736 18301 4234 3786 20147
"200777_s_at" 13879 6216 7207 7463 15231
"200778_s_at" 6569 4059 4251 5649 16113
"200779_at" 5705 16237 17831 6973 17356
"200780_x_at" 5163 3706 17757 13215 16799
"200781_s_at" 9038 17575 12534 19328 7622
"200782_at" 14572 6908 7879 8840 7766
"200783_s_at" 14098 17156 6185 12815 5963
"200784_s_at" 8893 14440 12122 17354 11261
"200785_s_at" 10833 14165 5960 19638 13651
"200786_at" 13749 4014 9867 10262 16845
"200787_s_at" 19352 3523 17188 10455 3537
"200788_s_at" 3881 5394 9207 6999 4502
"200789_at" 2939 19396 18711 9366 20023
"200790_at" 17922 16822 7689 11973 18898
"200791_s_at" 15742 18635 17153 3041 20387
"200792_at" 5390 7155 8010 8156 14193
"200793_s_at" 21115 20454 6220 2010 6937
"200794_x_at" 14918 6122 7194 5708 15239
"200795_at" 17393 12405 1935 6076 2745
"200796_s_at" 5496 3551 295 20907 21434
"200797_s_at" 3152 17128 9579 20020 6559
"200798_x_at" 6436 4802 2864 10500 17874
"200799_at" 14095 7603 10852 19517 14833
"200800_s_at" 15419 20092 18123 11013 17801
"200801_x_at" 9147 7449 12436 15211 9781
"200802_at" 6465 5623 10217 7792 16082
"200803_s_at" 15562 16026 6092 9628 6889
"200804_at" 5289 4049 16737 5974 14733
"200805_at" 5106 16553 5646 7077 18885
"200806_s_at" 5837 5817 7481 10397 14417
"200807_s_at" 13999 16582 12451 19030 7420
"200808_s_at" 20891 5629 20439 7998 16430
"200809_x_at" 9248 6743 16427 19843 15229
"200810_s_at" 18979 17386 9842 8819 15921
"200811_at" 6158 18357 3212 713 4583
"200812_at" 14239 6583 7812 7609 16690
"200813_s_at" 14101 2162 3516 1884 6845
"200814_at" 16990 6994 9173 19090 16968
"200815_s_at" 4883 5121 19636 7004 6690
"200816_s_at" 5549 16342 10461 11516 18373
"200817_x_at" 9170 10291 12453 15221 9800
"200818_at" 5646 7526 17078 12253 19080
"200819_s_at" 9228 15911 12555 13109 14716
"200820_at" 5433 4016 8773 8323 18489
"200821_at" 17118 20449 8716 7948 3018
"200822_x_at" 13579 16743 5061 20125 5153
"200823_x_at" 15667 6342 10012 12972 15276
"200824_at" 1195 16498 875 11436 295
"200825_s_at" 1803 21217 16486 2547 5135
"200826_at" 7154 6050 17836 8132 14828
"200827_at" 4997 831 18812 10198 17150
"200828_s_at" 3917 16546 4063 4597 19987
"200829_x_at" 13647 16867 9379 10041 17601
"200830_at" 14375 16817 10521 8926 20348
"200831_s_at" 14979 2559 17297 3192 7306
"200832_s_at" 14845 5148 10160 1659 4572
"200833_s_at" 17852 7537 7142 6797 5198
"200834_s_at" 8980 6765 12491 15260 9863
"200835_s_at" 20271 6711 20264 21390 1832
"200836_s_at" 1691 19319 9420 11386 6042
"200837_at" 5801 6300 8979 12749 20385
"200838_at" 6457 21470 16929 5582 16840
"200839_s_at" 6532 17660 17925 8571 4303
"200840_at" 15633 6118 10684 12853 6919
"200841_s_at" 18751 4967 4986 12252 18023
"200842_s_at" 14977 5248 7766 10540 14769
"200843_s_at" 4809 16372 16642 10762 15972
"200844_s_at" 4798 6886 8998 13405 15852
"200845_s_at" 13839 16856 8380 12461 6067
"200846_s_at" 18056 17617 6732 5207 14239
"200847_s_at" 6009 4764 10171 13445 15549
"200848_at" 13513 19061 6177 9280 14228
"200849_s_at" 16630 18578 20695 4922 4023
"200850_s_at" 14865 6085 9353 5173 6269
"200851_s_at" 16372 3042 8539 19410 20636
"200852_x_at" 15492 7286 19652 10415 7479
"200853_at" 14039 16285 18331 13559 16770
"200854_at" 19868 18854 17668 6260 4486
"200855_at" 6249 20293 8713 5208 15644
"200856_x_at" 19369 5933 2159 5848 19491
"200857_s_at" 13722 16411 7242 4281 1490
"200858_s_at" 14911 17528 5886 12432 18855
"200859_x_at" 4564 6169 19935 11499 17309
"200860_s_at" 6029 16036 6856 8745 18773
"200861_at" 20872 6320 6757 5226 6239
"200862_at" 4528 2555 19283 5289 4757
"200863_s_at" 14499 6688 8302 7637 17447
"200864_s_at" 13656 20174 2268 3545 4000
"200865_at" 20125 20659 12124 1525 13631
"200866_s_at" 4653 1136 2415 7225 16418
"200867_at" 15422 20705 10074 3823 7016
"200868_s_at" 15704 15936 2308 9057 15219
"200869_at" 9052 5787 12475 19462 15995
"200870_at" 4831 4040 16983 19225 7216
"200871_s_at" 4343 5682 10383 9464 16123
"200872_at" 6060 5936 8935 12059 14682
"200873_s_at" 16902 6698 9602 19043 7290
"200874_s_at" 4401 16560 21387 19468 20449
"200875_s_at" 16127 17830 10082 13056 14483
"200876_s_at" 13595 16774 9698 8974 6483
"200877_at" 5280 16174 17367 11883 14245
"200878_at" 5739 15573 10698 13088 5800
"200879_s_at" 10639 14061 2956 5922 95
"200880_at" 15367 7514 7870 6339 15018
"200881_s_at" 5158 16984 6138 4465 5883
"200882_s_at" 17626 17442 16244 10322 17536
"200883_at" 5227 4488 3668 4405 17904
"200884_at" 15716 1732 5635 7305 16909
"200885_at" 14568 2038 7527 7198 18218
"200886_s_at" 17412 18247 17722 12905 7082
"200887_s_at" 13856 5712 4624 3223 15077
"200888_s_at" 15923 16769 10371 11069 13997
"200889_s_at" 17932 5585 3405 3594 4226
"200890_s_at" 16397 19564 2076 1379 3632
"200891_s_at" 6990 16644 16804 12634 19406
"200892_s_at" 5077 15991 6630 3362 16086
"200893_at" 15378 17441 6196 10537 7261
"200894_s_at" 4224 16293 5747 19832 6671
"200895_s_at" 3442 15894 10275 13558 5615
"200896_x_at" 16956 4973 17838 12959 7458
"200897_s_at" 4465 9012 10139 12123 5538
"200898_s_at" 1742 18887 7540 2205 20752
"200899_s_at" 16790 19271 5169 3555 14964
"200900_s_at" 18275 17832 6729 8488 19222
"200901_s_at" 3538 6297 8364 4582 7585
"200902_at" 19854 20325 6192 6647 7295
"200903_s_at" 15024 3792 9831 5632 14939
"200904_at" 22062 18805 21393 6590 16335
"200905_x_at" 5999 7459 16948 10901 19124
"200906_s_at" 18961 16090 4951 11261 3807
"200907_s_at" 16360 8057 5439 6591 2752
"200908_s_at" 4408 18274 1599 21586 3872
"200909_s_at" 16370 17693 17172 15275 16858
"200910_at" 7163 5294 17993 12388 15394
"200911_s_at" 16038 3654 19100 11127 21334
"200912_s_at" 7030 6640 10759 10665 14616
"200913_at" 6027 7149 10380 2707 3296
"200914_x_at" 18802 6201 10723 7467 5424
"200915_x_at" 17503 18892 16890 13249 14479
"200916_at" 14510 6322 9761 19344 16531
"200917_s_at" 18409 868 5211 20041 16666
"200918_s_at" 13820 2473 19380 11670 14614
"200919_at" 15805 2647 19903 7727 3938
"200920_s_at" 16108 17633 7005 8448 15601
"200921_s_at" 5996 6159 17720 2433 6311
"200922_at" 18169 896 5615 2028 17264
"200923_at" 20852 10927 18238 10441 21528
"200924_s_at" 5444 5295 4538 12485 7195
"200925_at" 15898 18458 16523 12789 16553
"200926_at" 9094 10468 12612 15371 10067
"200927_s_at" 15301 6440 5102 5489 3598
"200928_s_at" 20079 16502 2122 10525 2238
"200929_at" 6612 17211 8823 2780 14277
"200930_s_at" 1160 15634 16157 20271 2796
"200931_s_at" 5970 16749 5888 11588 18000
"200932_s_at" 6563 7393 16460 10772 16305
"200933_x_at" 9119 17310 12584 15346 10015
"200934_at" 17716 18993 3921 7548 14057
"200935_at" 3335 5539 20572 1454 2324
"200936_at" 9194 16845 12591 15350 10029
"200937_s_at" 14317 17940 8615 11448 6449
"200938_s_at" 14206 8202 15267 16796 12488
"200939_s_at" 9280 9894 2213 13208 2551
"200940_s_at" 6467 6810 7176 4510 4443
"200941_at" 19968 4850 7756 10071 17430
"200942_s_at" 3822 5356 10519 5698 17577
"200943_at" 15441 18370 8784 11356 14516
"200944_s_at" 17622 5518 16529 11494 7099
"200945_s_at" 14804 18841 16596 4287 3147
"200946_x_at" 5951 17716 6696 4744 7044
"200947_s_at" 4281 2515 19091 5145 6975
"200948_at" 13432 2093 17053 9332 16417
"200949_x_at" 6109 16156 17375 13338 15703
"200950_at" 14153 17818 7736 7795 18260
"200951_s_at" 11149 17856 13052 17179 9865
"200952_s_at" 4006 21537 15070 13699 5745
"200953_s_at" 2224 17224 515 1120 8496
"200954_at" 18287 6848 8272 11269 5038
"200955_at" 2407 17490 10328 2618 18550
"200956_s_at" 5096 19344 17834 4916 7863
"200957_s_at" 6162 17079 7912 7209 5803
"200958_s_at" 17276 16397 10385 7070 5532
"200959_at" 3981 18576 7798 5984 16961
"200960_x_at" 18404 3817 17258 9761 15436
"200961_at" 14999 6113 20054 19182 18203
"200962_at" 16359 5433 16943 20798 16632
"200963_x_at" 9187 10408 12615 15372 15403
"200964_at" 3133 6123 19912 7145 15676
"200965_s_at" 5889 13208 2545 2445 3397
"200966_x_at" 14842 15906 16761 13068 14171
"200967_at" 5508 4252 6773 10670 17805
"200968_s_at" 6521 6687 6518 4950 18348
"200969_at" 14230 7490 8831 11059 6998
"200970_s_at" 6997 4293 8336 5572 6526
"200971_s_at" 7084 17425 7166 19629 16601
"200972_at" 15810 5211 10795 9061 16428
"200973_s_at" 3508 4725 8906 2196 19679
"200974_at" 4385 20286 21441 1064 20957
"200975_at" 19148 18046 10867 9389 16025
"200976_s_at" 14774 6612 10648 3012 5262
"200977_s_at" 13373 15919 7698 13542 18545
"200978_at" 14953 5795 17246 10169 16396
"200979_at" 17779 21252 9489 20815 19308
"200980_s_at" 16450 6937 9347 6258 17654
"200981_x_at" 5115 16336 18680 13055 15787
"200982_s_at" 18512 1288 5983 3244 17307
"200983_x_at" 4686 14461 16494 13176 6649
"200984_s_at" 14512 6970 4466 9662 16891
