"inst_2432" "inst_3294" "inst_5335" "inst_6735"
"1007_s_at" 937 18313 3958 13453
"1053_at" 3414 6817 7053 12608
"117_at" 14055 10604 10628 9124
"121_at" 4876 6822 8417 2282
"1255_g_at" 10036 11975 17151 8458
"1294_at" 14540 21698 15548 3393
"1316_at" 18799 746 3000 21465
"1320_at" 9786 16439 18840 16804
"1405_i_at" 13007 14004 19051 182
"1431_at" 1377 190 16642 19832
"1438_at" 6337 2520 159 20144
"1487_at" 14013 18710 7150 16705
"1494_f_at" 1658 21041 15507 14439
"1598_g_at" 1733 19397 7182 4068
"160020_at" 1774 21902 21902 2549
"1729_at" 15872 4408 3377 13636
"1773_at" 20962 6635 9329 21656
"177_at" 16836 11225 14355 17780
"179_at" 18795 22184 20937 20222
"1861_at" 19792 19727 3773 11181
"200000_s_at" 12631 4845 19743 3103
"200001_at" 13274 2537 3885 4138
"200002_at" 15150 5488 8691 11079
"200003_s_at" 7801 12262 9871 7010
"200004_at" 16464 7010 6567 3352
"200005_at" 14764 8396 3453 12036
"200006_at" 15129 17302 8915 4655
"200007_at" 15183 6885 7890 10906
"200008_s_at" 16136 7538 2710 19121
"200009_at" 13930 19764 5697 11093
"200010_at" 13413 8025 6375 11794
"200011_s_at" 5543 9317 5789 3102
"200012_x_at" 12865 6150 20278 3442
"200013_at" 13653 8914 9196 10628
"200014_s_at" 14414 3116 7304 12189
"200015_s_at" 14429 18129 4480 15919
"200016_x_at" 7695 8293 7969 10447
"200017_at" 7972 12461 19698 11739
"200018_at" 7952 12433 9175 3997
"200019_s_at" 7909 7667 9916 2654
"200020_at" 14510 7193 6738 11651
"200021_at" 13174 12666 20655 7093
"200022_at" 7826 12295 6533 12594
"200023_s_at" 14549 3591 6843 4523
"200024_at" 5577 7245 8008 4332
"200025_s_at" 7950 18302 9682 4396
"200026_at" 8154 17548 20653 10726
"200027_at" 14060 7493 6837 11806
"200028_s_at" 4001 5107 1793 4548
"200029_at" 7880 8666 9440 4508
"200030_s_at" 4609 7311 6005 3852
"200031_s_at" 7942 12418 8591 7048
"200032_s_at" 7975 12465 19568 4023
"200033_at" 13587 6716 4984 12077
"200034_s_at" 13601 9534 9044 4234
"200035_at" 3915 7306 19865 15554
"200036_s_at" 4841 6507 8456 11924
"200037_s_at" 17767 19733 8612 12177
"200038_s_at" 8121 17220 10079 12713
"200039_s_at" 14466 6603 6505 10799
"200040_at" 14659 2414 6474 4715
"200041_s_at" 15909 6088 6246 13105
"200042_at" 15213 2941 5614 12691
"200043_at" 19410 3434 4483 13720
"200044_at" 16338 4281 9647 3062
"200045_at" 13300 5137 9123 3535
"200046_at" 14926 2312 2192 10622
"200047_s_at" 14664 18447 5085 11907
"200048_s_at" 4653 5817 7770 11802
"200049_at" 15401 3824 2398 4302
"200050_at" 2466 19358 4810 16135
"200051_at" 4166 5461 10012 12342
"200052_s_at" 4218 6056 3985 17817
"200053_at" 20060 20399 20986 18984
"200054_at" 15276 7574 4811 11121
"200055_at" 12792 5798 7874 2022
"200056_s_at" 18431 7427 10006 16119
"200057_s_at" 14029 5442 6181 3591
"200058_s_at" 19161 6722 8573 15029
"200059_s_at" 14247 5308 9013 11969
"200060_s_at" 16968 6527 4777 12204
"200061_s_at" 7940 12416 21070 7047
"200062_s_at" 7779 12236 20679 7006
"200063_s_at" 8024 12519 19451 11509
"200064_at" 13932 17356 6347 11654
"200065_s_at" 13063 7586 2131 12038
"200066_at" 2081 4753 3485 13004
"200067_x_at" 14068 2439 5213 13007
"200068_s_at" 16249 8480 6067 2851
"200069_at" 14876 18486 6219 16284
"200070_at" 19519 5174 22208 15917
"200071_at" 18598 1589 3544 15654
"200072_s_at" 14489 5854 6330 13614
"200073_s_at" 4550 18007 8123 11630
"200074_s_at" 14442 17697 8989 11929
"200075_s_at" 12902 4013 8881 4170
"200076_s_at" 13879 6566 2759 10460
"200077_s_at" 13603 7647 8988 10925
"200078_s_at" 4561 2743 6242 4484
"200079_s_at" 3792 21350 2587 12747
"200080_s_at" 12925 18248 8984 5078
"200081_s_at" 15407 6009 7133 4372
"200082_s_at" 8008 8698 9314 3923
"200083_at" 14965 6780 9643 13358
"200084_at" 17730 3023 5297 10790
"200085_s_at" 5275 6161 19805 3351
"200086_s_at" 16029 17562 7591 11039
"200087_s_at" 4766 6324 7861 3358
"200088_x_at" 7795 12255 19667 4984
"200089_s_at" 15205 18723 19778 11497
"200090_at" 14706 19551 777 11410
"200091_s_at" 4130 9295 20519 10617
"200092_s_at" 8036 18538 19912 10958
"200093_s_at" 17510 1205 7804 15047
"200094_s_at" 13334 17510 21176 15608
"200095_x_at" 8130 12643 20468 7090
"200096_s_at" 17449 6169 6866 18606
"200097_s_at" 14663 20290 6473 14602
"200098_s_at" 13722 4468 6180 13634
"200099_s_at" 8041 12539 19926 11298
"200593_s_at" 17771 9867 19577 11883
"200594_x_at" 16313 19378 7105 2472
"200595_s_at" 15519 8285 9182 4135
"200596_s_at" 14408 6240 20695 21434
"200597_at" 14564 3396 839 3228
"200598_s_at" 3283 6044 8560 22003
"200599_s_at" 14254 6882 19262 11395
"200600_at" 17539 13948 17504 3957
"200601_at" 21306 5958 7303 19310
"200602_at" 15779 1516 6633 4171
"200603_at" 15744 19876 7851 12870
"200604_s_at" 17208 3439 2210 16792
"200605_s_at" 20518 1818 2071 14903
"200606_at" 18201 6215 3979 14712
"200607_s_at" 12590 9595 2503 22035
"200608_s_at" 16859 9727 7078 12670
"200609_s_at" 20483 3560 19178 11703
"200610_s_at" 13585 5979 5387 4040
"200611_s_at" 17803 3858 7225 14764
"200612_s_at" 21431 9 21391 17865
"200613_at" 16869 7868 19935 11925
"200614_at" 15871 8662 8662 11355
"200615_s_at" 5379 1632 4188 13258
"200616_s_at" 3041 18292 2397 21707
"200617_at" 16462 7064 19352 2977
"200618_at" 18803 4248 8401 2191
"200619_at" 19750 3195 5920 14590
"200620_at" 18527 2575 3771 11185
"200621_at" 20618 5443 5565 11568
"200622_x_at" 12709 8570 3660 17706
"200623_s_at" 3667 20150 7101 1304
"200624_s_at" 13812 4838 20677 17808
"200625_s_at" 12652 2315 6847 2804
"200626_s_at" 4708 8002 1594 3291
"200627_at" 12677 8828 7061 3382
"200628_s_at" 12821 20813 4397 18145
"200629_at" 13907 19304 9587 4500
"200630_x_at" 13153 21044 9071 18142
"200631_s_at" 13838 2422 4866 11487
"200632_s_at" 18556 18144 4752 10848
"200633_at" 13501 12415 9380 7046
"200634_at" 14981 2852 6603 1719
"200635_s_at" 9574 18116 20722 21740
"200636_s_at" 1982 9934 19597 3126
"200637_s_at" 7973 20470 19554 21811
"200638_s_at" 16877 17534 3850 5076
"200639_s_at" 20032 19711 9824 12464
"200640_at" 17377 5290 6538 2171
"200641_s_at" 14296 8693 2466 19087
"200642_at" 5396 3101 8457 10720
"200643_at" 15618 19878 21065 4419
"200644_at" 21752 6608 3329 14856
"200645_at" 13995 9420 6218 2761
"200646_s_at" 14112 20255 20097 19954
"200647_x_at" 4398 4258 3709 12079
"200648_s_at" 15503 6774 6890 20268
"200649_at" 15168 6842 8670 2625
"200650_s_at" 5416 7701 7564 6989
"200651_at" 8106 8292 19652 11899
"200652_at" 15374 4445 2174 12638
"200653_s_at" 3584 4065 8902 18575
"200654_at" 13435 3504 6281 3476
"200655_s_at" 15596 9851 8089 12019
"200656_s_at" 13634 18596 8031 18394
"200657_at" 14301 8105 8039 11635
"200658_s_at" 12664 8416 5457 14748
"200659_s_at" 21245 2477 889 15245
"200660_at" 4522 7673 20968 2832
"200661_at" 15515 7020 8977 14561
"200662_s_at" 3597 2705 3419 12642
"200663_at" 4832 18039 7015 11757
"200664_s_at" 20194 5397 1373 21705
"200665_s_at" 9725 15776 12010 8867
"200666_s_at" 16945 1240 19978 11783
"200667_at" 13425 18664 6465 16277
"200668_s_at" 12983 9114 8406 11130
"200669_s_at" 17011 8081 2018 19036
"200670_at" 18696 8338 9922 16179
"200671_s_at" 7150 4493 19590 21944
"200672_x_at" 22257 21508 2540 14238
"200673_at" 17571 8039 4881 14363
"200674_s_at" 8046 12549 10016 5007
"200675_at" 13072 2672 3616 4823
"200676_s_at" 4318 18698 10032 4011
