"inst_1600" "inst_3215" "inst_5397" "inst_6297"
"1007_s_at" 20853 6101 5120 19163
"1053_at" 1725 4511 5320 14786
"117_at" 5510 13463 11764 8321
"121_at" 5303 8667 20034 15147
"1255_g_at" 13606 12772 13140 8615
"1294_at" 7514 21361 5467 395
"1316_at" 7246 5701 20359 11332
"1320_at" 11403 10297 18145 9991
"1405_i_at" 6890 3278 13896 9874
"1431_at" 9360 3031 13738 495
"1438_at" 17396 20021 7110 12524
"1487_at" 3280 4456 5571 20717
"1494_f_at" 7888 1376 8209 20123
"1598_g_at" 7836 2243 22074 1408
"160020_at" 2113 1863 77 20085
"1729_at" 21946 16610 5931 10961
"1773_at" 5518 20022 18204 356
"177_at" 6593 9057 10523 5201
"179_at" 152 20879 21973 10
"1861_at" 15068 4469 18881 13184
"200000_s_at" 7294 3870 8126 14236
"200001_at" 983 4996 6334 13090
"200002_at" 5203 8857 7798 10992
"200003_s_at" 7986 10731 8091 3453
"200004_at" 1960 15837 5166 11794
"200005_at" 6651 17355 17767 15054
"200006_at" 3097 8027 15673 11041
"200007_at" 5393 17608 7728 12927
"200008_s_at" 6473 18537 15524 14336
"200009_at" 7304 15929 6066 13774
"200010_at" 3015 8763 6608 11562
"200011_s_at" 5673 8077 14963 15182
"200012_x_at" 19726 17181 7937 2928
"200013_at" 4853 8742 8306 2740
"200014_s_at" 2883 8022 7160 13231
"200015_s_at" 3053 6622 18260 15315
"200016_x_at" 4154 7503 15792 11635
"200017_at" 4683 10828 10321 3593
"200018_at" 7663 10822 10311 3286
"200019_s_at" 20078 6143 7896 2968
"200020_at" 21618 8990 6413 16099
"200021_at" 21698 10912 10395 6142
"200022_at" 7749 8961 7561 12506
"200023_s_at" 4845 5204 16910 13538
"200024_at" 7582 8659 14805 2206
"200025_s_at" 6102 15733 16772 3155
"200026_at" 2908 10914 5529 3235
"200027_at" 4992 7122 15671 13564
"200028_s_at" 19312 8871 16026 15840
"200029_at" 20503 15919 7849 11193
"200030_s_at" 5387 8991 7876 11318
"200031_s_at" 7883 10814 10304 3259
"200032_s_at" 6364 10831 14644 3296
"200033_at" 5213 15957 7424 13095
"200034_s_at" 2168 8498 6475 3618
"200035_at" 20592 19136 17794 15358
"200036_s_at" 19136 5208 17955 11713
"200037_s_at" 3868 6023 14664 13734
"200038_s_at" 7708 8188 14613 11493
"200039_s_at" 7098 7224 16872 11959
"200040_at" 5487 7308 7100 17790
"200041_s_at" 8078 8550 15883 11437
"200042_at" 5010 8657 15355 14013
"200043_at" 4169 6083 3807 13525
"200044_at" 6278 16275 8028 12639
"200045_at" 19294 5995 16572 14430
"200046_at" 7161 17622 7354 14088
"200047_s_at" 3302 16259 15941 16008
"200048_s_at" 19182 8133 16506 11196
"200049_at" 3254 18366 18570 14664
"200050_at" 1202 2466 17954 15818
"200051_at" 5773 16448 18905 11789
"200052_s_at" 4696 16784 15799 15675
"200053_at" 19008 20720 17467 12774
"200054_at" 21119 8220 7355 14348
"200055_at" 6976 6546 15967 15066
"200056_s_at" 893 17409 19652 14428
"200057_s_at" 6891 8683 6968 16006
"200058_s_at" 5550 6085 8078 15205
"200059_s_at" 2078 17849 17271 12516
"200060_s_at" 3058 8608 17689 20263
"200061_s_at" 19389 10811 10302 3532
"200062_s_at" 19244 10714 10225 5858
"200063_s_at" 4728 15277 10342 6035
"200064_at" 3629 17329 16061 12837
"200065_s_at" 20635 8472 7328 15828
"200066_at" 20891 15799 7992 15288
"200067_x_at" 7470 15932 14553 14985
"200068_s_at" 5182 7677 6960 12814
"200069_at" 1126 8464 4699 19470
"200070_at" 2707 1860 5947 3130
"200071_at" 5743 6332 8012 21058
"200072_s_at" 6016 6540 15926 13168
"200073_s_at" 3565 18418 18056 2613
"200074_s_at" 3981 15690 7972 12762
"200075_s_at" 6595 5276 6268 12999
"200076_s_at" 19058 16925 3887 12564
"200077_s_at" 6093 16326 16275 13723
"200078_s_at" 6893 8597 6366 13766
"200079_s_at" 19554 5412 8147 14965
"200080_s_at" 5406 15760 4459 11679
"200081_s_at" 6418 16110 16705 12276
"200082_s_at" 2516 15787 7399 10941
"200083_at" 4353 2597 18076 14519
"200084_at" 2546 19501 15171 17392
"200085_s_at" 6830 5859 17696 14646
"200086_s_at" 2783 5496 17569 12712
"200087_s_at" 20450 19070 3717 16348
"200088_x_at" 20375 10724 10231 2837
"200089_s_at" 6412 15591 15712 12277
"200090_at" 6597 6751 15539 13664
"200091_s_at" 2852 5999 7106 11732
"200092_s_at" 5083 7753 16101 12024
"200093_s_at" 2475 16917 19582 13466
"200094_s_at" 5402 3599 19851 17837
"200095_x_at" 7554 10909 10392 6126
"200096_s_at" 3882 15916 19595 17158
"200097_s_at" 7421 16052 8327 15951
"200098_s_at" 4439 5032 17043 18314
"200099_s_at" 6533 10873 10347 12286
"200593_s_at" 3150 6659 14948 16945
"200594_x_at" 4001 19153 7373 13518
"200595_s_at" 5038 18427 20146 16103
"200596_s_at" 20564 16611 16011 14477
"200597_at" 399 5892 2042 21397
"200598_s_at" 5394 7253 20983 13285
"200599_s_at" 6497 5040 5567 16081
"200600_at" 2234 12507 13263 15790
"200601_at" 20637 19766 6691 14667
"200602_at" 328 5618 16265 21318
"200603_at" 708 15594 17180 16129
"200604_s_at" 7148 7375 16432 19539
"200605_s_at" 1144 7158 4370 14950
"200606_at" 15380 18415 15850 16536
"200607_s_at" 3436 5377 21233 17218
"200608_s_at" 2723 17469 18162 17009
"200609_s_at" 19036 6585 3637 14754
"200610_s_at" 3664 19125 5236 19520
"200611_s_at" 6676 4297 18659 14869
"200612_s_at" 5332 20782 450 18354
"200613_at" 4340 4753 15449 16761
"200614_at" 19251 6363 16652 12899
"200615_s_at" 7890 15414 2590 13946
"200616_s_at" 5312 3900 16913 16453
"200617_at" 19289 7546 7738 20036
"200618_at" 19120 16752 4573 3334
"200619_at" 5029 19811 17735 15096
"200620_at" 4573 7416 8396 2851
"200621_at" 19316 5668 16734 16642
"200622_x_at" 6757 6182 20385 19007
"200623_s_at" 20395 15810 16646 20526
"200624_s_at" 4510 18145 15502 15001
"200625_s_at" 6054 8882 16983 14586
"200626_s_at" 5834 8232 3461 14067
"200627_at" 5853 16697 7575 11775
"200628_s_at" 4179 6871 2077 16133
"200629_at" 5484 15724 7847 13755
"200630_x_at" 8156 17458 4667 12166
"200631_s_at" 19711 8865 15037 12596
"200632_s_at" 7403 3997 3906 20196
"200633_at" 8155 15387 10301 5968
"200634_at" 3923 7657 15781 11649
"200635_s_at" 11194 4730 16042 13257
"200636_s_at" 18498 5862 18713 12513
"200637_s_at" 10673 2904 3808 2208
"200638_s_at" 2591 17598 8112 15858
"200639_s_at" 1618 16407 17916 11974
"200640_at" 5646 16801 14790 11552
"200641_s_at" 4756 18524 17494 10890
"200642_at" 4905 7419 16727 11453
"200643_at" 20069 2004 5031 3373
"200644_at" 21225 7590 6534 11440
"200645_at" 7632 5752 5219 13298
"200646_s_at" 11522 2784 21808 10969
"200647_x_at" 19707 6474 17647 15298
"200648_s_at" 457 21393 16954 14691
"200649_at" 21515 1831 4812 15503
"200650_s_at" 7081 16932 6633 3507
"200651_at" 4360 6753 16024 3502
"200652_at" 4470 2326 15246 14316
"200653_s_at" 5170 17457 3943 17452
"200654_at" 19004 8754 18467 13480
"200655_s_at" 20527 8208 17796 14066
"200656_s_at" 2938 7214 6259 18558
"200657_at" 7710 15291 6964 12547
"200658_s_at" 4635 5277 7983 11209
"200659_s_at" 4560 16864 19978 18712
"200660_at" 4989 7541 14610 13021
"200661_at" 19924 4930 18662 12460
"200662_s_at" 3916 4696 15796 14939
"200663_at" 7463 6538 6868 11500
"200664_s_at" 3692 18917 19570 19296
"200665_s_at" 16591 12380 9801 5491
"200666_s_at" 6081 7276 16439 18601
"200667_at" 3482 17094 4129 16775
"200668_s_at" 4855 8178 7895 11126
"200669_s_at" 2115 17392 18218 14015
"200670_at" 1183 5531 18483 16619
"200671_s_at" 12837 1407 1337 1462
"200672_x_at" 11027 738 6979 17761
"200673_at" 3720 6121 14649 15208
"200674_s_at" 7028 17677 14549 2970
"200675_at" 2746 17903 3993 20452
"200676_s_at" 19328 18876 20014 17196
"200677_at" 2536 18184 4767 11551
"200678_x_at" 6839 8386 7345 16872
"200679_x_at" 4840 15820 7205 11237
"200680_x_at" 7508 8015 7400 3148
"200681_at" 20198 7558 16959 14631
"200682_s_at" 5360 7029 16748 14564
"200683_s_at" 3221 5244 16970 12812
"200684_s_at" 19222 21084 4817 21375
"200685_at" 7381 2185 19009 19907
"200686_s_at" 6159 3917 17981 20522
"200687_s_at" 6909 16584 15441 12987
"200688_at" 22018 6657 7840 2702
"200689_x_at" 7693 16612 6651 14083
"200690_at" 363 17962 21026 13185
"200691_s_at" 2935 17912 5991 17089
"200692_s_at" 6476 7878 19305 17190
"200693_at" 6683 16478 5542 13827
"200694_s_at" 4817 18089 14866 13727
"200695_at" 4721 18868 3709 12267
"200696_s_at" 5815 299 19668 19810
"200697_at" 7429 19244 2593 15621
"200698_at" 4783 16946 16769 17111
"200699_at" 21684 6178 3678 18154
"200700_s_at" 5389 5396 16989 13133
"200701_at" 21826 4783 16372 14457
"200702_s_at" 20586 5023 17929 17654
"200703_at" 2180 15947 16191 15518
"200704_at" 20630 8862 6570 18138
"200705_s_at" 5212 7818 14767 11158
"200706_s_at" 1078 18893 5810 20945
"200707_at" 7998 8549 3108 2978
"200708_at" 19544 16772 16895 13883
"200709_at" 2286 4144 18809 13491
"200710_at" 6969 15940 2635 3525
"200711_s_at" 20682 16032 17673 19570
"200712_s_at" 3806 15373 19127 18142
"200713_s_at" 7602 15969 4524 16283
"200714_x_at" 19317 18450 4432 15538
"200715_x_at" 6690 15314 7724 14145
"200716_x_at" 20298 10906 10387 2808
"200717_x_at" 6130 10809 10299 5966
"200718_s_at" 4544 8707 15437 11303
"200719_at" 19341 20896 5140 18563
"200720_s_at" 19965 17427 18579 16234
"200721_s_at" 4136 7273 3390 20707
"200722_s_at" 532 19695 16697 17490
"200723_s_at" 4316 15944 15250 14281
"200724_at" 11224 17033 733 3239
"200725_x_at" 19992 7256 6986 2951
"200726_at" 1913 15519 19679 14321
"200727_s_at" 345 18697 20659 3095
"200728_at" 7864 15636 18008 13383
"200729_s_at" 1962 8413 7533 15122
"200730_s_at" 242 4175 18899 21953
"200731_s_at" 21336 3733 15944 13217
"200732_s_at" 5143 6849 5814 12468
"200733_s_at" 792 19265 16878 19064
"200734_s_at" 20192 3942 14955 16409
"200735_x_at" 7500 10869 14723 10881
"200736_s_at" 6998 9040 13399 11930
"200737_at" 7162 2093 15260 16471
"200738_s_at" 2765 7731 17281 11032
"200739_s_at" 19917 7920 20328 13927
"200740_s_at" 5346 17533 7696 11096
"200741_s_at" 19106 10716 10226 5859
"200742_s_at" 2241 16340 18865 17166
"200743_s_at" 5774 5329 6912 13857
"200744_s_at" 6230 19123 7527 16394
"200745_s_at" 7045 6527 5811 2505
"200746_s_at" 7347 6355 17197 15269
"200747_s_at" 1407 19763 6658 3027
"200748_s_at" 98 5298 8067 3468
"200749_at" 1934 5089 16350 13595
"200750_s_at" 7563 8786 17893 3218
