"inst_1374" "inst_2058" "inst_2220" "inst_5775" "inst_6251"
"1007_s_at" 21859 5646 14740 4996 3705
"1053_at" 17854 4380 2762 19473 15908
"117_at" 7985 15069 10099 420 11193
"121_at" 19805 2388 2943 2694 13352
"1255_g_at" 10516 14050 7528 8898 8312
"1294_at" 18013 7755 1327 335 750
"1316_at" 21164 11534 1420 5019 16508
"1320_at" 14066 8307 9222 11304 10181
"1405_i_at" 4652 10731 7069 10784 6834
"1431_at" 9606 19950 2447 1834 8885
"1438_at" 6451 20332 21278 14240 13266
"1487_at" 3360 18966 21649 14143 3134
"1494_f_at" 22136 13893 21210 5473 17756
"1598_g_at" 21210 4940 20304 20305 21881
"160020_at" 18982 8459 21632 5623 19185
"1729_at" 967 21006 4487 4557 21767
"1773_at" 2674 1994 3186 19007 1504
"177_at" 1366 2350 6890 666 2402
"179_at" 21967 13706 3191 20149 15043
"1861_at" 765 6076 16771 4315 16790
"200000_s_at" 830 4754 13653 20613 13698
"200001_at" 3767 19348 14204 16828 13009
"200002_at" 4583 5313 12736 13899 15694
"200003_s_at" 3337 6679 7697 8714 16117
"200004_at" 4259 18862 16302 15135 18485
"200005_at" 2800 3729 12634 6023 4426
"200006_at" 16518 6408 4624 15599 17392
"200007_at" 3617 3332 4225 13107 13981
"200008_s_at" 17117 7351 2409 19116 16284
"200009_at" 16273 6343 4426 14724 16845
"200010_at" 16841 6229 4647 5363 17838
"200011_s_at" 19468 20082 19746 16229 15477
"200012_x_at" 19429 19771 4779 6219 2783
"200013_at" 2921 6164 5081 12858 15842
"200014_s_at" 16685 8935 14102 7001 15280
"200015_s_at" 17580 2498 14831 16829 20560
"200016_x_at" 15712 7582 13589 6585 14275
"200017_at" 17145 17903 7917 13547 14704
"200018_at" 3954 8886 7900 13102 16292
"200019_s_at" 2366 3361 3796 14292 4615
"200020_at" 4622 5201 5514 7041 15584
"200021_at" 1364 20453 7719 12751 7778
"200022_at" 3339 7818 7959 5677 13073
"200023_s_at" 2728 5213 5587 12804 15759
"200024_at" 17015 6727 4656 14866 14140
"200025_s_at" 15724 17966 4997 7210 13081
"200026_at" 3740 19317 7712 13494 17232
"200027_at" 2908 4639 5619 13058 16171
"200028_s_at" 2993 19753 19146 13225 15056
"200029_at" 2371 17944 12309 6966 3510
"200030_s_at" 19238 8558 4636 5667 13816
"200031_s_at" 3632 3570 7683 8741 13775
"200032_s_at" 15556 6012 7643 13323 14807
"200033_at" 17248 7271 13671 14114 18406
"200034_s_at" 3927 19218 4158 6616 15664
"200035_at" 15948 7122 18389 18980 16743
"200036_s_at" 2415 5076 4915 13001 15928
"200037_s_at" 18165 17986 14398 16021 15420
"200038_s_at" 16485 6560 7874 6060 13614
"200039_s_at" 17137 5280 5512 6154 16552
"200040_at" 2044 4589 15261 13376 17446
"200041_s_at" 20382 19632 12775 14337 16864
"200042_at" 16672 4570 14044 4582 19205
"200043_at" 19239 8233 13176 15994 17638
"200044_at" 3065 7930 17932 17439 18363
"200045_at" 16522 18249 18013 13654 13691
"200046_at" 19685 7345 3827 5904 13796
"200047_s_at" 18684 18827 17381 15544 13498
"200048_s_at" 2849 6412 13311 7105 17352
"200049_at" 20683 2962 16295 5604 15097
"200050_at" 19641 19693 14841 14303 21196
"200051_at" 2792 2250 19615 19915 20802
"200052_s_at" 15193 6273 4007 14471 15674
"200053_at" 17417 20159 5404 1984 14374
"200054_at" 16321 20545 2861 18766 18279
"200055_at" 15509 18501 4678 5880 15315
"200056_s_at" 20791 7945 14436 17087 19357
"200057_s_at" 15158 8212 12672 15893 13874
"200058_s_at" 18473 6451 17573 16600 16130
"200059_s_at" 4524 19432 13413 6946 17152
"200060_s_at" 15491 5885 17611 12960 18200
"200061_s_at" 17439 20217 7695 8740 3825
