"inst_3043" "inst_3381" "inst_5301" "inst_6702"
"1007_s_at" 1063 13759 17762 5962
"1053_at" 20153 3915 569 4311
"117_at" 10323 9513 15989 13501
"121_at" 9964 19293 1560 18239
"1255_g_at" 5366 8629 13043 12500
"1294_at" 12419 15930 1705 3649
"1316_at" 18872 21662 12224 22202
"1320_at" 7742 19380 8585 17070
"1405_i_at" 15586 7283 9319 20740
"1431_at" 524 16167 16298 5380
"1438_at" 5641 248 19190 2856
"1487_at" 13585 18603 17653 20350
"1494_f_at" 21857 16733 15709 20387
"1598_g_at" 22121 13416 22007 8761
"160020_at" 1039 1778 10215 5810
"1729_at" 10887 14700 231 7281
"1773_at" 20282 5277 18213 19752
"177_at" 20046 6994 17178 924
"179_at" 88 17272 147 20585
"1861_at" 14762 15926 1268 20090
"200000_s_at" 14907 13415 3628 6070
"200001_at" 14043 12287 4405 7878
"200002_at" 2556 4258 6407 8690
"200003_s_at" 4342 7236 4320 14632
"200004_at" 11271 4201 4114 7029
"200005_at" 11956 13276 5329 5564
"200006_at" 10365 12117 18212 15261
"200007_at" 10100 13482 5947 15558
"200008_s_at" 18305 3738 2484 5855
"200009_at" 14095 5119 6825 7547
"200010_at" 2868 4369 2150 4744
"200011_s_at" 13664 5448 6300 5189
"200012_x_at" 2146 4284 17992 15310
"200013_at" 9333 12805 18218 7958
"200014_s_at" 18760 14498 19024 17392
"200015_s_at" 13100 17314 4328 16827
"200016_x_at" 4291 12949 4061 15105
"200017_at" 4427 7394 18450 14735
"200018_at" 4417 7375 3947 14932
"200019_s_at" 2834 4776 6632 8608
"200020_at" 21065 4514 18293 6579
"200021_at" 1977 12442 19752 11125
"200022_at" 4356 11497 5493 9072
"200023_s_at" 11273 14928 6280 15263
"200024_at" 2792 4796 6640 8485
"200025_s_at" 4416 11757 7080 14905
"200026_at" 4527 7563 19555 16803
"200027_at" 11001 12441 6907 18432
"200028_s_at" 12125 16800 6648 8505
"200029_at" 2912 11842 19140 14691
"200030_s_at" 10913 4389 3489 5717
"200031_s_at" 4409 7364 17276 11076
