"inst_1439" "inst_2122" "inst_2285" "inst_6016" "inst_7314"
"1007_s_at" 3566 5670 7193 19355 9432
"1053_at" 5884 7791 21094 4268 4225
"117_at" 20167 11708 8848 10296 8627
"121_at" 20015 4823 4835 7324 5832
"1255_g_at" 17539 13119 10622 14453 12369
"1294_at" 4398 13155 19087 21227 1044
"1316_at" 19691 14389 1036 18453 20381
"1320_at" 17313 16858 2446 1148 14920
"1405_i_at" 17966 9763 8770 13089 1465
"1431_at" 10380 1592 6666 974 16849
"1438_at" 10948 18740 20277 5135 3075
"1487_at" 19588 21248 20379 19248 20070
"1494_f_at" 19660 20286 5479 17188 11078
"1598_g_at" 19806 3107 14738 19235 17481
"160020_at" 22267 2748 3870 10587 22090
"1729_at" 19562 18135 20551 2506 21943
"1773_at" 21033 20461 18919 6817 17494
"177_at" 43 40 1013 1757 15031
"179_at" 21879 20037 5187 22274 5397
"1861_at" 7362 4412 16411 15677 8747
"200000_s_at" 3321 21078 17695 18097 20001
"200001_at" 3105 6399 16377 17822 7100
"200002_at" 5965 6596 16889 7985 8125
"200003_s_at" 19038 8956 10066 6792 18021
"200004_at" 5928 19148 17039 16506 9329
"200005_at" 4059 16999 16761 7821 7718
"200006_at" 18806 5991 14088 6331 17296
"200007_at" 4104 18434 15139 4364 17509
"200008_s_at" 1876 18444 20848 7778 18916
"200009_at" 17815 17007 19855 6195 7537
"200010_at" 2832 8789 19460 7450 6668
"200011_s_at" 1874 16841 13974 16419 5541
"200012_x_at" 5237 7322 5570 16691 18060
"200013_at" 6809 19213 13731 7490 6869
"200014_s_at" 6645 5649 7316 4879 7871
"200015_s_at" 3144 6170 7913 17673 8000
"200016_x_at" 5256 19235 9858 18650 19618
"200017_at" 18810 6473 10049 8477 7520
"200018_at" 17942 8041 9905 17435 7919
"200019_s_at" 5303 7995 7059 15483 8663
"200020_at" 4555 21873 21210 15881 6421
"200021_at" 18046 20151 9887 10864 8410
"200022_at" 6747 8254 13763 6431 19128
"200023_s_at" 19484 17962 6982 15689 18917
"200024_at" 4495 5541 14719 15871 9405
"200025_s_at" 4419 5147 13643 7906 6660
"200026_at" 18614 17848 9832 6948 8522
"200027_at" 6727 8886 15934 3395 17780
"200028_s_at" 4709 6091 7617 8678 8889
"200029_at" 3163 5072 7583 15403 19244
"200030_s_at" 6702 8882 6116 16600 18876
"200031_s_at" 6184 5855 9822 10778 18780
"200032_s_at" 18965 5822 9886 15573 5542
"200033_at" 19259 17425 15800 16414 6286
"200034_s_at" 5775 8066 15173 6367 7585
