"inst_2490" "inst_2850" "inst_4253" "inst_4835"
"1007_s_at" 22066 21553 8720 5439
"1053_at" 20102 20869 17632 21271
"117_at" 13311 10178 13710 14180
"121_at" 17521 19872 18700 16502
"1255_g_at" 6508 11288 12118 10962
"1294_at" 14134 20279 4170 5290
"1316_at" 21283 19431 2802 18778
"1320_at" 8185 2346 10338 14635
"1405_i_at" 13804 15195 13378 13485
"1431_at" 2682 17928 4056 341
"1438_at" 9223 19693 16695 22141
"1487_at" 17301 16985 1902 4425
"1494_f_at" 21778 10734 20592 16156
"1598_g_at" 8686 22138 14457 17674
"160020_at" 22174 21901 17746 20567
"1729_at" 20351 21856 5885 20806
"1773_at" 22129 21142 4211 21829
"177_at" 21782 13905 21186 15423
"179_at" 2603 8379 3779 19706
"1861_at" 21069 19149 19218 20035
"200000_s_at" 5748 6405 16646 19572
"200001_at" 14791 4991 3738 17997
"200002_at" 6226 8057 6501 6822
"200003_s_at" 8542 7594 10585 16321
"200004_at" 14140 18703 16102 15369
"200005_at" 15123 19540 15454 19654
"200006_at" 13669 6556 6480 5255
"200007_at" 17578 5980 16939 16862
"200008_s_at" 16340 16161 8018 20456
"200009_at" 13007 19110 5892 7463
"200010_at" 8543 16591 7619 17640
"200011_s_at" 16351 17476 15095 17139
"200012_x_at" 6002 16857 6524 5890
"200013_at" 14020 7057 6519 7515
"200014_s_at" 14454 5177 4067 4241
"200015_s_at" 18180 7027 6458 4793
"200016_x_at" 8467 6454 16052 16146
"200017_at" 8665 7572 10637 6771
"200018_at" 8650 7946 10634 4991
"200019_s_at" 8619 7397 8164 16451
"200020_at" 15245 20702 14491 18420
"200021_at" 14788 17795 10681 15880
"200022_at" 8561 17825 8864 7630
"200023_s_at" 14544 8166 8677 6164
"200024_at" 8623 7780 8445 4138
"200025_s_at" 8646 6408 15298 7681
"200026_at" 8791 6595 14638 6002
"200027_at" 12959 3687 7604 2656
"200028_s_at" 18545 20880 7727 17366
"200029_at" 8602 7687 15678 7887
"200030_s_at" 14647 17774 8697 15327
"200031_s_at" 8641 16588 10631 15346
