"inst_1428" "inst_2112" "inst_2275" "inst_7024"
"1007_s_at" 3016 2947 8127 6422
"1053_at" 2947 6474 8768 21030
"117_at" 18478 2543 10655 8646
"121_at" 17057 5300 19116 3211
"1255_g_at" 11806 9972 12335 13090
"1294_at" 4275 5090 7209 12574
"1316_at" 4500 13129 16598 12907
"1320_at" 13469 7853 11858 13731
"1405_i_at" 18932 12701 4560 6487
"1431_at" 7936 3736 3035 11852
"1438_at" 8790 1553 4026 12379
"1487_at" 4026 6659 7967 21360
"1494_f_at" 2073 545 15739 11610
"1598_g_at" 20696 15846 3107 22237
"160020_at" 22146 730 6283 436
"1729_at" 2800 7908 20987 2139
"1773_at" 19581 16171 9531 17861
"177_at" 27 13818 2091 8222
"179_at" 397 21578 16420 5516
"1861_at" 2612 16800 18215 20870
"200000_s_at" 18526 20265 18056 4267
"200001_at" 2050 2383 15242 15208
"200002_at" 16838 5324 16635 5994
"200003_s_at" 5659 7132 11546 6177
"200004_at" 18286 7216 7703 16262
"200005_at" 2785 16292 16718 15592
"200006_at" 17066 6441 9560 16537
"200007_at" 3767 15917 15887 18371
"200008_s_at" 494 17171 17977 17469
"200009_at" 1689 7855 15951 15879
"200010_at" 5195 17413 7679 5982
"200011_s_at" 4126 3308 9534 15683
"200012_x_at" 15951 6542 7080 5715
"200013_at" 3872 17660 16607 6171
"200014_s_at" 5272 4800 17009 16831
"200015_s_at" 18588 7225 7180 3877
"200016_x_at" 19613 18247 16514 16690
"200017_at" 17660 16080 11623 5017
"200018_at" 17761 6196 11564 6268
"200019_s_at" 5191 17396 16793 15726
"200020_at" 751 5742 17274 16661
"200021_at" 18348 5901 11593 5287
"200022_at" 19387 7707 16441 17058
"200023_s_at" 19793 16847 7438 5841
"200024_at" 5481 5690 16858 15712
"200025_s_at" 19284 6795 16236 16225
"200026_at" 2395 7632 11565 5862
"200027_at" 16002 7101 8296 15629
"200028_s_at" 4662 4768 17449 17471
"200029_at" 4887 5499 8729 17493
"200030_s_at" 4198 5167 7203 5321
"200031_s_at" 17720 15964 11652 15158
"200032_s_at" 17951 7458 11538 5172
"200033_at" 18738 17262 15810 5143
"200034_s_at" 5687 7358 15883 17130
"200035_at" 3806 7513 16395 1653
"200036_s_at" 5130 20049 16671 15258
"200037_s_at" 17511 18626 7859 6311
"200038_s_at" 17142 15928 11614 5382
"200039_s_at" 4188 7916 16216 3267
"200040_at" 16277 7437 15354 5873
"200041_s_at" 18747 7275 15897 6006
"200042_at" 3655 16102 17923 5207
"200043_at" 18702 18076 7294 16587
"200044_at" 20192 7637 16374 17489
"200045_at" 16198 5103 17055 18014
"200046_at" 2884 4407 6746 5536
"200047_s_at" 2598 18912 16096 18663
"200048_s_at" 4614 20094 16540 16354
"200049_at" 1527 3770 8068 3634
"200050_at" 2243 18014 19542 16308
"200051_at" 20073 21757 20701 20913
"200052_s_at" 5316 17801 17855 16494
"200053_at" 3153 4052 20950 21159
"200054_at" 16283 3948 8306 6003
"200055_at" 18416 6808 7070 5945
"200056_s_at" 20300 19379 7657 17747
"200057_s_at" 3334 15719 8901 4285
"200058_s_at" 3293 18523 16271 4437
"200059_s_at" 17069 4405 8129 5782
"200060_s_at" 1172 6545 18407 16561
"200061_s_at" 5324 6014 11628 16863
"200062_s_at" 16887 16197 11718 4962
"200063_s_at" 19310 16020 11512 5690
"200064_at" 1630 15878 19462 6140
"200065_s_at" 978 6244 17251 15268
"200066_at" 16492 21670 19837 5591
"200067_x_at" 18164 7137 15419 5294
"200068_s_at" 5404 5343 16904 17170
