"inst_3103" "inst_5421" "inst_6320" "inst_6480"
"1007_s_at" 17065 7327 10540 17632
"1053_at" 18905 1602 19061 6542
"117_at" 6485 17240 15739 14184
"121_at" 3338 4541 2948 7631
"1255_g_at" 8134 17723 11856 10614
"1294_at" 20275 11943 80 7813
"1316_at" 14109 5232 3171 1263
"1320_at" 8057 20583 14621 4475
"1405_i_at" 13386 10842 13150 11695
"1431_at" 18576 7939 355 1159
"1438_at" 17243 12561 19909 17245
"1487_at" 20641 892 18923 5283
"1494_f_at" 20374 18321 9894 1108
"1598_g_at" 5301 21562 1865 2083
"160020_at" 1704 20 2010 20325
"1729_at" 21344 4586 6265 4552
"1773_at" 3023 11706 7400 21709
"177_at" 1952 6900 17351 779
"179_at" 1462 11659 671 8854
"1861_at" 635 2214 4174 2242
"200000_s_at" 19196 7074 9816 8514
"200001_at" 6565 9790 10285 5713
"200002_at" 6447 9796 19722 17539
"200003_s_at" 8733 12599 20554 17576
"200004_at" 14867 9533 11252 19522
"200005_at" 14955 11291 7578 7634
"200006_at" 14899 9656 20446 10140
"200007_at" 14655 7251 8172 17939
"200008_s_at" 19781 9996 21901 21180
"200009_at" 15014 12286 9643 10311
"200010_at" 13527 11952 11179 18773
"200011_s_at" 19718 10339 2553 6106
"200012_x_at" 6530 21505 19002 9311
"200013_at" 13970 9280 20487 17423
"200014_s_at" 16897 12296 8413 9450
"200015_s_at" 15194 2541 11013 18869
"200016_x_at" 6659 11742 9511 17690
"200017_at" 8863 14658 20045 16495
"200018_at" 8848 14643 19958 17471
"200019_s_at" 5232 11752 18628 8793
"200020_at" 18466 11699 7858 6892
"200021_at" 15498 19242 14332 12476
"200022_at" 6590 11546 20644 16984
"200023_s_at" 4418 5834 11538 7855
"200024_at" 13563 12351 20501 8724
"200025_s_at" 4918 9521 19694 9972
"200026_at" 8997 11324 19741 9470
"200027_at" 15832 6726 9770 7419
"200028_s_at" 18579 6735 9960 5383
"200029_at" 15322 19907 19532 9876
"200030_s_at" 15332 12382 10412 10035
"200031_s_at" 8836 14632 19525 17431
"200032_s_at" 8868 19430 21006 16658
"200033_at" 6277 5766 11509 18190
"200034_s_at" 13313 12670 10058 16842
"200035_at" 21855 19703 18456 3049
"200036_s_at" 13482 10216 11451 16364
"200037_s_at" 13793 5519 6705 16813
"200038_s_at" 8968 19534 18957 17370
"200039_s_at" 17531 11247 9796 7587
"200040_at" 17486 6799 11622 18277
"200041_s_at" 15803 10052 10315 7864
"200042_at" 16113 6432 9325 5040
"200043_at" 5435 1199 19168 9321
"200044_at" 18958 7616 9385 16410
"200045_at" 18041 11084 8010 4615
"200046_at" 4662 6063 9900 7147
"200047_s_at" 5419 3315 7471 18244
"200048_s_at" 14730 7109 19426 17662
"200049_at" 15758 4971 5984 19550
"200050_at" 20766 9946 1156 6318
"200051_at" 13843 8805 5862 5168
"200052_s_at" 14912 7371 18615 9713
"200053_at" 3560 21068 21636 17365
"200054_at" 14088 3209 6461 7442
"200055_at" 13349 12183 7751 4982
"200056_s_at" 19492 897 4856 18842
"200057_s_at" 13430 10629 6283 9339
"200058_s_at" 19211 6655 8483 9679
"200059_s_at" 6252 5899 10205 17918
"200060_s_at" 17636 12376 6943 8385
"200061_s_at" 8833 19696 21034 9824
"200062_s_at" 8712 14549 14065 12328
"200063_s_at" 6456 19355 14238 12427
"200064_at" 19596 10864 11652 16960
"200065_s_at" 13580 11686 8573 8232
"200066_at" 14209 11110 7251 7893
"200067_x_at" 13841 8313 7108 17100
"200068_s_at" 16376 11127 7074 8005
"200069_at" 18957 5453 2566 19765
"200070_at" 3898 19640 3210 4886
"200071_at" 16775 1179 4724 17585
"200072_s_at" 19267 7986 8466 9689
"200073_s_at" 15848 9421 9312 6924
"200074_s_at" 6441 11330 19871 9957
"200075_s_at" 16735 9607 20394 7708
"200076_s_at" 15045 9137 8555 8085
"200077_s_at" 4990 10724 19033 9055
"200078_s_at" 16133 6045 4523 4420
"200079_s_at" 19622 10533 11422 9402
"200080_s_at" 4236 5404 18461 17597
"200081_s_at" 6391 11211 19538 8526
"200082_s_at" 6579 11705 19617 16736
"200083_at" 17487 6344 9332 7897
"200084_at" 13341 4347 6604 19540
"200085_s_at" 14431 10343 10365 8139
"200086_s_at" 14686 9835 11325 16798
"200087_s_at" 14539 2527 8307 8288
"200088_x_at" 8724 14559 11369 16489
"200089_s_at" 4346 9290 19845 19114
"200090_at" 16344 6042 3255 9744
"200091_s_at" 4997 10737 21380 19310
"200092_s_at" 4995 20261 19875 5811
"200093_s_at" 5656 2502 9071 16885
"200094_s_at" 15388 19317 21051 18305
"200095_x_at" 8977 14731 14315 12469
"200096_s_at" 15579 11863 7898 6694
"200097_s_at" 17475 2110 8714 17792
"200098_s_at" 17165 7718 5304 9404
"200099_s_at" 8914 14692 19575 12438
"200593_s_at" 16203 4229 9338 20886
