"inst_3121" "inst_5999" "inst_6500" "inst_7296"
"1007_s_at" 17214 5883 14671 15384
"1053_at" 15905 17398 15257 18252
"117_at" 18132 10015 11702 11176
"121_at" 4373 6010 19825 4508
"1255_g_at" 5700 12255 6620 7130
"1294_at" 20535 3066 16249 3057
"1316_at" 14604 18924 15614 294
"1320_at" 8633 17569 7137 1724
"1405_i_at" 18483 12421 7294 8661
"1431_at" 18052 2144 21670 6218
"1438_at" 6450 21577 8770 20135
"1487_at" 17590 18199 18938 19552
"1494_f_at" 12262 20669 1646 11751
"1598_g_at" 599 6377 14341 15823
"160020_at" 18700 8761 22198 17065
"1729_at" 13935 15994 2725 21585
"1773_at" 14235 2650 19738 19828
"177_at" 17452 136 4066 6530
"179_at" 2295 2239 4852 218
"1861_at" 2733 3254 17920 19679
"200000_s_at" 18576 4076 12757 3774
"200001_at" 14976 14697 2843 14060
"200002_at" 12659 14842 17280 14785
"200003_s_at" 7138 13490 5735 12893
"200004_at" 15087 15974 16658 15193
"200005_at" 5086 17454 14738 14839
"200006_at" 12927 17355 5459 14725
"200007_at" 15942 6816 17835 13003
"200008_s_at" 4183 5490 16423 20157
"200009_at" 4419 15634 13017 15196
"200010_at" 12037 5737 4645 14353
"200011_s_at" 17972 6719 4648 15523
"200012_x_at" 3616 13467 3066 3482
"200013_at" 13559 16453 13745 16359
"200014_s_at" 12656 16841 17541 15206
"200015_s_at" 17238 18235 15548 15493
"200016_x_at" 4868 14069 14588 13664
"200017_at" 7268 6984 12545 13204
"200018_at" 7255 17120 5441 12589
"200019_s_at" 13107 17182 12686 13532
"200020_at" 4859 6030 16444 18419
"200021_at" 12534 8971 7772 4216
"200022_at" 4961 6821 3748 12798
"200023_s_at" 4708 13767 16467 12723
"200024_at" 5018 16011 13050 4101
"200025_s_at" 13203 6810 15433 4292
"200026_at" 7415 20043 5689 13379
"200027_at" 12715 14773 16473 13542
"200028_s_at" 12670 2392 4413 4485
"200029_at" 4442 5168 13701 13779
"200030_s_at" 4179 6156 12820 3121
"200031_s_at" 7243 8903 12444 3951
"200032_s_at" 7273 17127 5271 3483
"200033_at" 11985 15620 15675 14154
"200034_s_at" 12853 14904 14229 12861
"200035_at" 4219 17737 1895 17372
"200036_s_at" 11969 16680 15164 13649
"200037_s_at" 12512 14605 14911 15827
"200038_s_at" 7384 16125 5750 14085
"200039_s_at" 4285 6907 13168 14522
"200040_at" 16399 15524 14804 15828
"200041_s_at" 14580 14928 13801 18707
"200042_at" 15579 5598 12688 15678
"200043_at" 17250 17160 21134 14345
"200044_at" 13839 18295 12843 13043
"200045_at" 16342 15146 5692 4484
"200046_at" 13759 16195 12788 15297
"200047_s_at" 19886 6678 16191 17656
"200048_s_at" 17210 14719 13144 4298
"200049_at" 4598 3398 20345 1205
"200050_at" 4936 14812 18550 12541
"200051_at" 20863 17215 3261 13820
"200052_s_at" 5132 15101 15886 17899
"200053_at" 12980 19008 2949 12632
"200054_at" 16074 18281 16236 16248
"200055_at" 15528 4761 13413 18736
"200056_s_at" 20221 19064 18683 15132
"200057_s_at" 16985 14187 13080 3022
"200058_s_at" 15821 16460 14928 17229
"200059_s_at" 12343 5628 16401 12860
"200060_s_at" 13180 4100 14466 19074
"200061_s_at" 7241 8902 5109 12969
"200062_s_at" 7121 8829 7572 4112
"200063_s_at" 7312 8937 12906 13452
"200064_at" 13265 16681 13837 4237
"200065_s_at" 5181 15842 13743 14636
"200066_at" 3641 17107 18135 15665
"200067_x_at" 16804 5368 18082 13994
"200068_s_at" 3173 13754 5421 14581
"200069_at" 16717 14784 18347 12531
"200070_at" 12007 20282 15387 19896
"200071_at" 12840 14794 20810 19370
"200072_s_at" 12280 6579 17616 14108
"200073_s_at" 13680 14400 16834 16890
"200074_s_at" 16774 16364 13925 14252
"200075_s_at" 16247 16791 5306 15618
"200076_s_at" 18960 7046 15975 14258
"200077_s_at" 12014 6433 5663 13876
"200078_s_at" 13652 16963 14508 15591
"200079_s_at" 15152 16411 5087 13327
"200080_s_at" 15040 6291 13183 4057
"200081_s_at" 12256 14385 13114 15778
"200082_s_at" 12357 14590 4693 15107
"200083_at" 18351 15081 14975 16258
"200084_at" 14108 6355 18712 13466
"200085_s_at" 12631 14105 12761 15677
"200086_s_at" 14840 13618 13429 15571
"200087_s_at" 4753 5028 17678 14817
"200088_x_at" 7131 8836 3264 13598
"200089_s_at" 4576 14742 14043 14688
"200090_at" 12942 13745 5556 13990
"200091_s_at" 15417 17721 15813 16885
"200092_s_at" 4557 3332 15637 14666
"200093_s_at" 16142 19043 15959 16340
"200094_s_at" 13038 13478 16627 16603
"200095_x_at" 7390 8966 7759 3546
"200096_s_at" 17539 20242 15627 13787
"200097_s_at" 4398 5722 15745 15283
"200098_s_at" 15486 13756 14231 17108
"200099_s_at" 7325 14870 13027 15621
"200593_s_at" 14765 14507 14262 18480
"200594_x_at" 14773 15234 13231 4480
"200595_s_at" 17115 17112 17681 13272
"200596_s_at" 13539 6289 21105 13645
"200597_at" 4791 2493 21497 3305
"200598_s_at" 13235 6250 13672 18498
"200599_s_at" 2309 14709 15441 3538
"200600_at" 13741 13001 8676 14846
"200601_at" 16319 2275 19760 3012
"200602_at" 20973 4746 20313 18350
"200603_at" 13905 17061 17307 17782
"200604_s_at" 3022 6410 4523 18799
"200605_s_at" 16172 4941 20060 15117
"200606_at" 8864 17100 3978 1175
"200607_s_at" 2837 6570 3212 2001
"200608_s_at" 14952 19176 16849 16333
"200609_s_at" 19244 3971 17518 15259
"200610_s_at" 13684 3310 18680 18444
"200611_s_at" 16971 4062 14031 17836
"200612_s_at" 16363 18001 20510 18135
"200613_at" 16667 15696 5020 12813
"200614_at" 13262 17674 15608 14580
"200615_s_at" 18974 15339 12692 13158
"200616_s_at" 3373 7044 3912 2023
"200617_at" 13827 5286 3809 16749
"200618_at" 17261 19843 14063 14589
"200619_at" 16549 17485 3987 18697
"200620_at" 4964 15785 13236 4100
"200621_at" 12605 18182 12487 17305
"200622_x_at" 5050 18354 3425 17060
"200623_s_at" 18319 17189 12892 14516
"200624_s_at" 5134 5934 18358 15045
"200625_s_at" 13573 17140 16656 17354
"200626_s_at" 2912 6150 15197 16899
"200627_at" 12316 15143 14224 13879
"200628_s_at" 3952 16572 5310 18916
"200629_at" 5049 17823 13559 18567
"200630_x_at" 3484 5758 5273 4497
"200631_s_at" 16162 3717 17087 14768
"200632_s_at" 15918 18798 3841 3641
"200633_at" 14226 15092 7660 4446
"200634_at" 4918 14516 16881 15899
"200635_s_at" 11523 4147 19224 12767
"200636_s_at" 9759 15479 4834 4369
"200637_s_at" 7628 18849 21619 14074
"200638_s_at" 15281 6275 16326 14469
"200639_s_at" 13977 14682 14172 15300
"200640_at" 4401 5831 13657 12665
"200641_s_at" 11993 4837 5065 2051
"200642_at" 12294 14334 15293 14765
"200643_at" 20986 4846 20294 3618
"200644_at" 5106 4034 13709 17349
"200645_at" 15812 13923 3562 13737
"200646_s_at" 20248 4975 22051 4156
"200647_x_at" 12919 13967 14095 14990
"200648_s_at" 1459 2360 12490 20312
"200649_at" 4233 3339 2435 17125
"200650_s_at" 12981 13699 15386 14282
"200651_at" 7373 13704 5415 17253
"200652_at" 4171 14691 3089 14358
"200653_s_at" 4643 19598 4642 16937
"200654_at" 12227 14733 12502 12551
"200655_s_at" 15125 16590 13956 13086
"200656_s_at" 14849 6043 14171 15121
"200657_at" 11999 13607 12828 4063
"200658_s_at" 3453 6390 14091 16929
"200659_s_at" 1571 4385 3414 12998
"200660_at" 18772 16514 4651 17295
"200661_at" 13534 6099 15571 17135
"200662_s_at" 14820 19103 15831 16382
"200663_at" 15096 16584 4201 4457
"200664_s_at" 13385 4373 16686 18244
"200665_s_at" 9781 12656 11280 19744
"200666_s_at" 12694 5102 18514 15784
"200667_at" 4430 18632 17430 3404
"200668_s_at" 13282 17512 13802 13585
"200669_s_at" 3366 6701 3729 4403
"200670_at" 14744 6144 19399 15199
"200671_s_at" 18066 21450 20672 1338
"200672_x_at" 18416 14857 19032 18585
"200673_at" 12639 13683 16402 17184
"200674_s_at" 13140 6627 13647 12616
"200675_at" 13210 14552 14918 12958
"200676_s_at" 875 21144 1948 20828
"200677_at" 5188 4239 4775 16212
"200678_x_at" 12904 14102 4655 13778
"200679_x_at" 14035 15989 13491 3178
"200680_x_at" 13170 4714 12882 2679
"200681_at" 3526 5611 14636 13138
"200682_s_at" 12073 17342 13765 13120
