"inst_3117" "inst_5091" "inst_5516" "inst_6496"
"1007_s_at" 16816 17767 13958 4646
"1053_at" 16268 5418 15626 18578
"117_at" 14365 13057 10253 11103
"121_at" 20751 3614 5303 20020
"1255_g_at" 10431 9029 9717 10200
"1294_at" 20963 21484 669 17530
"1316_at" 21209 21631 2263 19373
"1320_at" 8254 10831 3726 10674
"1405_i_at" 14119 12885 9169 11630
"1431_at" 19477 15152 1231 21640
"1438_at" 5031 19516 10225 9191
"1487_at" 14250 4330 16987 5305
"1494_f_at" 20707 10093 17215 1251
"1598_g_at" 305 3919 22264 4751
"160020_at" 5928 5106 21846 15162
"1729_at" 1217 3205 14632 17072
"1773_at" 15523 19074 21331 21593
"177_at" 5322 4750 11873 20261
"179_at" 21773 1847 1447 20136
"1861_at" 805 15111 3761 15588
"200000_s_at" 5600 4995 5721 5116
"200001_at" 19311 4461 16866 16939
"200002_at" 6283 5699 14631 13939
"200003_s_at" 9118 7601 16816 12220
"200004_at" 13772 7419 18229 14795
"200005_at" 6540 6290 18976 13580
"200006_at" 6541 4255 16675 13256
"200007_at" 14811 4780 3789 13266
"200008_s_at" 5574 18225 19254 20534
"200009_at" 5196 15449 14802 4872
"200010_at" 14857 7650 14718 13512
"200011_s_at" 16197 7565 17128 15099
"200012_x_at" 5987 8354 13396 4788
"200013_at" 14444 7954 13754 12995
"200014_s_at" 14166 6520 13703 15005
"200015_s_at" 13760 8082 20082 13224
"200016_x_at" 14540 17891 13235 13619
"200017_at" 9257 4374 4359 5146
"200018_at" 9240 15016 12790 12560
"200019_s_at" 5299 3881 18209 12754
"200020_at" 2564 7640 5735 5278
"200021_at" 14904 17983 7819 7671
"200022_at" 7142 6261 5769 4940
"200023_s_at" 4086 7080 18564 12215
"200024_at" 6529 6296 4637 13507
"200025_s_at" 16778 6288 13105 13128
"200026_at" 9410 5164 3410 15858
"200027_at" 13875 15282 15338 12889
"200028_s_at" 14656 7221 15008 5541
"200029_at" 14725 5060 5360 4454
"200030_s_at" 3981 15161 15242 12371
