"inst_336" "inst_3087" "inst_5405" "inst_6304" "inst_6464"
"1007_s_at" 7692 3030 9182 5212 14339
"1053_at" 18959 15658 5151 14589 16302
"117_at" 3600 2667 16178 12188 1090
"121_at" 5744 2142 4423 19163 3484
"1255_g_at" 2615 7995 16037 10708 8333
"1294_at" 14459 18483 21923 17 4060
"1316_at" 15966 2909 373 3525 5391
"1320_at" 19489 3971 2298 12425 8227
"1405_i_at" 9541 10313 12675 6825 12623
"1431_at" 588 16815 269 1838 3801
"1438_at" 18180 12965 20397 1272 13882
"1487_at" 3483 21924 5808 19368 14228
"1494_f_at" 2550 2306 13644 21997 20061
"1598_g_at" 3614 21659 18285 20833 14560
"160020_at" 7162 1378 5475 16334 2054
"1729_at" 18738 19092 19409 19741 16099
"1773_at" 14220 2209 10011 16875 21110
"177_at" 19288 10874 13572 8349 1706
"179_at" 3264 22071 155 408 22161
"1861_at" 3373 15331 4705 2579 5486
"200000_s_at" 16759 15954 17871 15767 18616
"200001_at" 5121 16396 8760 4953 13754
"200002_at" 15971 10767 8270 13757 13510
"200003_s_at" 12395 5502 11072 3963 7065
"200004_at" 14404 14772 6155 13432 16644
"200005_at" 16422 14911 9749 4138 6092
"200006_at" 6076 12626 9613 4701 6912
"200007_at" 16340 16203 10371 15913 17982
"200008_s_at" 12714 20634 10216 14529 13456
"200009_at" 14480 12296 10188 16430 15379
"200010_at" 3313 10419 9353 14537 15859
"200011_s_at" 15638 16606 8655 15741 16583
"200012_x_at" 6937 10612 20941 13756 5078
"200013_at" 14976 12010 9433 15188 15327
"200014_s_at" 12259 14497 5978 17141 13573
"200015_s_at" 15020 17419 4268 5428 18076
"200016_x_at" 7572 3355 11091 14228 13411
"200017_at" 12396 5637 13206 5035 13993
"200018_at" 13243 5624 13190 4435 14036
"200019_s_at" 15444 10355 9534 5221 7071
"200020_at" 14094 16115 9992 14970 13782
"200021_at" 6912 2742 17873 8078 13084
"200022_at" 6406 2882 18940 15149 6084
"200023_s_at" 7464 3099 5410 15095 13218
"200024_at" 5870 3418 10830 4848 14262
"200025_s_at" 13821 2862 9072 14118 14529
"200026_at" 20088 5774 10016 12951 15226
"200027_at" 16156 12266 9713 15194 16417
"200028_s_at" 18300 12598 6092 15280 16399
"200029_at" 5940 11153 18265 5227 13515
"200030_s_at" 12213 12400 10114 4653 13228
"200031_s_at" 13268 5611 13180 13036 15080
"200032_s_at" 5303 5642 13207 3428 6790
"200033_at" 12243 11095 2904 3939 14156
"200034_s_at" 17381 3090 10937 18422 14155
"200035_at" 2582 12610 18737 20115 4161
"200036_s_at" 12535 12636 10875 13211 14717
"200037_s_at" 12219 12128 4438 4784 14653
"200038_s_at" 8025 5751 18436 14100 7177
"200039_s_at" 12435 17470 17987 14154 16491
"200040_at" 16869 13435 6835 13556 15509
"200041_s_at" 13175 18621 8786 13847 6469
"200042_at" 7622 16250 8971 19667 5560
"200043_at" 17936 14966 7210 3451 16768
"200044_at" 6992 16347 8723 13456 14763
"200045_at" 4079 15295 7836 18958 5060
"200046_at" 5811 16421 6921 13781 15437
"200047_s_at" 17299 12442 4131 2147 15207
"200048_s_at" 16987 12427 6641 5294 13656
"200049_at" 17721 14547 4525 19051 19523
"200050_at" 15549 11838 4527 14597 13836
"200051_at" 14458 20969 4558 14488 20136
"200052_s_at" 8175 16444 6256 14897 5608
"200053_at" 16577 19203 8685 3890 19799
"200054_at" 15331 20296 4733 15138 18638
"200055_at" 5022 12877 18542 15754 13348
"200056_s_at" 21446 2522 2930 16051 17698
"200057_s_at" 7685 10818 10824 13131 14370
"200058_s_at" 19689 13781 8552 15250 14571
"200059_s_at" 19913 11929 8854 14181 14131
"200060_s_at" 15234 19570 8036 17889 14068
"200061_s_at" 12366 5608 18191 15068 13861
"200062_s_at" 12325 5479 13096 7749 8952
"200063_s_at" 17857 3401 13231 7950 9049
"200064_at" 16810 15262 8410 13266 6907
"200065_s_at" 12309 16439 9875 16431 15135
"200066_at" 16519 12558 20169 18509 16792
"200067_x_at" 4759 14067 9183 13221 17096
"200068_s_at" 17405 12158 7787 15916 6756
"200069_at" 21627 16715 2637 16477 3701
"200070_at" 21231 13880 9276 4823 14142
"200071_at" 16831 15571 2430 19556 17412
"200072_s_at" 18290 18326 6567 16484 16504
"200073_s_at" 17074 16687 7689 15445 17811
"200074_s_at" 7823 10279 6737 13452 14807
"200075_s_at" 7268 18160 8377 14911 15787
"200076_s_at" 14111 15953 18170 4069 20362
"200077_s_at" 13112 3201 9762 4054 15163
"200078_s_at" 4036 15608 2610 14493 4205
"200079_s_at" 16741 15214 10451 13287 5968
"200080_s_at" 19402 2206 8510 13918 15825
"200081_s_at" 5715 10773 10872 17267 15112
"200082_s_at" 13101 3260 18682 14089 13260
"200083_at" 18796 12327 9701 15785 13211
"200084_at" 7423 13512 4493 17333 15858
"200085_s_at" 12415 17777 10782 14782 13745
"200086_s_at" 16050 14088 9054 13923 15107
"200087_s_at" 14990 13499 1406 14129 13808
"200088_x_at" 6459 5493 13107 4537 6232
"200089_s_at" 12770 3128 8699 13117 15357
"200090_at" 19031 18159 20042 2930 5535
"200091_s_at" 15279 11947 10959 13841 16291
"200092_s_at" 6071 2708 18735 16488 5084
"200093_s_at" 16289 17893 8840 16298 16918
"200094_s_at" 16456 12398 10460 16147 15347
"200095_x_at" 5861 5756 13284 8058 9085
"200096_s_at" 16529 20057 3881 14338 15356
"200097_s_at" 16760 11973 1344 3755 15071
"200098_s_at" 15881 16629 6612 14592 15830
"200099_s_at" 13388 5693 13238 3461 9057
"200593_s_at" 18422 12986 8582 4558 19974
"200594_x_at" 7234 11721 4825 13983 13097
"200595_s_at" 14102 14836 4005 16012 14487
"200596_s_at" 19707 13559 18734 15712 17508
"200597_at" 13520 3376 7458 21631 17334
"200598_s_at" 14727 17428 10928 4141 14742
"200599_s_at" 13309 2348 3198 5298 13318
"200600_at" 9385 14472 845 20149 4284
"200601_at" 18217 13022 959 18331 20131
"200602_at" 18535 14209 520 14150 14759
"200603_at" 18618 3285 4235 15578 17616
"200604_s_at" 13330 12237 4987 20515 17629
"200605_s_at" 17433 17231 9206 15876 20169
"200606_at" 20019 1962 3914 2748 6174
"200607_s_at" 17094 15743 18566 5048 5071
"200608_s_at" 16135 11799 5040 3880 15400
"200609_s_at" 12244 13422 6658 16677 7021
"200610_s_at" 14894 18131 7507 14088 6422
"200611_s_at" 5960 20161 7364 17981 5849
"200612_s_at" 20303 17716 21372 20945 20522
"200613_at" 14407 20159 8705 15525 5351
"200614_at" 14773 14222 17973 13870 17379
"200615_s_at" 6412 18963 17991 18904 1911
"200616_s_at" 6009 10795 19055 12904 13338
"200617_at" 17106 14655 6448 17601 18717
"200618_at" 12576 2839 3178 16002 15770
"200619_at" 20477 14404 20434 16444 6567
"200620_at" 16879 15897 8255 2386 17578
"200621_at" 7111 14965 7785 2666 6489
"200622_x_at" 4746 12831 19576 15667 13712
"200623_s_at" 4743 20964 19786 16958 19205
"200624_s_at" 17172 20243 6213 15436 17486
"200625_s_at" 6443 16543 5965 16292 3629
"200626_s_at" 6778 13287 2487 3996 15374
"200627_at" 6960 11168 18110 4477 15002
"200628_s_at" 13490 11133 1319 5322 16672
"200629_at" 15678 3454 4657 16957 6083
"200630_x_at" 5218 11826 7323 5056 4397
"200631_s_at" 16251 14519 8592 13880 13310
"200632_s_at" 18409 3432 18271 19399 3363
"200633_at" 7376 11161 13178 7867 9014
"200634_at" 3367 16607 7172 15869 16026
"200635_s_at" 19558 7096 20433 20619 14663
"200636_s_at" 14729 7811 19938 16069 20059
"200637_s_at" 4403 5641 18718 16377 3541
"200638_s_at" 14523 15883 8015 4702 16512
"200639_s_at" 14426 18322 8136 14615 19592
"200640_at" 12486 13789 8285 14755 13590
"200641_s_at" 7008 12901 18067 13837 13977
"200642_at" 16096 16737 18858 16272 16634
"200643_at" 4488 11999 3699 17574 19203
"200644_at" 8147 15463 6941 17082 16798
"200645_at" 14195 11192 8254 16738 6237
"200646_s_at" 7953 20079 19971 18736 22038
"200647_x_at" 15980 13397 17838 19527 16709
"200648_s_at" 6669 17025 4397 5374 6132
"200649_at" 13756 22221 21546 15168 15573
"200650_s_at" 6137 2514 7790 12880 13946
"200651_at" 6068 3351 8784 13388 6992
"200652_at" 14227 18438 5100 16584 3970
"200653_s_at" 16344 13905 936 13951 4401
"200654_at" 7110 13017 6889 13532 6831
"200655_s_at" 7889 14066 7618 14432 13909
"200656_s_at" 13322 13641 5246 18261 18102
"200657_at" 14436 10499 10078 13466 13571
"200658_s_at" 7312 20362 9683 14898 15975
"200659_s_at" 18599 1880 4798 5553 5324
