"inst_2459" "inst_3320" "inst_5321" "inst_6721"
"1007_s_at" 12836 5208 4061 14982
"1053_at" 1443 3953 5132 20130
"117_at" 8163 14470 16415 13946
"121_at" 6118 4497 1533 3466
"1255_g_at" 16971 10422 13880 11325
"1294_at" 9073 477 1374 1316
"1316_at" 2981 3466 1766 3705
"1320_at" 14805 10767 9242 19320
"1405_i_at" 10635 1042 9840 19053
"1431_at" 20112 1930 1413 21133
"1438_at" 17036 20885 17865 22132
"1487_at" 2214 18638 2412 4486
"1494_f_at" 6056 3718 11238 609
"1598_g_at" 9814 21654 20049 19814
"160020_at" 11933 21540 1762 16085
"1729_at" 9238 6487 6734 15551
"1773_at" 3069 21294 533 21169
"177_at" 554 12273 13653 15024
"179_at" 5885 21164 2850 6289
"1861_at" 22166 20757 6556 8972
"200000_s_at" 11949 7590 5281 20691
"200001_at" 5256 17492 19124 20092
"200002_at" 11820 17254 7744 17025
"200003_s_at" 15387 11858 6973 14888
"200004_at" 9174 16505 3341 8913
"200005_at" 9088 17097 7485 18589
"200006_at" 12174 8602 17692 7401
"200007_at" 9787 4225 19750 5776
"200008_s_at" 1910 20971 20928 22028
"200009_at" 10190 19302 20054 16867
"200010_at" 12760 19073 18271 21974
"200011_s_at" 8547 16559 6914 17328
"200012_x_at" 20769 6962 19997 7857
"200013_at" 10952 16597 7650 16091
"200014_s_at" 13057 17210 4377 4412
"200015_s_at" 10207 16251 1834 4364
"200016_x_at" 15279 16118 7644 6252
"200017_at" 15540 12014 5419 8330
"200018_at" 15528 11998 3047 9131
"200019_s_at" 15485 7217 8244 17098
"200020_at" 8474 18859 18022 8650
"200021_at" 20499 12168 19251 10784
"200022_at" 15410 11888 20497 20412
"200023_s_at" 11041 6842 8117 8536
"200024_at" 19799 7632 8573 16082
"200025_s_at" 15525 11996 4678 4745
"200026_at" 15714 12172 4799 6446
"200027_at" 13134 18102 18679 1720
"200028_s_at" 10118 17505 7163 8523
"200029_at" 15460 8979 20273 15871
"200030_s_at" 11607 16959 7723 17474
"200031_s_at" 15518 11984 18393 10723
"200032_s_at" 15541 12019 7551 5880
"200033_at" 8773 16163 1330 6636
"200034_s_at" 12166 16609 19789 19839
"200035_at" 4119 6337 684 8507
"200036_s_at" 20125 5487 8387 7693
"200037_s_at" 10865 19008 3687 3368
"200038_s_at" 15681 12137 7224 18332
"200039_s_at" 12075 8948 7414 16430
"200040_at" 9495 15950 6827 5061
"200041_s_at" 11199 19373 18460 21089
"200042_at" 7849 15955 8056 15626
"200043_at" 9002 17320 6958 16594
"200044_at" 5172 19281 4091 15227
"200045_at" 9643 8161 7151 8784
"200046_at" 7942 6379 4539 17195
"200047_s_at" 12577 16968 5379 2633
"200048_s_at" 10189 17065 4886 5779
"200049_at" 10583 17005 5806 16054
"200050_at" 6489 21919 3390 4446
"200051_at" 4193 16607 8526 15443
"200052_s_at" 4199 7645 19808 20489
"200053_at" 4147 20933 19291 20829
"200054_at" 11875 8875 6974 14895
"200055_at" 10226 6184 6856 15272
"200056_s_at" 8454 17144 3194 1337
"200057_s_at" 13025 8687 18749 6322
"200058_s_at" 7741 7178 7082 14597
"200059_s_at" 11733 7452 19049 17797
"200060_s_at" 10517 17121 7659 19346
"200061_s_at" 15516 11982 21299 10722
"200062_s_at" 15362 11839 6376 10670
"200063_s_at" 15588 12059 18690 10749
"200064_at" 6439 18541 20793 20771
"200065_s_at" 10008 18136 19722 20566
"200066_at" 9733 18554 7904 20557
"200067_x_at" 12227 16574 8174 3302
"200068_s_at" 12285 8641 18993 5617
"200069_at" 7353 9328 18825 2389
"200070_at" 2743 2791 3805 16327
"200071_at" 9808 20817 6691 3301
"200072_s_at" 4538 20040 18116 18908
"200073_s_at" 5407 6917 4233 5486
"200074_s_at" 12438 8544 2176 17455
"200075_s_at" 3429 5710 8036 16916
"200076_s_at" 5382 20525 20385 19373
"200077_s_at" 20903 18400 4575 14442
"200078_s_at" 8226 7035 2673 16882
"200079_s_at" 6031 19268 18546 14993
"200080_s_at" 11414 16543 3859 7321
"200081_s_at" 12876 19854 18189 20994
"200082_s_at" 15571 16374 20229 20421
"200083_at" 9781 19516 3639 6197
"200084_at" 9165 7724 18198 6868
"200085_s_at" 10303 16526 18770 17775
"200086_s_at" 11592 7441 20620 7364
"200087_s_at" 5632 19314 3160 7212
"200088_x_at" 15378 11852 7942 17274
"200089_s_at" 12807 15862 17920 7500
"200090_at" 19933 4675 18876 1722
"200091_s_at" 11708 6432 4751 15101
"200092_s_at" 15602 8893 5476 6965
"200093_s_at" 10938 5712 4460 6934
"200094_s_at" 12641 16361 18660 7902
"200095_x_at" 15690 12149 5289 10776
"200096_s_at" 4853 16859 20734 20032
"200097_s_at" 8746 18682 4427 6820
"200098_s_at" 11914 6739 19629 6140
"200099_s_at" 15608 12075 7573 15012
"200593_s_at" 5523 8508 6227 9034
"200594_x_at" 7202 19181 7561 8422
"200595_s_at" 5049 18179 2196 6378
"200596_s_at" 6471 19885 5433 17462
"200597_at" 6635 21118 725 1168
"200598_s_at" 8447 20526 6358 6334
"200599_s_at" 3246 17801 17900 16715
"200600_at" 6872 14232 10642 21216
"200601_at" 9393 17021 18941 8889
"200602_at" 11940 5407 7948 3127
"200603_at" 5918 5990 2638 5026
"200604_s_at" 1203 19591 3043 20974
"200605_s_at" 4919 16073 7133 8289
"200606_at" 11545 7630 6234 773
"200607_s_at" 6147 8482 19944 14830
"200608_s_at" 4959 6017 4359 6275
"200609_s_at" 12397 6709 7871 15190
"200610_s_at" 8380 6084 18508 15474
"200611_s_at" 4224 6762 7759 18281
"200612_s_at" 20283 20108 5991 22085
"200613_at" 8189 19396 6762 20672
"200614_at" 12636 17503 20628 8879
"200615_s_at" 8400 4207 21391 19389
"200616_s_at" 11543 18995 7246 7138
"200617_at" 6995 6374 18432 18350
"200618_at" 6505 20054 2921 17040
"200619_at" 20660 18737 18397 18507
"200620_at" 9343 7882 18335 19608
"200621_at" 9815 16249 4029 15753
"200622_x_at" 6585 8090 17677 7123
"200623_s_at" 22159 6731 18571 8108
"200624_s_at" 3422 20455 1967 18160
"200625_s_at" 19851 16897 4841 19032
"200626_s_at" 12388 21163 3003 15857
"200627_at" 9695 18294 6852 17329
"200628_s_at" 1876 9028 20222 21504
"200629_at" 2762 20438 18553 18246
"200630_x_at" 19934 16690 5221 4199
"200631_s_at" 12145 17151 17782 6666
"200632_s_at" 12927 3856 3170 20510
"200633_at" 20163 11981 18513 10721
"200634_at" 11831 16631 6099 22082
"200635_s_at" 17337 3654 18535 4243
"200636_s_at" 738 4032 6257 3720
"200637_s_at" 14067 9159 3031 21436
"200638_s_at" 4309 17911 7344 16332
"200639_s_at" 11329 6980 8051 8256
"200640_at" 8627 17531 20289 18144
"200641_s_at" 1512 20258 20595 20109
"200642_at" 9580 5543 19476 18362
"200643_at" 11255 5222 2253 20069
"200644_at" 6289 8003 7315 15792
"200645_at" 9509 20927 2428 16673
"200646_s_at" 21175 4881 21612 21337
"200647_x_at" 11381 8716 18764 16483
"200648_s_at" 1576 16410 20257 21722
"200649_at" 11049 2155 20672 21818
"200650_s_at" 13043 17730 19954 10650
"200651_at" 15666 17577 19224 20547
"200652_at" 8648 18035 19710 20750
"200653_s_at" 8030 20342 3072 17532
"200654_at" 9625 17030 5097 18295
"200655_s_at" 12440 16541 6261 5380
"200656_s_at" 2683 16961 4675 21489
"200657_at" 12670 18128 18931 14581
"200658_s_at" 3002 21061 5869 20921
"200659_s_at" 8449 20522 22100 21749
"200660_at" 6951 6656 6136 20241
"200661_at" 7610 20127 6297 20944
"200662_s_at" 12245 18799 5434 5329
"200663_at" 8000 20669 3878 16559
"200664_s_at" 20553 17264 20523 18763
"200665_s_at" 17290 11024 15338 7395
"200666_s_at" 11364 18976 17970 15964
"200667_at" 19924 16921 18554 6969
"200668_s_at" 10060 18556 7426 7501
"200669_s_at" 5453 16356 7241 15642
"200670_at" 5457 18073 1836 8431
"200671_s_at" 19636 435 20143 19334
"200672_x_at" 5803 6667 8543 16359
"200673_at" 7467 17354 3912 7797
"200674_s_at" 20234 16454 20683 9145
"200675_at" 7380 17258 2452 19628
"200676_s_at" 2086 20013 21952 22196
"200677_at" 5290 16463 6967 5982
"200678_x_at" 6214 6915 7553 18588
"200679_x_at" 5624 8514 19826 16540
"200680_x_at" 13173 12157 18197 7779
"200681_at" 12910 18709 6817 8824
"200682_s_at" 6645 18867 5035 20808
"200683_s_at" 2585 21148 3252 19097
