"inst_2391" "inst_6003" "inst_7300" "inst_7422"
"1007_s_at" 4731 1849 16247 5909
"1053_at" 16353 16325 18756 5186
"117_at" 1976 6648 12577 13549
"121_at" 1635 20788 4609 18828
"1255_g_at" 11651 7342 7963 9834
"1294_at" 4047 5453 11927 13955
"1316_at" 21916 1702 3231 15094
"1320_at" 9663 16000 4759 6754
"1405_i_at" 9080 555 6539 11689
"1431_at" 1509 667 6499 7457
"1438_at" 9528 1770 22148 318
"1487_at" 5691 3558 18618 18545
"1494_f_at" 20012 21166 12714 2411
"1598_g_at" 453 19215 5010 5043
"160020_at" 21846 8068 21101 12644
"1729_at" 21260 16178 3495 21595
"1773_at" 17820 21387 4127 976
"177_at" 2423 3473 301 13016
"179_at" 4873 4962 21351 1458
"1861_at" 325 17953 13995 2628
"200000_s_at" 16679 16750 15512 5993
"200001_at" 8898 13096 15791 16023
"200002_at" 5857 13939 13867 16743
"200003_s_at" 11501 5879 3479 5460
"200004_at" 17271 15174 16463 17375
"200005_at" 17973 15158 14346 16645
"200006_at" 5338 14641 16784 18372
"200007_at" 18724 15587 13720 15594
"200008_s_at" 5294 14751 20090 16770
"200009_at" 7278 6143 16292 6588
"200010_at" 8402 13274 3516 16005
"200011_s_at" 7088 6111 16406 6085
"200012_x_at" 9068 4507 4832 6590
"200013_at" 6996 16732 16027 16750
"200014_s_at" 7441 17697 15917 5625
"200015_s_at" 8501 15923 18315 19178
"200016_x_at" 8692 15730 4300 5257
"200017_at" 11549 14139 14358 16395
"200018_at" 11532 6127 13780 6181
"200019_s_at" 16943 13279 13511 5307
"200020_at" 20586 14173 19090 15807
"200021_at" 20307 8486 14487 6186
"200022_at" 7951 5610 15721 4241
"200023_s_at" 6984 13362 14753 5830
"200024_at" 18469 15359 13173 5874
"200025_s_at" 7389 14406 15254 17171
"200026_at" 11467 13483 14654 4819
"200027_at" 7576 14290 4398 15911
"200028_s_at" 8417 17174 13946 15927
"200029_at" 11474 4592 14376 5980
"200030_s_at" 16782 6353 13667 4700
"200031_s_at" 11547 13215 13872 16403
"200032_s_at" 11433 4898 14219 5371
"200033_at" 5306 12960 16468 18631
"200034_s_at" 5583 15196 13766 18296
"200035_at" 21634 2937 2551 1967
"200036_s_at" 6191 15903 14012 6579
"200037_s_at" 9085 15512 17489 17082
"200038_s_at" 11647 13866 14621 16127
"200039_s_at" 8868 6326 17770 5316
"200040_at" 8160 15297 14829 16682
"200041_s_at" 8446 13629 14147 18183
"200042_at" 6371 14093 14185 3242
"200043_at" 8335 15641 15156 18284
"200044_at" 4391 13918 16912 17611
"200045_at" 8925 15817 15379 15627
"200046_at" 16509 5234 16387 5803
"200047_s_at" 7329 3826 16551 6665
"200048_s_at" 6447 16135 5132 17962
"200049_at" 5747 15001 17313 19162
"200050_at" 17811 18565 13992 18744
"200051_at" 21676 21350 13148 4096
"200052_s_at" 9277 14815 16368 18494
"200053_at" 6101 15224 17936 19839
"200054_at" 18222 16373 16701 5357
"200055_at" 8529 13014 15411 17324
"200056_s_at" 7295 19711 20846 17593
"200057_s_at" 8173 6409 16280 16630
"200058_s_at" 17937 16380 17021 19226
"200059_s_at" 3831 14827 14992 16428
"200060_s_at" 19029 18893 15816 18872
"200061_s_at" 11615 8396 4914 16695
"200062_s_at" 11533 8328 4822 5296
"200063_s_at" 11456 15386 15421 19276
"200064_at" 18283 14897 16527 6711
"200065_s_at" 9076 5032 15054 5842
"200066_at" 8915 18141 17361 2415
"200067_x_at" 4634 4242 13818 18215
"200068_s_at" 16425 4642 3204 16326
"200069_at" 18438 20616 17490 6731
"200070_at" 8183 21849 16734 17154
"200071_at" 17352 16156 17138 5551
"200072_s_at" 19565 13418 16314 6269
"200073_s_at" 18162 20580 16396 17871
"200074_s_at" 16649 6202 14397 6594
"200075_s_at" 8222 5857 14337 15804
"200076_s_at" 19239 16654 17723 16783
"200077_s_at" 8541 12901 15295 6737
"200078_s_at" 16869 6368 3601 16592
"200079_s_at" 6578 14241 13155 6360
"200080_s_at" 7078 6248 13545 19506
"200081_s_at" 8099 6581 15748 5300
