"inst_2467" "inst_2828" "inst_4951" "inst_6606"
"1007_s_at" 14395 1841 18493 16480
"1053_at" 10530 19022 21069 21133
"117_at" 10831 12745 8031 977
"121_at" 21181 14144 10300 2208
"1255_g_at" 3323 8429 5365 8057
"1294_at" 14683 813 348 16281
"1316_at" 21110 18195 1323 3499
"1320_at" 6751 9108 5220 13043
"1405_i_at" 13244 12468 7845 7218
"1431_at" 12098 15989 9643 1493
"1438_at" 5975 17257 12335 22012
"1487_at" 21720 5121 19900 16069
"1494_f_at" 20668 2106 1741 12718
"1598_g_at" 1923 1458 10925 15520
"160020_at" 19658 21679 1643 11349
"1729_at" 18092 14600 15070 16333
"1773_at" 22234 22015 14709 21998
"177_at" 21564 9410 7461 1962
"179_at" 15475 16853 11038 11535
"1861_at" 21222 21103 20285 20068
"200000_s_at" 12136 4063 21059 19122
"200001_at" 15446 16457 20203 18673
"200002_at" 10769 16246 12160 14079
"200003_s_at" 5073 5068 10414 14194
"200004_at" 13600 4046 13411 13799
"200005_at" 11969 14829 17009 17514
"200006_at" 12774 14243 13861 11943
"200007_at" 16395 13991 11617 5719
"200008_s_at" 20280 16514 21394 20490
"200009_at" 11954 5532 13356 13781
"200010_at" 5075 16734 17686 19599
"200011_s_at" 14470 5206 20222 14157
"200012_x_at" 2185 16313 1064 4649
"200013_at" 11637 14722 11991 15270
"200014_s_at" 11083 14227 13721 5147
"200015_s_at" 17461 14266 14963 4900
"200016_x_at" 4991 13604 9602 4021
"200017_at" 5207 15107 9656 4554
"200018_at" 5191 14055 10531 13932
"200019_s_at" 5157 16229 15053 14295
"200020_at" 13422 4348 14662 11753
"200021_at" 2502 5347 1720 7513
"200022_at" 5093 14604 11543 16782
"200023_s_at" 13175 15160 18443 4637
"200024_at" 5160 15181 15027 12912
"200025_s_at" 5186 13775 1921 4024
"200026_at" 5343 15885 853 4677
"200027_at" 10987 15209 13427 3952
"200028_s_at" 14145 4623 15046 4348
"200029_at" 5139 15539 2117 2999
"200030_s_at" 3025 14857 11438 14730
"200031_s_at" 5179 15331 1969 7426
"200032_s_at" 5210 15382 1672 3753
"200033_at" 13115 16786 10889 5726
"200034_s_at" 10583 15087 10792 15622
"200035_at" 20692 1807 10038 20107
"200036_s_at" 10923 17012 14530 4958
"200037_s_at" 11035 15671 9548 4035
"200038_s_at" 5316 13607 9839 14162
"200039_s_at" 10919 5266 17827 14622
"200040_at" 13124 3854 12437 13579
"200041_s_at" 12108 4230 18435 17680
"200042_at" 3005 15748 13565 16187
"200043_at" 17797 14525 19529 12091
"200044_at" 18404 18720 14825 14941
"200045_at" 11839 5451 15950 20137
"200046_at" 14639 17908 18962 14370
"200047_s_at" 14211 3311 11724 2695
"200048_s_at" 15083 15628 9847 3741
"200049_at" 12740 17030 21137 14804
"200050_at" 10553 14107 10696 13945
"200051_at" 14048 19906 19623 18740
"200052_s_at" 13034 16641 17393 16653
"200053_at" 16902 1376 18966 21935
"200054_at" 18766 5376 19123 16146
"200055_at" 9909 5010 18477 13703
"200056_s_at" 18310 17796 14602 4504
"200057_s_at" 12417 5503 11553 4645
"200058_s_at" 16606 4790 13877 17908
"200059_s_at" 14636 5577 15232 12107
