"inst_6383" "inst_6388" "inst_6415" "inst_6420" "inst_6905"
"1007_s_at" 13485 12529 10347 13514 18992
"1053_at" 5725 10429 12646 9455 17962
"117_at" 9251 1348 6738 16930 10117
"121_at" 19398 3185 21336 5994 21384
"1255_g_at" 6056 5476 6210 18348 14783
"1294_at" 3083 15055 8724 16400 4239
"1316_at" 3898 2192 9568 148 20758
"1320_at" 597 22073 20064 19590 13048
"1405_i_at" 17834 8224 21313 17596 10614
"1431_at" 18035 14431 16352 2206 10123
"1438_at" 4895 16174 16961 1290 21339
"1487_at" 14765 14270 16809 6552 1507
"1494_f_at" 19166 13727 22193 21257 6659
"1598_g_at" 20399 10561 10360 13991 3269
"160020_at" 777 9055 11247 6074 3377
"1729_at" 17991 19500 18520 8871 19261
"1773_at" 665 10445 11988 1404 19728
"177_at" 22081 5361 1036 3019 13409
"179_at" 11111 18996 17831 10154 20245
"1861_at" 3653 11705 12011 13439 20296
"200000_s_at" 12416 15649 11693 5512 21883
"200001_at" 5632 16324 11199 7425 21858
"200002_at" 11653 3456 4403 11754 16063
"200003_s_at" 7707 6018 6346 13353 17875
"200004_at" 10131 8946 8867 11086 5769
"200005_at" 13595 12166 9432 8754 15972
"200006_at" 5585 9765 6573 11166 6569
"200007_at" 17565 10984 15185 13467 2876
"200008_s_at" 4982 17399 4438 2216 22267
"200009_at" 10723 9890 9598 11883 18707
"200010_at" 7709 10796 6349 8349 16874
"200011_s_at" 13313 9508 12586 7235 19016
"200012_x_at" 4321 2741 4311 20809 6697
"200013_at" 7611 5873 6265 13455 15655
"200014_s_at" 10445 14690 9897 5357 5533
"200015_s_at" 10700 12981 14251 9168 2175
"200016_x_at" 7608 5871 6262 20049 4321
"200017_at" 7848 6220 6471 20067 5702
"200018_at" 7831 6199 6463 14185 4210
"200019_s_at" 7794 6143 6428 20120 2280
"200020_at" 13731 16411 18245 21004 2993
"200021_at" 8013 6433 6599 6875 4168
"200022_at" 7730 9085 6370 10062 19364
"200023_s_at" 13575 12134 12547 13094 16038
"200024_at" 7796 6149 6431 14296 16879
"200025_s_at" 7829 3174 6462 13710 4532
"200026_at" 8021 6439 6603 20147 4930
"200027_at" 13899 15408 10050 9254 3142
"200028_s_at" 11706 17547 16014 12450 2736
"200029_at" 7779 2957 6414 20984 7115
"200030_s_at" 12239 9634 9165 20820 16766
"200031_s_at" 7820 6181 6451 17702 3591
"200032_s_at" 7852 6226 6475 13950 6552
"200033_at" 5432 11247 10573 10405 5719
"200034_s_at" 7715 3056 6355 20337 5365
"200035_at" 2768 10735 16189 11795 5650
"200036_s_at" 7694 3752 6334 13235 16881
"200037_s_at" 4802 11109 10997 8635 3544
"200038_s_at" 7981 9919 6574 12509 16198
"200039_s_at" 11703 15536 3818 9538 18580
"200040_at" 10661 10033 13480 11744 4047
"200041_s_at" 11575 15594 10203 5492 20628
"200042_at" 12683 11712 9170 10459 6342
"200043_at" 4620 10997 10263 13046 141
"200044_at" 12003 12150 10527 11423 4268
"200045_at" 13005 11127 12578 8621 20223
"200046_at" 18024 14987 17920 9031 18798
"200047_s_at" 12613 15415 15067 10337 17934
"200048_s_at" 5869 15290 9722 10559 17908
"200049_at" 11131 17536 13784 11161 15211
"200050_at" 2026 9563 4196 3939 1392
"200051_at" 10105 9856 12722 10583 2343
"200052_s_at" 11658 18331 11379 5007 19851
"200053_at" 5774 12778 17520 12070 19849
"200054_at" 17495 15385 12811 7151 5647
"200055_at" 18031 18126 10585 13470 19257
"200056_s_at" 16851 16808 9146 7838 1692
"200057_s_at" 12059 12433 8986 11902 5866
"200058_s_at" 12330 13141 15035 9666 16182
"200059_s_at" 11370 9981 10450 11789 19991
"200060_s_at" 17467 15320 15357 10602 1245
"200061_s_at" 7818 6178 6448 20068 15165
"200062_s_at" 7688 5992 6329 17508 15717
"200063_s_at" 7893 6292 6509 21050 15496
"200064_at" 11894 9594 8993 10775 19856
"200065_s_at" 5781 10152 9445 12142 18586
"200066_at" 13002 3409 10117 7411 3090
"200067_x_at" 16940 17117 11958 9781 6923
"200068_s_at" 14362 12993 13924 13930 1131
"200069_at" 15843 14112 17059 3948 5168
"200070_at" 5807 14356 15497 21823 2754
"200071_at" 17803 21301 19851 9827 2504
"200072_s_at" 11880 14562 11166 7300 3491
"200073_s_at" 11244 9480 9182 7521 4920
"200074_s_at" 10195 2973 10941 13456 15750
"200075_s_at" 5814 12128 10213 8726 18098
"200076_s_at" 17146 11503 9174 9569 16842
"200077_s_at" 4431 3319 4327 13101 15844
"200078_s_at" 16365 16171 16454 13799 4068
"200079_s_at" 10643 15355 3713 3889 17415
"200080_s_at" 4694 2634 4428 14375 3145
"200081_s_at" 11014 8842 4022 13016 6375
"200082_s_at" 7878 6270 6501 13758 16245
"200083_at" 15964 10515 17913 8412 17245
"200084_at" 15450 14946 12815 8898 3427
"200085_s_at" 10126 10985 12275 10714 7176
"200086_s_at" 5511 10603 11552 12387 5019
"200087_s_at" 11307 11304 10712 11012 1637
"200088_x_at" 7703 6009 6342 20925 15425
"200089_s_at" 5514 10211 9009 12207 15083
"200090_at" 13283 18692 12745 10979 2498
"200091_s_at" 5197 2752 3766 14252 4359
"200092_s_at" 7909 3716 6517 21079 5439
"200093_s_at" 10082 10174 10451 13097 3967
"200094_s_at" 5045 9352 8622 9541 17331
"200095_x_at" 7995 6404 6586 20842 5321
"200096_s_at" 14216 13982 10664 5358 19470
"200097_s_at" 3640 12933 3705 6938 2458
"200098_s_at" 12945 18627 14136 6361 5152
"200099_s_at" 7917 6315 6520 14377 15563
"200593_s_at" 10415 3772 14592 14215 16384
"200594_x_at" 10708 10793 10607 7687 7027
"200595_s_at" 5739 13148 17033 6048 2093
"200596_s_at" 12108 10931 11437 13735 4055
"200597_at" 20229 13254 17724 8334 1173
"200598_s_at" 5840 12323 4556 9100 19072
"200599_s_at" 4269 13507 9439 8654 6305
"200600_at" 8989 13948 5359 5307 10223
"200601_at" 20154 21120 21268 10272 21741
"200602_at" 10357 20057 15629 12306 15437
"200603_at" 3034 10343 11259 8414 4044
"200604_s_at" 12474 19449 10800 8372 17151
"200605_s_at" 14935 18248 17572 11198 19300
"200606_at" 12885 16159 17405 9636 15568
"200607_s_at" 10203 15084 9269 11988 17463
"200608_s_at" 5462 8976 14614 9040 2925
"200609_s_at" 12262 16103 8726 12773 5734
