"inst_3568" "inst_5871" "inst_6145" "inst_7225"
"1007_s_at" 15247 3526 19476 18976
"1053_at" 20484 17579 20340 2125
"117_at" 7017 3975 20118 13244
"121_at" 4413 5310 3168 4977
"1255_g_at" 9100 8610 6840 9604
"1294_at" 1362 39 9798 6080
"1316_at" 2091 4307 18987 18198
"1320_at" 9365 1330 8173 11625
"1405_i_at" 8884 8345 16712 1074
"1431_at" 18424 14896 1122 5711
"1438_at" 21594 12263 242 21239
"1487_at" 18107 2633 15968 18563
"1494_f_at" 5091 3649 17234 14154
"1598_g_at" 18000 1956 16150 19726
"160020_at" 731 3214 1171 2095
"1729_at" 15710 16156 10369 15200
"1773_at" 3385 13407 20561 1343
"177_at" 5089 1833 2814 13717
"179_at" 20325 1139 13324 18035
"1861_at" 5700 21453 1357 5285
"200000_s_at" 20102 17838 16640 17452
"200001_at" 14642 19383 14393 6369
"200002_at" 13210 14389 10734 7152
"200003_s_at" 14727 18074 4945 15033
"200004_at" 14309 17110 16238 19503
"200005_at" 14907 19569 13118 7144
"200006_at" 12962 15186 13028 5260
"200007_at" 14666 14500 12434 16703
"200008_s_at" 15713 20969 16651 4402
"200009_at" 12859 3761 13743 6305
"200010_at" 14801 17233 4947 6791
"200011_s_at" 16527 13844 17187 19083
"200012_x_at" 3358 3405 4908 16519
"200013_at" 6222 15163 12345 6123
"200014_s_at" 13306 14756 16143 6460
"200015_s_at" 13015 14721 14582 16496
"200016_x_at" 13311 13296 4878 16280
"200017_at" 13549 5160 5042 6455
"200018_at" 12842 13414 5033 4368
"200019_s_at" 13868 14531 10144 15970
"200020_at" 14250 15258 13622 15501
"200021_at" 8360 4736 5132 18892
"200022_at" 13127 14130 4960 14775
"200023_s_at" 15997 5549 15749 15315
"200024_at" 16190 5177 9513 4918
"200025_s_at" 12825 15035 5030 16438
"200026_at" 14996 5124 5137 5771
"200027_at" 6172 15151 13505 15642
"200028_s_at" 19039 12996 13826 17036
"200029_at" 5737 12725 4996 17627
"200030_s_at" 13705 12754 11369 5459
"200031_s_at" 5938 5862 5026 6678
"200032_s_at" 13135 4379 5044 4173
"200033_at" 14283 14985 14182 6787
"200034_s_at" 14862 5372 12193 6291
"200035_at" 20229 13317 12697 19092
"200036_s_at" 13187 14600 12283 6263
"200037_s_at" 13761 13762 13095 15892
"200038_s_at" 5415 14903 5113 15211
"200039_s_at" 5679 15270 17185 6508
"200040_at" 14855 13770 14469 15905
"200041_s_at" 16152 18377 16529 14903
"200042_at" 16385 14183 13541 16283
"200043_at" 14611 19804 15185 14845
"200044_at" 16740 12918 15349 16289
"200045_at" 13025 16936 14901 16006
"200046_at" 15256 17924 17841 6041
"200047_s_at" 2934 17060 15043 5763
"200048_s_at" 6282 15750 12146 6951
"200049_at" 19576 14245 17918 20260
"200050_at" 17343 3209 10342 5871
"200051_at" 19143 21415 14316 19551
"200052_s_at" 13527 20889 14355 5160
"200053_at" 17813 1794 10474 1645
"200054_at" 13981 5838 18123 17736
"200055_at" 14383 16591 14111 14786
"200056_s_at" 17815 17708 13657 16877
"200057_s_at" 6335 13588 12995 16235
"200058_s_at" 14032 20119 17615 18717
"200059_s_at" 13189 17977 12295 14793
"200060_s_at" 4933 15466 15409 15853
"200061_s_at" 3985 4086 5024 15895
"200062_s_at" 8216 4674 4930 14833
"200063_s_at" 6124 3303 5067 16197
"200064_at" 13157 13451 12783 7009
"200065_s_at" 16909 14428 11606 5168
