"inst_1431" "inst_2114" "inst_2278" "inst_6350"
"1007_s_at" 1024 16007 5063 20842
"1053_at" 19461 16993 16261 15698
"117_at" 17847 7739 8509 11289
"121_at" 18593 17672 15678 19896
"1255_g_at" 8014 5925 10960 8282
"1294_at" 16730 11613 20348 20490
"1316_at" 1794 3111 14685 14614
"1320_at" 11079 14016 125 12800
"1405_i_at" 19329 10535 12670 13329
"1431_at" 10680 15178 21612 2155
"1438_at" 6529 19304 4402 6254
"1487_at" 5716 16357 6834 17774
"1494_f_at" 2930 18749 21630 15516
"1598_g_at" 16002 2523 18949 17184
"160020_at" 21796 18789 2331 18475
"1729_at" 15907 21063 18097 16205
"1773_at" 21263 1266 8128 54
"177_at" 2079 12443 11610 8467
"179_at" 553 16029 21718 19281
"1861_at" 18555 16197 2374 3961
"200000_s_at" 17495 14980 4921 17655
"200001_at" 5559 17551 7566 18353
"200002_at" 17392 14615 8109 16489
"200003_s_at" 4110 14583 10036 14866
"200004_at" 18448 16934 17318 15372
"200005_at" 5206 4804 7509 14510
"200006_at" 18900 17399 16832 16572
"200007_at" 15870 14185 15875 14818
"200008_s_at" 2877 3698 17378 15993
"200009_at" 3885 17544 17261 6443
"200010_at" 5006 13840 15602 19668
"200011_s_at" 5574 17385 7759 17687
"200012_x_at" 17965 4796 15507 4415
"200013_at" 3351 14192 15753 16305
"200014_s_at" 3313 14810 14958 15462
"200015_s_at" 19524 16872 6140 16921
"200016_x_at" 21323 13997 10273 14845
"200017_at" 20348 14718 10186 14341
"200018_at" 4474 14836 10140 15412
"200019_s_at" 3390 14156 7672 15620
"200020_at" 923 19529 8225 18026
"200021_at" 17131 3795 10312 9373
"200022_at" 18330 14897 10027 16097
"200023_s_at" 18216 14890 6143 18336
"200024_at" 15854 5235 7786 4913
"200025_s_at" 16896 15090 14381 14703
"200026_at" 3505 21127 10246 14432
"200027_at" 5112 14009 7054 15883
"200028_s_at" 17808 15202 4870 17447
"200029_at" 5081 3526 6938 14125
"200030_s_at" 3628 13909 15324 16357
"200031_s_at" 2438 14744 10172 14890
"200032_s_at" 16967 14558 10072 5102
"200033_at" 20257 16970 15142 14734
"200034_s_at" 5020 16848 16568 16394
"200035_at" 2111 18792 6290 3796
"200036_s_at" 5760 14111 14718 17037
"200037_s_at" 19377 18910 7443 16227
"200038_s_at" 19153 3994 10069 6087
"200039_s_at" 4955 17330 14487 16952
"200040_at" 18334 17594 6610 15270
"200041_s_at" 2646 4906 17212 16426
"200042_at" 1883 17492 14977 6413
"200043_at" 19037 20958 8031 14609
"200044_at" 21621 17429 16565 15488
"200045_at" 4800 15656 6736 19270
"200046_at" 3359 19721 18274 16648
"200047_s_at" 20833 15839 16145 14340
"200048_s_at" 18988 14311 8260 5788
"200049_at" 3647 18645 7271 19036
"200050_at" 18255 18550 18516 3772
"200051_at" 1207 19892 6195 4763
"200052_s_at" 16085 16096 15506 16605
"200053_at" 3120 1451 21693 21789
"200054_at" 16206 19313 19633 19103
"200055_at" 5690 15238 6846 15368
"200056_s_at" 20927 19432 15556 16841
"200057_s_at" 2910 15489 15477 16718
"200058_s_at" 2357 5053 16532 16158
"200059_s_at" 18661 5125 15555 15387
"200060_s_at" 3949 3613 16990 16763
"200061_s_at" 5616 5375 10230 5202
"200062_s_at" 19413 4539 10136 9045
"200063_s_at" 18824 5141 10315 15736
"200064_at" 4883 17311 18700 17873
"200065_s_at" 5370 15280 15362 18278
"200066_at" 16970 18078 1789 18007
"200067_x_at" 20360 13879 5942 14736
"200068_s_at" 3319 15221 6450 14926
"200069_at" 3243 19001 19751 20792
"200070_at" 17276 14139 7693 17127
"200071_at" 20892 17250 7306 18192
"200072_s_at" 5181 14999 18099 17842
"200073_s_at" 21960 17797 4311 16123
"200074_s_at" 16380 17019 16611 6615
"200075_s_at" 17429 17206 17707 14872
"200076_s_at" 5719 5558 17758 6234
"200077_s_at" 19563 15506 16010 16413
"200078_s_at" 16716 20152 4514 4956
"200079_s_at" 3604 14430 7279 6405
"200080_s_at" 20547 17280 15876 16360
"200081_s_at" 17861 5157 16041 4868
"200082_s_at" 20322 4171 16599 6607
"200083_at" 17831 17721 4691 4104
"200084_at" 21378 14634 7910 17474
"200085_s_at" 16766 4559 14318 14296
"200086_s_at" 19358 14490 16940 16967
"200087_s_at" 16270 15382 20172 4898
"200088_x_at" 16443 4109 10254 5616
"200089_s_at" 19132 4312 17147 14309
"200090_at" 3475 3014 3172 14707
"200091_s_at" 21226 18408 16347 5062
"200092_s_at" 4144 4941 14536 4973
"200093_s_at" 21302 15596 5532 16573
"200094_s_at" 19276 3659 6378 4376
"200095_x_at" 3024 5344 10318 9357
"200096_s_at" 2555 13855 20949 6042
"200097_s_at" 18795 18373 16556 14780
"200098_s_at" 17035 16259 8320 6374
"200099_s_at" 16935 16757 10207 15308
"200593_s_at" 4485 16209 19152 6152
"200594_x_at" 21195 16478 15215 17155
"200595_s_at" 22002 19951 17831 17214
"200596_s_at" 1633 18009 16435 17480
"200597_at" 16900 14712 14851 21529
"200598_s_at" 20086 2231 3139 3504
"200599_s_at" 18137 18031 17230 15694
"200600_at" 20430 18297 7364 18045
"200601_at" 21744 21392 7858 17188
"200602_at" 21764 21249 4174 20424
