"inst_1553" "inst_3170" "inst_5772"
"1007_s_at" 20356 12832 11174
"1053_at" 18137 4640 17292
"117_at" 17194 8220 8907
"121_at" 2850 2013 2096
"1255_g_at" 13041 5118 5877
"1294_at" 4809 88 20528
"1316_at" 6626 15273 3301
"1320_at" 14309 6435 8502
"1405_i_at" 785 7617 8328
"1431_at" 16221 1546 19900
"1438_at" 12934 19920 20804
"1487_at" 1562 20039 4898
"1494_f_at" 4167 19730 20057
"1598_g_at" 20432 15202 20295
"160020_at" 143 4003 17045
"1729_at" 19574 17829 14645
"1773_at" 3782 11769 21334
"177_at" 20079 2727 3100
"179_at" 2100 22108 3982
"1861_at" 13046 18030 11891
"200000_s_at" 21179 14278 15945
"200001_at" 17736 15366 12421
"200002_at" 18741 14963 11702
"200003_s_at" 6364 12134 6525
"200004_at" 17022 14960 11855
"200005_at" 19465 4716 11504
"200006_at" 5840 11964 4303
"200007_at" 19431 17346 14677
"200008_s_at" 18535 10790 15893
"200009_at" 4929 13122 16754
"200010_at" 4792 12300 11098
"200011_s_at" 18760 13592 12828
"200012_x_at" 18658 5014 4672
"200013_at" 19085 11754 4730
"200014_s_at" 6313 13376 15391
"200015_s_at" 6544 16089 17916
"200016_x_at" 2187 12505 11048
"200017_at" 21312 6396 11065
"200018_at" 6593 4614 3819
"200019_s_at" 6225 15050 11401
"200020_at" 18303 14410 3635
"200021_at" 3847 6431 3479
"200022_at" 6495 11201 12317
"200023_s_at" 5356 13348 15159
"200024_at" 18924 12894 4746
"200025_s_at" 4944 11518 10867
"200026_at" 3729 4611 12052
"200027_at" 18736 13715 14784
"200028_s_at" 17668 14719 15594
"200029_at" 17945 4583 3180
"200030_s_at" 6442 10976 11007
"200031_s_at" 19854 6392 6558
"200032_s_at" 5181 6398 3282
"200033_at" 17529 12020 12505
"200034_s_at" 18898 10704 4915
"200035_at" 20014 21897 20218
"200036_s_at" 18190 12135 12572
"200037_s_at" 18484 13396 13482
"200038_s_at" 5905 4210 4788
"200039_s_at" 20532 13471 12411
"200040_at" 4585 13092 13971
"200041_s_at" 18418 12452 12803
"200042_at" 20099 15750 14922
"200043_at" 22012 19063 15696
"200044_at" 3873 14038 13170
"200045_at" 17537 12846 15492
"200046_at" 4962 15477 4984
"200047_s_at" 4525 14538 14760
"200048_s_at" 6362 11929 15397
"200049_at" 5580 15319 16343
"200050_at" 17799 3262 15693
"200051_at" 19573 12606 16042
"200052_s_at" 20348 12645 15102
"200053_at" 20970 3652 758
"200054_at" 17417 17039 16886
"200055_at" 5312 11069 4373
"200056_s_at" 4215 13680 17105
"200057_s_at" 5791 11901 12921
"200058_s_at" 21370 12292 12882
"200059_s_at" 4449 15778 11652
"200060_s_at" 6385 17516 11664
"200061_s_at" 17770 6391 6557
"200062_s_at" 17742 6357 6522
"200063_s_at" 4957 6408 5032
"200064_at" 20606 4622 12511
"200065_s_at" 19919 12802 11316
"200066_at" 20522 16762 14091
"200067_x_at" 3332 12892 14159
"200068_s_at" 2063 11220 11526
"200069_at" 6462 14650 16413
"200070_at" 3768 15822 21007
"200071_at" 20627 12681 19325
"200072_s_at" 17389 14107 17110
"200073_s_at" 19225 12885 16146
"200074_s_at" 5892 13011 11491
"200075_s_at" 3188 12708 13203
"200076_s_at" 2257 16780 19326
"200077_s_at" 4599 12677 10794
"200078_s_at" 5216 14486 13113
"200079_s_at" 4138 4822 14098
"200080_s_at" 5936 5003 4848
"200081_s_at" 16958 12021 4016
"200082_s_at" 17764 3691 3743
"200083_at" 18648 14688 14729
"200084_at" 18083 12848 14065
"200085_s_at" 19338 12562 12174
"200086_s_at" 4082 13214 14344
"200087_s_at" 4720 12990 11885
"200088_x_at" 5836 6360 10811
"200089_s_at" 6261 4811 13825
"200090_at" 4079 13045 13574
"200091_s_at" 17771 12571 10827
"200092_s_at" 5365 10902 2245
"200093_s_at" 6656 16930 13459
"200094_s_at" 17574 13796 4992
"200095_x_at" 19636 6428 11394
"200096_s_at" 17938 14546 19906
"200097_s_at" 3327 13559 4095
"200098_s_at" 18207 17038 13193
"200099_s_at" 3878 6411 2607
"200593_s_at" 21109 13544 13085
"200594_x_at" 3746 12208 16275
"200595_s_at" 18430 16056 14749
"200596_s_at" 21985 18166 16021
"200597_at" 17835 16208 19178
"200598_s_at" 17578 4264 12230
"200599_s_at" 5594 3767 14627
"200600_at" 4923 21256 19610
"200601_at" 1404 4795 19298
"200602_at" 22094 19368 14039
"200603_at" 18255 15955 15184
"200604_s_at" 17694 5100 4452
"200605_s_at" 1438 12530 13523
"200606_at" 10638 4956 18026
"200607_s_at" 21746 13939 11851
"200608_s_at" 2697 14471 14211
"200609_s_at" 19263 17484 19441
"200610_s_at" 3256 12242 15045
"200611_s_at" 3569 16327 13788
"200612_s_at" 5210 17828 15324
"200613_at" 19833 12978 3464
"200614_at" 20665 4782 11345
"200615_s_at" 4174 3099 12094
"200616_s_at" 19744 3913 13673
"200617_at" 20855 18306 12724
"200618_at" 3939 19397 16487
"200619_at" 22158 3722 4832
"200620_at" 5898 13385 3575
"200621_at" 18592 17752 11281
"200622_x_at" 5860 18180 13532
"200623_s_at" 5876 20368 15060
"200624_s_at" 19649 4222 18482
"200625_s_at" 6189 16688 11918
"200626_s_at" 18644 12955 13683
"200627_at" 19672 3430 11937
"200628_s_at" 3075 11305 15118
"200629_at" 4427 17725 11968
"200630_x_at" 19674 12330 4172
"200631_s_at" 18948 14578 13968
"200632_s_at" 1352 21691 14441
"200633_at" 4764 4966 6556
"200634_at" 20344 14211 12907
"200635_s_at" 16651 12968 3627
"200636_s_at" 12234 15859 12356
"200637_s_at" 7288 21659 11975
"200638_s_at" 18422 13812 15844
"200639_s_at" 20248 16965 18146
"200640_at" 18750 14604 13770
"200641_s_at" 6652 3997 12714
"200642_at" 20596 11540 12493
"200643_at" 22041 18424 15778
"200644_at" 664 16391 15110
"200645_at" 2760 12886 12847
"200646_s_at" 12851 11157 3424
"200647_x_at" 17909 13523 12592
"200648_s_at" 20408 19943 2522
"200649_at" 17093 11801 18395
"200650_s_at" 6137 3725 6509
"200651_at" 6028 10751 4928
"200652_at" 19972 15564 15292
"200653_s_at" 4526 11135 4998
"200654_at" 1827 18497 12938
"200655_s_at" 6601 4090 11524
"200656_s_at" 1567 17315 12396
"200657_at" 18193 4175 12506
"200658_s_at" 20981 11500 3642
"200659_s_at" 22248 13561 4675
"200660_at" 4424 11353 11186
"200661_at" 21181 4639 12576
"200662_s_at" 4025 4960 14794
"200663_at" 17820 13958 2715
"200664_s_at" 22138 13436 17532
"200665_s_at" 7269 8306 8312
"200666_s_at" 6571 14955 18896
"200667_at" 17219 17658 12431
"200668_s_at" 18304 13015 14446
"200669_s_at" 18160 10740 12694
"200670_at" 6631 18017 12067
"200671_s_at" 11019 852 20936
"200672_x_at" 10798 21373 3177
"200673_at" 6654 14126 15388
"200674_s_at" 3785 4105 3059
"200675_at" 4076 18533 16822
"200676_s_at" 6180 14268 19544
"200677_at" 1321 13066 12562
"200678_x_at" 3357 14820 13009
"200679_x_at" 18170 3735 16377
"200680_x_at" 5352 11515 13700
"200681_at" 17477 11100 12569
"200682_s_at" 18391 11159 4307
"200683_s_at" 19384 4495 13353
"200684_s_at" 129 18122 19785
"200685_at" 21405 17745 21233
"200686_s_at" 386 21172 19001
"200687_s_at" 18102 17533 16815
"200688_at" 3233 3464 19496
"200689_x_at" 3584 11543 4235
"200690_at" 21380 15367 3178
"200691_s_at" 4642 12882 15870
"200692_s_at" 5904 13846 4091
"200693_at" 17134 12169 12857
"200694_s_at" 18817 13862 15455
"200695_at" 18816 20347 13987
"200696_s_at" 18666 20974 14901
"200697_at" 2193 14040 18354
"200698_at" 19279 16414 13642
"200699_at" 3839 14069 13831
"200700_s_at" 2608 16202 13487
"200701_at" 1767 4119 3576
"200702_s_at" 19379 14552 2007
"200703_at" 17179 14689 14128
"200704_at" 18100 12467 18224
"200705_s_at" 3190 4733 12420
"200706_s_at" 19709 12911 15668
"200707_at" 5629 4468 18721
"200708_at" 4889 16386 17279
"200709_at" 19370 16446 15214
"200710_at" 19049 20587 3742
"200711_s_at" 20568 13478 3338
"200712_s_at" 18774 10922 11732
"200713_s_at" 5503 13594 17686
"200714_x_at" 20464 4527 16068
"200715_x_at" 17272 11763 4892
"200716_x_at" 6163 6424 3744
"200717_x_at" 16985 6389 6555
"200718_s_at" 4136 10920 12845
"200719_at" 20881 4226 14019
"200720_s_at" 20602 4326 13830
"200721_s_at" 19058 21188 19389
"200722_s_at" 19292 5047 18177
"200723_s_at" 20768 10656 12678
"200724_at" 13692 15827 1978
"200725_x_at" 5954 4827 3221
"200726_at" 20230 14134 13066
"200727_s_at" 20912 2710 10964
"200728_at" 18873 4856 15325
"200729_s_at" 20254 14301 17225
"200730_s_at" 4880 11578 14798
"200731_s_at" 17225 19593 11787
"200732_s_at" 19752 13109 13367
"200733_s_at" 3362 19729 20876
"200734_s_at" 18377 16605 18076
"200735_x_at" 18250 11833 11458
"200736_s_at" 4147 21579 4571
"200737_at" 20986 4142 14337
"200738_s_at" 4539 14348 11355
"200739_s_at" 17739 15102 4009
"200740_s_at" 3310 12027 12050
"200741_s_at" 5326 6358 11413
"200742_s_at" 19285 16987 12384
"200743_s_at" 3184 16880 17986
"200744_s_at" 18675 13515 13949
"200745_s_at" 17515 12691 4941
"200746_s_at" 19080 12049 17043
"200747_s_at" 19064 2397 16163
"200748_s_at" 974 11322 11181
"200749_at" 5689 13019 15098
"200750_s_at" 21536 13634 12028
"200751_s_at" 22013 12976 13768
"200752_s_at" 21489 12061 12294
"200753_x_at" 21618 16686 16536
"200754_x_at" 20073 13691 16437
"200755_s_at" 21579 3930 10800
"200756_x_at" 21151 5065 2577
"200757_s_at" 4256 19171 12136
"200758_s_at" 4214 11062 12147
"200759_x_at" 1273 13433 17643
"200760_s_at" 5227 10681 13529
"200761_s_at" 548 13520 12719
"200762_at" 658 10758 4221
"200763_s_at" 6638 13833 12056
"200764_s_at" 12037 10977 10212
