"inst_640" "inst_1542" "inst_1959" "inst_2043" "inst_5320" "inst_6720"
"1007_s_at" 16320 4880 17616 5517 4233 6807
"1053_at" 4558 4857 3579 21594 16843 19437
"117_at" 14586 15165 12587 13802 13500 12639
"121_at" 14263 20935 20856 7686 1351 2456
"1255_g_at" 10822 12809 6611 17177 12413 13327
"1294_at" 17200 12900 16913 5938 5387 3764
"1316_at" 2204 2136 9800 2749 11507 3168
"1320_at" 20329 10980 6132 9291 7995 19033
"1405_i_at" 7313 12378 7753 4827 9870 18755
"1431_at" 8040 3614 9292 15930 5688 17513
"1438_at" 17030 2135 6454 17486 3145 21231
"1487_at" 5601 21344 20704 921 3546 16411
"1494_f_at" 2512 21192 21559 6280 13432 1174
"1598_g_at" 16567 3493 1356 1672 3274 18959
"160020_at" 14526 19471 15256 1785 12349 15172
"1729_at" 18761 1535 18002 3859 1621 15255
"1773_at" 19924 8263 15418 3612 21905 22268
"177_at" 9242 11375 6702 21202 9086 15866
"179_at" 1007 21748 19887 20157 677 20421
"1861_at" 4057 5867 2979 12065 223 16390
"200000_s_at" 18626 5362 1648 19155 598 21649
"200001_at" 16598 7264 253 18860 19027 20067
"200002_at" 5800 18286 3111 4945 5993 18587
"200003_s_at" 13446 17830 3721 19005 16566 16140
"200004_at" 15856 17129 20903 4196 16893 16953
"200005_at" 19847 6486 3049 5721 17159 18524
"200006_at" 4383 8409 16920 3039 17427 6917
"200007_at" 15413 5629 20089 20643 16860 8090
"200008_s_at" 15964 6364 4535 2616 20751 22040
"200009_at" 15707 7736 17520 7668 17156 17127
"200010_at" 14588 16789 227 19769 18037 22179
"200011_s_at" 17561 20741 15566 6076 16965 18184
"200012_x_at" 4354 17097 2230 20821 17984 6804
"200013_at" 4349 9396 2444 3847 17461 16145
"200014_s_at" 18307 8637 17461 1716 18856 4304
"200015_s_at" 19109 9617 3634 20268 4052 4550
"200016_x_at" 14265 19005 19273 6995 5895 6104
"200017_at" 5927 9064 19126 2441 17689 8394
"200018_at" 14413 17545 17659 2895 3440 15944
"200019_s_at" 14729 8374 2307 7399 4307 18141
"200020_at" 14984 7955 3947 5810 4867 15064
"200021_at" 3968 12102 17794 22242 17361 10688
"200022_at" 5659 18744 1591 5026 19660 20399
"200023_s_at" 16139 8772 3280 3046 3443 14713
"200024_at" 3908 7483 1592 18204 6640 17745
"200025_s_at" 4098 17774 3118 6289 3947 4431
"200026_at" 19687 18493 21446 4069 19267 6402
"200027_at" 15209 6004 20034 2834 18843 2380
"200028_s_at" 16018 7798 19520 18416 3164 7304
"200029_at" 3944 5753 1779 20421 18784 16738
"200030_s_at" 15691 7787 1570 6935 4499 17378
"200031_s_at" 15022 12193 2666 6298 16505 10627
"200032_s_at" 14438 7309 19242 3565 17502 7299
"200033_at" 3828 6646 21717 1959 3469 7003
"200034_s_at" 13664 17496 4256 3471 19313 18468
"200035_at" 1543 3578 571 3155 21152 19792
