"inst_1418" "inst_2102" "inst_2265" "inst_7016"
"1007_s_at" 1318 4351 20042 19733
"1053_at" 13432 20297 17579 19762
"117_at" 15792 11165 5216 8182
"121_at" 17251 2688 14831 532
"1255_g_at" 8137 6458 7112 12261
"1294_at" 16397 14072 2204 14011
"1316_at" 18476 10311 2022 7691
"1320_at" 12696 3744 1819 7168
"1405_i_at" 20211 7339 6813 8521
"1431_at" 5595 6254 21621 13372
"1438_at" 11372 3767 2485 9766
"1487_at" 2677 6285 21040 20950
"1494_f_at" 19236 15694 21238 463
"1598_g_at" 22102 19021 13612 19979
"160020_at" 22100 19626 3918 3150
"1729_at" 673 14533 20718 3063
"1773_at" 20026 21315 10989 712
"177_at" 15638 3573 9371 12411
"179_at" 20317 680 16636 18233
"1861_at" 15945 21028 11097 4529
"200000_s_at" 15466 20943 16861 14721
"200001_at" 16159 2638 14069 17673
"200002_at" 19679 4391 11541 3453
"200003_s_at" 1672 16547 6708 4626
"200004_at" 16702 16352 14485 15001
"200005_at" 15001 16782 13208 15843
"200006_at" 19667 14796 14091 16802
"200007_at" 16518 14935 12929 14866
"200008_s_at" 20736 20251 4378 17408
"200009_at" 18097 15163 10764 4918
"200010_at" 15957 15361 11421 4986
"200011_s_at" 16968 5590 17758 15448
"200012_x_at" 19234 5885 3152 14202
"200013_at" 16135 4992 11060 15515
"200014_s_at" 15504 5649 17823 16090
"200015_s_at" 21044 4010 13155 14564
"200016_x_at" 16810 16804 12810 5272
"200017_at" 13457 5217 6746 18032
"200018_at" 623 3713 6798 15121
"200019_s_at" 1719 5283 11188 14320
"200020_at" 1876 18930 15045 15041
"200021_at" 20189 14675 6663 3201
"200022_at" 13578 15826 6590 4488
"200023_s_at" 2351 17884 14023 4531
"200024_at" 14061 5136 3990 15309
"200025_s_at" 15427 4566 11024 5493
"200026_at" 16226 5789 6477 15356
"200027_at" 14224 3447 16740 14605
"200028_s_at" 13627 4431 18338 17295
"200029_at" 1871 5455 11732 5147
"200030_s_at" 16918 4092 3864 4162
"200031_s_at" 14071 5418 6744 14903
"200032_s_at" 14251 3939 6635 4481
"200033_at" 14883 15763 14092 15648
"200034_s_at" 13562 14314 3215 17958
"200035_at" 13941 20557 20954 4135
"200036_s_at" 13921 15154 12286 4734
"200037_s_at" 16156 17266 12191 5135
"200038_s_at" 15224 5554 6630 14768
"200039_s_at" 13389 5172 12008 4204
"200040_at" 13729 3453 11957 5391
"200041_s_at" 16310 15949 13166 17616
"200042_at" 14799 5653 11229 15948
"200043_at" 19624 14373 3914 17137
"200044_at" 17845 16049 14186 18034
"200045_at" 2633 17535 11734 17547
"200046_at" 15631 16834 18059 3183
"200047_s_at" 18613 14683 15369 14677
"200048_s_at" 18373 19035 13450 15425
"200049_at" 21167 5020 16287 16997
"200050_at" 16779 16374 20705 19936
"200051_at" 1538 20890 12264 19425
"200052_s_at" 18470 19611 16089 16394
"200053_at" 16514 18372 2542 17986
"200054_at" 888 18533 14296 3743
"200055_at" 1234 5969 12500 17718
"200056_s_at" 21847 19926 17061 15557
"200057_s_at" 15719 5777 4159 15966
"200058_s_at" 18238 15200 17234 14180
"200059_s_at" 20435 5171 11078 16590
"200060_s_at" 17783 14510 4507 3474
"200061_s_at" 2478 4124 6555 15783
"200062_s_at" 1481 5178 6734 4048
"200063_s_at" 14872 15072 6646 5041
"200064_at" 17617 14934 14403 14910
"200065_s_at" 3125 15000 17719 15542
"200066_at" 17240 20956 18746 3245
"200067_x_at" 19189 15483 15539 2964
"200068_s_at" 17421 5110 10905 15355
"200069_at" 780 15250 21275 16222
"200070_at" 583 16741 17895 16003
"200071_at" 21934 19627 18686 15375
"200072_s_at" 16932 18615 18104 16000
"200073_s_at" 13478 14765 14041 18652
"200074_s_at" 16588 17708 11323 14608
"200075_s_at" 17043 19183 15315 19544
"200076_s_at" 13902 16185 18821 3001
"200077_s_at" 15697 14509 4713 16511
"200078_s_at" 13660 20201 20286 19566
"200079_s_at" 15518 5075 11884 15246
"200080_s_at" 13988 5733 11001 18660
"200081_s_at" 15679 15562 10704 3755
"200082_s_at" 17813 4048 4466 4176
"200083_at" 14736 20698 17240 18996
"200084_at" 19089 16381 16107 17208
"200085_s_at" 1161 19292 13837 15398
"200086_s_at" 16995 4490 14934 15520
"200087_s_at" 20095 14793 16397 4840
"200088_x_at" 2802 4565 6573 3708
"200089_s_at" 16083 14852 11711 15552
"200090_at" 14759 5525 19725 15082
"200091_s_at" 3028 4760 3129 14738
"200092_s_at" 14534 4847 6550 3620
"200093_s_at" 15819 17047 17571 17366
"200094_s_at" 15237 14951 12370 15214
"200095_x_at" 14075 15683 6695 5047
"200096_s_at" 18316 16007 20333 15645
"200097_s_at" 20999 17793 11281 19029
"200098_s_at" 15984 17443 14170 16772
"200099_s_at" 15311 16678 6486 15622
"200593_s_at" 1590 6191 3510 14981
"200594_x_at" 18860 6274 16471 4730
"200595_s_at" 18863 16111 13232 16900
"200596_s_at" 2477 18374 14504 3120
"200597_at" 17804 17785 12392 19871
"200598_s_at" 21466 5219 2905 17892
"200599_s_at" 2730 18410 16351 4079
"200600_at" 19859 3173 6057 13874
"200601_at" 15799 20985 16489 2868
"200602_at" 21962 18569 2989 17512
"200603_at" 21182 5407 16355 19768
"200604_s_at" 19840 21757 4365 17784
"200605_s_at" 22045 5103 17793 14639
"200606_at" 3931 18155 18246 4800
"200607_s_at" 21350 3641 2986 18412
"200608_s_at" 21459 6106 13226 18275
"200609_s_at" 1796 17955 18096 17984
"200610_s_at" 18616 4402 16907 14601
"200611_s_at" 14909 15248 17781 15429
"200612_s_at" 661 1451 20946 16528
"200613_at" 19419 18677 15448 18342
"200614_at" 14387 14574 3791 15962
"200615_s_at" 3136 4684 12947 5240
"200616_s_at" 17799 4015 11077 17367
"200617_at" 16458 5292 13011 3207
"200618_at" 3064 4644 19131 3047
"200619_at" 13750 17526 16640 14638
"200620_at" 15680 15452 11382 19745
"200621_at" 16535 3202 12425 19660
"200622_x_at" 22041 19061 17143 17837
"200623_s_at" 20515 21640 18864 16771
"200624_s_at" 22127 14899 17513 16442
"200625_s_at" 2938 14831 13872 17464
"200626_s_at" 17152 20429 13179 17960
"200627_at" 19620 3987 11085 16858
"200628_s_at" 16871 20949 12375 17762
"200629_at" 14850 16724 20834 15335
"200630_x_at" 13909 4337 4679 14558
"200631_s_at" 18503 5541 15545 14147
"200632_s_at" 18939 3122 3409 14293
"200633_at" 14500 14482 6730 5357
"200634_at" 15481 16196 3929 16162
"200635_s_at" 3770 15138 3599 17864
"200636_s_at" 7764 5839 11853 3806
"200637_s_at" 5413 19105 4081 16712
"200638_s_at" 18699 14493 12776 15963
"200639_s_at" 21314 3740 11391 19784
"200640_at" 19651 5603 4716 17000
"200641_s_at" 22029 6113 4265 4122
"200642_at" 20101 4572 15202 14796
"200643_at" 14801 3496 14632 22249
"200644_at" 18856 2909 11112 15247
"200645_at" 13608 15104 15457 5277
"200646_s_at" 15664 3619 22256 14235
"200647_x_at" 2685 18656 16668 1366
"200648_s_at" 21540 14414 18245 18872
"200649_at" 20604 19615 16436 3184
"200650_s_at" 20911 14351 10703 4492
"200651_at" 14492 17615 6558 18401
"200652_at" 17092 2458 18763 16202
"200653_s_at" 1631 17355 14486 19295
"200654_at" 1793 19304 16531 4061
"200655_s_at" 15066 16821 10993 16017
"200656_s_at" 17700 14845 15614 17025
"200657_at" 18202 16991 12601 5120
"200658_s_at" 18393 20182 13700 16940
"200659_s_at" 18449 21704 20157 15397
