"inst_2172" "inst_3832" "inst_3926" "inst_4307" "inst_6027"
"1007_s_at" 949 4358 4834 3754 16808
"1053_at" 5908 15537 6697 18179 13763
"117_at" 3515 9352 10673 846 3793
"121_at" 3839 4601 5362 19518 15075
"1255_g_at" 9533 8148 10216 8556 4362
"1294_at" 18191 1663 3981 16490 14168
"1316_at" 22093 17478 20606 16786 14759
"1320_at" 8782 6646 7247 12179 13274
"1405_i_at" 18767 8254 1153 10133 6909
"1431_at" 14676 15993 7509 17527 2151
"1438_at" 1144 810 2914 14726 21448
"1487_at" 13912 7006 3286 3532 16543
"1494_f_at" 1071 19747 18361 15242 10501
"1598_g_at" 22174 21361 3705 1346 21595
"160020_at" 1481 57 2622 16489 21494
"1729_at" 21805 4277 5929 19584 19357
"1773_at" 20213 1739 15948 2743 10289
"177_at" 20674 1589 3006 18661 3939
"179_at" 17267 2418 15442 3740 20078
"1861_at" 1315 15110 17445 13937 15473
"200000_s_at" 19700 7460 6618 16894 14851
"200001_at" 19153 17107 4421 15017 12572
"200002_at" 4400 16027 15101 12228 2033
"200003_s_at" 9321 10028 10436 7957 4345
"200004_at" 13528 16803 7318 4967 11723
"200005_at" 5551 7096 8585 6074 13565
"200006_at" 5323 17134 13716 12886 10700
"200007_at" 14224 7404 16771 4932 10126
"200008_s_at" 13563 4648 6324 2943 16272
"200009_at" 15802 15501 4121 4848 11815
"200010_at" 9165 7259 7850 5445 9141
"200011_s_at" 18040 5603 6849 5467 13939
"200012_x_at" 5993 5435 7855 6383 2264
"200013_at" 6499 17246 6682 13961 8588
"200014_s_at" 3483 18706 6799 5851 10589
"200015_s_at" 14547 17757 18428 13856 16768
"200016_x_at" 9085 15357 15449 12558 2828
"200017_at" 9149 10142 10541 8049 4447
"200018_at" 9118 10132 10534 8040 4440
"200019_s_at" 13460 16452 18206 6317 2776
"200020_at" 6966 6944 4258 13426 15483
"200021_at" 21433 10254 10653 8151 4543
"200022_at" 9260 7945 10452 13860 4364
"200023_s_at" 14088 19720 19757 17459 10466
"200024_at" 6447 14749 15070 5484 2565
"200025_s_at" 9161 14450 17071 13310 8656
"200026_at" 9110 5845 10655 6255 4545
"200027_at" 5572 17243 15319 13590 15895
"200028_s_at" 16925 15513 6966 12544 18928
"200029_at" 9358 5907 7766 3231 2855
"200030_s_at" 14790 14881 7298 5022 8963
"200031_s_at" 9169 10121 10524 8030 4432
"200032_s_at" 9104 10145 10546 12628 4450
"200033_at" 15475 8079 16342 5517 12788
"200034_s_at" 4757 15061 10441 12046 2436
"200035_at" 3064 3667 14779 2609 17543
"200036_s_at" 5594 7492 16253 12846 2773
"200037_s_at" 17549 15225 18695 18197 13147
"200038_s_at" 9319 10236 10629 3984 4521
"200039_s_at" 5353 19166 14553 5319 11561
"200040_at" 17090 19750 6661 18631 11788
"200041_s_at" 18878 7450 6819 1379 13212
"200042_at" 4515 14992 17330 12942 15351
"200043_at" 19064 16699 16485 13279 10690
"200044_at" 6364 16501 6924 4429 13537
"200045_at" 4833 17515 2253 5816 16425
"200046_at" 6920 4954 18572 15208 14210
"200047_s_at" 18323 17584 16095 15259 9759
"200048_s_at" 16052 6730 17644 16266 12206
"200049_at" 6605 17239 8099 2986 14567
"200050_at" 20813 2221 16388 18585 16552
"200051_at" 18373 16723 7565 17194 15183
"200052_s_at" 14939 7626 14709 3419 13923
"200053_at" 6002 20231 20054 14461 16121
"200054_at" 5157 17417 16173 5685 21576
"200055_at" 17083 18791 18679 1804 11403
"200056_s_at" 14832 20951 16781 14499 16885
"200057_s_at" 17571 14582 6146 4366 9996
"200058_s_at" 2726 6112 5997 2597 11478
"200059_s_at" 5151 5267 8666 2611 10402
"200060_s_at" 17596 17685 14218 13445 13311
"200061_s_at" 9030 10119 10522 8029 4430
"200062_s_at" 9215 10008 10422 7946 4333
"200063_s_at" 9066 10180 10576 8079 4472
"200064_at" 17232 4591 5713 5000 11987
"200065_s_at" 14321 14136 3993 3300 14494
"200066_at" 15747 15426 2647 4552 2884
"200067_x_at" 14866 15058 15227 4161 14007
"200068_s_at" 16329 14892 4716 13282 11872
"200069_at" 20228 5323 4143 17182 21311
"200070_at" 21088 15271 16761 14099 10370
"200071_at" 5617 4356 14233 18006 18206
"200072_s_at" 16556 6660 5135 13669 11981
"200073_s_at" 17254 15442 14686 12882 12665
"200074_s_at" 6549 15552 16298 13796 9105
"200075_s_at" 6168 17738 15599 12725 13347
"200076_s_at" 19235 16111 7947 1920 20204
"200077_s_at" 6491 14809 13979 16178 2830
"200078_s_at" 16139 17392 18660 14193 20798
"200079_s_at" 13616 5613 6424 12445 15697
"200080_s_at" 6413 16057 16268 14010 2346
"200081_s_at" 14328 15066 6261 12391 2889
"200082_s_at" 9107 14455 10563 6006 8882
"200083_at" 5170 7880 14536 18357 18171
"200084_at" 17220 15821 15814 5128 12015
"200085_s_at" 4291 8036 16052 16483 10388
"200086_s_at" 4265 16009 15632 12592 2337
"200087_s_at" 15687 16545 5037 12701 18398
"200088_x_at" 9098 10020 10432 15426 4342
"200089_s_at" 6332 16708 8251 4139 2772
"200090_at" 17225 7145 18429 5647 14405
"200091_s_at" 14333 21697 17124 5964 2410
"200092_s_at" 9223 10186 10586 15803 2826
"200093_s_at" 13711 15585 19227 13063 2636
"200094_s_at" 14558 3532 4425 16618 2717
"200095_x_at" 9269 10245 10639 8136 4530
"200096_s_at" 16011 8057 7276 12588 15991
"200097_s_at" 15424 16385 6502 4514 11881
"200098_s_at" 15967 17751 15942 14419 17040
"200099_s_at" 9153 10187 10592 4797 4482
"200593_s_at" 15889 15056 6483 14803 19099
"200594_x_at" 17852 16580 4610 13321 13344
"200595_s_at" 17034 20742 18035 16865 17052
"200596_s_at" 14800 2059 6961 12613 15277
"200597_at" 13963 15982 6395 5939 12340
"200598_s_at" 20627 3262 20636 19984 17183
"200599_s_at" 17705 18583 4346 13322 15009
"200600_at" 5717 1704 12605 2733 6355
"200601_at" 15395 19175 5597 3758 16160
"200602_at" 19844 21659 19752 5686 10443
"200603_at" 15551 15024 7391 6438 13375
"200604_s_at" 20370 4745 15692 3006 16249
"200605_s_at" 13744 14810 3539 1813 15187
"200606_at" 21585 5056 18338 12990 2318
"200607_s_at" 18675 1901 20615 17784 11891
