"inst_2972" "inst_3534" "inst_7476"
"1007_s_at" 6117 4653 4739
"1053_at" 7470 19152 6531
"117_at" 20153 15499 8330
"121_at" 21895 2983 17976
"1255_g_at" 17720 14810 14283
"1294_at" 21586 3177 9600
"1316_at" 20296 2873 2224
"1320_at" 16389 15074 1597
"1405_i_at" 12007 1172 10001
"1431_at" 15707 2932 9307
"1438_at" 7149 19384 980
"1487_at" 3862 17855 5340
"1494_f_at" 16525 12779 13204
"1598_g_at" 414 8558 17692
"160020_at" 21014 15591 15
"1729_at" 8396 19014 19573
"1773_at" 8722 10420 20829
"177_at" 10872 6311 9382
"179_at" 22024 32 18556
"1861_at" 20880 1758 17690
"200000_s_at" 5954 20319 19108
"200001_at" 9059 2419 16604
"200002_at" 20658 6547 17762
"200003_s_at" 11977 5664 17999
"200004_at" 10458 10913 18143
"200005_at" 9264 10947 6564
"200006_at" 10415 7987 17402
"200007_at" 10348 18650 8160
"200008_s_at" 8187 3608 5334
"200009_at" 6642 9003 7213
"200010_at" 20255 6654 18880
"200011_s_at" 6373 8577 17530
"200012_x_at" 20047 19779 17570
"200013_at" 12069 9503 18301
"200014_s_at" 7408 8319 7413
"200015_s_at" 8835 8418 19575
"200016_x_at" 20309 18350 18419
"200017_at" 20570 10580 19070
"200018_at" 15368 18954 17219
"200019_s_at" 11587 18300 16922
"200020_at" 5017 19227 4172
"200021_at" 21242 13049 17329
"200022_at" 12334 9370 5008
"200023_s_at" 10941 7729 18549
"200024_at" 12329 10145 18687
"200025_s_at" 20854 10883 18137
"200026_at" 15597 18919 17082
"200027_at" 8747 10699 8234
"200028_s_at" 7949 18301 7402
"200029_at" 20214 10835 16775
"200030_s_at" 9055 10801 16517
"200031_s_at" 15342 17912 7429
"200032_s_at" 15399 17916 7086
"200033_at" 10600 18339 20074
"200034_s_at" 20091 9615 17372
"200035_at" 10714 6033 6587
"200036_s_at" 11971 17878 6827
"200037_s_at" 10786 17668 18700
"200038_s_at" 15554 10613 16860
"200039_s_at" 5610 7660 8235
"200040_at" 5179 17740 18247
"200041_s_at" 8386 7806 16961
"200042_at" 6803 5954 18531
"200043_at" 9754 3009 18892
"200044_at" 8541 5167 7734
"200045_at" 4862 18750 3386
"200046_at" 8181 6361 6361
"200047_s_at" 6560 19922 17201
"200048_s_at" 7805 10018 19886
"200049_at" 10005 2707 19102
"200050_at" 6078 21021 7062
"200051_at" 2718 7345 5368
"200052_s_at" 7009 3992 18413
"200053_at" 10484 3486 6863
"200054_at" 8882 10916 4268
"200055_at" 5016 9204 6669
"200056_s_at" 9488 4133 20228
"200057_s_at" 10112 9567 5735
"200058_s_at" 8548 4972 7988
"200059_s_at" 10681 7857 7617
"200060_s_at" 4854 8105 8015
"200061_s_at" 15339 18907 17457
"200062_s_at" 20713 12912 17408
"200063_s_at" 20424 8961 18422
"200064_at" 7317 9136 7312
"200065_s_at" 6305 7892 3713
"200066_at" 11861 5499 5515
"200067_x_at" 8799 10534 3151
"200068_s_at" 7076 10000 16531
"200069_at" 4126 8725 18240
"200070_at" 7676 6466 16560
"200071_at" 9879 5171 21083
"200072_s_at" 6619 10521 5003
"200073_s_at" 12390 17896 7821
"200074_s_at" 11380 10253 16528
"200075_s_at" 7196 7426 3446
"200076_s_at" 9220 9796 2120
"200077_s_at" 20781 7359 17460
"200078_s_at" 6894 10312 5636
"200079_s_at" 5629 10970 5140
"200080_s_at" 21027 8810 7239
"200081_s_at" 20017 7500 17270
"200082_s_at" 12373 9365 8000
"200083_at" 8540 10148 7948
"200084_at" 10213 7091 19884
"200085_s_at" 8586 5641 7686
"200086_s_at" 7686 10461 17441
"200087_s_at" 9293 5678 6890
"200088_x_at" 15179 12917 17931
"200089_s_at" 20568 10028 7210
"200090_at" 9713 19156 7334
"200091_s_at" 21057 9207 16767
"200092_s_at" 20336 17937 17866
"200093_s_at" 21084 7043 17713
"200094_s_at" 10568 9808 16606
"200095_x_at" 20357 18510 16899
"200096_s_at" 2874 1512 18970
"200097_s_at" 12362 18845 17556
"200098_s_at" 7929 18460 17561
"200099_s_at" 15472 17763 19072
"200593_s_at" 9927 9964 20306
"200594_x_at" 5886 9325 16999
"200595_s_at" 7603 4397 17937
"200596_s_at" 9998 10465 6899
"200597_at" 8130 2443 1327
"200598_s_at" 4060 8813 4263
"200599_s_at" 7995 9596 6241
"200600_at" 8809 19822 14097
"200601_at" 7738 1446 19833
"200602_at" 7429 18171 19104
"200603_at" 9712 6865 17261
"200604_s_at" 2670 7304 3950
"200605_s_at" 4086 8134 7675
"200606_at" 20700 10384 17794
"200607_s_at" 6481 19826 3189
"200608_s_at" 20569 5807 17890
"200609_s_at" 6207 4906 4740
"200610_s_at" 12116 9643 18049
"200611_s_at" 8270 3775 19766
"200612_s_at" 4990 14 6609
"200613_at" 8514 8289 5104
"200614_at" 7344 18652 7073
"200615_s_at" 1332 2886 3152
"200616_s_at" 1536 20153 5415
"200617_at" 3092 9621 18116
"200618_at" 9972 2180 8161
"200619_at" 5282 18482 19029
"200620_at" 11379 2540 17316
"200621_at" 9317 8543 17911
"200622_x_at" 3201 3469 7416
"200623_s_at" 11679 21693 2619
"200624_s_at" 8117 4534 8050
"200625_s_at" 6727 18776 17245
"200626_s_at" 4714 19235 16577
"200627_at" 12363 18801 7692
"200628_s_at" 9672 4223 7901
"200629_at" 4187 3969 4681
"200630_x_at" 11098 19086 19234
"200631_s_at" 9984 10381 20209
"200632_s_at" 21440 3990 1525
"200633_at" 12210 18677 18122
"200634_at" 8735 3356 19445
"200635_s_at" 9685 4426 2198
"200636_s_at" 19214 6264 4250
"200637_s_at" 14164 10729 7534
"200638_s_at" 8063 7064 7924
"200639_s_at" 9963 2748 7558
"200640_at" 7421 5142 17398
"200641_s_at" 8633 18932 3046
"200642_at" 9221 4594 7655
"200643_at" 11309 1847 3512
"200644_at" 3955 10650 17959
"200645_at" 6154 6984 8006
"200646_s_at" 11644 20548 1785
"200647_x_at" 6444 7712 4984
"200648_s_at" 9624 5012 3073
"200649_at" 20964 8000 2019
"200650_s_at" 20438 19355 18065
"200651_at" 20174 8471 18451
"200652_at" 11897 1792 7278
"200653_s_at" 10063 8191 4593
"200654_at" 8137 2382 7462
"200655_s_at" 7018 10771 18128
"200656_s_at" 10419 2337 4867
"200657_at" 10453 19864 17654
"200658_s_at" 3042 3084 7927
"200659_s_at" 6318 5848 6745
"200660_at" 11555 3266 19307
"200661_at" 1038 7208 18144
"200662_s_at" 8522 20974 7625
"200663_at" 11070 8546 17983
"200664_s_at" 21418 5266 5192
"200665_s_at" 13563 14245 10676
"200666_s_at" 8361 7206 5333
"200667_at" 4915 18063 5512
"200668_s_at" 6896 18428 4288
"200669_s_at" 7544 6371 3227
"200670_at" 8139 2011 17150
"200671_s_at" 5839 2234 37
"200672_x_at" 568 19693 686
"200673_at" 8320 4413 19394
"200674_s_at" 11835 21040 8183
"200675_at" 6275 4607 20683
"200676_s_at" 2416 587 1961
"200677_at" 4299 17808 16555
"200678_x_at" 6458 6967 19787
"200679_x_at" 10474 17761 16960
"200680_x_at" 20665 9933 17400
"200681_at" 20042 17891 5645
"200682_s_at" 4282 5945 5430
"200683_s_at" 4303 18680 5412
"200684_s_at" 1064 2953 6912
"200685_at" 11062 21567 21722
"200686_s_at" 6961 2885 18770
"200687_s_at" 2823 8872 18730
"200688_at" 21538 21202 7720
"200689_x_at" 12010 18950 8004
"200690_at" 9794 10084 7375
"200691_s_at" 5804 17997 18277
"200692_s_at" 7670 17884 19506
"200693_at" 8711 5387 18884
