"inst_639" "inst_2473" "inst_2834" "inst_4396" "inst_4573"
"1007_s_at" 17634 18539 17831 2844 5848
"1053_at" 3012 20524 18041 2600 18099
"117_at" 3849 12072 14333 8159 4522
"121_at" 3501 19428 17627 11436 16573
"1255_g_at" 13382 5123 10050 4400 9801
"1294_at" 16000 18752 2896 1363 315
"1316_at" 4437 964 1794 17612 5582
"1320_at" 21032 6447 10933 13874 3676
"1405_i_at" 9899 15926 9124 7909 14078
"1431_at" 10551 530 17559 2070 20879
"1438_at" 18104 9835 1925 1671 4984
"1487_at" 2301 16929 5683 1548 15736
"1494_f_at" 1340 20333 1534 21277 2541
"1598_g_at" 6013 2499 7164 21539 2042
"160020_at" 3036 21883 21878 14325 5687
"1729_at" 19999 1171 16381 2479 19432
"1773_at" 20295 21374 5379 18785 19340
"177_at" 13327 11904 8323 1915 16963
"179_at" 3221 16895 3250 1012 4469
"1861_at" 3058 15139 4043 15474 2706
"200000_s_at" 19323 13219 15818 12745 5133
"200001_at" 17408 16957 4569 12029 5869
"200002_at" 15810 11534 16936 4360 7979
"200003_s_at" 16052 5102 6443 5989 10441
"200004_at" 15791 14172 6633 14068 8471
"200005_at" 16972 12409 6439 10579 7581
"200006_at" 8233 11719 6605 3928 7027
"200007_at" 6825 13967 4915 3359 6739
"200008_s_at" 17176 17907 16723 17740 16162
"200009_at" 16683 11788 7207 13344 7734
"200010_at" 6852 5105 5534 10442 17073
"200011_s_at" 15556 10359 5188 4319 6876
"200012_x_at" 7186 2055 16224 4118 15699
"200013_at" 18400 12164 15348 11267 8145
"200014_s_at" 17802 11558 15554 10355 7947
"200015_s_at" 16102 15946 3943 13882 16421
"200016_x_at" 6562 5012 4094 5887 8147
"200017_at" 7234 5250 7261 6138 15642
"200018_at" 16855 5234 6871 6128 8223
"200019_s_at" 19674 5200 15555 11187 6054
"200020_at" 17027 19873 4931 3364 7943
"200021_at" 7719 1858 16276 6275 10670
"200022_at" 7700 5129 6885 6016 5563
"200023_s_at" 18644 13203 6963 12091 5223
"200024_at" 18540 10859 6215 11787 7971
"200025_s_at" 8533 5230 15667 6125 6921
"200026_at" 20571 5409 16210 6281 14713
"200027_at" 7882 10504 5115 15508 4507
"200028_s_at" 16255 2970 15329 4019 3518
"200029_at" 16031 5178 5648 11077 7858
"200030_s_at" 8598 11312 6851 11639 15104
"200031_s_at" 16770 5221 18512 6115 10528
"200032_s_at" 8599 5254 6611 6141 17941
"200033_at" 7752 13156 15907 12942 15405
"200034_s_at" 8288 10208 6369 3193 7931
"200035_at" 8318 2835 6138 17106 17710
"200036_s_at" 7384 11493 5074 12952 15751
"200037_s_at" 17612 13749 3377 3901 5229
"200038_s_at" 7499 5383 6516 6248 16287
"200039_s_at" 7611 12497 15388 10983 2616
"200040_at" 8062 11605 16337 13965 17298
"200041_s_at" 8070 14289 7156 12727 16763
"200042_at" 15958 11574 2948 13078 16043
"200043_at" 3324 14135 5635 10395 19785
"200044_at" 7329 18146 17702 12734 3222
"200045_at" 5717 14793 3590 10633 6324
"200046_at" 19545 14142 4819 10257 3779
"200047_s_at" 1597 14267 4722 10531 3573
"200048_s_at" 16668 14252 7115 12546 6021
"200049_at" 7751 1206 4651 14077 3097
"200050_at" 18952 13381 16343 11987 18543
"200051_at" 21173 18307 17028 12226 19392
"200052_s_at" 17675 18204 6773 13259 7472
"200053_at" 18837 12876 15566 15390 21435
"200054_at" 15872 15515 17803 20343 4569
"200055_at" 6480 12297 5597 4244 5795
"200056_s_at" 2133 18963 3357 19320 5612
"200057_s_at" 19482 2838 5983 3221 8423
"200058_s_at" 7435 18356 17341 11378 15632
"200059_s_at" 5813 11671 5540 3891 15379
"200060_s_at" 6127 15391 20560 15413 15019
"200061_s_at" 8652 5219 15921 6113 10526
"200062_s_at" 6606 5081 10007 5972 10426
"200063_s_at" 5847 5297 10272 6180 10589
"200064_at" 8138 11525 17883 3759 7981
"200065_s_at" 16192 14845 16174 10745 6602
"200066_at" 4822 18950 5992 17430 18363
"200067_x_at" 3628 11787 17549 12845 6114
"200068_s_at" 5909 12253 6116 10993 4177
"200069_at" 6820 10018 4190 16701 7328
"200070_at" 7425 21786 17637 19722 15948
"200071_at" 6213 19441 15601 13951 2936
"200072_s_at" 20232 16864 19670 14556 18371
"200073_s_at" 5632 13940 16441 14851 17807
"200074_s_at" 15698 11509 5270 15462 15248
"200075_s_at" 16752 15625 16716 13566 16139
"200076_s_at" 20910 10341 19279 1979 2222
"200077_s_at" 8594 3163 17554 3379 7215
"200078_s_at" 17116 14948 18570 15222 6372
"200079_s_at" 16463 12730 16046 12085 7592
"200080_s_at" 6959 11720 7285 11863 5631
"200081_s_at" 8557 11539 15266 12333 6771
"200082_s_at" 17547 5283 15507 6164 16370
"200083_at" 17517 17050 15261 13975 4631
"200084_at" 7305 13736 5803 14096 15874
"200085_s_at" 19216 11933 18502 12523 4231
"200086_s_at" 16988 11319 18332 13303 1807
"200087_s_at" 15493 16476 18990 19214 17057
"200088_x_at" 15675 5095 10027 5984 10437
"200089_s_at" 7202 11772 15961 11961 17945
"200090_at" 17139 11074 3256 11417 5169
"200091_s_at" 2727 11330 5139 13976 15552
"200092_s_at" 5971 5310 4300 6189 18405
"200093_s_at" 16243 19112 15195 3551 7615
"200094_s_at" 19469 11046 18706 10466 8313
"200095_x_at" 16403 5393 16557 6259 10659
"200096_s_at" 15813 20304 20138 1779 5734
"200097_s_at" 5572 16186 18290 10777 7967
"200098_s_at" 16342 12606 15755 13001 4453
"200099_s_at" 7480 5314 10294 6191 15973
"200593_s_at" 19135 13439 16353 20543 16802
"200594_x_at" 16628 14230 5485 11373 16925
"200595_s_at" 4412 17186 6310 17443 15178
"200596_s_at" 4340 12922 5924 14037 18763
"200597_at" 17452 16420 2940 17291 18904
"200598_s_at" 20795 12796 5339 12669 6978
"200599_s_at" 4932 16679 15350 18621 17728
"200600_at" 13444 12848 14634 3063 14704
"200601_at" 3961 19548 17827 12337 1782
"200602_at" 16698 17494 865 3468 4236
"200603_at" 3588 18052 17162 18271 15711
"200604_s_at" 19149 21976 17253 13848 20419
"200605_s_at" 16721 19505 18407 15128 15475
"200606_at" 16451 19661 15697 10587 3861
"200607_s_at" 5734 19073 5816 4320 15461
"200608_s_at" 1778 16746 6326 17124 17002
"200609_s_at" 20339 2917 3031 3578 8140
"200610_s_at" 7160 15304 15367 10249 18388
"200611_s_at" 18338 16190 6971 10934 7245
"200612_s_at" 3087 13161 15519 20772 21476
"200613_at" 20666 15389 18491 10966 16242
"200614_at" 7503 11929 6061 11590 14911
"200615_s_at" 6253 2883 16680 12022 3441
"200616_s_at" 19295 2455 2139 3748 15081
"200617_at" 15974 16982 19660 15722 17226
"200618_at" 6239 11165 15972 10566 3978
"200619_at" 20700 12047 20545 2181 15792
"200620_at" 4619 15698 6678 16053 15881
"200621_at" 7270 11041 19633 3466 4764
"200622_x_at" 8345 2525 16393 12482 6704
"200623_s_at" 5531 138 1923 1626 4747
"200624_s_at" 4509 20593 17535 16845 8037
"200625_s_at" 4397 13311 5343 13444 15936
"200626_s_at" 4727 12698 4644 17557 4235
"200627_at" 6453 13083 6683 11368 15546
"200628_s_at" 8513 15091 4882 14284 16618
"200629_at" 5742 12849 15883 4206 15397
"200630_x_at" 536 3133 16325 10235 15677
"200631_s_at" 15714 12427 17134 4034 2934
"200632_s_at" 3874 10990 1216 13926 4576
"200633_at" 16099 10750 15666 6112 10525
"200634_at" 15628 12763 6210 12597 8096
"200635_s_at" 16437 17890 21305 11312 5403
"200636_s_at" 4377 688 2408 16703 17012
"200637_s_at" 6618 6188 2565 17973 2864
"200638_s_at" 7221 17201 15687 11564 7372
"200639_s_at" 16733 18886 16299 15884 15623
"200640_at" 18044 12346 17287 10670 6304
"200641_s_at" 18534 21296 5310 15969 16153
"200642_at" 16659 11846 17838 11125 6851
"200643_at" 19127 20419 1827 14826 21020
"200644_at" 6323 20248 18687 15025 17789
"200645_at" 4521 15031 6101 14508 15160
"200646_s_at" 19180 2188 21863 20938 15338
"200647_x_at" 19960 13692 16048 11314 4858
"200648_s_at" 16283 20174 19229 20563 16904
"200649_at" 18800 1042 3805 3086 17435
"200650_s_at" 6376 5046 6000 10349 10383
"200651_at" 15786 5370 15635 6239 17429
"200652_at" 5972 14650 15865 16704 15282
"200653_s_at" 2285 16971 5169 10931 15430
"200654_at" 16086 10864 18737 11589 8337
"200655_s_at" 7369 11487 4296 14229 7038
"200656_s_at" 17647 18032 5062 18292 19075
"200657_at" 17543 3065 17673 10254 6213
"200658_s_at" 20004 14636 18053 14282 18048
"200659_s_at" 19871 21163 4970 13831 5194
"200660_at" 6539 13402 4458 10460 17361
"200661_at" 20615 16409 6206 15187 14755
"200662_s_at" 6913 3088 3757 13577 5736
"200663_at" 8312 13290 7299 3395 6040
"200664_s_at" 18492 10583 19521 15226 7898
"200665_s_at" 9292 3940 12917 9429 151
"200666_s_at" 8130 21075 5288 17914 5940
"200667_at" 18280 2581 17714 11119 2729
"200668_s_at" 7707 12594 4908 15976 14976
"200669_s_at" 7296 17535 17604 16930 8155
"200670_at" 5179 17641 4456 16267 16482
"200671_s_at" 14700 5510 1032 1504 2067
"200672_x_at" 16330 15457 1298 19684 3185
"200673_at" 8485 13472 5932 12612 14716
"200674_s_at" 8179 5320 4765 6199 14936
"200675_at" 5750 13985 16042 14896 4913
"200676_s_at" 2171 21790 20038 19275 2670
"200677_at" 8159 18089 4302 3301 7496
"200678_x_at" 18001 14721 18474 12718 5609
"200679_x_at" 17549 10412 7083 15045 17800
"200680_x_at" 6847 2464 16858 6266 7368
"200681_at" 4228 12330 5799 13141 16028
"200682_s_at" 16779 15700 3247 4007 18456
"200683_s_at" 7922 17967 6841 3720 14897
"200684_s_at" 19879 20474 19544 10379 5542
"200685_at" 19096 10819 1240 18548 8227
"200686_s_at" 17031 19180 4760 12312 15034
"200687_s_at" 17577 15293 17403 15923 17711
"200688_at" 15504 10293 17649 13223 18282
"200689_x_at" 17411 10132 5083 3593 15224
"200690_at" 20188 17746 19331 16698 1956
"200691_s_at" 7483 13578 6644 10474 16056
"200692_s_at" 15452 20920 4616 19156 19757
"200693_at" 18025 17524 4125 13105 7632
"200694_s_at" 18468 15521 16796 12810 5418
"200695_at" 1104 15155 3570 11995 20088
"200696_s_at" 7308 10563 20933 2196 4362
"200697_at" 3968 10564 19198 14833 3119
"200698_at" 4157 16212 17625 15073 18324
"200699_at" 7854 16589 15361 11095 15600
"200700_s_at" 8518 16354 7223 11768 5943
"200701_at" 4244 16803 7251 14086 5599
"200702_s_at" 3977 16633 16297 16274 18267
"200703_at" 4627 13687 15851 12925 15560
"200704_at" 18884 10512 17118 13190 17314
"200705_s_at" 5205 5111 5951 11213 19268
"200706_s_at" 2823 15894 1600 16926 1672
"200707_at" 17272 18933 16919 17522 7180
"200708_at" 5256 16496 18858 12973 7796
"200709_at" 3562 13659 15161 17821 19312
"200710_at" 18671 15123 5587 12589 14748
"200711_s_at" 4180 19529 5292 18108 8489
"200712_s_at" 17015 21314 2241 13239 15047
"200713_s_at" 17670 10331 4515 10500 1813
"200714_x_at" 8255 14317 18059 17184 15521
"200715_x_at" 20574 12667 7274 11003 7229
"200716_x_at" 16594 5384 6307 6249 15538
"200717_x_at" 5482 5216 10164 6107 10523
"200718_s_at" 4766 12895 15695 6055 5077
"200719_at" 4329 13748 1746 20110 17772
"200720_s_at" 21244 15546 6628 15247 18139
"200721_s_at" 16555 18802 2345 2798 7572
"200722_s_at" 15885 19255 15331 12429 18268
"200723_s_at" 17745 13244 3433 11318 7690
"200724_at" 467 20247 18294 21674 21733
"200725_x_at" 16936 2689 7013 6064 15294
"200726_at" 5799 15570 17187 12359 15142
"200727_s_at" 7094 17002 3990 19928 4245
"200728_at" 17260 14970 3365 3670 8141
"200729_s_at" 6631 15665 4650 15177 15416
"200730_s_at" 16547 20439 4485 19311 16605
"200731_s_at" 3089 20436 7089 19638 16102
"200732_s_at" 8165 15809 5937 17234 16648
"200733_s_at" 3865 15581 1479 11486 21666
"200734_s_at" 8273 10795 6744 14365 4878
"200735_x_at" 17216 5308 16215 6187 15091
"200736_s_at" 12103 12940 12851 9893 5315
"200737_at" 17980 17358 18465 20424 7807
"200738_s_at" 6486 11123 15637 3924 14762
"200739_s_at" 20742 18885 5613 14388 16708
"200740_s_at" 7732 12568 3694 4078 6216
"200741_s_at" 6348 5083 15985 5974 10427
