"inst_1444" "inst_2127" "inst_2290" "inst_6021" "inst_7319"
"1007_s_at" 264 3866 8426 11978 8547
"1053_at" 2327 8106 18553 8428 6277
"117_at" 18069 17856 11238 13931 10784
"121_at" 19187 21229 9332 20175 3014
"1255_g_at" 8341 16289 13784 18582 14322
"1294_at" 21667 8629 9163 10646 2075
"1316_at" 1789 11272 21436 1593 141
"1320_at" 14625 20196 2086 20613 15809
"1405_i_at" 18430 16883 11781 16498 12766
"1431_at" 11999 2397 18637 4439 18148
"1438_at" 11466 450 8962 20917 1298
"1487_at" 17090 10800 4404 4846 5002
"1494_f_at" 794 21613 18587 1881 4600
"1598_g_at" 21104 5360 2253 11473 4286
"160020_at" 4688 8302 21743 798 8498
"1729_at" 21324 11051 20516 7244 941
"1773_at" 21258 20810 5505 830 10117
"177_at" 135 19927 15814 11917 1778
"179_at" 20897 10366 20140 19950 3078
"1861_at" 4904 9945 5943 4176 10844
"200000_s_at" 19521 1988 19398 9726 8978
"200001_at" 19811 10094 9539 9123 19193
"200002_at" 17479 10924 10846 11507 11218
"200003_s_at" 15371 11628 13119 11853 19267
"200004_at" 4764 20633 19481 12719 9941
"200005_at" 17876 7644 17054 9257 8581
"200006_at" 17441 20066 9607 10469 19887
"200007_at" 16313 8331 8891 5745 11001
"200008_s_at" 970 6228 19775 5003 20626
"200009_at" 1432 10690 19496 12829 19898
"200010_at" 3981 9374 18601 11037 9046
"200011_s_at" 18123 5936 17461 6734 7022
"200012_x_at" 15457 20604 18679 20334 10519
"200013_at" 5290 11213 17087 11275 10773
"200014_s_at" 19369 10158 8375 6757 7574
"200015_s_at" 21098 5663 8392 3920 6650
"200016_x_at" 21117 20621 13071 9903 19288
"200017_at" 19514 10793 12827 11951 10882
"200018_at" 16429 20966 12997 19423 19325
"200019_s_at" 4711 11115 10688 12734 10673
"200020_at" 554 9329 18554 8000 10644
"200021_at" 19790 20484 12875 14937 20338
"200022_at" 16341 20631 13168 12294 19467
"200023_s_at" 18130 20554 8642 7941 9834
"200024_at" 4891 9878 8311 19957 19690
"200025_s_at" 18355 10973 8404 12726 9174
"200026_at" 18439 21183 12902 20352 19085
"200027_at" 4638 9430 7927 8157 6862
"200028_s_at" 4356 10452 16887 10044 8158
"200029_at" 4569 11052 10986 19723 11427
"200030_s_at" 3485 10742 10529 12074 11359
"200031_s_at" 18596 20573 12822 14852 20395
"200032_s_at" 17979 20734 12826 19643 11387
"200033_at" 21677 11147 9313 10564 10707
"200034_s_at" 4480 10856 18674 19821 19416
"200035_at" 2316 299 18129 10758 3573
"200036_s_at" 18793 20822 10920 11348 9918
"200037_s_at" 17645 8381 8623 8373 7919
"200038_s_at" 15789 10743 13044 12411 20063
