"inst_1328" "inst_3264" "inst_4206" "inst_4790"
"1007_s_at" 17807 4928 16636 5324
"1053_at" 4664 20493 15980 20596
"117_at" 3442 17580 20044 8548
"121_at" 21464 2616 5180 13825
"1255_g_at" 11795 13015 13706 7277
"1294_at" 2085 21520 21312 2757
"1316_at" 15953 1558 16170 2917
"1320_at" 10391 4462 1919 4395
"1405_i_at" 3702 14556 21628 5413
"1431_at" 9220 15267 4511 19849
"1438_at" 8729 20187 2995 257
"1487_at" 4952 4703 16006 18240
"1494_f_at" 636 11849 10979 18530
"1598_g_at" 19207 1646 8406 20922
"160020_at" 20065 15110 20492 1304
"1729_at" 21858 2592 9393 3512
"1773_at" 6177 2335 17129 16171
"177_at" 5023 13153 21612 842
"179_at" 18266 5167 22066 21447
"1861_at" 18828 11422 18982 18050
"200000_s_at" 6421 8093 19691 5011
"200001_at" 5916 5238 17072 15826
"200002_at" 4010 9471 6416 5225
"200003_s_at" 16211 10111 11052 14548
"200004_at" 5749 5297 16413 3182
"200005_at" 5137 7295 8854 4953
"200006_at" 4769 10706 6478 16596
"200007_at" 4044 9937 8201 5293
"200008_s_at" 20427 9046 2034 20688
"200009_at" 16985 10311 15632 4524
"200010_at" 6198 11162 15316 17515
"200011_s_at" 4515 3219 18596 3427
"200012_x_at" 16208 20565 16095 6481
"200013_at" 5663 11898 8662 15789
"200014_s_at" 5285 7386 4983 17505
"200015_s_at" 5611 8504 6268 15042
"200016_x_at" 5108 9322 15309 14635
"200017_at" 6449 14698 11109 17755
"200018_at" 16343 14675 16064 17591
"200019_s_at" 3941 19832 15225 4868
"200020_at" 21461 10044 8385 13520
"200021_at" 16477 14928 11167 9000
"200022_at" 6459 19506 4884 14158
"200023_s_at" 5717 8934 7941 14962
"200024_at" 5660 11593 9235 15933
"200025_s_at" 4995 20037 9140 15730
"200026_at" 5065 11844 15334 17387
"200027_at" 4901 8905 6715 14226
"200028_s_at" 5835 8505 16813 14565
"200029_at" 16104 20609 16037 5043
"200030_s_at" 5765 10612 16650 14630
"200031_s_at" 5232 14658 11102 16013
"200032_s_at" 5955 19656 15317 14694
"200033_at" 4328 10836 8666 18353
"200034_s_at" 16546 11862 16096 13641
"200035_at" 782 10418 20011 3598
"200036_s_at" 4414 11296 8379 15344
"200037_s_at" 4722 5269 5108 15342
"200038_s_at" 16422 19838 16448 5945
"200039_s_at" 19635 11109 15663 16928
"200040_at" 6046 6454 9041 16319
"200041_s_at" 5119 7094 17355 4825
