"inst_2410" "inst_5081" "inst_5501" "inst_7441"
"1007_s_at" 20601 2834 3268 2335
"1053_at" 15960 20389 21361 20812
"117_at" 2449 13220 8077 8945
"121_at" 19592 8464 5436 1841
"1255_g_at" 8539 9008 9569 10697
"1294_at" 3533 84 1092 3697
"1316_at" 20618 8060 20584 3877
"1320_at" 9618 781 750 2705
"1405_i_at" 6818 11780 6361 7719
"1431_at" 11302 1450 6710 8956
"1438_at" 7828 21686 3535 9857
"1487_at" 17990 16785 16676 21614
"1494_f_at" 18954 1812 19814 7882
"1598_g_at" 19716 8193 19013 21938
"160020_at" 18125 8102 21075 12384
"1729_at" 15039 7087 18490 21548
"1773_at" 3077 20878 1849 2921
"177_at" 3056 20101 1169 8033
"179_at" 20526 21966 572 2508
"1861_at" 3026 19391 19027 17889
"200000_s_at" 18312 5766 3572 16316
"200001_at" 14882 18135 19807 5658
"200002_at" 6788 17322 15870 17758
"200003_s_at" 9587 10931 6035 7048
"200004_at" 18492 6264 15903 18504
"200005_at" 16516 7888 21115 18235
"200006_at" 18839 16156 16643 18070
"200007_at" 16100 14491 6150 5421
"200008_s_at" 4925 20217 21211 19098
"200009_at" 15164 17364 16732 18913
"200010_at" 7070 16702 7378 17793
"200011_s_at" 17014 5794 16015 6899
"200012_x_at" 6158 17981 6562 16612
"200013_at" 6647 14935 14293 17287
"200014_s_at" 18278 7848 16292 3912
"200015_s_at" 16798 15278 15446 19085
"200016_x_at" 5835 6233 6726 6468
"200017_at" 9481 15198 5702 16735
"200018_at" 9544 15619 14390 16694
"200019_s_at" 15940 15413 6500 18999
"200020_at" 17196 7018 16053 20680
"200021_at" 17254 11069 9807 7292
"200022_at" 14723 16480 18484 18454
"200023_s_at" 5713 5280 14816 7506
"200024_at" 7091 15562 16652 6770
"200025_s_at" 6011 8587 6795 17224
"200026_at" 9427 7875 6684 5763
"200027_at" 15760 15233 14827 7258
"200028_s_at" 17998 7629 19619 19217
"200029_at" 9346 15915 16326 6745
"200030_s_at" 5972 7378 7450 5708
"200031_s_at" 9453 10987 14598 17957
"200032_s_at" 9402 16442 6514 6966
"200033_at" 17184 7662 5857 19855
"200034_s_at" 6037 7688 17575 16439
"200035_at" 14635 7563 15200 19883
"200036_s_at" 5325 16815 7665 7148
"200037_s_at" 14949 7919 15001 16355
"200038_s_at" 9548 16248 16265 16861
"200039_s_at" 20678 17044 15738 19920
"200040_at" 14854 16680 15803 4322
"200041_s_at" 19756 7259 16187 19786
"200042_at" 14420 4836 6973 17774
"200043_at" 14755 5372 15260 2023
"200044_at" 18883 6139 6447 7162
"200045_at" 21124 7456 7730 19054
"200046_at" 20627 16008 16931 7311
"200047_s_at" 17763 15430 5888 4618
"200048_s_at" 17552 16864 16658 17745
"200049_at" 4245 2835 6622 5644
"200050_at" 17299 19679 15812 18894
"200051_at" 6362 20309 5214 19841
"200052_s_at" 18324 8210 20756 20132
"200053_at" 19176 16116 6448 1567
"200054_at" 6980 6703 6618 21946
"200055_at" 20456 5993 17702 16418
"200056_s_at" 15474 6043 15340 5054
"200057_s_at" 15295 5458 16238 16568
"200058_s_at" 17143 14536 5568 7108
"200059_s_at" 4518 15382 17523 5784
"200060_s_at" 19732 6420 7236 19766
"200061_s_at" 9579 10986 4437 17323
"200062_s_at" 9501 10922 9709 16377
"200063_s_at" 9493 14475 9776 17520
"200064_at" 15819 17389 19821 19479
"200065_s_at" 18594 14945 7682 4998
"200066_at" 4790 19917 5432 5192
"200067_x_at" 17211 15256 7034 3557
"200068_s_at" 14792 15580 4616 17473
"200069_at" 18887 15052 18274 19722
"200070_at" 16592 4637 18859 5414
"200071_at" 18591 17258 4569 19043
"200072_s_at" 20404 7530 6598 19223
"200073_s_at" 18126 7759 7759 19374
"200074_s_at" 6661 17404 16267 4713
"200075_s_at" 19259 17866 19946 20096
"200076_s_at" 16465 17303 17420 20143
"200077_s_at" 6962 6455 5387 7287
"200078_s_at" 16290 15574 14545 17386
"200079_s_at" 17150 15178 20499 20370
"200080_s_at" 6715 4764 7028 6384
"200081_s_at" 4664 16111 15090 6622
"200082_s_at" 7214 15406 14753 6970
"200083_at" 5484 5868 7500 17005
"200084_at" 14400 16514 16042 16350
"200085_s_at" 17787 15842 16318 17088
"200086_s_at" 15824 16571 16227 5422
"200087_s_at" 17564 5681 14502 5113
"200088_x_at" 9407 15441 14290 7397
"200089_s_at" 7243 16626 14924 5661
"200090_at" 7131 19379 6503 3062
"200091_s_at" 5019 17935 7013 6337
"200092_s_at" 7253 8725 5543 6491
"200093_s_at" 6784 7657 14520 17030
"200094_s_at" 5060 8670 6094 4825
"200095_x_at" 9503 11058 7819 16793
"200096_s_at" 18625 20781 19659 20490
"200097_s_at" 20207 3088 5649 16643
"200098_s_at" 20990 6463 18640 19725
"200099_s_at" 9461 7666 6119 6920
"200593_s_at" 15561 6642 17448 16927
"200594_x_at" 19291 5195 14695 16413
"200595_s_at" 18463 2102 4947 4925
"200596_s_at" 17806 6948 4249 4302
"200597_at" 21483 3365 20702 17203
"200598_s_at" 14850 19411 2555 2238
"200599_s_at" 18172 5874 2401 2496
"200600_at" 18245 4941 10548 12508
"200601_at" 18899 18902 20268 17421
"200602_at" 17470 5291 3248 2555
"200603_at" 5339 4874 4683 6881
"200604_s_at" 3035 18241 18427 4444
"200605_s_at" 5080 18362 14759 5768
"200606_at" 6943 4842 15670 5239
"200607_s_at" 16420 16147 18919 4437
"200608_s_at" 14506 4076 6932 4417
"200609_s_at" 19619 7331 15609 17735
"200610_s_at" 17167 4993 6420 19074
"200611_s_at" 18213 8317 18201 18970
"200612_s_at" 5398 6099 2097 6013
"200613_at" 18056 14881 17548 7471
"200614_at" 6382 15713 15590 6858
"200615_s_at" 14549 19747 21442 2681
