"inst_2542" "inst_5763" "inst_6105" "inst_6239"
"1007_s_at" 5367 10178 8531 8015
"1053_at" 8463 4735 17361 7551
"117_at" 19811 412 13988 15601
"121_at" 20743 12319 1918 19479
"1255_g_at" 18855 19062 14855 12260
"1294_at" 1399 20554 21552 3101
"1316_at" 20502 2024 21259 822
"1320_at" 19496 17390 434 9644
"1405_i_at" 1817 16946 576 2767
"1431_at" 19938 1617 1044 991
"1438_at" 14382 2001 20885 19558
"1487_at" 8898 1768 6726 8375
"1494_f_at" 8593 1844 21791 7906
"1598_g_at" 4806 21681 3351 2595
"160020_at" 5479 14054 19433 21287
"1729_at" 4000 6809 8465 1899
"1773_at" 1624 1233 3047 3847
"177_at" 13474 5756 690 13963
"179_at" 1110 1021 4015 8326
"1861_at" 13069 4779 16893 20102
"200000_s_at" 9457 6627 6358 20921
"200001_at" 3595 10242 17211 7174
"200002_at" 13109 12679 16690 5719
"200003_s_at" 15284 13645 12604 6503
"200004_at" 10796 13222 18384 17770
"200005_at" 8323 12554 8055 7366
"200006_at" 10994 11753 18151 5843
"200007_at" 8946 10750 10947 5085
"200008_s_at" 11643 9896 19026 19149
"200009_at" 11192 12746 19607 17188
"200010_at" 12783 12289 18189 7799
"200011_s_at" 5692 7247 6461 5400
"200012_x_at" 20579 20610 7545 18502
"200013_at" 12782 12584 11091 7761
"200014_s_at" 9416 12577 10794 6953
"200015_s_at" 10021 6643 10139 2574
"200016_x_at" 13416 14186 12543 6266
"200017_at" 15363 12799 12691 5013
"200018_at" 15355 13397 12684 6308
"200019_s_at" 12345 19832 10312 18338
"200020_at" 8509 11674 10923 7818
"200021_at" 15439 19898 12776 11703
"200022_at" 15295 12908 12617 17870
"200023_s_at" 9148 9232 10966 17451
"200024_at" 20106 14071 16818 6186
"200025_s_at" 15354 13041 12683 7841
"200026_at" 15442 20315 12778 7930
"200027_at" 10820 7194 10535 6851
"200028_s_at" 6546 9206 7725 2746
"200029_at" 15320 20261 10111 19783
"200030_s_at" 12420 20176 16453 7972
"200031_s_at" 15349 19999 12678 8095
"200032_s_at" 15367 20289 12693 17241
"200033_at" 10075 11708 17304 7563
"200034_s_at" 19868 20185 18388 18989
"200035_at" 2182 10910 3046 1413
"200036_s_at" 12487 11800 9611 17165
"200037_s_at" 11404 9277 17182 6349
"200038_s_at" 15425 13850 12759 17712
"200039_s_at" 11790 12138 10490 17464
"200040_at" 6790 10525 7778 6448
"200041_s_at" 8715 10196 18863 6347
"200042_at" 10778 10760 8763 1616
"200043_at" 7163 10698 18518 2738
"200044_at" 8425 11229 18052 6071
"200045_at" 11846 10294 7720 6937
"200046_at" 9557 10952 16596 18012
"200047_s_at" 5138 7265 17783 7856
"200048_s_at" 10006 7980 17427 3646
"200049_at" 10715 10476 16988 19289
"200050_at" 1351 7242 20445 8334
"200051_at" 1853 10837 6703 2788
"200052_s_at" 8774 7880 8827 7934
"200053_at" 6702 19830 21990 2191
"200054_at" 5381 7465 8379 20576
"200055_at" 12342 9694 7754 5089
"200056_s_at" 1950 5675 10816 4381
"200057_s_at" 12647 13726 16963 8230
"200058_s_at" 8038 8098 7992 18185
"200059_s_at" 10442 14063 11058 6869
"200060_s_at" 9853 8999 10045 7394
"200061_s_at" 15347 20664 12676 17914
"200062_s_at" 15273 15957 12590 17176
"200063_s_at" 15389 21058 12715 17555
"200064_at" 11029 12776 10919 6545
"200065_s_at" 10536 13427 11036 17764
"200066_at" 9584 13534 16457 8132
"200067_x_at" 11038 11182 18712 4965
"200068_s_at" 12333 13456 9667 6580
"200069_at" 4948 4382 7893 18581
"200070_at" 2212 2038 5547 18597
"200071_at" 7542 3144 7782 3965
"200072_s_at" 6828 13174 10558 6952
"200073_s_at" 9660 5776 8033 17473
"200074_s_at" 12337 11226 9039 6751
"200075_s_at" 6081 10851 17506 17286
"200076_s_at" 8495 5391 8450 7709
"200077_s_at" 12611 13186 9557 7488
"200078_s_at" 6992 10711 16632 3884
"200079_s_at" 6196 10005 17602 8454
"200080_s_at" 13092 13659 8380 3339
"200081_s_at" 13219 19877 19218 17180
"200082_s_at" 15382 14240 12707 18508
"200083_at" 5361 8601 7931 17723
"200084_at" 6912 8738 10133 5641
"200085_s_at" 11490 11018 16839 17662
"200086_s_at" 9982 8222 10140 8196
"200087_s_at" 8694 10796 17386 6073
"200088_x_at" 15281 20129 12599 17253
"200089_s_at" 12035 12121 17198 7949
"200090_at" 5678 11850 4992 17255
"200091_s_at" 12648 10811 11020 4443
"200092_s_at" 20558 21409 12721 6287
"200093_s_at" 8019 7955 7408 8188
"200094_s_at" 13355 13729 10292 18353
"200095_x_at" 15431 20090 12768 8361
"200096_s_at" 6051 13639 3974 8208
"200097_s_at" 7187 13144 18628 21011
"200098_s_at" 7114 9300 9439 5027
"200099_s_at" 15397 13779 12723 17991
"200593_s_at" 9179 5693 7820 4510
"200594_x_at" 7125 9376 10769 17776
"200595_s_at" 5217 5731 10750 6358
"200596_s_at" 10319 7400 16742 6214
"200597_at" 6492 8650 16720 18248
"200598_s_at" 7301 9147 17473 4506
"200599_s_at" 3036 8200 8833 2640
"200600_at" 9884 10395 21323 6662
"200601_at" 12768 13429 10773 17278
"200602_at" 4237 6201 3156 1256
"200603_at" 5046 7764 17571 5196
"200604_s_at" 1930 8189 7874 6411
"200605_s_at" 9110 12028 19411 4531
"200606_at" 1705 9853 8933 17592
"200607_s_at" 10502 11089 19288 6502
"200608_s_at" 10094 7902 10840 8337
"200609_s_at" 2646 14331 9101 20334
"200610_s_at" 9242 9174 10703 7430
"200611_s_at" 6069 4496 6976 6070
"200612_s_at" 640 10427 1544 19290
"200613_at" 5002 11103 10531 18412
"200614_at" 9535 20001 12608 7257
"200615_s_at" 8982 5805 9403 8090
"200616_s_at" 7912 11716 19828 6238
"200617_at" 6944 6950 7746 6801
"200618_at" 6531 11710 6731 7270
"200619_at" 2847 6232 3515 20452
"200620_at" 9049 20333 10543 6540
"200621_at" 6347 12084 9359 4201
"200622_x_at" 2536 12261 9883 20923
"200623_s_at" 19689 7246 6018 5249
"200624_s_at" 5554 7844 19210 6424
"200625_s_at" 7491 10898 8121 17354
"200626_s_at" 4340 13155 18576 2869
"200627_at" 12249 12926 10725 4608
"200628_s_at" 2947 10169 8572 6360
"200629_at" 9838 4153 5843 7372
"200630_x_at" 12856 12335 18363 7543
"200631_s_at" 12537 8858 8372 8038
"200632_s_at" 6037 5319 10997 20415
"200633_at" 11171 15988 12675 6526
"200634_at" 11466 11842 9885 7838
"200635_s_at" 15550 7712 8490 5389
"200636_s_at" 14804 2207 3789 4538
"200637_s_at" 14214 12095 4295 21869
"200638_s_at" 7981 10530 9787 8474
"200639_s_at" 12971 8719 8354 6606
"200640_at" 11039 12914 8269 19330
"200641_s_at" 5892 13051 17675 17877
"200642_at" 10724 12800 17072 17175
"200643_at" 10309 5533 2233 1524
"200644_at" 1485 10598 7597 7433
"200645_at" 7128 11984 16723 6935
"200646_s_at" 10337 6240 1040 652
"200647_x_at" 7849 6162 7344 2831
"200648_s_at" 1758 3644 10263 1278
"200649_at" 12187 2924 7064 17665
