"inst_1718" "inst_2868" "inst_5991" "inst_7289"
"1007_s_at" 17229 18459 3137 12673
"1053_at" 1885 14175 19799 16385
"117_at" 1165 9437 7134 7922
"121_at" 20286 16215 14966 2108
"1255_g_at" 7167 6648 11536 5972
"1294_at" 19265 16396 1685 8541
"1316_at" 16559 15730 20759 141
"1320_at" 14590 15550 17813 4490
"1405_i_at" 1507 5987 12820 4914
"1431_at" 9146 6263 2423 4729
"1438_at" 9774 16964 2386 12597
"1487_at" 21123 20523 17824 12973
"1494_f_at" 19436 1368 18362 10309
"1598_g_at" 16172 21728 19712 1383
"160020_at" 15986 20555 2526 21913
"1729_at" 559 20613 2128 19384
"1773_at" 7742 11050 17319 14515
"177_at" 21707 1176 35 10424
"179_at" 22079 1775 19857 20944
"1861_at" 1601 15257 17513 11402
"200000_s_at" 15887 16639 15808 1649
"200001_at" 1432 17814 17402 16316
"200002_at" 17065 10701 6020 12603
"200003_s_at" 15570 9962 14956 3081
"200004_at" 3849 10180 4557 13487
"200005_at" 15925 12435 7011 13358
"200006_at" 15523 11852 6171 12717
"200007_at" 4272 10580 5785 13436
"200008_s_at" 16441 10906 6359 12953
"200009_at" 15421 2272 14207 11503
"200010_at" 3100 2758 5408 11436
"200011_s_at" 3883 17563 14006 14722
"200012_x_at" 2848 2052 17106 3084
"200013_at" 15271 2926 14134 13738
"200014_s_at" 19289 14663 15174 14559
"200015_s_at" 15775 15746 15301 17907
"200016_x_at" 3583 2599 13629 12881
"200017_at" 3223 2979 13564 3035
"200018_at" 16218 2869 5316 13255
"200019_s_at" 17189 10131 15709 12167
"200020_at" 4462 11663 5642 15022
"200021_at" 18111 11747 8973 14367
"200022_at" 19999 2982 6975 12583
"200023_s_at" 16581 11792 13941 14907
"200024_at" 3603 10429 13717 3277
"200025_s_at" 15378 2849 13912 13034
"200026_at" 4316 10700 14306 3365
"200027_at" 18311 13052 14219 12611
"200028_s_at" 17205 17319 13667 13525
"200029_at" 18029 2714 13856 2333
"200030_s_at" 16789 10798 13617 11396
"200031_s_at" 16197 5149 8875 3278
"200032_s_at" 17117 10043 14667 12110
"200033_at" 16931 10578 5728 14112
"200034_s_at" 2785 2454 15621 12395
"200035_at" 16878 13969 15573 20028
"200036_s_at" 18232 12623 15538 14192
"200037_s_at" 18780 10264 3669 14703
"200038_s_at" 16392 2219 14172 3325
"200039_s_at" 15300 10473 4526 14352
"200040_at" 18068 12294 14675 14002
"200041_s_at" 16156 13812 13698 3258
"200042_at" 4030 11921 15347 12438
"200043_at" 17338 10333 7024 13175
"200044_at" 17629 11884 17331 14335
"200045_at" 4280 16321 17776 17743
"200046_at" 1712 18129 14378 17319
"200047_s_at" 4472 11925 6145 17247
"200048_s_at" 18336 13354 13591 14826
"200049_at" 21673 19315 16489 14175
"200050_at" 2180 15387 15533 17931
"200051_at" 21402 18280 20202 13003
"200052_s_at" 16199 12619 6426 15583
"200053_at" 3318 21046 2023 12423
"200054_at" 20188 18007 13755 17042
"200055_at" 15738 12959 14748 3202
