"inst_1492" "inst_1910" "inst_1992" "inst_4012" "inst_4130"
"1007_s_at" 3647 2304 15947 14646 10646
"1053_at" 18524 22146 18972 14124 10421
"117_at" 16992 8948 11706 9986 17295
"121_at" 8592 20314 5541 17329 5920
"1255_g_at" 14314 10806 13318 11261 13837
"1294_at" 21161 18342 2918 20565 20194
"1316_at" 830 9184 21875 18556 4156
"1320_at" 17377 6567 9487 1305 999
"1405_i_at" 12812 8955 5173 1988 19038
"1431_at" 3923 11171 9879 22043 8988
"1438_at" 5368 13650 9528 2669 1141
"1487_at" 3621 20152 1186 6628 3113
"1494_f_at" 21241 21954 4205 1800 13223
"1598_g_at" 8776 1156 5438 18286 3165
"160020_at" 255 18894 21415 19334 21484
"1729_at" 490 2246 1939 19685 20293
"1773_at" 21053 2397 11674 18235 2121
"177_at" 12067 5214 460 1746 19645
"179_at" 4713 19177 22177 36 11624
"1861_at" 4317 20684 3602 17815 1233
"200000_s_at" 7536 16625 20599 16238 20903
"200001_at" 7436 17004 20115 20224 6948
"200002_at" 17978 14663 18981 14998 11082
"200003_s_at" 19136 3145 3506 8572 13581
"200004_at" 7902 15263 6438 5638 7401
"200005_at" 4007 2182 6260 13791 12185
"200006_at" 9181 17643 6154 5635 11587
"200007_at" 5175 15586 3256 5210 12619
"200008_s_at" 18399 14420 20487 20584 8899
"200009_at" 8717 15092 5444 15505 12055
"200010_at" 7612 3339 18457 17388 9524
"200011_s_at" 5473 15134 18588 14433 9375
"200012_x_at" 18792 1170 18661 12583 21084
"200013_at" 19474 2407 6058 6223 11925
"200014_s_at" 8320 16171 4560 6091 7385
"200015_s_at" 9220 3724 4912 5333 9914
"200016_x_at" 6573 20233 4675 5532 19721
"200017_at" 20595 911 2989 8645 15744
"200018_at" 8598 3360 4651 8639 15734
"200019_s_at" 18447 16467 4522 13489 12204
"200020_at" 5913 14869 17895 5126 11951
"200021_at" 19300 1448 4105 8726 15878
"200022_at" 18660 1523 5048 17422 19454
"200023_s_at" 7212 17950 3465 3610 6913
"200024_at" 9927 1168 17728 6818 11903
"200025_s_at" 18510 3278 18780 4703 12484
"200026_at" 17977 21822 2270 12367 20502
"200027_at" 6835 19830 2958 6478 11058
"200028_s_at" 3650 19420 19100 15707 8239
"200029_at" 19400 15079 5578 12756 20451
"200030_s_at" 8787 14885 20268 12370 13186
"200031_s_at" 19441 3338 6003 8633 15723
"200032_s_at" 18800 17103 2810 5133 15747
"200033_at" 19891 19238 2062 4627 10005
"200034_s_at" 19089 3291 4524 6083 12096
"200035_at" 7476 22030 2924 19865 13741
"200036_s_at" 18480 15575 5837 12574 11312
"200037_s_at" 6876 19824 2078 6137 6183
"200038_s_at" 18271 17426 4536 13357 12122
"200039_s_at" 19195 3153 18882 14176 7454
"200040_at" 6292 17122 1021 16255 7313
"200041_s_at" 5664 3858 4666 12411 9168
"200042_at" 7895 15728 3823 4396 7392
"200043_at" 20218 647 17604 3005 11429
"200044_at" 4781 17728 6093 15016 7434
"200045_at" 5968 19119 4922 17083 12872
"200046_at" 8735 3907 20057 15879 7608
"200047_s_at" 9228 16613 1983 4965 8169
"200048_s_at" 7044 2854 17669 5098 9976
"200049_at" 7643 3092 20356 14571 4160
"200050_at" 10027 16991 17623 18202 12750
"200051_at" 7106 16248 17865 19112 10247
"200052_s_at" 18809 18224 3651 16447 7456
"200053_at" 20992 17099 19908 13430 3521
"200054_at" 5168 19863 17659 5300 11949
"200055_at" 18450 16786 2746 16216 19662
"200056_s_at" 3953 19646 2766 4398 3224
"200057_s_at" 18665 19813 2377 4694 19563
"200058_s_at" 9863 2664 3988 14336 10282
"200059_s_at" 20839 3268 20940 5322 8594
"200060_s_at" 9451 18653 18116 5602 10295
"200061_s_at" 19656 2076 6025 8631 19965
"200062_s_at" 12704 14386 2633 8565 15607
"200063_s_at" 21272 20455 2239 8669 20347
"200064_at" 18964 14597 20228 14859 10136
"200065_s_at" 6218 3077 4062 12726 11748
"200066_at" 21440 18443 17536 18185 7779
"200067_x_at" 3446 20275 5098 6437 10184
"200068_s_at" 18378 19397 17526 6095 11856
"200069_at" 9573 21151 3150 19016 8096
"200070_at" 2053 1801 4186 3042 9579
"200071_at" 18625 14699 4765 3127 2539
"200072_s_at" 10069 16286 21108 6138 12924
"200073_s_at" 18341 21524 497 4621 4866
"200074_s_at" 8643 15236 19236 6561 8653
"200075_s_at" 3284 3284 21180 14093 7663
"200076_s_at" 8777 17308 18485 15382 3735
"200077_s_at" 8264 16516 5035 5939 10355
"200078_s_at" 3827 16311 5230 12700 6861
"200079_s_at" 8612 16232 19333 14020 13152
"200080_s_at" 9773 21685 1548 4264 9298
"200081_s_at" 19598 16212 18180 15319 12090
"200082_s_at" 9711 1608 20457 13447 19402
"200083_at" 3786 16509 5704 17331 1658
"200084_at" 5944 19456 1681 13450 11157
"200085_s_at" 9313 14818 19202 17766 8825
"200086_s_at" 5774 2793 20117 13355 9863
"200087_s_at" 5947 15485 1652 6200 6319
"200088_x_at" 18967 15978 17940 12387 15618
"200089_s_at" 18538 3695 2223 6010 11136
"200090_at" 2634 17482 1827 5251 12084
"200091_s_at" 19520 21867 1631 3291 7070
"200092_s_at" 21128 15769 3856 13886 20992
"200093_s_at" 20391 15626 19262 3140 6973
"200094_s_at" 18106 3767 2144 18175 4158
"200095_x_at" 10116 15673 5209 8714 15866
"200096_s_at" 18972 3115 1708 17672 11485
"200097_s_at" 4743 15441 4411 12569 6471
"200098_s_at" 7068 2377 19657 14328 10196
"200099_s_at" 19213 17436 2206 4756 15798
"200593_s_at" 8849 20974 5591 13638 1603
"200594_x_at" 5861 17286 17326 16183 10644
"200595_s_at" 18785 16840 4697 2542 3468
"200596_s_at" 20528 16539 6174 6495 19673
"200597_at" 6439 1285 5131 14375 1712
"200598_s_at" 8493 15937 4710 2729 11119
"200599_s_at" 2924 20165 502 4029 10492
"200600_at" 11989 17668 2494 15286 13159
"200601_at" 7826 19010 3063 6806 12205
"200602_at" 8929 18153 1140 5295 1426
"200603_at" 8624 18583 1689 5711 4508
"200604_s_at" 6191 15555 20647 19039 10346
"200605_s_at" 20344 19497 5479 13322 9250
"200606_at" 18900 18874 9816 4753 5443
"200607_s_at" 10166 14560 3979 3479 11897
"200608_s_at" 18925 22178 1509 4304 4855
"200609_s_at" 8796 15765 2093 15586 9002
"200610_s_at" 19462 19674 3758 5572 10008
"200611_s_at" 8775 19551 17638 16902 8532
"200612_s_at" 9890 19534 4045 13042 21480
"200613_at" 5791 16921 1989 15777 7745
"200614_at" 8763 3886 4581 5604 12094
"200615_s_at" 8801 3381 3898 4690 12281
"200616_s_at" 6773 18500 19959 13670 11214
"200617_at" 9732 21442 19003 6876 20300
"200618_at" 5873 19267 1012 13095 8912
"200619_at" 20972 2161 20769 13915 11868
"200620_at" 5357 3220 19200 14548 7973
"200621_at" 8815 19651 2204 17375 4897
"200622_x_at" 9723 22165 18228 18266 8828
"200623_s_at" 4004 18582 5712 20297 9143
"200624_s_at" 7926 2173 21288 4060 3599
"200625_s_at" 2876 3544 4738 4026 9551
"200626_s_at" 2340 16724 1864 12507 6943
"200627_at" 8603 15075 4939 6896 10305
"200628_s_at" 20374 17713 20168 14856 2980
"200629_at" 938 18372 19933 3989 10051
"200630_x_at" 19382 2096 995 6301 19499
"200631_s_at" 18750 18134 3660 13818 12956
"200632_s_at" 914 14893 19177 13022 8657
"200633_at" 10118 2727 3773 8630 20548
"200634_at" 9844 991 17851 17178 5032
"200635_s_at" 19289 18932 16585 5511 6413
"200636_s_at" 10150 18378 8564 12355 10989
"200637_s_at" 20655 17788 12180 13072 13340
"200638_s_at" 19686 17995 3451 6552 11798
"200639_s_at" 18548 338 4730 3959 19489
"200640_at" 17953 15853 5011 13821 11198
"200641_s_at" 19304 15915 21236 4165 12012
"200642_at" 9392 1655 17632 6035 11478
"200643_at" 21349 16533 910 4411 1067
"200644_at" 9965 2400 21982 13995 8358
"200645_at" 3017 14685 5132 16065 12743
"200646_s_at" 1580 8548 9514 20869 1140
"200647_x_at" 8756 17037 17844 12527 13632
"200648_s_at" 21902 5127 20207 14462 6041
"200649_at" 8919 3165 5812 19095 13136
"200650_s_at" 7557 16261 17693 8535 11835
"200651_at" 9424 17376 17260 12390 10607
"200652_at" 6255 3415 17939 5372 2154
"200653_s_at" 19401 16106 1515 14403 2616
"200654_at" 6288 14835 5672 5559 12763
"200655_s_at" 7239 15009 3550 4109 11306
"200656_s_at" 8233 18866 1244 18395 6158
"200657_at" 6759 3231 18895 14641 13591
"200658_s_at" 4859 2364 18002 20341 9427
"200659_s_at" 6230 3969 21445 19186 10165
"200660_at" 19360 3001 5455 14610 9729
"200661_at" 19958 3688 19743 18791 9525
"200662_s_at" 4499 3110 1380 13394 7348
"200663_at" 10132 2942 3058 14943 7172
"200664_s_at" 19165 2950 18056 16647 11718
"200665_s_at" 10645 8485 6542 11468 15016
"200666_s_at" 6785 2752 6177 5810 4148
"200667_at" 8941 17135 6384 17376 7835
"200668_s_at" 5842 21612 2395 4290 12578
"200669_s_at" 7481 2729 17791 6224 7123
"200670_at" 19229 21148 18387 1436 3306
"200671_s_at" 524 9346 10399 3409 7912
"200672_x_at" 3727 2297 412 18545 10332
"200673_at" 7908 16996 5846 4655 3022
"200674_s_at" 19012 3236 5094 5996 21032
"200675_at" 3336 19595 3724 18551 4127
"200676_s_at" 18036 820 1733 18034 11067
"200677_at" 2471 17098 20639 3827 4930
"200678_x_at" 4495 3199 5090 15743 4150
"200679_x_at" 21204 14385 3687 3755 13402
"200680_x_at" 20057 16046 17906 5624 19830
"200681_at" 8090 14834 6002 6434 8079
"200682_s_at" 9218 14960 5677 17606 10127
"200683_s_at" 8340 1101 18883 15981 9483
"200684_s_at" 3331 20838 22094 20367 9403
"200685_at" 9842 22198 1467 18786 4265
"200686_s_at" 6495 14568 325 5202 3294
"200687_s_at" 5167 2841 2568 18330 7969
"200688_at" 8398 21378 21458 21198 7119
"200689_x_at" 7880 14507 17621 15798 19774
"200690_at" 20905 3237 6321 2627 9194
"200691_s_at" 6877 17983 1557 15002 13507
"200692_s_at" 20193 19842 3998 3143 4868
"200693_at" 8540 17274 20221 13464 6661
"200694_s_at" 8273 17196 5969 16457 8592
"200695_at" 2672 16787 6239 21422 6699
"200696_s_at" 18487 20252 2816 20882 20265
"200697_at" 8552 3068 21972 17221 10570
"200698_at" 8428 17821 2738 15210 7997
"200699_at" 6924 14426 4812 17354 10347
"200700_s_at" 4596 18357 17969 5436 11339
"200701_at" 6962 15529 20637 16072 12241
"200702_s_at" 6769 17824 22084 13166 12327
"200703_at" 5326 2786 2000 12414 2534
"200704_at" 8134 20927 17757 12719 12087
"200705_s_at" 8471 15813 5788 15457 13089
"200706_s_at" 5941 3675 21142 19132 6363
"200707_at" 6100 3568 3204 18447 13585
"200708_at" 4586 17330 17964 14040 10656
"200709_at" 19651 15799 20419 5241 3855
"200710_at" 2031 20825 3619 17756 11366
"200711_s_at" 3619 17445 5104 6296 11371
"200712_s_at" 19267 2179 21741 6843 7771
"200713_s_at" 6408 3918 6259 17874 20120
"200714_x_at" 9577 1324 21189 13742 12748
"200715_x_at" 4695 14916 3803 17563 11087
"200716_x_at" 8158 15188 5140 14072 15860
"200717_x_at" 19412 1550 6347 8627 15716
"200718_s_at" 18776 2503 847 13750 12987
"200719_at" 5050 2456 5904 17129 9872
"200720_s_at" 6268 17801 17521 16895 3832
"200721_s_at" 5508 15844 17720 18661 6930
"200722_s_at" 7875 3033 4711 5667 4734
"200723_s_at" 18175 17020 5257 5429 10625
"200724_at" 21804 6499 9159 2596 21415
"200725_x_at" 9128 16169 18018 13698 19813
"200726_at" 17979 18048 19795 6749 10140
"200727_s_at" 9486 22013 17578 13179 12009
"200728_at" 20050 17394 18392 4365 11235
"200729_s_at" 18655 18580 5976 15527 2461
"200730_s_at" 9884 16833 143 15399 12757
"200731_s_at" 19509 20564 85 4876 11678
"200732_s_at" 19701 2633 4760 15355 12783
"200733_s_at" 18817 20724 262 2461 2853
"200734_s_at" 3163 19300 4778 3637 20254
"200735_x_at" 10178 17816 2789 14816 15792
"200736_s_at" 13569 2932 17707 18262 16365
"200737_at" 7610 18576 2899 15951 5439
"200738_s_at" 18465 20120 4772 6102 10147
"200739_s_at" 17932 2299 20044 13737 6932
"200740_s_at" 9229 20430 6147 6888 9808
"200741_s_at" 20166 4004 5692 8566 15609
"200742_s_at" 4086 18957 18117 14438 6753
"200743_s_at" 6239 3876 19087 15246 8499
"200744_s_at" 7751 15461 4850 14966 11316
"200745_s_at" 19388 14734 18214 6573 9038
"200746_s_at" 9408 17528 3091 12648 6485
"200747_s_at" 8447 21621 3153 18656 12153
"200748_s_at" 18884 17302 4919 18101 19415
"200749_at" 6860 19760 1217 6240 12494
"200750_s_at" 19337 3600 3322 5490 13065
"200751_s_at" 9240 1346 5938 16787 7016
"200752_s_at" 4017 21325 1743 15486 7332
"200753_x_at" 9377 17243 21032 13391 4098
"200754_x_at" 7946 19572 18668 13519 11976
"200755_s_at" 2664 16532 6066 12502 1880
"200756_x_at" 1815 1174 18934 13236 19582
"200757_s_at" 2940 15208 1945 18513 8181
"200758_s_at" 7301 17753 5167 19451 4834
"200759_x_at" 2584 1610 3652 17804 9881
"200760_s_at" 8050 17737 20396 13549 10222
"200761_s_at" 4928 15121 19841 4171 1316
"200762_at" 3792 20842 648 14755 11644
"200763_s_at" 9759 16354 17907 6868 13228
"200764_s_at" 21063 13144 8304 12116 6615
"200765_x_at" 9341 10321 13859 10559 10621
"200766_at" 1205 20373 20045 6791 994
"200767_s_at" 4281 20904 21283 18053 8256
"200768_s_at" 4877 1868 19436 5688 20287
