"inst_1138" "inst_2323" "inst_2362" "inst_3779" "inst_3860" "inst_3971" "inst_4336"
"1007_s_at" 3361 8024 16193 3518 5194 4303 7202
"1053_at" 4497 19878 20819 14487 6904 16685 7382
"117_at" 9512 15662 15550 749 4161 6217 14697
"121_at" 16234 20357 21154 6149 5882 3862 20549
"1255_g_at" 10142 13658 7058 10096 12176 8726 11586
"1294_at" 9379 2568 21397 2559 1490 621 757
"1316_at" 15714 7347 14065 5879 10609 2251 813
"1320_at" 10573 13104 7922 15111 7510 3294 6007
"1405_i_at" 10708 13867 17484 6685 12258 113 13843
"1431_at" 12474 8595 679 992 20129 860 19349
"1438_at" 16250 5532 9626 17247 8120 2077 4323
"1487_at" 161 6615 2794 11690 20210 3157 15491
"1494_f_at" 17826 4677 11985 13143 21860 2201 21568
"1598_g_at" 19803 7135 16501 6113 8170 12854 16005
"160020_at" 7710 174 57 21946 20641 1851 20816
"1729_at" 398 9015 20257 15689 8265 3637 3922
"1773_at" 17791 3800 13548 20161 1171 15442 19064
"177_at" 8698 18850 2620 2268 10418 341 5815
"179_at" 15090 1022 5892 21990 11780 11660 1427
"1861_at" 6248 4876 21116 14850 18940 3955 1719
"200000_s_at" 5824 17220 17719 12431 11734 11033 15964
"200001_at" 6627 7565 16448 12325 20443 11947 18859
"200002_at" 5606 18579 18059 13140 11384 5367 7569
"200003_s_at" 21132 12289 13246 7916 14004 7317 10928
"200004_at" 4705 10093 15229 5560 10224 11135 15739
"200005_at" 4917 5050 12597 17981 9201 14346 7865
"200006_at" 7301 9463 15041 6209 10565 11336 6117
"200007_at" 6886 6177 14059 13478 7445 5011 8806
"200008_s_at" 5250 7645 17168 20791 10054 16324 15961
"200009_at" 7345 17840 15070 17964 11922 11610 8688
"200010_at" 7876 8678 14514 13729 10469 4922 7877
"200011_s_at" 3320 18333 19752 5625 9180 15699 19000
"200012_x_at" 8152 9003 3372 11855 19415 5581 15730
"200013_at" 20365 17229 14653 12139 10891 4803 15567
"200014_s_at" 4292 7615 15886 11908 5508 14597 7271
"200015_s_at" 6835 10140 19157 4484 5815 5504 7264
"200016_x_at" 21411 17551 3794 7860 10328 12116 6375
"200017_at" 20469 12173 13963 7994 14120 7435 11015
"200018_at" 20110 12215 3463 7988 14109 7424 11005
"200019_s_at" 21635 8891 17073 12126 20145 5358 4807
"200020_at" 4022 5071 16055 12091 10612 16556 15290
"200021_at" 19910 12180 3519 8081 14241 7556 11126
"200022_at" 20285 17522 13484 12651 11949 7337 7366
"200023_s_at" 4859 9264 16525 6157 19200 13555 6271
"200024_at" 3375 7531 2902 4678 19297 5120 8088
"200025_s_at" 20176 18814 12946 5916 11667 7420 6906
"200026_at" 3690 12217 6668 8083 19425 7561 7537
"200027_at" 5368 7255 15571 12871 9745 15165 6867
"200028_s_at" 4216 16693 16406 14289 10686 17071 16115
"200029_at" 7092 17169 3058 11907 19344 4555 16298
"200030_s_at" 5687 9761 14896 11673 19213 13314 16835
"200031_s_at" 20782 12150 6432 7981 14100 7412 10998
"200032_s_at" 20607 12177 6558 7995 14123 7440 15017
"200033_at" 4582 9991 14183 4305 7866 5571 16490
"200034_s_at" 21064 19223 14077 5705 9454 7324 16861
"200035_at" 592 1674 1486 3138 2349 3840 18102
"200036_s_at" 20543 17941 13881 17487 19866 11517 6367
"200037_s_at" 20730 6720 14373 5524 8020 16213 5315
"200038_s_at" 20808 16463 6495 12921 14220 7532 6864
"200039_s_at" 5307 6598 17870 13329 19164 5539 7908
"200040_at" 6255 18208 17981 14582 19028 14927 15550
"200041_s_at" 6183 8376 14572 12473 9679 4942 20227
"200042_at" 20919 10239 18360 16322 9837 5060 7795
"200043_at" 7754 19520 16694 2156 10607 3764 6905
"200044_at" 1052 9612 18423 14064 19068 14602 15246
"200045_at" 3885 7276 16741 6379 20898 13597 17535
"200046_at" 1299 16392 15253 5118 7587 3690 5262
"200047_s_at" 6474 6459 18685 14106 18040 16167 4787
"200048_s_at" 4818 8814 15260 14132 10790 13387 9221
"200049_at" 1818 18965 15994 11979 4755 15353 9132
"200050_at" 1196 8087 14559 19861 3493 12449 4089
"200051_at" 21712 6780 19035 6472 8695 19171 6842
"200052_s_at" 5494 9983 16542 18974 9663 11884 15042
"200053_at" 3880 17831 20603 19118 714 20946 19961
"200054_at" 3031 9278 17732 12976 9811 11778 5344
"200055_at" 1725 6675 15957 14455 20818 4298 15384
"200056_s_at" 1722 16666 15397 5430 4627 14150 6740
"200057_s_at" 7242 8137 13704 5195 11363 14353 16543
"200058_s_at" 6357 9818 16915 16575 6375 4584 7936
"200059_s_at" 20373 9052 17748 12756 9162 11726 15914
"200060_s_at" 4799 16247 19681 11932 7523 4682 9067
"200061_s_at" 20338 12334 12641 7980 14098 7410 16223
"200062_s_at" 20568 12377 13097 7905 13983 7301 10917
"200063_s_at" 21797 16675 3370 8021 14164 7471 11047
"200064_at" 7016 9459 14210 13374 8306 3644 18341
"200065_s_at" 6376 5212 3739 5967 18067 4519 7712
"200066_at" 20039 8116 12355 20953 11281 13364 16007
"200067_x_at" 5209 9119 14071 14354 10836 14709 9223
"200068_s_at" 5984 8772 18127 5640 18607 4096 8027
"200069_at" 3824 17720 17308 20528 18937 21453 16210
"200070_at" 2201 3468 18723 3855 7742 11599 6641
"200071_at" 5913 8795 20932 5473 6830 15964 14937
"200072_s_at" 6922 6152 12798 16595 7954 5450 20250
"200073_s_at" 21196 17467 15603 3441 10011 17515 6853
"200074_s_at" 5013 16975 13056 12718 10090 14132 16342
"200075_s_at" 2080 8789 18726 5896 19490 12148 18241
"200076_s_at" 1120 4427 12260 5183 20184 3925 8821
"200077_s_at" 21468 16899 12928 5004 11352 4291 6942
"200078_s_at" 4506 5173 12535 6462 18341 12685 4700
"200079_s_at" 5345 6391 16835 18827 18994 15990 15991
"200080_s_at" 5300 19027 13988 3666 10255 12399 6717
"200081_s_at" 7767 17375 14484 15939 10875 13073 16556
"200082_s_at" 8121 16934 3764 12684 18719 7457 20168
"200083_at" 5143 19364 15851 12888 6942 18524 6549
"200084_at" 3267 6776 19390 17160 6086 12566 8817
