"inst_1602" "inst_3217" "inst_5298" "inst_6699"
"1007_s_at" 19534 20757 20387 7302
"1053_at" 2367 17626 14141 7509
"117_at" 14100 967 4578 13667
"121_at" 19061 19688 1296 19131
"1255_g_at" 8481 10454 3855 12942
"1294_at" 20922 15953 8572 21528
"1316_at" 8112 21294 1617 22260
"1320_at" 5871 172 4560 21456
"1405_i_at" 19734 435 5102 21346
"1431_at" 9027 5910 12065 21419
"1438_at" 15097 19956 821 925
"1487_at" 20542 17061 13155 7492
"1494_f_at" 5473 1182 6561 20636
"1598_g_at" 1394 21358 19379 9010
"160020_at" 20860 18317 205 20670
"1729_at" 21709 20924 20570 19855
"1773_at" 4903 4235 14248 17905
"177_at" 20807 9968 7966 6647
"179_at" 20112 18221 2278 1962
"1861_at" 8650 20727 767 9957
"200000_s_at" 3564 13965 719 6457
"200001_at" 1671 16338 16149 5461
"200002_at" 16739 7305 13945 6843
"200003_s_at" 17228 13680 3042 12294
"200004_at" 16756 17418 16390 7223
"200005_at" 18390 7206 18242 5163
"200006_at" 3420 13860 17250 10804
"200007_at" 18375 15317 14854 10714
"200008_s_at" 20980 14123 14055 3271
"200009_at" 1822 14119 15845 7024
"200010_at" 16880 14979 14430 3351
"200011_s_at" 17007 17034 17687 6541
"200012_x_at" 4766 7238 2006 17070
"200013_at" 4341 6365 15393 17704
"200014_s_at" 17403 17780 19805 16673
"200015_s_at" 17984 6588 15335 9290
"200016_x_at" 4123 14019 3619 16693
"200017_at" 4248 9201 13059 17383
"200018_at" 18177 9196 2856 18723
"200019_s_at" 19686 4850 13749 17591
"200020_at" 18255 4470 18201 4305
"200021_at" 5276 9270 13282 17517
"200022_at" 19559 6183 13960 9316
"200023_s_at" 4363 14115 17208 17165
"200024_at" 5127 5932 3341 16973
"200025_s_at" 17004 14813 2279 18010
"200026_at" 1395 9272 2972 10625
"200027_at" 5353 14930 18145 17720
"200028_s_at" 4633 17254 18938 4489
"200029_at" 16938 5670 14153 9180
"200030_s_at" 3745 6738 14763 9189
"200031_s_at" 3779 9189 3215 12341
"200032_s_at" 5186 9203 13171 18792
"200033_at" 3835 14842 2552 9939
"200034_s_at" 17761 13863 18915 8247
"200035_at" 19861 17847 21285 4277
"200036_s_at" 17803 13607 17991 19374
"200037_s_at" 17457 16028 15242 18659
"200038_s_at" 16699 6475 13598 8589
"200039_s_at" 16661 15991 16366 10729
"200040_at" 5374 6985 16948 5630
"200041_s_at" 5037 7082 18435 7889
"200042_at" 16629 4446 2615 6041
"200043_at" 4279 17032 18891 8308
"200044_at" 20665 16022 13439 6633
"200045_at" 2637 6816 19212 6284
"200046_at" 2849 17696 15471 5554
"200047_s_at" 20258 17057 15716 6323
"200048_s_at" 19042 14128 17219 19757
"200049_at" 21403 18352 18199 5264
"200050_at" 19221 2985 15819 18063
