"inst_2438" "inst_3300" "inst_5341" "inst_6741"
"1007_s_at" 2468 3685 3047 12749
"1053_at" 3129 19036 18862 7036
"117_at" 1225 13876 15007 10784
"121_at" 17803 18412 18227 2184
"1255_g_at" 13445 13112 15606 11714
"1294_at" 20051 21515 14845 21128
"1316_at" 16472 1724 18765 20883
"1320_at" 13211 14522 16332 3170
"1405_i_at" 16490 14719 15470 10528
"1431_at" 20968 5924 11575 2545
"1438_at" 6177 8490 18750 21380
"1487_at" 1733 19171 1845 12675
"1494_f_at" 6874 20942 11237 14678
"1598_g_at" 21287 883 5286 2630
"160020_at" 21970 19706 21735 19393
"1729_at" 895 3478 20448 19134
"1773_at" 20887 3531 7692 21029
"177_at" 3815 11251 10916 21172
"179_at" 20486 20729 21775 3566
"1861_at" 6276 8111 2333 13624
"200000_s_at" 16696 4641 4724 15532
"200001_at" 5934 7706 5570 15834
"200002_at" 16430 19735 8547 13120
"200003_s_at" 11228 13078 6403 8343
"200004_at" 8918 17997 6547 5468
"200005_at" 7598 6743 5059 6523
"200006_at" 8524 8732 8351 13795
"200007_at" 7069 7802 6227 12564
"200008_s_at" 2856 8744 7434 12929
"200009_at" 8475 9493 20050 4540
"200010_at" 15957 18542 7312 3187
"200011_s_at" 6323 7126 4887 5405
"200012_x_at" 18660 9882 18650 14132
"200013_at" 8982 18439 8014 5501
"200014_s_at" 16072 8303 19691 13706
"200015_s_at" 17119 10028 5826 18164
"200016_x_at" 11116 20026 18169 13620
"200017_at" 11394 13268 18308 15011
"200018_at" 11377 13242 19293 6899
"200019_s_at" 11327 18764 6632 5942
"200020_at" 4806 4904 4208 5165
"200021_at" 19006 19479 19084 8465
"200022_at" 11256 13117 7280 5174
"200023_s_at" 16133 7523 18998 14925
"200024_at" 7750 10491 3881 6414
"200025_s_at" 11374 19321 7245 14327
"200026_at" 11569 13479 18942 5079
"200027_at" 8842 7090 5869 15043
"200028_s_at" 8450 7551 2506 12817
"200029_at" 11307 9760 8097 5148
"200030_s_at" 15954 8524 5820 6896
"200031_s_at" 11363 13225 17737 8392
"200032_s_at" 11398 13271 19436 13479
"200033_at" 7509 18659 6581 13063
"200034_s_at" 7651 10292 6525 5350
"200035_at" 3822 7723 2857 14154
"200036_s_at" 8053 8330 5446 12939
"200037_s_at" 9024 19794 7369 6528
"200038_s_at" 11535 13437 6252 12900
"200039_s_at" 17690 4325 7206 13451
"200040_at" 6341 9762 3938 5348
"200041_s_at" 17147 7343 5402 5505
"200042_at" 4512 4960 5065 14453
"200043_at" 19324 8824 7159 18454
"200044_at" 6329 18606 20379 5105
"200045_at" 8944 2837 5607 6925
"200046_at" 6208 9854 7006 5820
"200047_s_at" 7740 19301 5603 6695
