"inst_5925" "inst_5930" "inst_5972" "inst_5977" "inst_6893" "inst_6898" "inst_7083" "inst_7088" "inst_7506" "inst_7523" "inst_7528"
"1007_s_at" 7051 8552 8968 14001 14290 8079 17326 17838 6807 18126 15430
"1053_at" 6063 18506 18962 15437 15408 18064 18973 4529 4613 13976 18244
"117_at" 2642 10106 12624 12710 2821 10059 7861 15498 12112 8494 8958
"121_at" 2133 1570 18308 15329 13687 4812 16081 2316 1211 15950 19727
"1255_g_at" 10610 14538 17181 11311 7307 16127 8341 12501 9788 9781 9970
"1294_at" 18909 19504 2834 18332 17962 11881 12454 8740 8883 14295 7892
"1316_at" 2399 1348 21412 3682 13315 9475 12530 8274 15180 1763 18672
"1320_at" 13364 10985 19326 2743 6455 16998 12869 11801 13689 9124 13700
"1405_i_at" 15441 10301 20327 19955 7409 13481 11877 12701 9934 12982 13169
"1431_at" 21831 18101 422 21399 15477 17567 6489 11321 8593 12392 12038
"1438_at" 294 17318 5824 21348 22249 8971 14215 20361 16711 3095 21331
"1487_at" 5475 663 8744 2062 2105 9407 4112 170 1238 16725 141
"1494_f_at" 1804 10192 11553 6303 1924 16614 5078 8696 1514 18386 16441
"1598_g_at" 15641 19654 2334 4930 3380 8382 20133 2583 21558 2040 21524
"160020_at" 1317 20085 5637 398 20688 4146 2212 21271 8275 351 3202
"1729_at" 2121 8486 1495 14981 15993 9630 569 17777 19216 919 20746
"1773_at" 6090 20232 22031 16243 21414 22029 11500 21629 12000 13920 16116
"177_at" 533 20966 20083 21433 21300 3263 5081 10672 13809 22060 7928
"179_at" 18509 550 1694 5841 3974 21570 5996 21859 16987 20538 14286
"1861_at" 17607 15825 1101 18713 18815 20126 19385 20565 1587 3220 15494
"200000_s_at" 3811 3724 11631 4983 21153 9480 21470 7394 15252 19208 18308
"200001_at" 4364 17481 6978 18150 19538 18635 20630 3612 14425 13903 14956
"200002_at" 8340 16033 17644 15937 14916 8244 15474 17631 13862 14184 5288
"200003_s_at" 11562 11492 14567 11279 11942 19357 15862 7568 15213 13813 4036
"200004_at" 16168 6460 5902 8555 2450 7427 16054 7410 14952 14471 14424
"200005_at" 5849 8723 10051 6373 16267 6979 14728 3973 15317 16985 15764
"200006_at" 6941 5808 10455 8493 11174 6242 14597 7023 14407 14155 6630
"200007_at" 16171 16314 5987 16797 4141 9518 16537 8361 17228 14480 15730
"200008_s_at" 2607 16210 1518 15147 6860 9892 22056 18989 18976 17362 19557
"200009_at" 7006 18502 9993 15042 11553 7430 16579 8458 14222 14580 14967
"200010_at" 8870 15198 9950 17391 13922 8232 14494 20286 15776 6670 15955
"200011_s_at" 7675 7124 5263 18204 14283 6581 15924 5674 16268 16905 15018
"200012_x_at" 11481 15780 18639 11194 4316 18828 3489 18618 14393 15294 6815
"200013_at" 14568 6859 18700 8883 11680 9516 2745 18563 5182 6337 4398
"200014_s_at" 8617 15160 8930 6769 4690 5893 3126 3078 14804 13469 3590
"200015_s_at" 8933 8686 9689 14017 5014 2687 2349 4191 14495 3084 4146
"200016_x_at" 11378 7667 11122 14101 3945 7205 14538 17769 5469 14808 15005
"200017_at" 11804 7644 14826 11482 4220 8022 4100 8239 5111 16133 6049
"200018_at" 11777 15026 14802 11461 3670 8428 3002 19149 6792 13543 14605
"200019_s_at" 16474 15012 17670 11398 4656 9746 2459 8381 6485 5557 4652
"200020_at" 15402 6623 6132 15328 13555 6328 978 6616 18090 17591 17835
"200021_at" 12082 12196 15120 11704 3232 9592 16229 6468 6339 5153 4471
"200022_at" 11605 6478 11988 14268 15008 18011 2797 20042 4828 5156 5919
"200023_s_at" 15953 17068 6082 18598 13374 5278 3612 7748 13908 16044 14174
"200024_at" 6928 7541 18462 11402 11822 7983 17159 17845 6363 6340 14731
"200025_s_at" 14795 7616 9945 15709 4217 7271 4350 5742 6088 13911 4383
"200026_at" 12088 6647 15128 15618 3834 9855 3696 8569 3859 13508 5113
"200027_at" 6893 5835 6299 14346 12011 3084 15176 5648 16244 13961 5918
"200028_s_at" 8385 5293 4877 6607 11255 4613 2226 2533 15387 16237 4897
"200029_at" 15719 6150 18140 11372 4916 18657 13820 18056 14997 14929 5228
"200030_s_at" 16442 15302 11260 13832 2893 9139 14825 8095 4898 5629 16411
"200031_s_at" 11758 11749 14774 11433 4009 18896 4491 19249 6691 6779 4645
"200032_s_at" 11809 6722 14832 8235 3260 8447 2434 8106 4635 4557 6375
"200033_at" 17377 5378 6869 16004 2489 3390 14545 6824 4839 14495 17571
"200034_s_at" 15297 8142 18437 8811 11151 7008 4214 8448 5077 4612 3482
"200035_at" 17254 1761 19106 8586 15516 3184 4772 5186 15416 16206 6632
"200036_s_at" 8602 8335 18273 8824 11552 9768 16249 18756 13920 4886 14835
"200037_s_at" 14781 5836 9177 8877 2885 5648 14393 3724 6232 6238 15383
"200038_s_at" 8947 7723 15067 13880 3861 9479 13844 18498 4655 13731 5206
"200039_s_at" 16194 15923 9450 16588 15395 7790 17858 6438 14906 17411 5353
"200040_at" 14904 8096 5922 17023 11271 5779 2887 17707 16997 16147 16935
"200041_s_at" 7357 7657 10550 6185 17818 9146 19471 3244 6233 6616 5786
"200042_at" 5745 6875 8566 14914 14850 8856 15344 1298 16106 6171 6377
"200043_at" 16327 7400 7393 17699 4258 578 17309 6895 17702 17392 3729
"200044_at" 8348 8379 8633 17648 14074 3489 17311 2441 4939 14690 16630
"200045_at" 6126 4093 6452 4534 14952 19205 14323 3786 5540 6843 2517
"200046_at" 15026 14930 6214 16906 15007 18749 14951 6499 16352 16243 6627
"200047_s_at" 18037 15213 5498 16786 11406 5656 17923 3292 14765 15221 18235
"200048_s_at" 5828 7146 10480 15324 15854 7586 3583 3519 14693 6110 15080
"200049_at" 8724 15705 1559 20488 15130 6781 18723 3929 20722 4657 15821
"200050_at" 2008 6685 2168 15528 1928 2368 2484 1977 3980 15418 14671
"200051_at" 4049 5187 11723 15819 17796 8581 13931 6946 5570 3694 3404
"200052_s_at" 5904 7383 9589 6425 15626 6912 19806 5299 6916 6737 5247
"200053_at" 546 17738 10725 5798 18187 21958 19156 3914 18243 20000 1951
"200054_at" 7566 4009 9902 3406 11132 18701 14365 3142 18621 1703 549
"200055_at" 15063 5107 18613 5673 19151 19499 17149 5184 14441 15499 4577
"200056_s_at" 14570 14910 10474 15565 2404 3816 17680 5114 19037 16571 16536
"200057_s_at" 16948 16787 10369 14996 11401 7348 4308 6081 15921 14437 14989
"200058_s_at" 8242 8201 8429 7364 17536 4681 16276 4135 15071 6901 5664
"200059_s_at" 7706 17334 7621 8267 10805 7349 19974 7645 16888 14912 15052
"200060_s_at" 16011 3322 18508 3814 14776 4806 1731 3046 17500 16766 16889
"200061_s_at" 11756 11748 14769 11432 3750 19832 4493 19045 15998 16284 5671
"200062_s_at" 11532 11452 14533 11251 3534 18334 3527 18013 16930 4979 6720
"200063_s_at" 11895 7158 14915 11545 2554 9051 14990 5819 16447 4968 6380
"200064_at" 6285 6513 9649 14627 4649 9521 17720 7415 15334 6790 14255
"200065_s_at" 6132 8120 8016 14464 13396 9882 18045 7137 16880 15967 15185
"200066_at" 2579 4563 7042 17572 13216 19193 3121 21483 15431 4655 20633
"200067_x_at" 15745 7260 6191 14175 13769 7233 18642 6751 17128 17359 18887
"200068_s_at" 15877 7071 6952 16911 11868 7393 14827 5653 15312 6478 16719
"200069_at" 14743 6264 6145 6347 3014 9252 17583 5822 17272 6495 6447
"200070_at" 8364 2815 19076 15485 16269 5671 1649 4202 16404 17645 4186
"200071_at" 15821 2577 3197 15768 13093 4308 18028 1590 15091 17506 17809
"200072_s_at" 16586 3929 7286 8865 12226 9143 16559 5005 16771 6420 16924
"200073_s_at" 4721 3119 9677 7372 11940 6780 4468 5040 2523 14222 14427
"200074_s_at" 7552 6519 17918 8899 11128 7669 4386 6885 6541 6300 4153
"200075_s_at" 2417 7053 9943 5598 16760 3840 17941 3746 3533 6508 3877
"200076_s_at" 3818 16205 1820 18095 14797 19366 16951 3630 6740 18325 5456
"200077_s_at" 8774 15369 11242 17349 10986 7865 14607 8165 5698 6382 4191
"200078_s_at" 6521 5964 7625 16612 16071 8796 2297 6344 15333 6339 4995
"200079_s_at" 4559 7054 7240 3977 13831 8841 14949 2448 6229 13811 14714
"200080_s_at" 16796 16830 6102 17612 2504 3846 4310 4355 4109 14829 6119
"200081_s_at" 14430 7983 10975 14313 4816 9846 16128 18742 6365 6430 5370
"200082_s_at" 8010 5897 18716 8708 2865 9297 14012 17871 13978 6204 5441
"200083_at" 16240 5762 4287 18456 13452 3205 1678 8061 6873 14832 15136
"200084_at" 15292 15785 4647 16000 3561 7498 16899 5647 14286 5334 17973
"200085_s_at" 4738 7906 11851 16863 18547 9921 15197 19368 15822 4015 14307
"200086_s_at" 7471 5473 18388 8561 14666 5688 4064 8532 15232 14025 4908
"200087_s_at" 15136 3715 5001 19566 4429 5072 15468 3562 3455 14631 16370
"200088_x_at" 11554 15497 14555 11271 11558 19259 13719 8632 14971 13687 5864
"200089_s_at" 8195 5562 18772 6990 14365 9283 4066 5041 4911 6041 14192
"200090_at" 16505 4578 4451 5905 11152 3503 19307 20238 21003 18311 18768
"200091_s_at" 8165 3784 19030 16614 2485 6287 4072 18219 3153 4897 4253
"200092_s_at" 11919 6180 17786 11560 4284 9847 4017 6056 14102 13581 5969
"200093_s_at" 17452 15533 10689 17298 3822 4133 15093 7643 14817 6550 5592
"200094_s_at" 4610 6077 8045 6544 15726 17820 19507 8307 17463 13943 5154
"200095_x_at" 12051 12152 15087 11683 3320 19396 3297 18382 5501 13858 6336
"200096_s_at" 7537 4107 5219 18497 16363 5318 21579 4111 17565 16234 15375
"200097_s_at" 17338 7445 3581 16709 4507 943 14375 3972 16626 14820 14940
"200098_s_at" 7950 5456 11270 5161 15088 8020 4232 2291 14984 14907 2871
"200099_s_at" 11922 7635 14944 13869 2687 20151 14796 3564 14549 6568 4783
"200593_s_at" 3412 7600 20140 7160 11735 4650 14807 17842 14567 19643 2274
"200594_x_at" 8656 6909 7729 14900 4583 9295 13821 7128 15093 5558 15426
"200595_s_at" 16737 1877 8125 15289 3351 1892 15720 985 15121 5734 3161
"200596_s_at" 17168 6611 10924 3994 11695 7704 2403 3586 14213 5256 5485
"200597_at" 15307 1326 8096 4835 11125 2149 2241 7839 2611 20640 6803
"200598_s_at" 7885 15214 9771 7061 11832 4959 20889 17705 4382 14856 5617
"200599_s_at" 5922 5050 7203 14395 4340 2815 15800 1416 6162 13423 5187
"200600_at" 731 15666 7531 16171 14748 8137 6688 4372 7266 21478 15970
"200601_at" 16841 15149 828 21329 17988 7052 20604 2642 13969 4429 761
"200602_at" 21504 20377 6948 20193 14683 1597 2162 5536 15020 15842 3050
"200603_at" 8481 5457 8261 14934 3606 2439 13799 3211 15081 6326 6607
"200604_s_at" 8277 18482 3745 17967 16252 8015 16687 17626 16870 13486 19588
"200605_s_at" 20168 18899 1984 19419 1276 8173 21327 7796 18074 18147 21177
"200606_at" 18350 14911 5064 16091 14073 5685 19456 7459 16774 18426 15315
"200607_s_at" 15201 20472 10206 7165 13290 2538 21999 20495 19738 18909 19577
"200608_s_at" 8925 8255 7261 16766 3333 4961 16769 4076 16002 6794 14985
"200609_s_at" 16681 19961 6263 18455 16630 6152 14391 18571 3370 17428 3229
"200610_s_at" 17547 2870 3423 8720 3494 6276 18423 1762 17324 5313 1646
"200611_s_at" 6084 8104 8425 15195 20220 8950 18379 6732 17204 6109 2896
"200612_s_at" 22152 20749 4050 2055 21604 21878 19695 22255 3028 13631 21255
"200613_at" 5391 6817 10234 5512 18138 8331 18618 8208 14248 13627 15503
"200614_at" 15946 17339 9092 18635 5050 9655 14812 20274 14928 5397 16894
"200615_s_at" 17430 18834 10345 15157 17501 8439 18806 18650 4093 19626 19474
"200616_s_at" 4270 15276 5951 2678 11740 6131 3386 19434 4935 13381 4423
"200617_at" 16674 6196 8576 8005 16563 8431 19337 2644 17392 5247 3798
"200618_at" 7782 7224 4834 15109 11670 751 14620 4538 14489 5798 4581
"200619_at" 3650 8592 10093 5074 19390 8729 16804 4588 14957 15758 3065
"200620_at" 6761 8013 9368 15090 12213 5455 15885 4635 17221 17066 19358
"200621_at" 17360 3423 6814 6296 14853 18438 18427 4928 17445 14423 2421
"200622_x_at" 14895 16980 7610 6572 15119 4496 3093 2242 18374 13701 5588
"200623_s_at" 18373 6567 8111 18525 13528 5448 1917 7028 14839 2260 4667
"200624_s_at" 17751 16556 3768 16940 2814 18162 21778 7229 16615 14582 21876
"200625_s_at" 14803 15335 7303 17246 5062 4199 14433 8638 5754 4974 16099
"200626_s_at" 16077 18377 920 19814 2603 5650 3574 8033 16499 14927 17658
"200627_at" 8715 16445 9747 16204 2255 6136 14036 17939 5407 13897 16816
"200628_s_at" 5465 20064 9059 8352 16186 7553 22140 19151 2838 1733 19302
"200629_at" 16865 19413 17841 4972 20535 17892 18939 18273 6826 19116 19638
"200630_x_at" 16451 7097 9481 18548 11424 18186 2766 4369 14321 5709 4473
"200631_s_at" 20266 15677 8348 15083 13184 19323 14555 5897 18969 15618 15567
"200632_s_at" 16407 20766 20125 17578 21063 7862 19358 20551 6149 22264 21098
"200633_at" 11754 11746 14768 11431 10732 9825 13713 19042 5970 14292 6733
"200634_at" 7031 8014 17627 16626 12429 9298 17501 3977 6748 6472 4983
"200635_s_at" 6050 17153 4563 15576 12572 7031 19784 18859 799 18284 16279
"200636_s_at" 17442 16575 8526 15325 13186 4233 14429 6084 6466 6557 2626
"200637_s_at" 16084 5568 4353 18563 21355 18714 22260 6398 17470 3033 21277
