"inst_1710" "inst_2861" "inst_5043" "inst_5462"
"1007_s_at" 22093 1697 4269 14949
"1053_at" 3746 15850 18968 5998
"117_at" 21010 8448 1591 10828
"121_at" 8805 18169 2462 2412
"1255_g_at" 15658 8158 6350 9386
"1294_at" 20527 20867 7414 798
"1316_at" 1384 15518 1810 3706
"1320_at" 15863 17126 13835 12591
"1405_i_at" 6490 7540 1222 5575
"1431_at" 12184 6435 17833 18845
"1438_at" 9464 4257 15378 18548
"1487_at" 8156 2097 20992 6606
"1494_f_at" 4818 8166 11886 1910
"1598_g_at" 3486 14550 13409 21038
"160020_at" 8434 1735 11261 22200
"1729_at" 21591 1829 11387 20262
"1773_at" 2251 20479 18522 15974
"177_at" 8495 9315 1101 11231
"179_at" 7172 21280 2930 10709
"1861_at" 5069 3097 12363 1852
"200000_s_at" 5595 2025 19197 20863
"200001_at" 1863 4092 13841 17824
"200002_at" 20052 3367 12489 14885
"200003_s_at" 19028 6570 6570 16055
"200004_at" 4459 12222 13074 6264
"200005_at" 6160 13941 12670 16661
"200006_at" 5451 12047 13354 6892
"200007_at" 5344 17805 11182 3695
"200008_s_at" 4582 20335 17863 7567
"200009_at" 3919 3399 14893 15767
"200010_at" 7784 4524 13597 6279
"200011_s_at" 4485 3286 13044 16179
"200012_x_at" 7903 3549 4560 16241
"200013_at" 8040 3000 14535 5299
"200014_s_at" 5853 15633 11984 6927
"200015_s_at" 8458 16679 16048 6392
"200016_x_at" 18692 16119 13907 14942
"200017_at" 6020 4466 11794 6206
"200018_at" 19290 4572 13451 16855
"200019_s_at" 20065 3372 13388 19554
"200020_at" 6993 14853 12339 5851
"200021_at" 18565 2866 6745 9771
"200022_at" 20656 2703 12206 14669
"200023_s_at" 8848 13876 13265 17931
"200024_at" 19840 3949 13533 18198
"200025_s_at" 6229 12034 11242 15137
"200026_at" 5354 2985 10750 14941
"200027_at" 8598 15908 16604 7378
"200028_s_at" 4904 12695 12485 4577
"200029_at" 19216 13095 10513 15036
"200030_s_at" 5406 11719 3885 7766
"200031_s_at" 19329 6673 6642 15651
"200032_s_at" 18507 3857 11980 15927
"200033_at" 8292 3455 11961 5315
"200034_s_at" 4612 3141 10780 4565
"200035_at" 20017 2827 12865 21683
"200036_s_at" 19670 15105 14614 14978
"200037_s_at" 4901 15613 12427 6346
"200038_s_at" 20066 3342 4309 7418
"200039_s_at" 8165 4101 15704 15434
"200040_at" 7239 14171 17300 5357
"200041_s_at" 6880 11832 11477 16830
"200042_at" 4629 14746 18151 6415
"200043_at" 2576 13499 17545 16323
"200044_at" 6953 4492 16771 15161
"200045_at" 6477 2801 15347 7571
"200046_at" 3675 14527 11356 6567
"200047_s_at" 7136 15760 14172 2761
"200048_s_at" 6907 13275 14627 5108
"200049_at" 20855 14373 16451 4645
"200050_at" 5864 11669 17635 14879
"200051_at" 20943 4540 18586 18536
"200052_s_at" 4790 13865 11521 6859
"200053_at" 7137 12869 21716 2234
"200054_at" 5991 15101 17855 17605
"200055_at" 7624 2349 10580 16710
"200056_s_at" 5723 21130 20048 15687
"200057_s_at" 4988 11964 12127 17671
"200058_s_at" 6746 2741 13115 16261
"200059_s_at" 2695 4001 13521 14539
"200060_s_at" 1784 15877 18290 5373
"200061_s_at" 8659 6672 6641 4895
"200062_s_at" 20199 6554 6556 9654
"200063_s_at" 4305 6737 6688 9739
"200064_at" 1634 2884 13436 18306
"200065_s_at" 6411 11736 11125 17720
"200066_at" 4176 1540 17205 19119
"200067_x_at" 20309 14017 4566 4292
"200068_s_at" 6285 3960 12835 5774
"200069_at" 5516 14230 14515 2663
"200070_at" 201 12824 13252 16758
"200071_at" 872 17429 19244 1246
"200072_s_at" 3592 12544 16496 6448
"200073_s_at" 5055 14650 15580 14596
"200074_s_at" 7305 2516 11042 7777
"200075_s_at" 7562 13628 18383 6992
"200076_s_at" 6987 2167 14465 17075
"200077_s_at" 8833 11610 10860 7248
"200078_s_at" 8467 16812 15896 16719
"200079_s_at" 4314 4468 14912 17601
"200080_s_at" 6486 13533 2708 6384
"200081_s_at" 8938 2963 15017 17850
"200082_s_at" 6291 3788 13740 16290
"200083_at" 18781 2425 14547 5147
"200084_at" 5805 15598 14908 4875
"200085_s_at" 19434 12037 12146 16667
"200086_s_at" 6078 2459 15352 17356
"200087_s_at" 3392 14816 13590 3628
"200088_x_at" 19995 6562 4588 17380
"200089_s_at" 8780 12042 11645 7025
"200090_at" 6457 20968 14416 7450
"200091_s_at" 8310 13505 20378 16123
"200092_s_at" 19762 4377 2541 6704
"200093_s_at" 18930 13757 15488 6364
"200094_s_at" 7357 3580 14851 18164
"200095_x_at" 20505 6811 6735 16045
"200096_s_at" 7026 3320 20798 17160
"200097_s_at" 5287 13355 10549 2809
"200098_s_at" 8090 15007 13344 6347
"200099_s_at" 19145 6748 12303 5200
"200593_s_at" 2108 13187 16556 16708
"200594_x_at" 2201 11552 11344 5688
"200595_s_at" 7752 14945 20365 6712
"200596_s_at" 4414 3797 16087 17400
"200597_at" 6683 15560 10893 20915
"200598_s_at" 6464 18306 20046 15677
"200599_s_at" 3099 12724 16275 6375
"200600_at" 3140 8639 13062 130
"200601_at" 19097 3460 11222 6142
"200602_at" 3736 20469 11646 2983
"200603_at" 5891 14645 15441 7323
"200604_s_at" 3265 17117 19731 7584
"200605_s_at" 2107 14973 17259 3358
"200606_at" 16068 3025 17368 6246
"200607_s_at" 8143 20402 11652 16217
"200608_s_at" 3205 17811 13170 3802
"200609_s_at" 5188 11599 15040 18702
"200610_s_at" 1904 13929 10844 3451
"200611_s_at" 5824 12474 14702 18138
"200612_s_at" 1247 362 12503 17973
"200613_at" 3678 15540 12160 16342
"200614_at" 7776 3808 18128 16335
"200615_s_at" 7295 12173 16560 14863
"200616_s_at" 4447 17983 13927 17613
"200617_at" 8026 2203 17944 15229
"200618_at" 5002 3853 14148 6934
"200619_at" 18862 12337 17524 18425
"200620_at" 2988 12092 18738 3583
"200621_at" 5560 4527 16312 18219
"200622_x_at" 5038 16101 19398 18898
"200623_s_at" 852 13896 16762 17512
"200624_s_at" 1311 16191 16895 6924
"200625_s_at" 8531 4216 14709 16305
"200626_s_at" 2096 15605 19770 16090
"200627_at" 5278 4075 15807 16832
"200628_s_at" 20057 13287 16230 3461
"200629_at" 3236 14162 4101 7521
"200630_x_at" 2021 16726 4642 4986
"200631_s_at" 18843 13885 10704 4336
"200632_s_at" 6975 1880 21861 17417
"200633_at" 20050 12551 6640 6339
"200634_at" 4332 12837 15237 19413
"200635_s_at" 16340 18008 13437 19099
"200636_s_at" 18052 1449 21170 5073
"200637_s_at" 9163 2357 16271 16867
"200638_s_at" 4167 13588 12541 6518
"200639_s_at" 3148 4199 17411 7174
"200640_at" 3103 3704 12421 16294
"200641_s_at" 2799 16801 14174 18387
"200642_at" 7733 12909 12466 17425
"200643_at" 6879 3133 17341 3809
"200644_at" 21102 3896 12937 2792
"200645_at" 18912 11909 14553 16207
"200646_s_at" 5657 20148 20397 17857
"200647_x_at" 6649 12192 11874 16687
"200648_s_at" 7551 19812 19515 15580
"200649_at" 792 1995 16249 4330
"200650_s_at" 7526 12751 6517 16417
"200651_at" 6234 12296 16411 16330
"200652_at" 7802 15959 17560 17360
"200653_s_at" 2955 1472 16224 15041
"200654_at" 18482 3941 12475 14951
"200655_s_at" 20512 12619 11898 4762
"200656_s_at" 6049 15335 19467 7143
"200657_at" 6920 11542 3944 4723
"200658_s_at" 8327 16952 18593 5312
"200659_s_at" 653 13122 3707 20002
"200660_at" 21020 2852 12955 17322
"200661_at" 8264 3200 13938 6708
"200662_s_at" 7638 12754 19151 20833
"200663_at" 5872 2755 11567 17258
"200664_s_at" 8920 15761 19879 18818
"200665_s_at" 14871 8958 8905 11070
"200666_s_at" 6446 3586 4420 17281
"200667_at" 6606 13378 18232 17230
"200668_s_at" 3080 13745 17222 14974
"200669_s_at" 664 16438 12358 6291
"200670_at" 8432 15584 11239 5451
"200671_s_at" 10266 13838 19327 4776
"200672_x_at" 17995 3425 19426 2581
"200673_at" 5329 15616 11671 4947
"200674_s_at" 7314 13693 4236 15257
"200675_at" 5859 12318 21053 16724
"200676_s_at" 3369 2611 11341 20230
"200677_at" 4094 2920 10609 5785
"200678_x_at" 19868 3370 14269 20917
"200679_x_at" 6204 13074 13548 3014
"200680_x_at" 5751 13127 3309 6777
"200681_at" 7427 14705 4338 5941
"200682_s_at" 7602 3800 18580 20074
"200683_s_at" 18442 13805 21792 16147
"200684_s_at" 2051 4579 17234 6383
"200685_at" 2401 12028 20662 3189
"200686_s_at" 6380 19218 15918 2532
"200687_s_at" 7051 11938 20700 5630
"200688_at" 146 15409 18005 15635
"200689_x_at" 6006 11902 4055 6717
"200690_at" 18965 14308 21395 6969
"200691_s_at" 5275 11957 14199 4465
"200692_s_at" 6232 13493 16686 18505
"200693_at" 7184 13921 13065 6336
"200694_s_at" 7691 14794 15941 17195
"200695_at" 2701 17945 20353 17506
"200696_s_at" 4410 3085 19760 19381
"200697_at" 18664 14039 13970 18005
"200698_at" 21054 14123 13580 4997
"200699_at" 20416 2886 19012 18838
"200700_s_at" 19922 13868 13862 16072
"200701_at" 6821 16874 14206 19826
"200702_s_at" 20371 19374 18510 17532
"200703_at" 19440 4180 18362 15620
"200704_at" 8168 15874 14468 4846
"200705_s_at" 7923 12400 14498 15947
"200706_s_at" 2196 12154 21808 19640
"200707_at" 4903 3875 14931 18465
"200708_at" 6923 3361 11412 7184
"200709_at" 20134 3305 14960 16779
"200710_at" 1444 13881 12632 19694
"200711_s_at" 20489 16303 19502 16235
"200712_s_at" 7746 21032 19820 5234
"200713_s_at" 5481 13771 3660 2096
"200714_x_at" 3680 1945 20108 19385
"200715_x_at" 6954 11952 2908 5892
"200716_x_at" 19044 3735 11175 17035
"200717_x_at" 8459 6671 6639 9712
"200718_s_at" 20808 4374 10916 7232
"200719_at" 3586 17027 16672 16948
"200720_s_at" 5409 16371 15737 21568
"200721_s_at" 4709 1696 12463 18683
"200722_s_at" 5153 20223 19665 21783
"200723_s_at" 4512 14626 13330 5923
"200724_at" 14831 3196 20564 21703
"200725_x_at" 19569 3364 4028 15560
"200726_at" 5979 16345 15753 6338
"200727_s_at" 458 22193 4211 16603
"200728_at" 7771 15371 18525 17877
"200729_s_at" 2384 19168 13353 3985
"200730_s_at" 1668 19117 21054 6814
"200731_s_at" 3479 17100 20782 15425
"200732_s_at" 3761 12665 17894 15561
"200733_s_at" 113 18286 21478 3546
"200734_s_at" 7004 16708 13763 15235
"200735_x_at" 7680 6744 4228 5974
"200736_s_at" 8597 5094 11474 13748
"200737_at" 21424 16129 19396 15077
"200738_s_at" 6395 14607 11023 15863
"200739_s_at" 5834 14555 14204 18355
"200740_s_at" 6488 12704 12274 7369
"200741_s_at" 18523 3606 10933 15469
"200742_s_at" 4852 20764 4100 17893
"200743_s_at" 2334 17942 11963 20545
"200744_s_at" 6399 16635 14526 4386
"200745_s_at" 19107 15292 15147 14560
"200746_s_at" 6663 15941 16517 17870
"200747_s_at" 4221 1832 12095 16748
"200748_s_at" 2088 3355 11032 15544
"200749_at" 1689 16587 19320 14964
"200750_s_at" 8204 4225 11607 7526
"200751_s_at" 5384 18143 17418 15169
"200752_s_at" 22251 1490 16570 18580
"200753_x_at" 4716 16186 15833 17333
"200754_x_at" 19924 12156 4627 16737
"200755_s_at" 44 13494 19500 2387
"200756_x_at" 19466 16601 19104 19082
"200757_s_at" 4409 4262 15527 5612
"200758_s_at" 18960 2209 19948 19747
"200759_x_at" 19593 2271 10904 16054
"200760_s_at" 8339 20258 12894 7049
"200761_s_at" 2742 13938 11924 15325
"200762_at" 2395 20487 13939 3643
"200763_s_at" 19452 3724 4418 6424
"200764_s_at" 12264 16227 85 19161
"200765_x_at" 15888 12119 5509 14831
"200766_at" 5561 280 21434 18952
"200767_s_at" 8099 2277 14328 19783
"200768_s_at" 2052 15282 19222 4900
"200769_s_at" 1603 18961 13051 7084
"200770_s_at" 20564 2806 21552 18097
"200771_at" 1744 12874 15470 17841
"200772_x_at" 18972 4500 14872 17550
"200773_x_at" 2220 11746 14981 15084
"200774_at" 2629 11834 14886 15335
"200775_s_at" 5893 4127 10840 1960
"200776_s_at" 5116 18217 18600 15105
"200777_s_at" 8615 13029 16908 6011
"200778_s_at" 1942 17730 17352 3578
"200779_at" 20294 15070 15219 18291
"200780_x_at" 7050 3013 12662 7377
"200781_s_at" 20114 4535 4427 17638
"200782_at" 7966 17760 10889 18334
"200783_s_at" 19532 17901 18350 16458
"200784_s_at" 15884 8339 21106 8482
"200785_s_at" 14133 9826 5622 7991
"200786_at" 6213 4293 4592 7207
"200787_s_at" 5715 18323 20426 19387
"200788_s_at" 7374 16735 18374 20656
"200789_at" 21383 15190 11465 6976
"200790_at" 8259 14926 12359 7594
"200791_s_at" 5645 4087 17826 17353
"200792_at" 2728 2858 13687 7171
"200793_s_at" 6296 12148 19788 20996
"200794_x_at" 6211 16297 20238 16269
"200795_at" 14891 20886 9835 1383
"200796_s_at" 2159 22211 20032 5857
"200797_s_at" 7399 18185 14433 15499
"200798_x_at" 2735 17089 19334 18047
"200799_at" 10651 13005 2531 3253
"200800_s_at" 10304 14343 15512 20560
"200801_x_at" 5497 6521 6523 7410
"200802_at" 8437 2856 14647 17984
"200803_s_at" 3376 16315 12812 14708
"200804_at" 6601 11614 16344 5837
"200805_at" 21395 4480 18684 18063
"200806_s_at" 6015 13154 10883 4635
"200807_s_at" 19654 11794 11859 15590
"200808_s_at" 4725 14605 16038 18234
"200809_x_at" 20109 11917 4474 16752
"200810_s_at" 6244 11675 14009 7511
"200811_at" 7741 12671 20530 2154
"200812_at" 8425 13937 16119 20169
"200813_s_at" 405 19667 20785 18595
"200814_at" 8604 13017 15784 18721
"200815_s_at" 20573 4200 17188 6707
"200816_s_at" 2773 12807 14835 2583
