"inst_2455" "inst_3316" "inst_4679" "inst_5274" "inst_5639"
"1007_s_at" 2747 5298 17702 7692 3739
"1053_at" 3150 19188 17866 12259 20297
"117_at" 9201 7022 17599 9325 13457
"121_at" 1585 1766 19483 12647 3793
"1255_g_at" 14783 8770 15944 16177 13027
"1294_at" 11062 20299 19321 20816 21171
"1316_at" 10207 2711 3040 19406 18020
"1320_at" 13174 11886 285 3036 3062
"1405_i_at" 19238 11183 21494 13989 14955
"1431_at" 1866 18114 3363 22083 10136
"1438_at" 13974 21813 794 2072 21723
"1487_at" 9284 6140 6114 5536 1832
"1494_f_at" 21977 14956 270 20286 3841
"1598_g_at" 21931 16390 11088 2974 6880
"160020_at" 7706 5887 993 2793 1186
"1729_at" 20453 17427 8465 20754 21896
"1773_at" 21210 5168 5292 20198 20844
"177_at" 2111 10556 22099 1137 13595
"179_at" 20395 1803 2712 1010 4371
"1861_at" 20696 21319 10627 8328 20144
"200000_s_at" 7596 1804 5896 6599 5332
"200001_at" 4571 15996 6278 8983 9926
"200002_at" 9622 17943 10258 19468 16453
"200003_s_at" 13487 9752 13612 18795 12624
"200004_at" 10125 15614 10726 19942 16734
"200005_at" 7276 14038 9651 9766 8615
"200006_at" 9249 15156 19500 12550 7734
"200007_at" 6984 14107 20085 9814 8581
"200008_s_at" 1216 18011 5357 7037 20935
"200009_at" 9953 17244 8184 11939 18243
"200010_at" 10643 17740 6123 19320 18001
"200011_s_at" 7547 17506 8353 9769 7444
"200012_x_at" 18310 4084 19401 12411 9793
"200013_at" 7575 16668 10599 19619 9201
"200014_s_at" 7908 15835 17755 10216 17161
"200015_s_at" 9948 18103 10982 11300 6090
"200016_x_at" 13387 18341 11001 19496 10598
"200017_at" 13648 9908 20130 14964 12721
"200018_at" 13629 9887 13700 19635 12716
"200019_s_at" 19047 17015 11297 19311 17967
"200020_at" 18473 19426 6388 8750 9517
"200021_at" 18711 10074 13813 15121 12830
"200022_at" 13514 9772 17742 20833 17175
"200023_s_at" 9619 19431 18995 11492 16792
"200024_at" 18704 6172 17789 9649 7090
"200025_s_at" 13626 14981 18727 19818 17302
"200026_at" 13834 10081 18522 18985 12832
"200027_at" 9992 17829 7812 11441 8990
"200028_s_at" 9342 14618 9560 10288 5719
"200029_at" 13557 6331 19625 10485 16751
"200030_s_at" 18299 15887 18095 12110 17206
"200031_s_at" 13616 9873 13686 14936 12709
"200032_s_at" 13652 9913 10889 14966 12726
"200033_at" 6900 19365 18792 12522 17852
"200034_s_at" 18816 16004 10113 19133 10325
"200035_at" 20695 17479 2880 3052 2008
"200036_s_at" 10377 7056 11063 11077 9693
"200037_s_at" 10567 14362 19193 20820 19220
"200038_s_at" 13797 10037 11249 12350 12810
"200039_s_at" 7886 5580 17851 10240 8641
"200040_at" 9473 16607 8082 19208 7694
"200041_s_at" 9359 6458 10655 8054 17741
"200042_at" 6042 15575 5912 9921 10103
"200043_at" 7897 18288 20002 12351 8051
"200044_at" 6230 18318 17434 7508 8060
"200045_at" 19614 5440 6119 4598 3950
"200046_at" 8943 21111 17435 12381 18671
"200047_s_at" 18157 15881 20637 11876 18650
"200048_s_at" 10325 18543 19442 11633 8851
"200049_at" 5113 6476 19197 5717 6563
"200050_at" 2931 20879 4457 10276 7762
"200051_at" 3105 16762 3658 3905 4261
"200052_s_at" 3778 16887 11479 10764 18249
"200053_at" 5151 2181 664 2680 6264
"200054_at" 7009 17176 18745 9580 7698
"200055_at" 18540 5368 10707 4136 9786
"200056_s_at" 9330 20300 19098 20075 19489
"200057_s_at" 19695 16140 20004 9307 10435
"200058_s_at" 6563 5143 7953 8146 4616
"200059_s_at" 6315 18021 17588 19078 17636
"200060_s_at" 8537 17848 5938 8843 9499
"200061_s_at" 13613 9871 13685 14934 12707
"200062_s_at" 13467 9729 13599 14818 12613
"200063_s_at" 13701 9958 11683 15015 12752
"200064_at" 5992 17378 9561 19484 17977
"200065_s_at" 7638 16889 7930 11961 7791
"200066_at" 2830 18066 6064 8423 6440
"200067_x_at" 8617 16788 17855 10446 16520
"200068_s_at" 10936 16280 10415 12238 10713
"200069_at" 20113 17260 18446 5034 6437
"200070_at" 19227 19334 19545 2733 3126
"200071_at" 18068 16965 6302 6562 17204
"200072_s_at" 3661 17297 6148 9483 8472
"200073_s_at" 3451 19963 8202 9578 10816
"200074_s_at" 9014 17419 18520 19310 16834
"200075_s_at" 4249 16987 8060 3671 7565
"200076_s_at" 8944 4879 3855 6011 9195
"200077_s_at" 9617 17224 18474 19721 17444
"200078_s_at" 9590 17863 9166 11956 17394
"200079_s_at" 7316 14471 6809 7333 8612
"200080_s_at" 11213 16421 11481 18809 12747
"200081_s_at" 8620 18958 11536 18905 16709
"200082_s_at" 13681 5760 10669 12683 12740
"200083_at" 19157 20062 8621 10304 5404
"200084_at" 7686 15046 18147 12177 16859
"200085_s_at" 7488 15885 8285 9950 9351
"200086_s_at" 10081 18836 19006 20305 16719
"200087_s_at" 5718 18764 6653 11969 9639
"200088_x_at" 13479 9744 18577 14832 12620
"200089_s_at" 9790 14383 11569 19052 10043
"200090_at" 19008 14672 18395 5759 5477
"200091_s_at" 9053 14774 5743 20361 9006
"200092_s_at" 13716 6585 19921 19864 12763
"200093_s_at" 4479 15854 10129 20566 8679
"200094_s_at" 8235 4668 11513 7095 7944
"200095_x_at" 13808 10049 13801 15104 12819
"200096_s_at" 4564 15002 10045 11478 5674
"200097_s_at" 8545 14598 10748 12589 17298
"200098_s_at" 18544 16781 18894 10028 8290
"200099_s_at" 13723 9972 19306 15032 12768
"200593_s_at" 3431 18238 5704 8865 7148
"200594_x_at" 9116 20494 6934 19046 9986
"200595_s_at" 3539 18249 9721 8029 7526
"200596_s_at" 6404 17688 3460 6278 5791
"200597_at" 6772 21210 18002 9440 9240
"200598_s_at" 3811 18092 8338 12538 6248
"200599_s_at" 3098 14706 3470 11112 17956
"200600_at" 6904 12918 4887 833 5094
"200601_at" 6301 14409 19073 1477 18600
"200602_at" 6796 21864 9270 19819 5073
"200603_at" 7033 18233 17626 18987 9670
"200604_s_at" 1255 19684 6757 11830 20353
"200605_s_at" 8697 15300 8074 7589 17996
"200606_at" 20528 19499 7203 20256 19665
"200607_s_at" 3918 5088 17735 18805 17936
"200608_s_at" 6122 14758 10172 12488 18026
"200609_s_at" 18130 7367 11505 6548 10096
"200610_s_at" 4121 7352 18190 18651 10639
"200611_s_at" 3134 7298 5411 9900 17531
"200612_s_at" 21184 19057 21398 12433 18683
