"inst_3567" "inst_4490" "inst_6144" "inst_6828"
"1007_s_at" 6627 12020 7359 19013
"1053_at" 7264 5747 19306 15172
"117_at" 12907 16567 8248 10814
"121_at" 17338 10083 2197 18959
"1255_g_at" 12478 15844 12904 10481
"1294_at" 399 20909 5806 189
"1316_at" 5329 18832 17711 674
"1320_at" 13827 21479 10466 3462
"1405_i_at" 13909 13531 18627 13140
"1431_at" 19397 21347 2046 20647
"1438_at" 9068 1470 18009 19826
"1487_at" 8797 7715 18288 20963
"1494_f_at" 1280 19986 20574 14479
"1598_g_at" 21326 10563 21809 21302
"160020_at" 19279 12142 313 16468
"1729_at" 8457 19202 22101 20591
"1773_at" 20622 9617 22005 18353
"177_at" 12387 1619 20898 16572
"179_at" 1332 18574 4953 19762
"1861_at" 5644 7992 21516 15406
"200000_s_at" 5154 6345 17667 14738
"200001_at" 3098 6565 7728 6168
"200002_at" 9095 18864 15503 13775
"200003_s_at" 7123 14438 10744 8656
"200004_at" 16540 9078 15247 18232
"200005_at" 6961 9094 7817 13870
"200006_at" 7122 9508 8912 6068
"200007_at" 16360 18556 18030 4148
"200008_s_at" 6584 8937 3866 3259
"200009_at" 7715 6137 7204 15629
"200010_at" 20712 12457 10746 14288
"200011_s_at" 17357 9522 18472 19824
"200012_x_at" 18303 19017 10698 13543
"200013_at" 7864 19209 7819 5367
"200014_s_at" 5848 4753 8875 18340
"200015_s_at" 4247 8552 7960 15592
"200016_x_at" 7251 19508 10663 5243
"200017_at" 16910 14535 10849 8796
"200018_at" 8639 14525 10841 8782
"200019_s_at" 8210 12155 17402 4955
"200020_at" 16282 5362 8737 13906
"200021_at" 11674 18833 10946 8948
"200022_at" 17571 11968 10763 13321
"200023_s_at" 6647 10680 16875 6118
"200024_at" 16667 11270 10814 5297
"200025_s_at" 17414 18507 10838 5230
"200026_at" 16586 18896 10950 8956
"200027_at" 7302 3514 17254 14998
"200028_s_at" 9603 7483 18993 15337
"200029_at" 8983 19927 10797 14200
"200030_s_at" 16706 18744 16248 15685
"200031_s_at" 9117 14516 10830 8769
"200032_s_at" 9245 19316 10851 8805
"200033_at" 7055 11632 7358 15158
"200034_s_at" 17112 18790 15495 3699
"200035_at" 21896 11408 19749 20816
"200036_s_at" 8106 11060 17537 14141
"200037_s_at" 9069 7192 4079 15480
"200038_s_at" 8148 19139 10927 8922
"200039_s_at" 6415 6661 18273 5606
"200040_at" 7323 10132 8449 15266
"200041_s_at" 3342 8583 16950 16996
"200042_at" 16810 9642 16067 16281
"200043_at" 5967 7311 4907 5369
"200044_at" 8201 11438 5951 14203
"200045_at" 6569 7512 16869 19495
"200046_at" 4959 11585 18263 19499
"200047_s_at" 7612 9496 17938 16921
"200048_s_at" 8011 11311 6793 5493
"200049_at" 18159 10650 9067 19669
"200050_at" 19935 9619 18308 4537
"200051_at" 8171 7403 18482 4140
"200052_s_at" 4826 7342 4962 4960
"200053_at" 19100 5823 21442 3606
"200054_at" 19545 9528 6625 5302
"200055_at" 8679 9991 18195 17745
"200056_s_at" 17440 18351 8537 14185
"200057_s_at" 6757 11897 16164 14948
"200058_s_at" 6948 8501 16364 14704
"200059_s_at" 5672 11017 6619 15658
"200060_s_at" 7577 8770 6068 17184
"200061_s_at" 18898 14515 10828 8767
"200062_s_at" 11499 14433 10727 8634
"200063_s_at" 18355 14572 10880 8846
"200064_at" 8464 11822 6846 17241
"200065_s_at" 6068 9748 8229 14377
"200066_at" 17902 18383 7317 13313
"200067_x_at" 9382 9364 17786 16086
"200068_s_at" 17660 4734 7434 15186
"200069_at" 6270 5820 8568 15642
"200070_at" 21453 20196 3245 5772
"200071_at" 8234 5016 16118 17599
"200072_s_at" 7567 10442 15945 16594
"200073_s_at" 9657 11656 7020 3115
"200074_s_at" 7821 11882 8641 4246
"200075_s_at" 7009 10337 6073 5097
"200076_s_at" 7273 4628 18078 18745
"200077_s_at" 17536 19514 7773 13731
"200078_s_at" 4500 6893 15914 13964
"200079_s_at" 16571 3930 15968 17961
"200080_s_at" 18091 20390 15432 5837
"200081_s_at" 6053 19626 8235 3678
"200082_s_at" 7339 18417 10871 8832
"200083_at" 8093 11664 20496 6049
"200084_at" 8436 8598 15824 14021
"200085_s_at" 5641 11461 17523 15272
"200086_s_at" 8015 10464 17778 3780
"200087_s_at" 4101 9021 7305 16194
"200088_x_at" 9568 18722 10738 8651
"200089_s_at" 8631 18664 10907 6346
"200090_at" 2015 4691 19872 3825
"200091_s_at" 17178 10460 16547 3527
"200092_s_at" 20738 20516 10884 8859
"200093_s_at" 8325 11693 17598 3495
"200094_s_at" 9663 12550 6311 14956
"200095_x_at" 11666 14643 10934 8934
"200096_s_at" 5976 4636 6801 3422
"200097_s_at" 6941 9233 16008 18392
"200098_s_at" 7102 10548 17213 14139
"200099_s_at" 11632 12357 10886 8866
"200593_s_at" 6805 12220 5256 6239
"200594_x_at" 16673 7299 7141 16234
"200595_s_at" 6618 11069 4465 6381
"200596_s_at" 6563 19023 5058 16569
"200597_at" 20229 3762 7512 15330
"200598_s_at" 4493 8288 7345 4970
"200599_s_at" 4685 19778 15917 15373
"200600_at" 16224 6999 8239 8291
"200601_at" 1982 7327 2553 16359
"200602_at" 20062 6522 15522 3313
"200603_at" 8126 9428 15976 2104
"200604_s_at" 7525 19403 2136 15074
"200605_s_at" 3912 9653 17385 18718
"200606_at" 16371 6648 503 18157
"200607_s_at" 2919 2241 8194 4950
"200608_s_at" 6340 19103 6189 5262
"200609_s_at" 3038 19723 20021 15128
"200610_s_at" 17599 11540 4623 16600
"200611_s_at" 8652 6909 17052 14739
"200612_s_at" 6541 18566 3270 20466
"200613_at" 5755 20449 7028 14256
"200614_at" 9178 8494 17123 6139
"200615_s_at" 9502 11133 16357 18581
"200616_s_at" 4841 4380 15602 6092
"200617_at" 6238 7210 16857 13310
"200618_at" 5358 9013 7771 18133
"200619_at" 4733 19711 7105 3901
"200620_at" 5922 18395 8921 3704
"200621_at" 7937 11935 17676 14337
"200622_x_at" 7157 3139 15284 14081
"200623_s_at" 19641 21260 16938 17164
"200624_s_at" 2997 19742 8837 18102
"200625_s_at" 16686 9606 19002 16232
"200626_s_at" 17352 8226 8892 5226
"200627_at" 16866 8924 17036 6014
"200628_s_at" 2370 5922 16375 17966
"200629_at" 17177 19802 16403 19900
"200630_x_at" 7625 9737 7077 15671
"200631_s_at" 18992 8849 7185 16578
"200632_s_at" 2139 10299 18575 20999
"200633_at" 11567 14513 17417 8766
"200634_at" 16971 10212 16099 13857
"200635_s_at" 7914 9893 12482 17930
"200636_s_at" 17878 2540 13394 4123
"200637_s_at" 20379 10117 11724 17404
"200638_s_at" 6611 10685 7051 13347
"200639_s_at" 9025 6669 5440 14616
"200640_at" 17340 9739 8548 14098
"200641_s_at" 5318 7097 7499 4617
"200642_at" 7557 10818 18597 6099
"200643_at" 18990 18384 6929 5814
"200644_at" 18170 18907 1005 5976
"200645_at" 8819 18522 15771 17332
"200646_s_at" 2806 19111 18088 20443
"200647_x_at" 5468 11696 16182 15815
"200648_s_at" 18872 3106 1096 916
"200649_at" 20833 3470 3754 3305
"200650_s_at" 7387 14403 10682 4690
"200651_at" 7583 12585 10922 8913
"200652_at" 5875 10479 9001 17774
"200653_s_at" 18389 20367 7183 13505
"200654_at" 4697 10672 8538 16415
"200655_s_at" 7882 18565 16701 5507
"200656_s_at" 5968 6391 4621 15851
"200657_at" 9145 11431 8219 15271
"200658_s_at" 5529 8393 5862 3836
"200659_s_at" 5505 12128 3619 4720
"200660_at" 2246 19727 17668 3408
"200661_at" 6635 12192 17979 15497
"200662_s_at" 17966 5812 6418 17786
"200663_at" 8323 19419 20082 15574
"200664_s_at" 16657 7062 20183 18097
"200665_s_at" 591 2605 12651 6751
"200666_s_at" 6718 5869 8948 14322
"200667_at" 3865 6007 18407 15798
"200668_s_at" 7526 5988 16484 5744
"200669_s_at" 4769 6766 16510 15262
"200670_at" 4632 7940 5334 3804
"200671_s_at" 22104 855 6623 21429
"200672_x_at" 22232 20247 1984 13491
"200673_at" 7786 10744 16787 6415
"200674_s_at" 19179 20041 10890 14713
"200675_at" 17209 5288 4135 15213
"200676_s_at" 858 10380 7060 17320
"200677_at" 6040 7765 17480 16345
"200678_x_at" 5742 20470 18332 19632
"200679_x_at" 8904 9250 15428 4275
"200680_x_at" 18327 18796 10939 8940
"200681_at" 7155 7421 7820 15377
"200682_s_at" 6534 10762 8634 14697
"200683_s_at" 9370 5157 15959 16696
"200684_s_at" 17166 9865 3162 6195
"200685_at" 20028 5054 8136 4875
"200686_s_at" 1176 20052 4549 19960
"200687_s_at" 8863 6550 18216 15598
"200688_at" 6988 4185 4786 20044
"200689_x_at" 8495 12213 10931 14934
"200690_at" 2251 2114 4838 3524
"200691_s_at" 7595 7677 16376 14761
"200692_s_at" 3383 11927 7725 5953
"200693_at" 5399 8940 6694 15956
"200694_s_at" 5118 6127 7963 13465
"200695_at" 17228 2708 2699 20566
"200696_s_at" 6380 4020 2517 4608
"200697_at" 18968 3197 15264 18260
"200698_at" 8930 8330 4291 14127
"200699_at" 18136 5734 3706 4249
"200700_s_at" 7405 11395 18806 13643
"200701_at" 17645 11737 17893 5447
"200702_s_at" 3119 2343 6251 6522
"200703_at" 5825 19435 18820 5213
"200704_at" 7068 3141 5907 15357
"200705_s_at" 5979 7205 10751 5579
"200706_s_at" 19426 4430 4854 14179
"200707_at" 9551 10922 8126 13943
"200708_at" 7500 9263 7971 16416
"200709_at" 17402 11909 8344 4650
"200710_at" 2843 8068 16501 21104
"200711_s_at" 4473 4283 7502 4447
"200712_s_at" 7899 8131 6830 13644
"200713_s_at" 16698 4648 15984 19764
"200714_x_at" 17441 9889 19192 14416
"200715_x_at" 7460 18356 5716 14654
"200716_x_at" 8913 14639 10928 8924
"200717_x_at" 11565 14511 10825 8763
"200718_s_at" 6342 12358 17063 5229
"200719_at" 8641 4755 7925 13488
"200720_s_at" 19186 18810 6872 18589
"200721_s_at" 16267 8710 2478 16363
"200722_s_at" 3811 9989 16494 20142
"200723_s_at" 5276 7306 6022 16826
"200724_at" 17087 21909 695 14595
"200725_x_at" 6707 19169 18053 5208
"200726_at" 8292 6860 15872 5477
"200727_s_at" 3346 979 7497 2069
"200728_at" 9644 12189 8860 2173
"200729_s_at" 5383 10952 5233 17264
"200730_s_at" 4927 4308 18975 5491
"200731_s_at" 6445 4512 2182 14702
"200732_s_at" 18550 7204 16301 6123
"200733_s_at" 4202 3062 18947 2620
"200734_s_at" 7074 7288 18933 18174
"200735_x_at" 17180 19414 10882 8855
"200736_s_at" 14880 7695 8011 3763
"200737_at" 3668 11926 17770 13342
"200738_s_at" 8083 18418 16532 14511
"200739_s_at" 19061 11159 17476 17788
"200740_s_at" 6440 9341 8796 15470
"200741_s_at" 11500 14434 10729 8636
"200742_s_at" 20525 7357 17986 4194
"200743_s_at" 4349 18945 8155 20822
"200744_s_at" 6103 4705 8625 13573
"200745_s_at" 8537 3728 18168 14553
"200746_s_at" 7189 9444 7424 17589
"200747_s_at" 5486 7328 21337 17437
"200748_s_at" 6426 18965 5904 5938
"200749_at" 6539 5748 15823 15013
"200750_s_at" 8307 18870 16347 5721
"200751_s_at" 3401 8834 4273 2725
"200752_s_at" 8700 6088 6664 14631
"200753_x_at" 3329 4655 6242 14178
"200754_x_at" 7097 8368 15879 16255
"200755_s_at" 7599 5509 3933 14542
"200756_x_at" 1325 9562 21325 3199
"200757_s_at" 18592 3866 16329 14737
"200758_s_at" 19417 10197 16195 2590
"200759_x_at" 18282 6814 8464 20207
"200760_s_at" 4727 3066 4398 5751
"200761_s_at" 3111 2557 15683 14057
"200762_at" 7554 5027 5378 17826
"200763_s_at" 17771 19382 10892 8877
"200764_s_at" 3165 18283 21630 2862
"200765_x_at" 3572 16084 19594 18350
"200766_at" 6687 9362 3728 13412
"200767_s_at" 8224 2231 2754 13794
"200768_s_at" 5375 9841 15235 3948
"200769_s_at" 8449 11440 5606 2461
"200770_s_at" 16295 1743 20157 17285
"200771_at" 9208 5662 8203 20814
"200772_x_at" 8747 12019 10855 3945
"200773_x_at" 8027 11945 8158 4723
"200774_at" 5570 7756 8034 13421
"200775_s_at" 18498 11026 17404 18789
"200776_s_at" 6468 8500 7677 5414
"200777_s_at" 8973 9836 5265 15677
"200778_s_at" 4783 12467 5128 18370
"200779_at" 6527 12469 18754 4228
"200780_x_at" 18013 11761 7642 15185
"200781_s_at" 18396 18641 10808 8741
"200782_at" 7004 9715 5918 16219
"200783_s_at" 8970 7073 16622 15782
"200784_s_at" 5427 22152 10286 10116
"200785_s_at" 10771 2346 2351 12967
"200786_at" 8241 12262 7404 15298
"200787_s_at" 4250 2321 6580 15212
"200788_s_at" 7350 9536 19894 19679
"200789_at" 20034 6658 6675 19000
"200790_at" 6542 10191 8163 14533
"200791_s_at" 8659 3286 15654 16349
"200792_at" 7770 10061 8170 6396
"200793_s_at" 4262 12481 19042 13872
"200794_x_at" 18540 3435 8049 4815
"200795_at" 19121 17910 10208 17219
"200796_s_at" 1752 21891 1764 3153
"200797_s_at" 8084 3737 17200 16330
"200798_x_at" 7626 6951 4267 5235
"200799_at" 6833 12261 11554 14552
"200800_s_at" 16695 7382 18248 16868
"200801_x_at" 16256 14407 10689 8583
"200802_at" 4176 10327 18897 15000
"200803_s_at" 6009 9332 7045 15706
"200804_at" 4560 7772 15220 16577
"200805_at" 18603 9888 3583 14629
"200806_s_at" 7319 11013 6246 6333
"200807_s_at" 16900 11776 8376 8603
"200808_s_at" 17333 20879 6330 20997
"200809_x_at" 19115 11716 10712 15286
"200810_s_at" 8504 10258 8697 14150
"200811_at" 17516 5057 7072 4281
"200812_at" 6973 8238 8359 15444
"200813_s_at" 19890 10511 3650 4354
"200814_at" 2182 5461 18676 17588
"200815_s_at" 7764 5600 15224 17972
"200816_s_at" 3294 3672 16853 17093
"200817_x_at" 11490 14420 10709 8605
"200818_at" 7883 11984 18133 6277
"200819_s_at" 16684 18533 10835 8773
"200820_at" 3591 5181 15803 3976
"200821_at" 4388 9402 5383 18992
"200822_x_at" 19097 9486 15427 15469
"200823_x_at" 7769 19304 8013 3946
"200824_at" 12779 10968 17861 17200
"200825_s_at" 17826 5998 17970 20405
"200826_at" 16275 12293 8944 17689
"200827_at" 19650 10471 19365 17952
"200828_s_at" 6104 4701 15974 16079
"200829_x_at" 16305 8429 8363 18263
"200830_at" 8720 10058 15606 16599
"200831_s_at" 5954 9435 19183 5622
"200832_s_at" 9583 9027 17354 4460
"200833_s_at" 9187 9395 15923 5214
"200834_s_at" 9513 14450 10764 8673
"200835_s_at" 19976 2519 19588 15333
"200836_s_at" 20329 19322 21167 3737
"200837_at" 19887 19661 7362 14525
"200838_at" 17891 18550 3311 16757
"200839_s_at" 9615 8835 4415 19202
"200840_at" 16578 11422 8842 16418
"200841_s_at" 16647 5133 7576 3392
"200842_s_at" 4949 8255 17481 16609
"200843_s_at" 5150 8573 18432 15865
"200844_s_at" 7320 5335 7473 13625
"200845_s_at" 17595 9811 16009 5854
"200846_s_at" 5983 18872 7649 14171
"200847_s_at" 8465 7320 15524 18616
"200848_at" 5802 9229 6184 18365
"200849_s_at" 7478 12577 15716 5710
"200850_s_at" 7934 12422 7883 15536
"200851_s_at" 17832 9149 5962 15519
"200852_x_at" 3179 20028 7400 4363
"200853_at" 7539 19640 8441 13629
"200854_at" 20436 10458 5536 18013
"200855_at" 21271 5754 19412 21931
"200856_x_at" 5885 3859 7076 19904
"200857_s_at" 18383 2312 21503 1784
"200858_s_at" 3954 9346 7396 2105
"200859_x_at" 18443 18658 19231 18641
"200860_s_at" 17095 6907 7420 15056
"200861_at" 18086 6256 3212 20434
"200862_at" 6506 6982 18546 17688
"200863_s_at" 7890 8356 19139 15044
"200864_s_at" 18509 8156 4835 18505
"200865_at" 18916 15337 15043 625
"200866_s_at" 17934 6212 8830 21018
"200867_at" 7831 7862 6162 4806
"200868_s_at" 8939 11790 4199 5066
"200869_at" 8306 12442 10740 8653
"200870_at" 7133 5126 15326 17870
"200871_s_at" 7124 11183 7140 19509
"200872_at" 8865 10591 16946 4839
"200873_s_at" 7390 10830 8631 5175
"200874_s_at" 20278 11964 18399 5722
"200875_s_at" 3011 11770 6521 15338
"200876_s_at" 9430 8654 15895 15053
"200877_at" 5207 8899 7131 5643
"200878_at" 17473 6919 20523 2025
"200879_s_at" 14349 1211 15474 9021
"200880_at" 7502 9198 18228 16702
"200881_s_at" 6922 7113 17235 3811
"200882_s_at" 6812 11070 6602 3387
"200883_at" 3649 9262 7341 17841
"200884_at" 4095 18974 18392 17112
"200885_at" 17019 9450 8444 16799
"200886_s_at" 17217 9404 7979 16042
"200887_s_at" 4568 9414 8116 20512
"200888_s_at" 7100 19387 10742 4106
"200889_s_at" 8632 7744 5973 19580
"200890_s_at" 8399 6179 6701 3760
"200891_s_at" 6399 8420 18213 16990
"200892_s_at" 16464 4609 5991 6063
"200893_at" 9165 11108 8066 15955
"200894_s_at" 7530 12259 4418 16907
"200895_s_at" 19011 9627 15572 19500
"200896_x_at" 7263 8164 15795 13847
"200897_s_at" 7481 11187 2301 16674
"200898_s_at" 19987 3759 20566 5797
"200899_s_at" 18205 10912 8516 14470
"200900_s_at" 7344 5187 17591 3409
"200901_s_at" 18007 5664 8698 15904
"200902_at" 8585 8601 5456 6074
"200903_s_at" 8560 10881 17393 18716
"200904_at" 21180 4242 4780 4326
"200905_x_at" 7154 6898 9060 18042
"200906_s_at" 18767 18951 10461 2095
"200907_s_at" 7380 4178 12458 17678
"200908_s_at" 8268 395 990 915
"200909_s_at" 9549 18425 10779 4100
"200910_at" 4108 8531 17981 14489
"200911_s_at" 8001 4018 17309 14721
"200912_s_at" 8676 7624 6995 17917
"200913_at" 3066 8411 7422 17359
"200914_x_at" 16857 8810 4633 2350
"200915_x_at" 7036 12017 7044 6072
"200916_at" 3742 6984 8429 14069
"200917_s_at" 18866 21597 2639 1843
"200918_s_at" 9497 8894 6274 6120
"200919_at" 19738 19674 6538 14557
"200920_s_at" 1770 18377 6682 5197
"200921_s_at" 6802 7241 5306 18872
"200922_at" 6254 11179 15889 3161
"200923_at" 1633 6385 11312 13345
"200924_s_at" 8957 10932 19852 864
"200925_at" 8161 19145 8894 5514
"200926_at" 11636 14596 10893 8879
"200927_s_at" 8066 10648 4115 19065
"200928_s_at" 7146 12472 21260 19403
"200929_at" 6079 8900 15949 6165
"200930_s_at" 13766 2135 21675 7491
"200931_s_at" 7216 10705 9057 14735
"200932_s_at" 3083 21023 15395 4517
"200933_x_at" 11607 14555 10866 8827
"200934_at" 18669 20769 6227 14942
"200935_at" 17094 21045 2098 19247
"200936_at" 11613 14564 10873 8836
"200937_s_at" 6232 18703 6697 3951
"200938_s_at" 14292 14112 4366 12939
"200939_s_at" 3425 10890 777 7449
"200940_s_at" 5911 3760 21234 4836
"200941_at" 8854 7752 18601 15107
"200942_s_at" 7348 8722 8162 6452
"200943_at" 16928 19571 5747 14136
"200944_s_at" 8446 8617 7610 4897
"200945_s_at" 18410 10235 17791 15674
"200946_x_at" 3275 6746 16783 14932
"200947_s_at" 7181 11033 8361 15835
"200948_at" 3980 6148 18258 16618
"200949_x_at" 8211 8518 8292 5152
"200950_at" 6361 7340 19572 3433
"200951_s_at" 13089 12930 19728 6975
"200952_s_at" 1616 9962 1232 7354
"200953_s_at" 11043 3509 18312 7969
"200954_at" 3590 12050 2355 1959
"200955_at" 9666 7906 7814 14351
"200956_s_at" 6439 11981 5108 19174
"200957_s_at" 9621 5709 8720 18670
"200958_s_at" 16835 3550 18732 15163
"200959_at" 19225 12462 15994 6517
"200960_x_at" 7783 10015 8515 5394
"200961_at" 18625 7501 7970 5060
"200962_at" 20295 6242 19815 2316
"200963_x_at" 9427 12136 10896 8882
"200964_at" 7836 18490 16132 19252
"200965_s_at" 6954 1990 13503 14430
"200966_x_at" 9078 18394 7401 17055
"200967_at" 4968 7785 16206 13660
"200968_s_at" 2608 9457 16788 17935
"200969_at" 5703 8639 3868 14443
"200970_s_at" 5138 4986 2363 13534
"200971_s_at" 2949 10293 17942 16979
"200972_at" 19606 7580 6558 19617
"200973_s_at" 17622 18455 3469 19607
"200974_at" 6745 2381 22133 17006
"200975_at" 17216 6159 8409 6142
"200976_s_at" 6855 4116 17988 15715
"200977_s_at" 5030 10042 6733 5868
"200978_at" 8226 11091 6568 14736
"200979_at" 5697 11354 2506 4895
"200980_s_at" 3779 9840 8134 17931
"200981_x_at" 19215 11741 6342 14754
"200982_s_at" 16434 6771 7530 15980
"200983_x_at" 18234 3045 7392 15360
"200984_s_at" 5467 5573 22032 4604
"200985_s_at" 16497 5834 20358 18276
"200986_at" 9918 15302 11360 7915
"200987_x_at" 5950 8739 17363 14115
"200988_s_at" 21946 19598 1763 14776
"200989_at" 16812 12224 8288 17186
"200990_at" 18022 7514 18802 3717
"200991_s_at" 3761 5272 16424 20136
"200992_at" 4225 10448 7884 5131
"200993_at" 8074 9866 5271 14611
"200994_at" 8280 9124 17561 13805
"200995_at" 4684 5901 15356 2882
"200996_at" 6617 10576 8287 14070
"200997_at" 16847 5514 17185 16279
"200998_s_at" 2624 11492 4390 5865
"200999_s_at" 7144 9412 2737 19323
"201000_at" 8524 4096 18875 17747
"201001_s_at" 6433 9499 7816 4744
"201002_s_at" 8313 5532 15989 6394
"201003_x_at" 17864 9144 6785 19176
"201004_at" 7635 9267 15457 15516
"201005_at" 17546 6943 18274 14157
"201006_at" 1846 12 511 19713
"201007_at" 17185 11382 7487 18366
"201008_s_at" 1855 7609 2134 13522
"201009_s_at" 4992 3739 4551 5551
"201010_s_at" 6759 3563 4775 4730
"201011_at" 17949 9246 5356 6505
"201012_at" 18566 4510 15699 19007
"201013_s_at" 8262 19082 8974 18954
"201014_s_at" 5573 5353 4029 15484
"201015_s_at" 17383 3214 1476 14810
"201016_at" 6781 11517 5829 4475
"201017_at" 2175 11038 4269 13538
"201018_at" 7035 4915 18742 14310
"201019_s_at" 16867 12086 4771 4952
"201020_at" 3487 2590 15228 2495
"201021_s_at" 16611 7708 19543 4619
"201022_s_at" 16843 9741 17707 14285
"201023_at" 17614 9952 8090 18287
"201024_x_at" 6418 11955 4730 13553
"201025_at" 1925 5619 3514 17074
"201026_at" 16530 8214 17737 13612
"201027_s_at" 18038 5194 2628 14678
"201028_s_at" 1487 10498 15677 16896
"201029_s_at" 17400 4643 16983 20470
"201030_x_at" 10516 10441 10693 12368
"201031_s_at" 8868 10350 5398 5167
"201032_at" 17936 5983 16502 19683
"201033_x_at" 17947 14406 10687 8580
"201034_at" 6205 5103 6094 18346
"201035_s_at" 3878 2119 15439 19457
"201036_s_at" 3035 5864 3053 3520
"201037_at" 6093 7283 4629 6096
"201038_s_at" 16568 5650 5287 3528
"201039_s_at" 3669 9304 6133 3831
"201040_at" 19506 10593 16207 21468
"201041_s_at" 315 4356 236 20952
"201042_at" 20424 1469 12259 22140
"201043_s_at" 1707 21250 757 17077
"201044_x_at" 15998 16312 12090 4588
"201045_s_at" 2579 16693 59 21134
"201046_s_at" 3903 7724 20466 20706
"201047_x_at" 9196 4478 8173 15883
"201048_x_at" 21590 6778 310 18161
"201049_s_at" 18185 14457 10772 8684
"201050_at" 2695 20606 2779 22282
"201051_at" 4200 8929 16676 19879
"201052_s_at" 4609 8614 4766 6458
"201053_s_at" 5060 19851 18527 15627
"201054_at" 7985 5500 7187 13852
"201055_s_at" 481 11680 21108 14580
"201056_at" 17424 10933 15878 16677
"201057_s_at" 17518 8309 15746 16973
"201058_s_at" 13526 1434 9693 9342
"201059_at" 19533 4488 6601 20934
