"inst_2996" "inst_3335" "inst_4398" "inst_4575"
"1007_s_at" 13948 17375 16932 16166
"1053_at" 18796 16326 17887 7539
"117_at" 18301 6455 1940 826
"121_at" 10430 20380 1008 4581
"1255_g_at" 6195 5218 5363 10588
"1294_at" 16202 21083 2989 8908
"1316_at" 10887 17886 2604 19334
"1320_at" 8008 8654 14657 2192
"1405_i_at" 18169 8934 7595 14012
"1431_at" 1065 17434 13389 1384
"1438_at" 2548 18229 14166 17597
"1487_at" 12566 20929 12968 3510
"1494_f_at" 21571 19742 1131 17434
"1598_g_at" 9996 19306 19948 17647
"160020_at" 21505 518 12857 7558
"1729_at" 17017 15862 20512 1348
"1773_at" 21295 3026 16551 7604
"177_at" 21082 1938 8952 21124
"179_at" 16431 12445 11060 8544
"1861_at" 3214 20767 17134 16184
"200000_s_at" 14238 18319 12199 16870
"200001_at" 16083 11691 11456 4304
"200002_at" 10263 4058 9554 5083
"200003_s_at" 5435 13220 4874 11196
"200004_at" 12565 14151 15806 19256
"200005_at" 10912 11576 11311 4503
"200006_at" 13433 4025 11076 4980
"200007_at" 10308 12524 10241 17107
"200008_s_at" 17033 11612 11829 21102
"200009_at" 14359 15835 12072 5231
"200010_at" 10979 12642 9889 18499
"200011_s_at" 15112 14227 15670 7851
"200012_x_at" 3580 11911 3182 6415
"200013_at" 12269 14839 9182 9257
"200014_s_at" 12923 4693 11202 5908
"200015_s_at" 10900 15148 15304 17180
"200016_x_at" 3806 4019 8978 15980
"200017_at" 5530 6855 5003 9149
"200018_at" 5516 6844 4993 19859
"200019_s_at" 10641 11982 4956 16354
"200020_at" 3095 13097 16652 15471
"200021_at" 3347 7003 5136 11427
"200022_at" 5448 4644 4895 4959
"200023_s_at" 13793 4186 11439 4516
"200024_at" 11064 11383 9083 17394
"200025_s_at" 3538 4468 4990 4617
"200026_at" 5626 13257 5141 19529
"200027_at" 10065 11481 14493 4237
"200028_s_at" 3056 12556 15927 4662
"200029_at" 3716 12120 9363 7108
"200030_s_at" 10598 4238 9394 17498
"200031_s_at" 5509 6831 4982 11283
"200032_s_at" 5535 6858 5006 17975
"200033_at" 10016 11418 13983 17247
"200034_s_at" 9971 14189 9332 5112
"200035_at" 13508 21493 12262 18040
"200036_s_at" 10450 13202 2620 17602
"200037_s_at" 11701 12886 15448 15729
"200038_s_at" 5608 14268 5107 9110
"200039_s_at" 16225 13311 11285 4195
"200040_at" 11852 13148 15575 15597
"200041_s_at" 11188 11893 12150 6321
"200042_at" 12496 16613 10189 8621
"200043_at" 15070 11859 9408 17527
"200044_at" 10118 11936 15410 9177
"200045_at" 16232 14304 10297 4913
"200046_at" 10706 2145 11558 7728
"200047_s_at" 13374 13185 13646 2791
"200048_s_at" 12549 13021 10415 8406
"200049_at" 15999 18963 19283 6207
"200050_at" 13870 722 11068 17065
"200051_at" 11292 16633 10829 16214
"200052_s_at" 12264 20124 14381 3525
"200053_at" 11748 21604 2147 3456
"200054_at" 16909 17726 16974 4252
"200055_at" 11712 15329 9098 5288
"200056_s_at" 15122 15824 17025 7594
"200057_s_at" 11935 2392 11158 7611
"200058_s_at" 11930 18334 16339 4355
"200059_s_at" 13035 1709 11710 16114
"200060_s_at" 11975 18408 17120 5492
"200061_s_at" 5506 12036 4980 11282
"200062_s_at" 5423 6706 4853 11179
"200063_s_at" 5555 6897 5040 16466
"200064_at" 10458 3153 9292 6025
"200065_s_at" 13364 13518 10738 8684
"200066_at" 16601 17913 13345 19650
"200067_x_at" 13487 11625 10897 7548
"200068_s_at" 11360 13658 13981 2112
"200069_at" 14951 14181 18541 4700
"200070_at" 20260 13429 13204 4972
"200071_at" 13501 15952 16017 5514
"200072_s_at" 13826 16145 11258 8160
"200073_s_at" 3813 15598 14126 4105
"200074_s_at" 11175 12860 11619 3070
"200075_s_at" 12149 15271 9415 7674
"200076_s_at" 16282 14208 3202 1902
"200077_s_at" 3570 4082 9494 7405
"200078_s_at" 13730 12162 9618 6779
"200079_s_at" 13182 3597 12513 16308
"200080_s_at" 9728 3754 11296 9064
"200081_s_at" 3212 12288 8948 5276
"200082_s_at" 10142 3979 5028 15865
"200083_at" 3616 16790 15652 3034
"200084_at" 11220 12659 14659 19265
"200085_s_at" 12278 15085 2706 3528
"200086_s_at" 15606 11446 9151 1260
"200087_s_at" 16603 13731 20624 20112
"200088_x_at" 5431 6717 4866 11191
"200089_s_at" 3523 15679 9830 15874
"200090_at" 14435 11814 9402 3851
"200091_s_at" 10908 15081 11070 17202
"200092_s_at" 10025 3207 5048 5923
"200093_s_at" 11549 14782 2901 18148
"200094_s_at" 11922 18555 9471 5434
"200095_x_at" 5613 6990 5118 11416
"200096_s_at" 14758 2310 19081 958
"200097_s_at" 11531 16610 17551 4037
"200098_s_at" 10370 15654 15155 4580
"200099_s_at" 5565 6918 5052 15581
"200593_s_at" 10522 16562 19553 7336
"200594_x_at" 3544 12990 16471 6292
