"inst_1587" "inst_3204" "inst_4603" "inst_5664"
"1007_s_at" 4461 5016 11315 4955
"1053_at" 3667 18643 19912 19284
"117_at" 2046 11615 1618 8520
"121_at" 18971 20960 11958 6411
"1255_g_at" 12415 11988 5207 10212
"1294_at" 17500 1040 14780 15284
"1316_at" 444 4881 13952 6407
"1320_at" 14847 9210 183 10982
"1405_i_at" 719 9445 19396 19112
"1431_at" 10228 7544 3249 5429
"1438_at" 15869 5122 21367 15355
"1487_at" 3354 6577 18282 18494
"1494_f_at" 2411 17335 13293 10021
"1598_g_at" 1190 2148 13792 20314
"160020_at" 18156 6616 13186 21609
"1729_at" 22253 20490 14714 16907
"1773_at" 15346 21959 21149 17387
"177_at" 3263 7974 232 13672
"179_at" 731 22257 2515 5344
"1861_at" 4790 18201 17338 14322
"200000_s_at" 19510 5745 20348 20233
"200001_at" 20209 5934 18648 13285
"200002_at" 18562 14906 13437 12569
"200003_s_at" 17567 9681 7356 12111
"200004_at" 18061 7923 13098 13213
"200005_at" 18315 15386 17284 15386
"200006_at" 5286 15164 10798 14456
"200007_at" 20204 16554 11493 5341
"200008_s_at" 21768 20995 21958 12209
"200009_at" 19693 7318 13139 12221
"200010_at" 22091 14941 21511 5769
"200011_s_at" 4515 5034 13654 13387
"200012_x_at" 19812 14379 3918 4431
"200013_at" 17964 15796 13519 17730
"200014_s_at" 4807 14905 11595 14193
"200015_s_at" 19163 5823 16333 14030
"200016_x_at" 5946 5623 4369 6390
"200017_at" 1509 9777 4203 12596
"200018_at" 3397 9771 11857 13517
"200019_s_at" 5535 15029 11313 15913
"200020_at" 20814 3927 15974 5395
"200021_at" 18399 9847 7433 7875
"200022_at" 18164 14442 14945 5866
"200023_s_at" 3958 6453 3966 12909
"200024_at" 18213 15411 4953 14152
"200025_s_at" 5711 6664 2655 6394
"200026_at" 18741 9850 10883 12967
"200027_at" 3253 16913 10859 13121
"200028_s_at" 19579 3642 2995 5729
"200029_at" 18923 16351 3680 12286
"200030_s_at" 17911 14816 11064 4488
"200031_s_at" 5188 9761 7390 13840
"200032_s_at" 4907 9780 11281 12498
"200033_at" 5526 7391 14221 12665
"200034_s_at" 5013 6856 14527 4044
"200035_at" 19548 2790 16675 20459
"200036_s_at" 3908 16972 10888 12560
"200037_s_at" 2183 6526 11852 4387
"200038_s_at" 18736 15471 12395 6117
"200039_s_at" 18866 16142 13631 17810
"200040_at" 18501 6389 13809 13101
"200041_s_at" 19056 7065 19039 14766
"200042_at" 19793 6242 17437 18716
"200043_at" 4456 1976 11096 14730
"200044_at" 2008 7632 14026 15314
"200045_at" 21318 7573 17391 5631
"200046_at" 18453 17758 12502 5449
"200047_s_at" 5673 7855 3804 4611
"200048_s_at" 2926 14566 4317 15000
"200049_at" 21405 5252 4870 12478
"200050_at" 6566 3768 19007 3069
"200051_at" 2663 6107 17748 19745
"200052_s_at" 18143 17352 19929 15876
"200053_at" 21026 19602 20971 18570
"200054_at" 19729 7673 13822 12056
"200055_at" 6580 15756 11007 13614
"200056_s_at" 1005 18431 4758 15918
"200057_s_at" 2149 6251 3089 13702
