"inst_3542" "inst_5119" "inst_5544"
"1007_s_at" 5431 7328 5498
"1053_at" 2069 7167 17523
"117_at" 17034 2556 12270
"121_at" 3085 18059 4502
"1255_g_at" 16322 10659 10836
"1294_at" 3259 17709 15106
"1316_at" 20560 1560 19818
"1320_at" 18747 2727 9821
"1405_i_at" 13710 11765 8699
"1431_at" 1220 1110 11125
"1438_at" 5273 22231 12101
"1487_at" 7196 16174 20433
"1494_f_at" 8057 13336 4918
"1598_g_at" 10188 15228 19572
"160020_at" 3972 21146 3566
"1729_at" 11710 2200 18404
"1773_at" 21693 20831 5752
"177_at" 1572 1281 3803
"179_at" 21728 21259 156
"1861_at" 7630 7491 2034
"200000_s_at" 6706 3084 15592
"200001_at" 12837 16185 5669
"200002_at" 12153 14706 16853
"200003_s_at" 11792 6724 7094
"200004_at" 10850 8044 20082
"200005_at" 11596 5358 6968
"200006_at" 10581 7368 15134
"200007_at" 10127 15224 16402
"200008_s_at" 12611 16982 16324
"200009_at" 11233 6376 16840
"200010_at" 10059 18492 7466
"200011_s_at" 11323 15613 16579
"200012_x_at" 21087 5359 6100
"200013_at" 12104 7517 17063
"200014_s_at" 12322 7075 15345
"200015_s_at" 4849 16340 17984
"200016_x_at" 10500 17959 7038
"200017_at" 10994 4999 19027
"200018_at" 12589 16403 14671
"200019_s_at" 10651 6389 6710
"200020_at" 11381 7186 15216
"200021_at" 19980 10539 14768
"200022_at" 12512 18078 17461
"200023_s_at" 8534 17259 7389
"200024_at" 12346 15466 4742
"200025_s_at" 12771 15558 14219
"200026_at" 20040 6835 6637
"200027_at" 11538 6449 16059
"200028_s_at" 19916 19341 5334
"200029_at" 19828 7526 6820
"200030_s_at" 12068 14623 3951
"200031_s_at" 14856 10442 7438
"200032_s_at" 12434 7488 7596
"200033_at" 11071 15442 17018
"200034_s_at" 19663 15015 20427
"200035_at" 6596 4600 5287
"200036_s_at" 12032 5823 6965
"200037_s_at" 10336 8214 18653
"200038_s_at" 12469 5891 7626
"200039_s_at" 6472 14992 14903
"200040_at" 8619 15996 17101
"200041_s_at" 8777 7234 18144
"200042_at" 3464 7173 14814
"200043_at" 7688 16663 2754
"200044_at" 8804 7622 15870
"200045_at" 12857 8571 5545
"200046_at" 4609 4801 15925
"200047_s_at" 12785 16830 15530
"200048_s_at" 8077 16322 7197
"200049_at" 20046 18481 6056
"200050_at" 10574 17685 17894
"200051_at" 2535 14841 6934
"200052_s_at" 10075 6883 18442
"200053_at" 5614 4661 2643
"200054_at" 9271 14911 19491
"200055_at" 12310 4866 5328
"200056_s_at" 1261 19616 17574
"200057_s_at" 10894 4886 16043
"200058_s_at" 9137 15655 20124
"200059_s_at" 8327 16623 16828
"200060_s_at" 6928 6295 18747
"200061_s_at" 20612 10441 15352
"200062_s_at" 14794 10372 14593
"200063_s_at" 12202 7274 17704
"200064_at" 9192 16113 6591
"200065_s_at" 11955 16360 19381
"200066_at" 5889 15541 4511
"200067_x_at" 10495 4659 6501
"200068_s_at" 12088 6964 14748
"200069_at" 6248 7454 14475
"200070_at" 4023 16325 5553
"200071_at" 10046 8350 18122
"200072_s_at" 7774 16563 15108
"200073_s_at" 4627 17703 14876
"200074_s_at" 12560 6059 7099
"200075_s_at" 8984 14594 7125
"200076_s_at" 5860 7458 5646
"200077_s_at" 10836 15491 7631
"200078_s_at" 8182 15873 6749
"200079_s_at" 10618 15386 14835
"200080_s_at" 12069 5058 6634
"200081_s_at" 12200 15045 15916
"200082_s_at" 19737 6203 14639
"200083_at" 4556 15165 18840
"200084_at" 6407 18095 14491
"200085_s_at" 10320 7732 6586
"200086_s_at" 11222 6672 5797
"200087_s_at" 9716 6823 18796
"200088_x_at" 14800 8459 5472
"200089_s_at" 10992 7721 14956
"200090_at" 6424 5731 6517
"200091_s_at" 6585 18895 17946
"200092_s_at" 12854 14989 15149
"200093_s_at" 7132 14797 14267
"200094_s_at" 10485 16712 19692
"200095_x_at" 14928 10528 7095
"200096_s_at" 5165 7009 19994
"200097_s_at" 10120 3636 18849
"200098_s_at" 8957 17101 14218
"200099_s_at" 20489 14938 16523
"200593_s_at" 7810 18516 17512
"200594_x_at" 11465 15791 7519
"200595_s_at" 2935 18707 17771
"200596_s_at" 5382 18368 18819
"200597_at" 7695 3008 5967
"200598_s_at" 11378 7408 15324
"200599_s_at" 4507 17415 5218
"200600_at" 20813 17046 14091
"200601_at" 12109 21175 16972
"200602_at" 3922 17941 15244
"200603_at" 3745 16124 17267
"200604_s_at" 4867 3384 7640
"200605_s_at" 10234 5754 16124
"200606_at" 10851 2218 19463
"200607_s_at" 9600 5765 20797
"200608_s_at" 6857 7192 16225
"200609_s_at" 8743 3190 15795
"200610_s_at" 10504 15914 16578
"200611_s_at" 7241 7907 6081
"200612_s_at" 20265 19370 5448
"200613_at" 5834 16643 15193
"200614_at" 11040 17890 15472
"200615_s_at" 7911 15226 4754
"200616_s_at" 19549 6761 14984
"200617_at" 6373 6602 5002
"200618_at" 7941 15129 18608
"200619_at" 7987 7568 4324
"200620_at" 10987 16707 7610
"200621_at" 11817 16625 5962
"200622_x_at" 5728 5237 19023
"200623_s_at" 4126 2317 4947
"200624_s_at" 6812 17351 18061
"200625_s_at" 9791 4967 15290
"200626_s_at" 1741 20449 14795
"200627_at" 11772 8292 7606
"200628_s_at" 2667 18834 14576
"200629_at" 9147 2141 5359
"200630_x_at" 12835 3649 16442
"200631_s_at" 11658 7856 16731
"200632_s_at" 7004 17793 381
"200633_at" 14855 8435 16138
"200634_at" 11760 16059 6318
"200635_s_at" 5795 18580 5237
"200636_s_at" 3480 6742 14196
"200637_s_at" 2974 17367 1694
"200638_s_at" 10110 8320 17687
"200639_s_at" 19762 15639 19811
"200640_at" 11579 16006 14819
"200641_s_at" 8261 6747 17707
"200642_at" 11979 16462 5568
"200643_at" 449 19591 20295
"200644_at" 12321 15764 15560
"200645_at" 12234 8478 4713
"200646_s_at" 8398 3969 3541
"200647_x_at" 9734 4585 3089
"200648_s_at" 8849 3240 4641
"200649_at" 20477 15977 21242
"200650_s_at" 10762 15985 6843
"200651_at" 11746 15562 5836
"200652_at" 8802 15283 5877
"200653_s_at" 4608 7770 19111
"200654_at" 1826 17761 7456
"200655_s_at" 11556 6147 14761
"200656_s_at" 7463 6104 15566
"200657_at" 20127 14599 4929
"200658_s_at" 10753 7424 16075
"200659_s_at" 8655 6945 21906
"200660_at" 5864 5791 14494
"200661_at" 6284 19208 3941
"200662_s_at" 5872 6890 5289
"200663_at" 12457 15436 14910
"200664_s_at" 8903 18686 14186
"200665_s_at" 14355 13305 12953
"200666_s_at" 8129 15909 15030
"200667_at" 9624 5854 20029
"200668_s_at" 11116 17782 16120
"200669_s_at" 8967 6987 17370
"200670_at" 804 4489 5412
"200671_s_at" 241 3398 3038
"200672_x_at" 3461 17401 3153
"200673_at" 9139 17123 15013
"200674_s_at" 21341 8488 5166
"200675_at" 7563 18303 15493
"200676_s_at" 10812 20584 20496
"200677_at" 11324 4609 14453
"200678_x_at" 10702 17188 19926
"200679_x_at" 10854 16389 18048
"200680_x_at" 12460 16194 14758
"200681_at" 19597 7008 4249
"200682_s_at" 5844 4292 17490
"200683_s_at" 5788 7631 5007
"200684_s_at" 8997 7098 2772
"200685_at" 21046 20297 20121
"200686_s_at" 3055 18257 21046
"200687_s_at" 8102 19461 4617
"200688_at" 9981 4137 19469
"200689_x_at" 20353 8538 16134
"200690_at" 7537 16554 20924
"200691_s_at" 11696 16929 16709
"200692_s_at" 5946 18366 16834
"200693_at" 11731 15296 15540
"200694_s_at" 10643 15062 18836
"200695_at" 20980 21782 7550
"200696_s_at" 1145 5006 4381
"200697_at" 8988 18001 6668
"200698_at" 5858 15114 19092
"200699_at" 4727 4730 7409
"200700_s_at" 7982 5893 2743
"200701_at" 3993 15956 6415
"200702_s_at" 10827 7600 18832
"200703_at" 6446 17652 4869
"200704_at" 12877 4272 6940
"200705_s_at" 19824 6190 15633
"200706_s_at" 3758 18652 19585
"200707_at" 1329 7679 5161
"200708_at" 12306 14567 6255
"200709_at" 3182 15793 15255
"200710_at" 7317 18640 5986
"200711_s_at" 2620 19149 15118
"200712_s_at" 7160 18632 19643
"200713_s_at" 19462 5282 19284
"200714_x_at" 8500 16088 6900
"200715_x_at" 19652 16237 6828
"200716_x_at" 12730 15367 4281
"200717_x_at" 14853 10439 14317
"200718_s_at" 11148 6845 16342
"200719_at" 9873 18432 7130
"200720_s_at" 11243 16568 3499
"200721_s_at" 9775 14745 4046
"200722_s_at" 4550 16466 15183
"200723_s_at" 9648 7446 15853
"200724_at" 246 21224 15711
"200725_x_at" 19547 15887 5890
"200726_at" 6465 15896 17148
"200727_s_at" 11769 2008 19471
"200728_at" 6264 17378 6365
"200729_s_at" 5129 8608 18508
"200730_s_at" 19519 5508 18509
"200731_s_at" 5721 1634 15581
"200732_s_at" 12585 6967 6537
"200733_s_at" 1589 2963 17865
"200734_s_at" 21135 4750 5087
"200735_x_at" 12133 15915 6058
"200736_s_at" 17686 8364 11228
"200737_at" 3325 18157 14895
"200738_s_at" 9879 16865 6295
"200739_s_at" 3688 16636 16804
