"inst_1737" "inst_2886" "inst_5070" "inst_5489"
"1007_s_at" 2740 16056 17461 5889
"1053_at" 18091 13757 17453 19933
"117_at" 21860 11555 23 5873
"121_at" 17302 20039 4415 16924
"1255_g_at" 7326 8638 9377 9777
"1294_at" 21568 3122 580 16009
"1316_at" 5998 16870 4034 21148
"1320_at" 15710 1052 15715 12780
"1405_i_at" 18935 2653 4678 9038
"1431_at" 8281 517 5970 18632
"1438_at" 6741 3394 1625 3803
"1487_at" 20127 4458 19147 18262
"1494_f_at" 21924 7687 1092 20474
"1598_g_at" 3075 22027 19982 15009
"160020_at" 5187 1930 2938 21609
"1729_at" 397 13683 16681 15848
"1773_at" 8610 13270 21747 16299
"177_at" 17564 5791 2879 11434
"179_at" 22106 14765 5264 10653
"1861_at" 4528 14429 13779 17044
"200000_s_at" 6116 16007 17036 7725
"200001_at" 18597 15476 15733 17967
"200002_at" 4946 5194 12961 15606
"200003_s_at" 4866 12071 7883 7628
"200004_at" 16177 14119 13348 15473
"200005_at" 18613 14197 13665 17132
"200006_at" 21314 13389 12969 18497
"200007_at" 16561 15515 5757 6707
"200008_s_at" 3207 18625 18122 18379
"200009_at" 1957 13493 17412 6727
"200010_at" 5203 4219 5648 15251
"200011_s_at" 4686 20080 16462 16127
"200012_x_at" 18830 3493 5781 7377
"200013_at" 6010 4127 5915 15204
"200014_s_at" 6290 14497 16000 16781
"200015_s_at" 16582 18659 12290 15488
"200016_x_at" 18900 13224 12665 7597
"200017_at" 21077 5127 5058 6759
"200018_at" 6038 4300 4892 6511
"200019_s_at" 4198 12295 12335 14839
"200020_at" 4681 17688 19546 17901
"200021_at" 5064 4699 8086 9628
"200022_at" 4477 12149 12446 16823
"200023_s_at" 5942 13472 12633 6175
"200024_at" 16471 4970 3710 14897
"200025_s_at" 5967 4306 5637 14591
"200026_at" 18035 12022 12135 6572
"200027_at" 2897 13507 5397 6564
"200028_s_at" 19217 17656 19473 16625
"200029_at" 16247 4703 4888 6151
"200030_s_at" 4629 14728 13711 14511
"200031_s_at" 16531 7339 7965 15845
"200032_s_at" 16976 4617 4445 5299
"200033_at" 19400 12014 15158 5777
"200034_s_at" 5335 5062 3727 14532
"200035_at" 20072 13575 5135 20851
"200036_s_at" 18662 13849 12165 7381
"200037_s_at" 17137 16791 19106 6591
"200038_s_at" 4264 4311 13316 15629
"200039_s_at" 18602 15080 12285 15203
"200040_at" 21459 17307 18491 14801
"200041_s_at" 19479 15812 16150 14878
"200042_at" 18176 12965 12249 19100
"200043_at" 3971 5059 14746 14768
"200044_at" 5309 15971 12063 14648
"200045_at" 19265 16363 15244 17339
"200046_at" 19114 18703 3768 17904
"200047_s_at" 6007 5155 12209 14786
"200048_s_at" 16030 14317 15499 16808
"200049_at" 20313 4113 4443 6080
"200050_at" 17424 3680 5385 17304
"200051_at" 21657 12047 13493 16831
"200052_s_at" 4517 15647 15504 18106
"200053_at" 4394 21344 18066 17486
"200054_at" 5262 13561 17283 17359
"200055_at" 16406 19580 5955 5771
"200056_s_at" 17966 20808 12317 19434
"200057_s_at" 21232 13181 13535 6575
"200058_s_at" 5746 12899 17555 14652
"200059_s_at" 16453 5027 13365 16366
"200060_s_at" 18645 3103 17580 7098
"200061_s_at" 2075 7338 7964 14945
"200062_s_at" 17401 7214 7870 9511
"200063_s_at" 5621 7414 8025 15368
"200064_at" 2369 4933 17042 15209
"200065_s_at" 3779 13294 5709 5230
"200066_at" 3396 16742 14715 6213
"200067_x_at" 18966 14286 16183 17815
"200068_s_at" 2390 14117 4493 7293
"200069_at" 17540 2901 19388 16358
"200070_at" 18804 15636 3102 14852
"200071_at" 18201 12794 12224 6403
"200072_s_at" 16711 14527 17541 5641
"200073_s_at" 5988 13281 16837 7731
"200074_s_at" 18895 12294 15179 15506
"200075_s_at" 20868 17414 12436 16250
"200076_s_at" 18784 17674 12746 19463
"200077_s_at" 19228 4202 5535 15170
"200078_s_at" 3614 17456 3598 15493
"200079_s_at" 21260 14725 14274 6514
"200080_s_at" 19271 12983 15976 6585
"200081_s_at" 3602 12708 12234 15945
"200082_s_at" 19416 4608 12278 7592
"200083_at" 4611 15374 18970 16995
"200084_at" 16324 13965 13015 6888
"200085_s_at" 16894 14161 13847 16536
"200086_s_at" 16383 4906 13378 6718
"200087_s_at" 2446 16721 13398 14904
"200088_x_at" 3809 7221 12297 4575
"200089_s_at" 16230 4684 12256 15100
"200090_at" 21201 2166 4547 4352
"200091_s_at" 17760 3960 3672 5790
"200092_s_at" 5081 4444 4655 15484
