"inst_2464" "inst_2825" "inst_4185" "inst_4771"
"1007_s_at" 20576 7833 8881 13979
"1053_at" 19606 4959 14930 20394
"117_at" 3280 15094 825 7983
"121_at" 21568 17806 16809 12527
"1255_g_at" 8070 10791 13101 6393
"1294_at" 5458 16965 21943 510
"1316_at" 21142 19527 21633 16469
"1320_at" 10148 4847 12702 5605
"1405_i_at" 14872 14841 21577 6581
"1431_at" 3170 6141 19691 17700
"1438_at" 8309 21072 1505 12982
"1487_at" 3914 18837 5298 16194
"1494_f_at" 1387 6728 96 2322
"1598_g_at" 21127 21323 18356 20506
"160020_at" 6000 21620 4679 46
"1729_at" 3395 19148 16808 13030
"1773_at" 15988 16212 882 11354
"177_at" 4484 11510 19017 1728
"179_at" 5655 2113 21879 18554
"1861_at" 16491 7556 17638 13375
"200000_s_at" 6352 7915 1986 14372
"200001_at" 6674 7828 17424 13204
"200002_at" 5300 17658 8945 12203
"200003_s_at" 8833 16673 10422 11888
"200004_at" 15138 7390 15112 19961
"200005_at" 13955 7061 9231 15661
"200006_at" 3954 16123 15383 11731
"200007_at" 4520 2496 6884 10951
"200008_s_at" 19528 4603 2351 21098
"200009_at" 17872 15972 7554 12925
"200010_at" 8835 8039 8675 18785
"200011_s_at" 2608 5888 15413 10329
"200012_x_at" 16282 18365 15403 2010
"200013_at" 8745 17936 14942 12444
"200014_s_at" 5131 7132 6995 14784
"200015_s_at" 5538 15863 5220 17337
"200016_x_at" 8743 5572 7773 10309
"200017_at" 8976 17052 15783 13123
"200018_at" 8959 6770 15157 12349
"200019_s_at" 8919 8143 7213 2954
"200020_at" 20367 4488 7175 13061
"200021_at" 17342 16138 10538 5338
"200022_at" 8856 8065 7250 11517
"200023_s_at" 4849 15969 5788 13904
"200024_at" 8922 6920 17302 11526
"200025_s_at" 8955 16079 8958 10169
"200026_at" 9124 6989 16003 2485
"200027_at" 4481 16793 4997 14905
"200028_s_at" 6345 5771 8765 3005
"200029_at" 8900 16147 6974 2772
"200030_s_at" 14333 8108 15004 12214
"200031_s_at" 8941 16956 10470 2735
"200032_s_at" 8981 16864 8424 5230
"200033_at" 6516 7626 8952 19129
"200034_s_at" 14130 15893 17251 12847
"200035_at" 18497 3740 17847 16073
"200036_s_at" 4962 16312 6407 11653
"200037_s_at" 4836 16620 7404 15564
"200038_s_at" 9095 17923 7720 11100
"200039_s_at" 15986 6118 8704 15216
"200040_at" 4342 6924 6481 15865
"200041_s_at" 6444 6533 18154 14156
"200042_at" 4473 19317 7895 14531
"200043_at" 2056 4881 16380 17348
"200044_at" 14231 16674 7313 14448
"200045_at" 16695 5107 15108 13564
"200046_at" 3548 6916 8605 18047
"200047_s_at" 5858 7462 4243 18200
"200048_s_at" 5777 18477 3451 2701
"200049_at" 3082 17595 17658 15236
"200050_at" 16436 4903 2332 19669
"200051_at" 3388 19163 4108 2277
"200052_s_at" 5703 16604 6808 18333
"200053_at" 19901 2782 16840 15377
"200054_at" 5802 18080 16273 15669
"200055_at" 3888 17085 15051 11327
"200056_s_at" 2988 2786 6507 20789
"200057_s_at" 5554 5519 7489 10910
"200058_s_at" 5224 6987 9206 16489
"200059_s_at" 6619 7142 15507 18807
"200060_s_at" 6759 20735 18308 15334
"200061_s_at" 8939 16695 10469 2688
"200062_s_at" 8816 10737 10415 5099
"200063_s_at" 9019 17906 10497 5267
