"inst_2971" "inst_3533" "inst_5452"
"1007_s_at" 21097 16359 5172
"1053_at" 8476 17236 19476
"117_at" 1551 10048 13694
"121_at" 20992 1859 5593
"1255_g_at" 18109 9457 11906
"1294_at" 1315 448 21684
"1316_at" 20602 2928 3378
"1320_at" 17861 9456 11361
"1405_i_at" 814 5561 12721
"1431_at" 16334 4512 20360
"1438_at" 15133 15317 3695
"1487_at" 8474 17447 738
"1494_f_at" 2886 2167 4728
"1598_g_at" 4398 2892 9152
"160020_at" 744 455 4430
"1729_at" 22200 21625 6503
"1773_at" 20975 21471 8183
"177_at" 1173 11641 2341
"179_at" 10029 194 1666
"1861_at" 10666 6289 6364
"200000_s_at" 7415 20539 6361
"200001_at" 8208 15858 15870
"200002_at" 10391 17243 7195
"200003_s_at" 12335 15902 11010
"200004_at" 8484 6793 7294
"200005_at" 11524 14629 17074
"200006_at" 10533 6354 17985
"200007_at" 11017 12919 6262
"200008_s_at" 9632 6687 16927
"200009_at" 9432 5814 15314
"200010_at" 20526 16674 8922
"200011_s_at" 7470 19085 3430
"200012_x_at" 20841 4887 6224
"200013_at" 11653 15514 16228
"200014_s_at" 10149 6384 7200
"200015_s_at" 5298 13006 15654
"200016_x_at" 12259 16113 18051
"200017_at" 20806 14418 11095
"200018_at" 15792 13484 11086
"200019_s_at" 11036 18536 15694
"200020_at" 9722 16927 7648
"200021_at" 12457 13457 11184
"200022_at" 20832 16965 16760
"200023_s_at" 6106 19603 6363
"200024_at" 11981 13746 8102
"200025_s_at" 12666 15552 7567
"200026_at" 16003 16547 16058
"200027_at" 11005 14870 8595
"200028_s_at" 10546 13126 17612
"200029_at" 20824 5044 5478
"200030_s_at" 12036 16229 8825
"200031_s_at" 15768 15358 11080
"200032_s_at" 15820 6059 11097
"200033_at" 8071 18228 9207
"200034_s_at" 20827 16050 15322
"200035_at" 5562 19816 3173
"200036_s_at" 10814 16332 6251
"200037_s_at" 6950 16983 7674
"200038_s_at" 15970 6568 15645
"200039_s_at" 11268 6198 15340
"200040_at" 6877 13828 8934
"200041_s_at" 8544 16756 7574
"200042_at" 10983 16247 8953
"200043_at" 10928 18916 5528
"200044_at" 5803 12879 7881
"200045_at" 12231 17984 7450
"200046_at" 2253 18036 8981
"200047_s_at" 7501 13960 7923
"200048_s_at" 4266 14909 7233
"200049_at" 7363 17284 3424
"200050_at" 5473 18781 3512
"200051_at" 5485 18216 4994
"200052_s_at" 12044 13898 18642
"200053_at" 20796 15065 17076
"200054_at" 7441 18183 8178
"200055_at" 6712 16892 5110
"200056_s_at" 3935 16922 4351
"200057_s_at" 10275 16267 9217
"200058_s_at" 9803 16088 16352
"200059_s_at" 11435 13528 7389
