"inst_2363" "inst_3780" "inst_3861" "inst_3972" "inst_4337"
"1007_s_at" 21912 4027 17581 6457 14051
"1053_at" 4043 17682 7942 15141 3148
"117_at" 694 14327 14096 9473 10972
"121_at" 18646 14967 20764 12625 19457
"1255_g_at" 10246 12018 11803 841 7256
"1294_at" 2117 18735 19925 2433 3173
"1316_at" 3880 3436 5033 14471 835
"1320_at" 13244 1834 21095 22115 6451
"1405_i_at" 15887 9864 11289 11712 11253
"1431_at" 3014 7885 17287 821 21781
"1438_at" 11016 8355 18580 5719 15450
"1487_at" 3072 2765 20423 5877 5221
"1494_f_at" 2921 21576 1783 12343 5232
"1598_g_at" 19696 3950 8997 3926 4945
"160020_at" 20 18290 17 5366 14763
"1729_at" 3418 6947 2488 6002 6376
"1773_at" 17331 21203 472 6686 4036
"177_at" 297 20120 18449 6163 1831
"179_at" 14937 2442 9176 13527 20630
"1861_at" 3543 6809 4182 13112 16949
"200000_s_at" 15778 4835 9791 12294 15724
"200001_at" 15506 3562 16255 15228 13259
"200002_at" 17680 9203 16816 13462 5985
"200003_s_at" 17721 11130 11785 8271 8668
"200004_at" 16952 9580 17396 12246 16060
"200005_at" 17330 9447 15923 12197 5709
"200006_at" 7567 9082 15873 12533 5945
"200007_at" 6209 18411 17330 14658 15336
"200008_s_at" 19625 20422 3271 13490 20004
"200009_at" 7014 8661 16906 5290 13889
"200010_at" 17325 7422 8740 13096 12744
"200011_s_at" 5517 6918 9878 13638 17644
"200012_x_at" 15429 15185 9428 5806 5867
"200013_at" 18601 8682 8546 13973 13253
"200014_s_at" 18467 15227 7561 14459 12775
"200015_s_at" 7039 8581 9614 16696 6527
"200016_x_at" 17629 11077 15905 8190 4704
"200017_at" 16627 11211 11909 8394 8765
"200018_at" 16103 11205 11900 8384 8752
"200019_s_at" 16396 16065 18739 13223 4439
"200020_at" 16815 7466 9190 4289 12711
"200021_at" 6504 11297 12014 8526 13407
"200022_at" 4724 16120 16024 8293 5545
"200023_s_at" 5194 18537 18361 13658 5846
"200024_at" 6528 17139 17495 13520 5949
"200025_s_at" 16222 16440 16802 8381 3851
"200026_at" 10373 11300 8157 8530 5513
"200027_at" 17279 16267 9276 13222 12698
"200028_s_at" 17729 7066 17605 14075 17324
"200029_at" 5792 7479 7690 12542 5518
"200030_s_at" 7414 16284 17931 5472 16166
"200031_s_at" 10272 11197 11888 8372 8744
"200032_s_at" 10271 14890 11911 8398 5391
"200033_at" 16235 15925 18413 14176 16299
"200034_s_at" 16841 14864 9782 8279 7065
"200035_at" 16567 18014 7067 2693 17198
"200036_s_at" 6536 9285 15941 16855 5004
"200037_s_at" 6668 7323 9580 12704 12774
"200038_s_at" 15542 15450 11996 8499 6438
"200039_s_at" 7207 16538 15744 13296 5425
"200040_at" 15564 9180 19329 17366 14213
"200041_s_at" 6841 9046 7222 5841 15358
"200042_at" 15592 17184 8428 3957 14524
"200043_at" 5496 6571 16993 5393 4951
"200044_at" 7149 6510 19041 15399 15321
"200045_at" 16835 7262 20448 3521 5704
"200046_at" 4824 8655 16489 4588 5277
"200047_s_at" 19215 18482 18915 16771 6782
"200048_s_at" 17714 17047 16059 16009 13554
"200049_at" 19127 18228 9870 19233 17444
"200050_at" 19614 6089 5072 15590 2203
"200051_at" 3300 3518 7473 15226 13160
"200052_s_at" 18247 18272 5553 13480 14865
"200053_at" 19677 20025 7013 19322 13386
"200054_at" 5732 17829 19497 4367 19681
"200055_at" 5233 15186 17782 5442 5076
"200056_s_at" 15619 17063 19746 17694 16324
"200057_s_at" 5511 8538 18936 12329 13069
"200058_s_at" 7540 9565 17935 12368 16568
"200059_s_at" 16232 15598 8800 14061 16905
"200060_s_at" 3520 3405 19853 14842 14322
"200061_s_at" 7100 11196 11885 8370 8743
"200062_s_at" 7552 11120 11767 8253 8655
"200063_s_at" 5570 11241 11950 8437 8795
"200064_at" 16715 9573 6978 5716 16290
"200065_s_at" 5720 6624 7594 4262 14270
"200066_at" 17381 16858 17508 2379 15391
"200067_x_at" 15497 8351 6753 11985 5327
"200068_s_at" 6587 8350 18858 5405 6878
"200069_at" 4394 9352 16232 18738 6991
"200070_at" 1160 16823 21962 17240 6946
"200071_at" 4135 20124 16814 17548 19341
"200072_s_at" 6434 14997 5995 13980 20043
"200073_s_at" 16958 4052 9647 18696 13851
"200074_s_at" 16246 9363 7233 15867 6131
"200075_s_at" 18243 6581 16357 13193 13646
"200076_s_at" 17587 4193 16256 6398 3293
"200077_s_at" 17478 8772 9656 13913 13164
"200078_s_at" 5767 7828 18835 15409 6844
"200079_s_at" 18834 14927 16185 13456 13039
"200080_s_at" 7592 9158 17832 14532 5984
"200081_s_at" 16088 17943 7799 5569 14919
"200082_s_at" 15894 9017 9485 8422 14071
"200083_at" 15518 5523 19226 17986 6571
"200084_at" 17814 18831 8421 15895 19201
"200085_s_at" 15620 8120 8382 14607 12739
"200086_s_at" 16955 9719 8376 13492 13207
"200087_s_at" 17201 4003 19091 6675 14667
"200088_x_at" 7431 11127 11778 8265 6209
"200089_s_at" 7673 9732 7570 14480 5979
"200090_at" 7575 5594 15817 12808 5334
"200091_s_at" 15494 7241 8880 13940 13880
"200092_s_at" 5135 7073 15774 8444 13071
"200093_s_at" 19048 16687 17370 15130 17323
