"inst_2902" "inst_3984" "inst_4104" "inst_7322"
"1007_s_at" 14976 4630 13228 5845
"1053_at" 18565 17351 20924 2158
"117_at" 14064 1034 7765 8518
"121_at" 10106 4676 5437 5356
"1255_g_at" 5375 12622 7900 8820
"1294_at" 13283 20981 17225 15166
"1316_at" 10310 20475 21934 3046
"1320_at" 7515 13860 19310 7063
"1405_i_at" 13032 21889 270 13620
"1431_at" 10261 20152 19495 14067
"1438_at" 4120 7572 12747 19079
"1487_at" 18465 16746 17029 1234
"1494_f_at" 6941 1796 21234 14168
"1598_g_at" 19494 16943 5494 21268
"160020_at" 22239 2158 22063 4206
"1729_at" 22059 4798 13971 16606
"1773_at" 15242 1308 20197 19134
"177_at" 14645 2033 18635 13080
"179_at" 22168 615 20503 16538
"1861_at" 11559 18941 19459 14483
"200000_s_at" 17353 15697 14747 18585
"200001_at" 19083 18252 17609 14878
"200002_at" 9755 5840 5466 5302
"200003_s_at" 4417 9918 12756 15257
"200004_at" 14641 7065 4777 3814
"200005_at" 14301 8053 13362 5253
"200006_at" 13980 14061 5778 4934
"200007_at" 11517 2221 1026 3180
"200008_s_at" 14961 17155 18355 17301
"200009_at" 13915 5698 12778 6106
"200010_at" 9780 6500 17662 17413
"200011_s_at" 17419 5971 5084 4937
"200012_x_at" 1179 6698 6684 5181
"200013_at" 10407 15278 16550 17780
"200014_s_at" 12605 17067 6601 3601
"200015_s_at" 19228 14037 14298 6006
"200016_x_at" 1652 14273 3534 4737
"200017_at" 2169 9998 8567 5577
"200018_at" 4537 14893 12762 14841
"200019_s_at" 10860 8292 14811 14619
"200020_at" 18349 5853 5595 18697
"200021_at" 9699 10085 8703 4312
"200022_at" 2072 4393 15370 14981
"200023_s_at" 10783 6009 2325 4964
"200024_at" 9860 5391 15048 15104
"200025_s_at" 1332 7868 4934 3403
"200026_at" 4707 8348 15299 5240
"200027_at" 11612 5832 2937 3346
"200028_s_at" 16823 3355 5103 3864
"200029_at" 1503 14951 5010 4939
"200030_s_at" 12030 8097 6723 15039
"200031_s_at" 4523 9982 8547 5062
"200032_s_at" 4556 18157 8573 15657
"200033_at" 11837 6779 4333 6128
"200034_s_at" 10266 8095 14945 16812
"200035_at" 14931 18093 19467 18818
"200036_s_at" 1941 7004 5312 14751
"200037_s_at" 13510 14954 12770 14742
"200038_s_at" 4678 14772 12730 15893
"200039_s_at" 15808 7713 5092 17294
"200040_at" 13913 6715 5852 6062
"200041_s_at" 14319 5927 13762 18659
"200042_at" 15131 5492 4386 15924
"200043_at" 13569 17257 6282 2612
"200044_at" 14008 7871 4571 5455
"200045_at" 17431 15977 5355 15421
"200046_at" 14903 3082 15174 17657
"200047_s_at" 10067 2611 1493 2573
"200048_s_at" 12132 15461 3447 5144
"200049_at" 10979 1095 16325 1871
"200050_at" 20150 17157 18765 1925
"200051_at" 19122 19111 16947 20719
"200052_s_at" 17517 16292 18149 16463
"200053_at" 17638 4170 18229 22096
"200054_at" 14324 8439 4522 6126
"200055_at" 16168 5266 3851 4513
"200056_s_at" 21247 7451 2435 3835
"200057_s_at" 10477 7096 4375 3614
"200058_s_at" 14824 7827 5746 5953
"200059_s_at" 10166 3689 5247 2613
"200060_s_at" 18295 8110 13073 17095
"200061_s_at" 4522 9981 8544 14559
"200062_s_at" 2062 9910 8415 16372
"200063_s_at" 1829 10027 8609 5581
"200064_at" 14179 5783 4377 3283
"200065_s_at" 14339 6065 15574 16413
"200066_at" 13184 17253 1270 21472
"200067_x_at" 12205 4348 3201 16225
"200068_s_at" 11451 4751 4866 3790
"200069_at" 18304 8253 6252 2739
"200070_at" 13873 17495 14366 14534
"200071_at" 19294 2606 3455 5262
"200072_s_at" 19135 14686 6027 15105
"200073_s_at" 11778 7460 3217 4026
"200074_s_at" 10432 14549 13446 14722
"200075_s_at" 18681 6862 16154 20512
"200076_s_at" 14950 15797 6250 3788
"200077_s_at" 1657 7371 5529 3749
"200078_s_at" 17599 15210 14206 16083
"200079_s_at" 17976 14688 12867 18071
"200080_s_at" 1454 15842 3559 3473
"200081_s_at" 9801 7665 16415 14945
"200082_s_at" 9865 8386 16607 15058
"200083_at" 10660 14524 6316 17576
"200084_at" 13734 3664 2846 4585
"200085_s_at" 14851 15290 12734 15114
"200086_s_at" 13292 8337 5818 4085
"200087_s_at" 16711 5757 13364 5715
"200088_x_at" 4410 15079 8431 15491
"200089_s_at" 9605 16803 12919 16117
"200090_at" 14219 5947 3129 4600
"200091_s_at" 10109 19803 13603 15551
"200092_s_at" 1877 6148 5677 16448
"200093_s_at" 18829 14717 927 4837
"200094_s_at" 10145 17673 14891 3407
"200095_x_at" 4688 10074 8691 15469
"200096_s_at" 19644 4403 16373 15378
"200097_s_at" 11047 15873 6064 2936
"200098_s_at" 17273 7670 3619 4185
"200099_s_at" 4610 15022 8625 3603
"200593_s_at" 13857 18167 19901 14836
"200594_x_at" 14170 7909 14784 5101
"200595_s_at" 15764 8137 2992 15962
"200596_s_at" 16730 17445 14911 17976
"200597_at" 12969 19578 6413 2515
"200598_s_at" 18671 18231 20231 15331
"200599_s_at" 14423 8078 4316 16404
"200600_at" 14769 4640 8217 14150
"200601_at" 18996 900 1827 1685
"200602_at" 14751 6735 2006 19886
"200603_at" 17679 15573 14465 3569
"200604_s_at" 21275 6979 6330 15553
"200605_s_at" 16135 3350 15397 5815
"200606_at" 4776 3890 1436 1513
"200607_s_at" 14585 18940 21760 16005
"200608_s_at" 13409 14929 5042 4675
"200609_s_at" 21126 20155 4155 14950
"200610_s_at" 11666 1630 1973 983
"200611_s_at" 20259 17079 15178 15102
"200612_s_at" 19905 2141 19346 21979
"200613_at" 17010 8254 4217 17811
"200614_at" 13795 7197 5155 5117
"200615_s_at" 12034 7676 18224 20583
"200616_s_at" 16081 18175 21882 18295
"200617_at" 19028 15075 16433 4158
"200618_at" 10598 6889 14712 5494
"200619_at" 14909 19130 3249 4756
"200620_at" 10885 7826 12977 17514
"200621_at" 14249 15850 4679 4034
"200622_x_at" 18866 17179 19262 17464
"200623_s_at" 16120 15901 16744 18837
"200624_s_at" 14739 3040 3747 3372
"200625_s_at" 11955 19484 3848 6029
"200626_s_at" 17987 6933 5226 2207
"200627_at" 11335 5174 14781 4449
"200628_s_at" 12762 16503 17831 20535
"200629_at" 13973 2216 3744 1553
"200630_x_at" 10327 16167 16585 5476
"200631_s_at" 12148 7115 2796 5624
"200632_s_at" 10242 7514 5508 15876
"200633_at" 10147 9980 6600 15771
"200634_at" 14143 2843 18288 5771
"200635_s_at" 2726 8100 19821 17247
"200636_s_at" 9021 3776 345 17894
"200637_s_at" 4555 15166 21853 20974
"200638_s_at" 17402 6965 5821 14809
"200639_s_at" 16717 3279 14011 4917
"200640_at" 15322 5037 6534 2734
"200641_s_at" 9890 3854 2263 16797
"200642_at" 12513 8198 5709 5428
"200643_at" 12821 15158 17421 3375
"200644_at" 16766 4997 1905 3541
"200645_at" 13507 4199 13760 4673
"200646_s_at" 15464 22030 2848 16638
"200647_x_at" 15126 2241 2920 4841
"200648_s_at" 12798 2857 16369 20814
"200649_at" 14183 21218 19728 18935
"200650_s_at" 2002 9877 4445 3887
"200651_at" 1873 14063 15693 3268
"200652_at" 12621 4576 16114 16395
"200653_s_at" 20219 7396 13153 2912
"200654_at" 12893 6487 3111 15077
"200655_s_at" 12920 14309 13569 16485
"200656_s_at" 19642 18529 19079 2531
"200657_at" 12059 6700 5586 5211
"200658_s_at" 20788 8020 20665 17696
"200659_s_at" 14642 19439 19194 20586
"200660_at" 12872 7361 16299 19838
"200661_at" 15625 8169 17703 17362
"200662_s_at" 14410 14443 2693 4976
"200663_at" 9794 14127 5827 18121
"200664_s_at" 15488 14293 13190 15225
"200665_s_at" 8448 750 7934 11292
"200666_s_at" 15104 3599 3650 18445
"200667_at" 12801 18769 13096 17175
"200668_s_at" 13767 7775 6034 14775
"200669_s_at" 17445 7972 15583 16861
"200670_at" 11913 3871 1302 2226
"200671_s_at" 8585 21374 22219 18057
"200672_x_at" 11098 18080 21968 2859
"200673_at" 14563 4619 2587 4677
"200674_s_at" 1759 8075 6577 4771
"200675_at" 17596 2587 16587 15346
"200676_s_at" 14506 4580 6189 2620
"200677_at" 12221 4273 2683 4391
"200678_x_at" 14071 14575 19781 21300
"200679_x_at" 16273 18830 20211 15538
"200680_x_at" 1275 6841 5989 3136
"200681_at" 11229 6161 2789 5893
"200682_s_at" 16193 14718 19823 18259
"200683_s_at" 20567 17683 15264 17987
"200684_s_at" 19015 5313 2812 21084
"200685_at" 21759 18108 15712 5524
"200686_s_at" 16156 4108 2149 19713
"200687_s_at" 20508 7823 16189 15997
"200688_at" 21671 19210 16170 14705
"200689_x_at" 1962 4725 13961 16343
"200690_at" 17664 8317 6089 17027
"200691_s_at" 16773 4864 12694 16171
"200692_s_at" 20901 15802 19673 5002
"200693_at" 18468 5178 14466 5193
"200694_s_at" 17123 15815 16720 5116
"200695_at" 20597 16479 18968 19963
"200696_s_at" 17646 7862 1044 3069
"200697_at" 10690 14936 15488 16618
"200698_at" 14881 5802 13345 17344
"200699_at" 14159 13965 15841 14939
"200700_s_at" 15353 6007 3765 5362
"200701_at" 13040 3895 13754 19757
"200702_s_at" 15779 19747 21692 4872
"200703_at" 17246 15881 6235 14653
"200704_at" 18965 17066 2003 4045
"200705_s_at" 9634 16265 13114 15422
"200706_s_at" 13772 1750 12940 14600
"200707_at" 21403 16362 17533 20248
"200708_at" 19573 6761 4427 2968
"200709_at" 20632 8313 2610 18273
"200710_at" 18545 18440 16130 17252
"200711_s_at" 13887 6299 4900 15653
"200712_s_at" 18908 15208 4619 4696
"200713_s_at" 17719 4849 13954 2215
"200714_x_at" 16507 5253 14974 14693
"200715_x_at" 2161 16910 2999 5095
"200716_x_at" 4679 15491 15656 16209
"200717_x_at" 4519 9977 8538 15065
"200718_s_at" 12493 4212 13434 2159
"200719_at" 17497 4366 4093 5536
"200720_s_at" 20840 7574 15768 5987
"200721_s_at" 12991 7132 20180 1651
"200722_s_at" 18192 2275 4904 2882
"200723_s_at" 16076 14034 5781 5999
"200724_at" 522 2301 17238 20704
"200725_x_at" 1996 14676 15820 17093
"200726_at" 12961 16651 2280 5981
"200727_s_at" 18962 15962 22232 14785
"200728_at" 11857 6535 17279 17972
"200729_s_at" 14715 14651 12737 15390
"200730_s_at" 17519 5064 19313 17587
"200731_s_at" 12113 5147 16715 15708
"200732_s_at" 17270 7350 16264 4671
"200733_s_at" 21409 15733 14032 1165
"200734_s_at" 18454 16227 4764 18404
"200735_x_at" 4601 6543 13017 14828
"200736_s_at" 14210 2906 7485 11334
"200737_at" 17607 13967 3336 18890
"200738_s_at" 2167 7575 4003 5490
"200739_s_at" 15979 16402 14171 4980
"200740_s_at" 15484 4376 4221 2723
"200741_s_at" 4398 9911 8417 17724
"200742_s_at" 16955 4493 6187 18780
"200743_s_at" 12416 2778 5608 2947
"200744_s_at" 17576 14440 15626 14564
"200745_s_at" 20439 6780 20849 14770
"200746_s_at" 19342 14916 4255 14881
"200747_s_at" 14993 2055 17600 20965
"200748_s_at" 10344 16027 18844 17618
"200749_at" 20740 15282 13424 5742
"200750_s_at" 11973 15376 6380 15952
"200751_s_at" 15221 15043 20264 6005
"200752_s_at" 21492 14173 18363 17526
"200753_x_at" 19770 4954 14954 15569
"200754_x_at" 12118 8437 4196 4663
"200755_s_at" 18845 7140 20524 2269
"200756_x_at" 17823 14554 13914 3832
"200757_s_at" 17482 8225 4872 5176
"200758_s_at" 14549 16571 15036 1761
"200759_x_at" 20281 15909 14925 6094
"200760_s_at" 13832 15604 20605 18109
"200761_s_at" 17487 4831 5055 17654
"200762_at" 13372 6252 13704 19642
"200763_s_at" 4625 13983 13300 4823
"200764_s_at" 21992 12502 6511 18209
"200765_x_at" 9894 8865 6226 17662
"200766_at" 17605 17082 18714 16694
"200767_s_at" 22047 20013 21285 20880
"200768_s_at" 12069 20484 13592 3301
"200769_s_at" 21463 4733 18739 17822
"200770_s_at" 16009 19798 15819 19884
"200771_at" 18487 14729 18759 19122
"200772_x_at" 10405 14946 20721 15353
"200773_x_at" 11046 5517 15901 4408
"200774_at" 13495 15782 6607 3389
"200775_s_at" 11247 6338 5923 17195
"200776_s_at" 15540 8339 5025 3552
"200777_s_at" 15396 14819 14343 16576
"200778_s_at" 16752 17318 5370 17795
"200779_at" 10447 17732 4685 15865
"200780_x_at" 12836 14849 15859 15149
"200781_s_at" 1604 16112 6355 16375
"200782_at" 11508 4381 3506 5091
"200783_s_at" 15799 14917 5743 5094
"200784_s_at" 7915 21749 11713 11881
"200785_s_at" 5729 11299 7654 11215
"200786_at" 14104 3730 13475 16499
"200787_s_at" 17180 15879 6296 21808
"200788_s_at" 12608 17248 6651 14569
"200789_at" 17452 19991 19063 1543
"200790_at" 17569 15449 13624 3999
"200791_s_at" 12709 15769 1425 15773
"200792_at" 14710 14582 13974 14469
"200793_s_at" 21708 3106 14412 17735
"200794_x_at" 16690 2979 12882 16503
"200795_at" 6827 12851 1832 11481
"200796_s_at" 19238 20171 18588 18318
"200797_s_at" 16253 3610 5666 19561
"200798_x_at" 17232 14382 13152 15935
"200799_at" 6064 14087 2990 2057
"200800_s_at" 12877 20333 20320 20941
"200801_x_at" 10150 9883 8374 6014
"200802_at" 14311 6658 5567 18748
"200803_s_at" 12242 5881 14452 4019
"200804_at" 15239 17636 12818 18009
"200805_at" 19831 19585 15937 21099
"200806_s_at" 11146 6486 5209 5583
"200807_s_at" 10340 14055 8392 4315
"200808_s_at" 17660 20429 18710 18026
"200809_x_at" 4380 7238 15255 16046
"200810_s_at" 13974 7804 5471 14964
