"inst_1722" "inst_2871" "inst_5437" "inst_6336"
"1007_s_at" 17331 10508 3259 14068
"1053_at" 21673 10196 19187 2204
"117_at" 4301 5531 3228 10004
"121_at" 4506 17747 18859 12457
"1255_g_at" 7644 6697 9859 8218
"1294_at" 19631 11858 21368 19169
"1316_at" 440 11477 20125 16041
"1320_at" 12198 136 9267 9602
"1405_i_at" 4212 6094 10668 6773
"1431_at" 6943 5674 19269 508
"1438_at" 11986 21938 20308 13173
"1487_at" 15231 21445 7111 3338
"1494_f_at" 1401 7378 6878 1191
"1598_g_at" 1621 19967 2378 19642
"160020_at" 19462 15480 22159 15098
"1729_at" 16156 10830 3014 1891
"1773_at" 621 11868 3802 12588
"177_at" 2395 6148 3118 11561
"179_at" 17088 11195 15018 12598
"1861_at" 5641 17443 5641 20237
"200000_s_at" 3243 16297 16608 19703
"200001_at" 3311 16889 14815 19231
"200002_at" 18111 10310 6053 16158
"200003_s_at" 4490 5098 13861 15333
"200004_at" 21100 12315 14655 4817
"200005_at" 15432 13092 15702 13885
"200006_at" 3886 11794 13530 12767
"200007_at" 16057 12078 5441 13691
"200008_s_at" 16690 15491 14294 13372
"200009_at" 18655 10950 5594 13051
"200010_at" 20270 10092 13481 14794
"200011_s_at" 18626 10876 4906 17879
"200012_x_at" 19284 2274 4381 3141
"200013_at" 17235 2871 14287 3577
"200014_s_at" 18187 16425 14917 16167
"200015_s_at" 21598 16908 14226 14286
"200016_x_at" 19102 10844 14863 13600
"200017_at" 3097 3049 8959 4050
"200018_at" 4838 2931 8951 3649
"200019_s_at" 2580 9948 13963 12502
"200020_at" 4743 13595 7048 16299
"200021_at" 22281 10623 9047 7564
"200022_at" 2667 2863 6900 16677
"200023_s_at" 5675 12860 6172 3431
"200024_at" 3852 3069 14034 3179
"200025_s_at" 17311 2741 13943 12439
"200026_at" 3882 2287 15067 3946
"200027_at" 2170 16245 13532 13905
"200028_s_at" 15167 12528 16245 16720
"200029_at" 16997 2177 16135 12976
"200030_s_at" 17454 10586 5573 14002
"200031_s_at" 3301 5208 8946 13198
