"inst_3119" "inst_5438" "inst_6338" "inst_6498"
"1007_s_at" 21128 2107 13332 3527
"1053_at" 17624 21627 16414 19740
"117_at" 12626 9327 9835 12428
"121_at" 12931 6196 4884 20581
"1255_g_at" 6642 6620 6645 5787
"1294_at" 16870 4869 19079 8263
"1316_at" 10629 20637 19925 20499
"1320_at" 6814 9932 6831 14933
"1405_i_at" 10665 7810 12054 13014
"1431_at" 14020 3927 906 4760
"1438_at" 4877 17775 13679 15097
"1487_at" 13611 13313 19921 4882
"1494_f_at" 2189 1941 13805 21309
"1598_g_at" 504 15926 14815 18353
"160020_at" 18674 22126 20153 21631
"1729_at" 15777 14727 21275 8802
"1773_at" 19578 14447 2309 21946
"177_at" 12582 1506 3781 8619
"179_at" 12980 20477 21432 22144
"1861_at" 21458 5594 4273 18073
"200000_s_at" 13179 14130 16574 15998
"200001_at" 21254 5351 17899 5767
"200002_at" 11332 12396 17829 6794
"200003_s_at" 5269 8114 14386 7514
"200004_at" 12141 16594 12943 16056
"200005_at" 13039 15011 14181 17495
"200006_at" 14914 12975 14183 6768
"200007_at" 14623 6323 5047 7686
"200008_s_at" 15040 13135 3473 8538
"200009_at" 12959 5451 15389 6248
"200010_at" 2548 13638 16910 5186
"200011_s_at" 20178 14049 21289 8255
"200012_x_at" 2579 5040 3846 16693
"200013_at" 11383 13502 4802 7168
"200014_s_at" 18427 13708 17898 17532
"200015_s_at" 10512 6243 13326 3656
"200016_x_at" 3151 14351 3817 7279
"200017_at" 5410 8198 4877 6107
"200018_at" 5390 8188 5239 5636
"200019_s_at" 11020 5481 17122 15465
"200020_at" 18310 14729 17933 16700
"200021_at" 2447 8274 8232 11137
"200022_at" 10525 6094 17716 7722
"200023_s_at" 13161 5971 15316 7159
"200024_at" 2567 12509 4554 17078
"200025_s_at" 10254 12801 12959 7401
"200026_at" 5566 8279 5291 7426
"200027_at" 13713 15016 4341 6890
"200028_s_at" 18538 17987 15633 16804
"200029_at" 2768 4231 14534 7021
"200030_s_at" 11245 6037 15436 8445
"200031_s_at" 5379 8184 4647 8644
"200032_s_at" 5413 8200 4175 6728
"200033_at" 18079 12883 4637 6119
"200034_s_at" 2881 14179 13787 6956
"200035_at" 17318 16719 21455 6530
"200036_s_at" 3013 12698 16266 7890
"200037_s_at" 14801 14659 17083 15753
"200038_s_at" 5538 12649 13466 15731
"200039_s_at" 17715 13246 13672 6426
"200040_at" 16510 15713 16565 3771
"200041_s_at" 17840 14878 19398 7162
"200042_at" 13178 16339 16015 6070
"200043_at" 19910 12782 2851 16682
"200044_at" 18297 13989 16863 5091
"200045_at" 18011 14957 17755 19801
"200046_at" 2995 4562 17317 3141
"200047_s_at" 15598 5569 14043 7884
"200048_s_at" 12982 13269 4541 15883
"200049_at" 14564 14293 19059 19320
"200050_at" 11014 16042 15567 3856
"200051_at" 14406 15058 3419 16464
"200052_s_at" 14296 15487 17247 7971
"200053_at" 13874 13286 4245 8672
"200054_at" 16275 18934 19318 8659
"200055_at" 18482 14241 16791 8744
"200056_s_at" 16352 15867 5212 16197
"200057_s_at" 14547 15056 16322 15478
"200058_s_at" 16458 16741 14612 6684
"200059_s_at" 11035 6049 13857 16737
"200060_s_at" 18761 17524 21950 8804
"200061_s_at" 5377 8182 4376 6800
"200062_s_at" 5255 8101 7902 10952
"200063_s_at" 5456 8224 4312 7659
"200064_at" 13207 12763 15230 16497
"200065_s_at" 12433 13414 16400 16494
"200066_at" 10112 5139 5323 5218
"200067_x_at" 13883 13072 16339 5907
"200068_s_at" 12815 5467 3509 6124
"200069_at" 17957 20251 21676 19134
"200070_at" 10130 17454 14003 19920
"200071_at" 11960 16290 12971 8970
"200072_s_at" 16542 12850 18553 21988
"200073_s_at" 11361 16149 18651 4510
"200074_s_at" 11263 13349 16431 5919
"200075_s_at" 18779 13418 17123 6690
"200076_s_at" 16161 13626 5227 8061
"200077_s_at" 11087 12704 16117 7751
"200078_s_at" 18148 3137 13696 8695
"200079_s_at" 16572 12864 16715 16458
"200080_s_at" 10568 12785 12965 7350
"200081_s_at" 10363 12394 17190 8650
"200082_s_at" 2901 12564 15645 5916
"200083_at" 18164 20307 17155 17162
"200084_at" 14626 15324 15325 15755
"200085_s_at" 13865 15185 17295 8419
"200086_s_at" 17354 13772 14755 6962
"200087_s_at" 11730 5093 16584 3829
"200088_x_at" 5264 8110 12898 17221
"200089_s_at" 2568 12781 4766 6304
"200090_at" 12034 17173 17479 4653
"200091_s_at" 2655 12959 2550 5630
"200092_s_at" 10151 4087 3137 17745
"200093_s_at" 19133 16650 16167 7027
"200094_s_at" 3268 12995 3818 2023
"200095_x_at" 5544 8264 8215 11131
"200096_s_at" 17424 19500 19741 8611
"200097_s_at" 17662 15516 17313 6710
"200098_s_at" 17865 15387 15767 7614
"200099_s_at" 5473 8229 13304 11089
"200593_s_at" 20648 16751 16716 6536
"200594_x_at" 16959 15736 19393 17092
"200595_s_at" 16812 18315 18192 6489
"200596_s_at" 14003 13987 17831 2299
"200597_at" 18300 21653 17596 17186
"200598_s_at" 12195 3003 928 5181
"200599_s_at" 15078 3762 1603 3009
"200600_at" 13106 2533 20232 2418
"200601_at" 20239 18647 15049 7051
"200602_at" 18126 19766 2458 21249
"200603_at" 15699 16295 16756 6887
"200604_s_at" 21080 4724 4789 16041
"200605_s_at" 19271 15092 13444 4563
"200606_at" 1253 13634 3016 15490
"200607_s_at" 16594 18551 14516 21485
"200608_s_at" 14644 16309 15688 6181
"200609_s_at" 14291 18589 13788 20946
"200610_s_at" 14751 14437 18350 6879
"200611_s_at" 18938 18867 18929 18308
"200612_s_at" 14310 3322 18449 4958
"200613_at" 15684 16105 14657 17000
"200614_at" 10928 5259 14549 6120
"200615_s_at" 18931 12920 3336 16794
"200616_s_at" 15717 4902 16535 4319
"200617_at" 15223 5729 18229 2735
"200618_at" 13810 15525 5439 5171
"200619_at" 13194 15662 15759 17254
"200620_at" 13506 5484 16488 17538
"200621_at" 14021 12640 15048 7802
"200622_x_at" 20833 5895 18782 7671
"200623_s_at" 13738 14646 21485 8785
"200624_s_at" 18751 19021 4250 4584
"200625_s_at" 12427 13078 4791 8178
"200626_s_at" 18628 15644 15308 6368
"200627_at" 13201 13464 5247 15967
"200628_s_at" 12798 6290 5283 17150
"200629_at" 13308 1345 3931 17901
"200630_x_at" 14192 13827 14252 8271
"200631_s_at" 14561 16726 13351 8939
"200632_s_at" 12323 803 385 350
"200633_at" 10178 8181 8032 11034
"200634_at" 19007 14571 20801 16769
"200635_s_at" 6821 21291 13595 7388
"200636_s_at" 7902 21552 3903 5829
"200637_s_at" 5793 19746 20271 15943
"200638_s_at" 15280 5783 13359 6764
"200639_s_at" 17130 13344 13971 6915
"200640_at" 14516 13939 16191 7511
"200641_s_at" 13290 5530 3615 1471
"200642_at" 12979 12510 15149 7795
"200643_at" 10752 17317 4075 4557
"200644_at" 19717 18395 5076 15718
"200645_at" 14209 3713 14752 4864
"200646_s_at" 13311 1271 13246 2119
"200647_x_at" 17138 12990 14773 16355
"200648_s_at" 13770 12535 3088 1391
"200649_at" 1588 4335 22175 19041
"200650_s_at" 2482 14438 4102 16328
"200651_at" 5523 13558 17468 16437
"200652_at" 15169 3456 16276 4764
"200653_s_at" 13935 12654 14566 2624
"200654_at" 13110 3684 15564 8654
"200655_s_at" 10173 16677 13517 17578
"200656_s_at" 12861 3094 16767 4733
"200657_at" 12900 13282 14945 15928
"200658_s_at" 19180 12642 20181 17188
"200659_s_at" 11297 15715 20326 5691
"200660_at" 14780 4748 18645 4214
"200661_at" 16573 6144 18218 4917
"200662_s_at" 16437 15171 4333 18076
"200663_at" 13101 5720 13493 4224
"200664_s_at" 2239 3544 19687 8381
"200665_s_at" 8595 7686 532 9452
"200666_s_at" 16950 4633 20656 5442
"200667_at" 15002 14545 17436 7550
"200668_s_at" 10855 3339 14525 7823
"200669_s_at" 13475 5343 17535 6605
"200670_at" 11714 13173 3037 6409
"200671_s_at" 21270 20372 22213 20446
"200672_x_at" 20979 19096 3971 5898
"200673_at" 10731 5789 13202 7334
"200674_s_at" 3075 5107 4946 8553
"200675_at" 21515 17033 20765 20458
"200676_s_at" 17450 5598 21839 18385
"200677_at" 16551 4083 3289 7245
"200678_x_at" 14499 14594 4188 17060
"200679_x_at" 14934 6057 15130 8350
"200680_x_at" 11893 12937 4407 17246
"200681_at" 11134 12794 13983 17017
"200682_s_at" 16125 15617 14332 8749
"200683_s_at" 17485 18294 14783 19351
"200684_s_at" 18437 18278 20935 5269
"200685_at" 13200 4945 2784 15662
"200686_s_at" 11396 15606 4825 20627
"200687_s_at" 20286 15699 3796 8258
"200688_at" 20275 20942 20655 20825
"200689_x_at" 3045 5689 17834 16529
"200690_at" 21271 20895 17665 19744
"200691_s_at" 18315 15762 15734 19314
"200692_s_at" 11711 16404 17963 18034
"200693_at" 16397 14233 13998 8218
