"inst_3115" "inst_5993" "inst_6494" "inst_7290"
"1007_s_at" 2755 20421 14818 21371
"1053_at" 19479 15325 14158 12162
"117_at" 17943 9102 6921 8305
"121_at" 15663 7045 16138 3514
"1255_g_at" 10410 8920 7174 6616
"1294_at" 19781 21608 18692 10825
"1316_at" 2388 3109 2993 20472
"1320_at" 10992 486 6652 6061
"1405_i_at" 14605 10692 8349 11541
"1431_at" 677 1729 19077 5180
"1438_at" 12368 20871 1655 1321
"1487_at" 14832 5667 13561 20342
"1494_f_at" 1797 18082 450 11596
"1598_g_at" 21712 16085 13957 3230
"160020_at" 15654 308 22080 2315
"1729_at" 2775 17278 11684 17139
"1773_at" 16704 18693 21833 1542
"177_at" 1717 9260 3463 8763
"179_at" 14502 2503 22238 16817
"1861_at" 1866 17673 20568 15486
"200000_s_at" 16192 2166 15895 1961
"200001_at" 16211 14754 14040 13285
"200002_at" 6091 6738 11027 12078
"200003_s_at" 9775 6548 3764 3327
"200004_at" 15439 6678 18555 14229
"200005_at" 7034 16943 17501 13833
"200006_at" 5822 14134 13289 15083
"200007_at" 7077 7419 14051 13121
"200008_s_at" 6005 6153 21950 16298
"200009_at" 5540 14471 11996 13518
"200010_at" 16787 6888 15174 3295
"200011_s_at" 7430 6048 14173 18258
"200012_x_at" 15248 5583 2212 1971
"200013_at" 16112 7451 11187 13309
"200014_s_at" 15168 7427 15147 18340
"200015_s_at" 6666 14352 15198 16171
"200016_x_at" 7382 5307 12060 12925
"200017_at" 9917 5820 3790 3791
"200018_at" 9900 17446 11094 15261
"200019_s_at" 6556 17841 10917 13074
"200020_at" 2886 17663 11844 13815
"200021_at" 14756 9493 6440 12836
"200022_at" 15317 14704 3854 12407
"200023_s_at" 4961 15158 13064 3524
"200024_at" 7494 18088 13606 12993
"200025_s_at" 15406 6352 4305 12439
"200026_at" 10058 17641 4123 12380
"200027_at" 5200 6825 15236 13554
"200028_s_at" 3218 5336 11465 17221
"200029_at" 7048 6602 3646 2560
"200030_s_at" 4305 7546 14759 3797
"200031_s_at" 9887 9412 4079 3051
"200032_s_at" 9920 15125 3372 12474
"200033_at" 7490 14641 15386 14813
"200034_s_at" 15489 14375 11020 12459
"200035_at" 14947 21026 3049 20147
"200036_s_at" 5126 17069 10795 16054
"200037_s_at" 6352 4557 13647 17292
"200038_s_at" 10029 14993 11890 15196
"200039_s_at" 15922 16244 13807 3883
"200040_at" 7762 17146 13506 15070
"200041_s_at" 6372 14035 16900 12199
"200042_at" 17171 18687 13917 13671
"200043_at" 16032 6465 19875 12405
"200044_at" 6217 3716 16082 2306
"200045_at" 5736 15587 16467 3561
"200046_at" 3172 5073 17959 13487
"200047_s_at" 17010 4341 13271 17534
"200048_s_at" 14955 16308 12142 14791
"200049_at" 17164 4378 16334 16157
"200050_at" 4697 7275 17945 3780
"200051_at" 15111 18023 15031 14093
"200052_s_at" 4863 16090 17234 16727
"200053_at" 15504 20126 18393 2275
"200054_at" 15382 2748 17874 12706
"200055_at" 16412 16076 11723 14552
"200056_s_at" 20163 1797 20416 17801
"200057_s_at" 5483 6513 11154 2699
"200058_s_at" 14970 14562 15874 16442
"200059_s_at" 15459 4784 19628 3282
"200060_s_at" 5318 3915 16691 15238
"200061_s_at" 9885 9411 3094 2806
"200062_s_at" 9759 9335 6261 2897
"200063_s_at" 9960 9445 3758 12037
"200064_at" 7144 14970 13998 3972
"200065_s_at" 5456 15145 13814 12654
"200066_at" 5649 19884 14736 19947
"200067_x_at" 3684 4950 14871 3031
"200068_s_at" 3937 14195 12261 12675
"200069_at" 17799 19039 14125 20023
"200070_at" 1476 4190 16289 20039
"200071_at" 5299 4004 20223 3602
"200072_s_at" 4244 6832 17788 13675
"200073_s_at" 5420 15808 16201 19097
"200074_s_at" 14802 16466 12505 13674
"200075_s_at" 17851 18669 18292 14270
"200076_s_at" 19464 6688 17071 13219
"200077_s_at" 7717 6271 10894 13919
"200078_s_at" 6511 16394 15036 16905
"200079_s_at" 5467 15194 20155 18226
"200080_s_at" 16168 3417 12429 2577
"200081_s_at" 6371 6446 13835 13555
"200082_s_at" 7260 7445 12908 12779
"200083_at" 16359 14443 13094 15022
"200084_at" 15889 7490 18744 13057
"200085_s_at" 6537 16388 11542 14284
"200086_s_at" 16532 5830 11789 17360
"200087_s_at" 5709 4305 11955 18417
"200088_x_at" 9769 9342 2863 3847
"200089_s_at" 7580 15072 11793 16683
"200090_at" 16289 19230 4355 16742
"200091_s_at" 18038 16123 3346 15879
"200092_s_at" 6873 3521 2278 14833
"200093_s_at" 18674 16758 13439 14620
"200094_s_at" 7272 16410 4223 14267
"200095_x_at" 10035 9488 6432 3369
"200096_s_at" 6093 19721 15101 15434
"200097_s_at" 5058 5137 15707 12193
"200098_s_at" 15929 5009 15848 13205
"200099_s_at" 9978 9452 6396 2362
"200593_s_at" 17795 17168 17289 18424
"200594_x_at" 6687 7410 12748 13029
"200595_s_at" 14582 14978 14107 15766
"200596_s_at" 14490 14821 4160 12428
"200597_at" 2901 3474 20837 828
"200598_s_at" 3291 15870 12727 3345
"200599_s_at" 7128 18666 17574 14721
"200600_at" 17333 9968 10758 14706
"200601_at" 1978 2263 13501 16763
"200602_at" 20036 15377 15740 18682
"200603_at" 4570 5183 13808 18608
"200604_s_at" 4489 15548 19231 13621
"200605_s_at" 3412 1956 21420 14109
"200606_at" 9338 3060 17131 18589
"200607_s_at" 6172 15769 16465 2079
"200608_s_at" 15164 6462 18517 18298
"200609_s_at" 18144 16972 17692 13079
"200610_s_at" 6261 4916 11992 15871
"200611_s_at" 17064 14813 15712 14472
"200612_s_at" 15056 893 11678 19143
"200613_at" 16474 15681 15603 12666
"200614_at" 15480 16100 14352 3488
"200615_s_at" 15831 5479 11540 18510
"200616_s_at" 7633 15352 12419 2901
"200617_at" 20195 4451 11291 12148
"200618_at" 15216 19029 14281 16756
"200619_at" 19046 14729 11559 12487
"200620_at" 6751 15440 14338 3231
"200621_at" 5061 14458 12562 17717
"200622_x_at" 16879 5933 17296 18338
"200623_s_at" 22027 17548 4333 14678
"200624_s_at" 5232 4443 20052 3888
"200625_s_at" 3620 16605 14694 19300
"200626_s_at" 3898 15539 21110 16115
"200627_at" 16976 15434 18778 12327
"200628_s_at" 15787 20222 20538 2518
