"inst_1759" "inst_2751" "inst_5813" "inst_7171"
"1007_s_at" 20195 13457 15388 16825
"1053_at" 4286 12984 15744 16740
"117_at" 18593 9259 11367 8662
"121_at" 21841 1868 21399 21183
"1255_g_at" 7948 2646 12269 5236
"1294_at" 20379 223 1375 4299
"1316_at" 19066 21221 21762 8783
"1320_at" 9264 5745 10598 7012
"1405_i_at" 823 6018 17211 8209
"1431_at" 9049 3698 8217 9606
"1438_at" 15728 11302 11165 11605
"1487_at" 5358 21661 1993 12512
"1494_f_at" 17915 1055 4491 11237
"1598_g_at" 20471 17723 6305 21109
"160020_at" 3144 1489 20158 748
"1729_at" 21122 10916 20003 21086
"1773_at" 14388 966 4384 15459
"177_at" 18463 5653 13385 8656
"179_at" 867 19531 11136 20827
"1861_at" 9465 13197 3312 15416
"200000_s_at" 2975 14320 15719 15504
"200001_at" 3392 15672 16759 18661
"200002_at" 4157 11049 14683 2310
"200003_s_at" 6208 10203 6082 12631
"200004_at" 2872 11667 5209 13171
"200005_at" 4813 13271 17697 17055
"200006_at" 6407 12156 5856 2422
"200007_at" 18424 12829 16449 15775
"200008_s_at" 21628 11625 6370 14018
"200009_at" 4024 10884 5750 2063
"200010_at" 19020 10247 18321 12010
"200011_s_at" 633 13605 14562 17733
"200012_x_at" 5696 2025 14082 1601
"200013_at" 18364 10748 15074 2196
"200014_s_at" 5495 12538 14075 16057
"200015_s_at" 4487 13802 15942 15758
"200016_x_at" 3986 10569 15120 11742
"200017_at" 3375 5126 4759 1758
"200018_at" 3601 10446 5969 1960
"200019_s_at" 17933 11206 4018 14988
"200020_at" 5338 13460 14210 15858
"200021_at" 3083 1740 15215 2303
"200022_at" 6302 2023 3352 2552
"200023_s_at" 3669 15284 5641 16349
"200024_at" 19781 10826 4930 2119
"200025_s_at" 6389 10552 5811 11912
"200026_at" 18062 1784 5816 11844
"200027_at" 5368 15317 15955 12192
"200028_s_at" 4091 13215 5288 16220
"200029_at" 6086 10719 14639 11812
"200030_s_at" 6241 10618 6093 13042
"200031_s_at" 17160 5089 4179 11876
"200032_s_at" 5321 5129 15207 2297
"200033_at" 17201 10979 15846 11738
"200034_s_at" 16790 1520 16653 1690
"200035_at" 19320 11164 20184 14796
"200036_s_at" 5285 11041 14327 13231
"200037_s_at" 5312 13746 18087 12265
"200038_s_at" 5685 10159 15823 11866
"200039_s_at" 4077 13177 5784 13875
"200040_at" 3489 10769 16633 14599
