"inst_1474" "inst_1894" "inst_1974" "inst_4194" "inst_4779"
"1007_s_at" 17467 3329 2464 12821 15963
"1053_at" 7174 20243 872 13590 19282
"117_at" 14020 11919 4766 19030 9208
"121_at" 3064 7935 19043 17130 18595
"1255_g_at" 7782 11310 9134 10597 12301
"1294_at" 1041 6772 17142 6218 19308
"1316_at" 19151 8723 20892 13656 19806
"1320_at" 11843 11186 16478 11682 13427
"1405_i_at" 7345 15118 2140 21449 2247
"1431_at" 11358 12133 8106 19779 20481
"1438_at" 14998 16053 15495 5291 7254
"1487_at" 20722 8866 17756 11913 1932
"1494_f_at" 18412 6112 21398 8562 20856
"1598_g_at" 6617 7960 4604 17354 18550
"160020_at" 21336 4911 17891 19498 17036
"1729_at" 21067 8463 197 2905 8069
"1773_at" 19493 6442 11351 18346 378
"177_at" 11144 10382 18964 21434 18725
"179_at" 2044 1869 20338 21086 21721
"1861_at" 3781 20853 4319 14336 20870
"200000_s_at" 19319 5789 21174 20596 19725
"200001_at" 18138 21485 20890 4786 8517
"200002_at" 6245 18809 18878 6217 18514
"200003_s_at" 7009 9055 16789 7949 18162
"200004_at" 16212 5093 3128 12783 2514
"200005_at" 7295 20706 3900 14697 18385
"200006_at" 15979 8744 2029 4494 6790
"200007_at" 4715 6438 18202 13807 7425
"200008_s_at" 15857 8875 19202 5729 366
"200009_at" 16757 9127 3294 12572 7148
"200010_at" 6563 21978 17498 15321 18168
"200011_s_at" 7030 6082 18976 18335 16574
"200012_x_at" 16058 18639 16918 3899 18078
"200013_at" 16595 20423 5695 5973 16381
"200014_s_at" 16477 5368 4187 3986 4641
"200015_s_at" 17557 4533 20984 6558 5113
"200016_x_at" 5386 8208 2032 12187 8728
"200017_at" 14842 8410 17837 14613 8821
"200018_at" 15031 6547 17009 6510 8118
"200019_s_at" 4476 18970 18117 13357 17705
"200020_at" 6996 20794 19081 12600 18937
"200021_at" 9826 6883 17430 8056 11377
"200022_at" 15390 20260 19249 5439 17450
"200023_s_at" 15763 20566 17995 12586 16032
"200024_at" 3885 20161 18175 6460 17027
"200025_s_at" 5821 8992 4355 6744 16870
"200026_at" 16845 7710 990 5033 16656
"200027_at" 5863 5932 4160 4436 2757
"200028_s_at" 16581 6173 5640 15480 18993
"200029_at" 15958 18836 18009 6588 16022
"200030_s_at" 15734 19596 4340 13074 8397
"200031_s_at" 6001 19475 16686 7996 17025
"200032_s_at" 16442 6581 3920 5189 11262
"200033_at" 20356 7175 4987 15799 6440
"200034_s_at" 17864 5033 4189 14582 16817
"200035_at" 2629 8361 18951 19443 20684
"200036_s_at" 4386 18899 5660 5082 16961
"200037_s_at" 17673 2773 2332 5569 4977
"200038_s_at" 15211 8931 5196 12550 8292
"200039_s_at" 6467 7704 18986 14198 16814
"200040_at" 7237 6434 1648 12473 6727
"200041_s_at" 6088 20012 20514 19999 16910
"200042_at" 19400 22145 4253 16300 6239
"200043_at" 5568 9059 20531 15780 7755
"200044_at" 16779 8302 17799 13595 6075
"200045_at" 6521 18789 4818 17133 18334
"200046_at" 19018 5876 18423 13033 5919
"200047_s_at" 16796 1177 2689 4733 7184
"200048_s_at" 15311 7539 18290 3970 8362
"200049_at" 5188 1874 18574 19070 16790
"200050_at" 1537 7193 2117 3123 6294
"200051_at" 6812 4331 19503 5068 18128
"200052_s_at" 15164 20128 19656 13301 5383
