"inst_870" "inst_978" "inst_2957" "inst_3518" "inst_5439" "inst_6339"
"1007_s_at" 4632 4220 15004 2421 3935 4950
"1053_at" 20766 20130 17100 17822 19887 16947
"117_at" 12584 6156 2615 8737 12187 6525
"121_at" 18741 21546 17909 19131 16680 16927
"1255_g_at" 9350 9170 8249 10450 9482 8340
"1294_at" 10888 10032 12113 4562 6186 2650
"1316_at" 14190 14220 11223 15455 15690 21603
"1320_at" 230 9994 7550 7494 417 9546
"1405_i_at" 15667 11767 11261 11218 4034 5901
"1431_at" 4225 4048 7406 856 1684 2257
"1438_at" 20874 4118 10329 18181 19090 3348
"1487_at" 6433 17246 633 18483 3682 4341
"1494_f_at" 11548 11148 6659 9212 19523 13233
"1598_g_at" 7517 4805 14105 4680 16321 18887
"160020_at" 79 1724 930 3055 21071 4888
"1729_at" 17936 18209 21712 19972 20520 12814
"1773_at" 18251 21502 11086 19520 19890 21698
"177_at" 11863 11650 487 13358 1702 11009
"179_at" 20120 5125 2608 19315 21607 27
"1861_at" 18388 2987 11792 4882 16306 18814
"200000_s_at" 17159 3283 15958 13985 5215 13132
"200001_at" 6702 4743 20344 14629 5147 14352
"200002_at" 19125 17344 2401 6756 5998 15565
"200003_s_at" 12193 4222 2373 5551 8545 14532
"200004_at" 6328 15884 17177 14798 13151 15230
"200005_at" 5013 4111 17717 14005 6278 13572
"200006_at" 17478 17281 15464 6033 6043 15273
"200007_at" 5411 16153 14709 2908 5650 4078
"200008_s_at" 17092 19689 19610 18457 13314 15572
"200009_at" 6524 17444 16596 15180 14585 15501
"200010_at" 16776 15898 1967 4790 4253 13556
"200011_s_at" 5644 16581 13429 15833 16048 20825
"200012_x_at" 16839 15533 11133 14719 5698 3726
"200013_at" 18465 15583 11069 6510 13757 15213
"200014_s_at" 6288 17847 14110 14353 14214 18251
"200015_s_at" 6436 18278 15918 6151 14182 17679
"200016_x_at" 7806 14601 1841 13744 16109 13735
"200017_at" 12065 16466 2057 4974 8641 12556
"200018_at" 7332 5235 5502 5032 8630 13800
"200019_s_at" 18404 4755 12051 13649 6292 16439
"200020_at" 16715 19504 20090 19106 19826 19456
"200021_at" 12158 2963 13721 8728 8733 7837
"200022_at" 12071 15788 2547 15060 6807 17366
"200023_s_at" 6010 5010 12096 5698 3595 4562
"200024_at" 18563 15206 11184 6565 5683 12902
"200025_s_at" 6175 16073 1777 5593 5994 4908
"200026_at" 17166 4549 5774 6038 14252 4242
"200027_at" 2349 2730 12862 1527 1914 3269
"200028_s_at" 19713 17670 20385 18450 18688 15934
"200029_at" 7573 4547 1996 5867 5076 4657
"200030_s_at" 6275 15386 14573 6483 6150 14893
"200031_s_at" 12072 14583 5472 13458 8621 4860
"200032_s_at" 12134 4024 5540 5021 8644 4677
"200033_at" 7269 17087 13310 17102 16539 16158
"200034_s_at" 18728 16776 2358 6037 6712 5026
"200035_at" 3660 1293 17802 18342 18805 17110
"200036_s_at" 17432 4225 11230 4992 4590 13765
"200037_s_at" 5382 16874 16536 15142 18094 18453
"200038_s_at" 12380 14878 5733 13928 5787 13124
"200039_s_at" 18895 17297 20999 5491 15215 15023
"200040_at" 16786 16638 14980 16042 18777 18872
"200041_s_at" 16630 16328 19186 15398 13568 19053
"200042_at" 6608 17381 18870 14292 16442 16867
"200043_at" 6244 18304 19491 5374 13932 13986
"200044_at" 7675 15235 17265 4782 5689 12951
"200045_at" 6725 14720 14768 18391 17950 12948
"200046_at" 6032 18637 19481 15001 5699 20569
"200047_s_at" 5287 4369 17434 4611 6094 13736
"200048_s_at" 6896 15223 14922 4636 6102 13896
"200049_at" 3384 2771 2471 18335 6148 17904
"200050_at" 5973 15170 13408 15934 4255 13941
"200051_at" 20914 2188 12255 14060 4467 15575
