"inst_3191" "inst_5793" "inst_6267"
"1007_s_at" 16311 17057 19204
"1053_at" 13666 16359 5707
"117_at" 7448 10644 7942
"121_at" 2568 20496 21654
"1255_g_at" 6167 7346 11290
"1294_at" 179 3643 4324
"1316_at" 16650 20633 21199
"1320_at" 5658 5590 13282
"1405_i_at" 1284 11852 12487
"1431_at" 20446 21758 11823
"1438_at" 21132 4164 16908
"1487_at" 19744 21097 3568
"1494_f_at" 19626 1333 20625
"1598_g_at" 5316 16626 17881
"160020_at" 21787 14351 21225
"1729_at" 4287 5605 2184
"1773_at" 5190 17696 1446
"177_at" 5423 829 11302
"179_at" 19156 2479 19026
"1861_at" 4767 2564 20503
"200000_s_at" 15223 5792 18403
"200001_at" 12160 15938 5271
"200002_at" 12627 5638 5244
"200003_s_at" 11166 8682 5966
"200004_at" 15137 7174 17058
"200005_at" 12644 15784 17682
"200006_at" 11702 7119 16841
"200007_at" 12382 14284 17051
"200008_s_at" 15112 13653 4472
"200009_at" 15722 14260 16699
"200010_at" 5284 6847 6126
"200011_s_at" 5106 17514 18577
"200012_x_at" 4412 13879 17721
"200013_at" 12191 5279 4327
"200014_s_at" 13397 16074 16365
"200015_s_at" 17843 14598 16308
"200016_x_at" 11099 13088 16749
"200017_at" 6762 6640 5716
"200018_at" 4877 6053 6164
"200019_s_at" 12376 4220 3874
"200020_at" 10863 16924 5598
"200021_at" 6791 13845 17464
"200022_at" 4793 6673 4956
"200023_s_at" 12816 14773 6814
"200024_at" 11449 3551 5632
"200025_s_at" 4579 13602 17349
"200026_at" 12717 6439 4989
"200027_at" 15586 16159 17405
"200028_s_at" 15746 6806 17151
"200029_at" 4785 6304 17966
"200030_s_at" 11202 14560 16932
"200031_s_at" 6758 8706 5600
"200032_s_at" 6763 6737 16277
"200033_at" 11345 12843 5328
"200034_s_at" 11558 5728 4290
"200035_at" 21136 19943 19503
"200036_s_at" 14554 6848 16342
"200037_s_at" 11547 15990 18221
"200038_s_at" 11111 12512 6080
"200039_s_at" 13540 13540 5780
"200040_at" 13506 15600 17131
"200041_s_at" 16042 16512 7465
"200042_at" 16843 4710 18145
"200043_at" 11437 19425 4330
"200044_at" 14941 16506 7436
"200045_at" 13143 14604 5874
"200046_at" 4495 14980 16372
"200047_s_at" 13764 12929 18164
"200048_s_at" 12503 14979 7456
"200049_at" 19067 20288 19601
"200050_at" 13154 3771 19203
"200051_at" 16942 4582 4375
"200052_s_at" 11676 13626 16264
"200053_at" 11445 17356 1818
"200054_at" 15530 20056 1205
"200055_at" 14325 15951 17080
"200056_s_at" 16841 15308 18954
"200057_s_at" 12042 14238 18166
"200058_s_at" 16822 15943 7058
"200059_s_at" 12535 12636 2764
"200060_s_at" 12492 4072 7464
"200061_s_at" 6757 8705 6355
"200062_s_at" 6723 8678 10297
"200063_s_at" 6771 16199 16165
"200064_at" 13388 12876 3674
"200065_s_at" 15577 7213 4802
"200066_at" 13928 14246 16829
"200067_x_at" 14001 16403 6430
"200068_s_at" 13105 18093 16054
"200069_at" 19204 12623 7437
"200070_at" 16083 3149 6801
"200071_at" 15839 12957 5849
"200072_s_at" 16428 13236 3181
"200073_s_at" 4521 6250 7219
"200074_s_at" 12496 6857 4532
"200075_s_at" 14870 6776 5418
"200076_s_at" 3583 12821 17116
"200077_s_at" 4646 5734 5001
"200078_s_at" 12091 5850 6263
"200079_s_at" 15551 13118 17409
"200080_s_at" 12299 14601 7490
"200081_s_at" 11722 13570 6459
"200082_s_at" 4474 6638 16136
"200083_at" 12514 18533 18282
"200084_at" 13731 16742 5114
"200085_s_at" 14471 4285 4450
"200086_s_at" 12584 13101 6577
"200087_s_at" 13484 15582 18133
"200088_x_at" 6726 6479 7061
"200089_s_at" 12017 13262 4376
"200090_at" 13979 14367 18837
"200091_s_at" 12186 4289 3232
"200092_s_at" 4667 3101 18024
"200093_s_at" 12215 14147 5899
"200094_s_at" 14988 6551 5363
"200095_x_at" 6787 6985 16086
"200096_s_at" 11986 19403 1221
"200097_s_at" 5038 15199 15980
"200098_s_at" 14762 16876 19010
"200099_s_at" 6775 5526 6419
"200593_s_at" 14523 6396 3738
"200594_x_at" 4603 19690 19470
"200595_s_at" 14968 17664 6641
"200596_s_at" 16460 4998 6395
