"inst_1404" "inst_2088" "inst_2251" "inst_5425" "inst_6324"
"1007_s_at" 16467 11576 10083 3824 20238
"1053_at" 2743 16791 19129 18468 17453
"117_at" 18394 5304 9217 8222 10159
"121_at" 18548 2434 17894 2984 15778
"1255_g_at" 8877 3681 10790 9778 8068
"1294_at" 2373 6171 15511 21131 1473
"1316_at" 16319 1800 7890 18737 19833
"1320_at" 15655 11614 317 11733 9934
"1405_i_at" 2601 3861 11079 7248 5434
"1431_at" 9644 14272 21872 18936 628
"1438_at" 14409 561 21221 18003 13122
"1487_at" 1963 21617 18631 2405 17015
"1494_f_at" 4438 11512 20397 20171 155
"1598_g_at" 20937 14298 5596 3007 16010
"160020_at" 18695 17883 17752 21188 1128
"1729_at" 22222 20095 21517 5858 2721
"1773_at" 18645 20873 2200 17627 17654
"177_at" 354 315 1570 10501 6740
"179_at" 17186 21378 20883 19207 21874
"1861_at" 2908 15918 17301 19680 2720
"200000_s_at" 19950 21723 3311 3507 18220
"200001_at" 17109 11784 6381 14860 15709
"200002_at" 19787 11745 6806 6070 15913
"200003_s_at" 2688 2941 9949 14700 14280
"200004_at" 20255 12599 7149 4960 17877
"200005_at" 18088 15676 7997 16116 15236
"200006_at" 5768 12985 7125 13741 12361
"200007_at" 16385 14204 14790 15535 4674
"200008_s_at" 20935 18898 2218 20754 20820
"200009_at" 19450 12604 5056 14987 14485
"200010_at" 19410 14108 5517 14406 19384
"200011_s_at" 2583 19241 15146 3183 18160
"200012_x_at" 19089 2326 7973 4029 2471
"200013_at" 19511 12095 14194 14184 12497
"200014_s_at" 2152 13495 14447 14840 15583
"200015_s_at" 19155 13831 5696 14543 15249
"200016_x_at" 3129 13161 15163 5248 4510
"200017_at" 2631 3521 10055 8922 4226
"200018_at" 4452 3411 9857 8913 13169
"200019_s_at" 3195 12308 15594 4782 12441
"200020_at" 19652 16071 4516 6559 15518
"200021_at" 2975 1637 10160 9003 7383
"200022_at" 5980 12563 10030 14256 15921
"200023_s_at" 3175 3502 16448 7075 3897
"200024_at" 16097 2393 7019 17144 3694
"200025_s_at" 4735 3207 15350 5553 3971
"200026_at" 17682 12324 10168 13246 4192
"200027_at" 2634 3264 16281 13899 14315
"200028_s_at" 4814 2383 17147 13842 14090
"200029_at" 3462 3122 4883 3662 2677
"200030_s_at" 17744 2755 6872 14134 13971
