"inst_2130" "inst_2785" "inst_4386"
"1007_s_at" 6643 10674 2934
"1053_at" 5357 17379 16556
"117_at" 7640 3648 10437
"121_at" 9500 1272 14992
"1255_g_at" 15210 6282 8898
"1294_at" 20036 357 1433
"1316_at" 21422 2159 13505
"1320_at" 9634 327 20743
"1405_i_at" 3846 8986 7347
"1431_at" 17509 11699 18482
"1438_at" 12580 10745 20815
"1487_at" 18620 16195 3674
"1494_f_at" 4710 11979 810
"1598_g_at" 1596 14201 18293
"160020_at" 5125 2755 20035
"1729_at" 3317 18157 14713
"1773_at" 719 21764 21505
"177_at" 3241 4257 2144
"179_at" 21528 802 5123
"1861_at" 2107 14079 21250
"200000_s_at" 20241 14092 14802
"200001_at" 18536 13294 6274
"200002_at" 5919 1884 6506
"200003_s_at" 11862 2150 8410
"200004_at" 7818 14910 15685
"200005_at" 6496 13917 15955
"200006_at" 6074 11673 12600
"200007_at" 7416 2342 3463
"200008_s_at" 4012 18326 17069
"200009_at" 7358 14262 16100
"200010_at" 8098 2903 13278
"200011_s_at" 7897 12684 12690
"200012_x_at" 19461 2164 6501
"200013_at" 9603 2748 15278
"200014_s_at" 4972 12611 4943
"200015_s_at" 6349 15880 6752
"200016_x_at" 9465 11845 8310
"200017_at" 11696 5481 8545
"200018_at" 11726 2745 8536
"200019_s_at" 8591 11842 8495
"200020_at" 3007 16154 17102
"200021_at" 5975 2606 8683
"200022_at" 11901 2515 8431
"200023_s_at" 5238 12894 5216
"200024_at" 7853 11608 6763
"200025_s_at" 9154 2730 8533
"200026_at" 11866 1980 8688
"200027_at" 7793 12591 3332
"200028_s_at" 17257 19742 12511
"200029_at" 11811 2563 6403
"200030_s_at" 6874 10494 6677
"200031_s_at" 11709 5438 8525
"200032_s_at" 11798 5485 8547
"200033_at" 2651 14273 16387
"200034_s_at" 7912 10850 13127
"200035_at" 19427 11287 18136
"200036_s_at" 18120 10806 3678
"200037_s_at" 5324 13572 14655
"200038_s_at" 11830 10681 8654
"200039_s_at" 7879 13211 13485
"200040_at" 5155 13630 13498
"200041_s_at" 7842 15769 13472
"200042_at" 8667 16516 17807
"200043_at" 2046 10610 18484
"200044_at" 7459 18108 5175
"200045_at" 20063 17870 15072
"200046_at" 5004 11960 6342
"200047_s_at" 3652 13050 5686
"200048_s_at" 7580 12055 5391
"200049_at" 7880 10713 16046
"200050_at" 3479 20236 17631
"200051_at" 19006 16774 18730
"200052_s_at" 5796 14297 16826
"200053_at" 7305 1559 18855
"200054_at" 4730 16372 18586
"200055_at" 18326 11858 3738
"200056_s_at" 3662 21207 15158
"200057_s_at" 8675 11899 4099
"200058_s_at" 8990 11514 14237
"200059_s_at" 4305 11678 4720
"200060_s_at" 5537 13704 14178
"200061_s_at" 17846 5436 8523
"200062_s_at" 11757 5262 8391
"200063_s_at" 11740 5551 8584
"200064_at" 3913 12488 15755
"200065_s_at" 9389 13245 13615
"200066_at" 4397 17957 19605
"200067_x_at" 9212 10423 3507
"200068_s_at" 6510 14756 5110
"200069_at" 3993 18655 14947
"200070_at" 5100 19954 3717
"200071_at" 2957 20365 13599
"200072_s_at" 7457 15563 17166
"200073_s_at" 3690 17879 13452
"200074_s_at" 6499 12943 14701
"200075_s_at" 4500 15057 5131
"200076_s_at" 3018 20504 13413
"200077_s_at" 7351 2929 5411
"200078_s_at" 8871 12854 16267
"200079_s_at" 16844 17953 14577
"200080_s_at" 4800 10647 13306
"200081_s_at" 6427 10670 15411
"200082_s_at" 11891 2655 8573
"200083_at" 17390 18748 16896
"200084_at" 5367 14276 12469
"200085_s_at" 19283 11741 5406
"200086_s_at" 7071 10786 5617
"200087_s_at" 16904 16966 16462
"200088_x_at" 11582 5280 8403
"200089_s_at" 8697 2787 13001
"200090_at" 6124 20104 2523
"200091_s_at" 6614 10884 17569
"200092_s_at" 19033 2386 8592
"200093_s_at" 4318 12306 6016
"200094_s_at" 9516 13599 4689
"200095_x_at" 11952 5670 8667
"200096_s_at" 1162 11497 15255
"200097_s_at" 4236 17871 17382
"200098_s_at" 18426 15956 12698
"200099_s_at" 11674 5573 8597
"200593_s_at" 9299 21205 21856
"200594_x_at" 6272 17852 15886
"200595_s_at" 6647 19939 18208
"200596_s_at" 8489 16573 14833
"200597_at" 5373 10728 18238
"200598_s_at" 2736 12044 14812
"200599_s_at" 3101 11595 15132
"200600_at" 7662 9909 7780
"200601_at" 910 13382 15946
"200602_at" 4244 10525 3520
"200603_at" 2383 15695 17116
"200604_s_at" 7217 16364 12471
"200605_s_at" 3133 15520 14027
"200606_at" 11368 13575 3366
"200607_s_at" 7123 13718 19718
"200608_s_at" 4890 13843 16206
"200609_s_at" 6329 20046 4986
"200610_s_at" 3197 15329 16642
"200611_s_at" 7518 14778 6706
"200612_s_at" 19555 21525 14790
"200613_at" 9419 13649 12812
"200614_at" 5169 11671 13598
"200615_s_at" 18056 11480 14474
"200616_s_at" 9399 18350 14179
"200617_at" 19337 19662 13287
"200618_at" 18233 15730 17283
"200619_at" 17861 15304 3099
"200620_at" 5882 14231 6549
"200621_at" 8682 2635 3532
"200622_x_at" 9296 16636 12989
"200623_s_at" 19957 17880 3567
"200624_s_at" 7714 17671 17044
"200625_s_at" 3664 13230 15055
"200626_s_at" 1574 19605 17072
"200627_at" 5148 14351 13490
"200628_s_at" 2545 11303 3310
"200629_at" 4490 2556 1608
"200630_x_at" 6469 12806 15621
"200631_s_at" 6799 12982 4284
"200632_s_at" 5280 16298 22129
"200633_at" 8727 2489 8522
"200634_at" 7390 16366 12768
"200635_s_at" 15162 13087 4365
"200636_s_at" 14623 2785 4799
"200637_s_at" 12124 21166 13651
"200638_s_at" 5271 11131 6721
"200639_s_at" 7886 13887 18971
"200640_at" 3513 14212 15039
"200641_s_at" 1472 14963 16307
"200642_at" 7583 11884 13828
"200643_at" 6998 16340 21142
"200644_at" 17890 18266 19545
"200645_at" 17317 12505 5469
"200646_s_at" 17600 680 5219
"200647_x_at" 8191 2765 3116
"200648_s_at" 1741 21224 21144
"200649_at" 17209 13712 3114
"200650_s_at" 7342 11813 8342
"200651_at" 8992 2243 8644
"200652_at" 6393 14460 17194
"200653_s_at" 3294 1700 14617
"200654_at" 6653 12347 5772
"200655_s_at" 4132 14344 16869
"200656_s_at" 4399 14373 19456
"200657_at" 7680 2472 8417
"200658_s_at" 6194 13509 17672
"200659_s_at" 18539 16068 14572
"200660_at" 9353 13779 15573
"200661_at" 8220 11257 5305
"200662_s_at" 1384 14674 6420
"200663_at" 1967 10449 12705
"200664_s_at" 2234 17397 17506
"200665_s_at" 9698 6978 11836
"200666_s_at" 6885 11279 16101
"200667_at" 17744 15921 17502
"200668_s_at" 7877 15959 16289
"200669_s_at" 5127 15276 17180
"200670_at" 4030 2248 5060
"200671_s_at" 2141 11771 4984
"200672_x_at" 7275 18198 13251
"200673_at" 3211 11386 14815
"200674_s_at" 18017 10412 8606
"200675_at" 4308 16143 14549
"200676_s_at" 17522 17069 19256
"200677_at" 6250 11432 5154
"200678_x_at" 18639 10608 4607
"200679_x_at" 3730 11742 16735
"200680_x_at" 5198 2279 8673
"200681_at" 18064 12359 13099
"200682_s_at" 8058 16316 17978
"200683_s_at" 5753 18566 18375
"200684_s_at" 17469 20825 18328
"200685_at" 17686 19447 13011
"200686_s_at" 4442 14900 12927
"200687_s_at" 6881 19521 16227
"200688_at" 19437 21643 5715
"200689_x_at" 8182 2372 5865
"200690_at" 7900 21088 5168
"200691_s_at" 9102 14821 13084
"200692_s_at" 4704 16076 20449
"200693_at" 2162 13427 16888
"200694_s_at" 6906 15972 18907
"200695_at" 19125 18229 21561
"200696_s_at" 6139 2112 6394
"200697_at" 18472 14547 2583
"200698_at" 6785 18342 17209
"200699_at" 17749 17356 21078
"200700_s_at" 8700 13819 4980
"200701_at" 9208 1707 2414
"200702_s_at" 7063 20356 18935
"200703_at" 1712 14111 14763
"200704_at" 3505 11879 1890
"200705_s_at" 9579 2910 6470
"200706_s_at" 6697 18497 12980
"200707_at" 20161 12258 12571
"200708_at" 4849 13152 13619
"200709_at" 19101 12944 6247
"200710_at" 17867 11050 5427
"200711_s_at" 7090 17303 14550
"200712_s_at" 912 16530 18559
"200713_s_at" 7087 15529 14182
"200714_x_at" 8349 13805 16385
"200715_x_at" 8666 2583 4994
"200716_x_at" 11697 5663 8655
"200717_x_at" 11971 5431 8517
"200718_s_at" 5757 1634 8461
"200719_at" 18395 17067 19532
"200720_s_at" 6140 13259 14008
"200721_s_at" 7232 10477 14975
"200722_s_at" 758 22190 21248
"200723_s_at" 6665 17440 17051
"200724_at" 21898 2582 15932
"200725_x_at" 18997 2437 8471
"200726_at" 5661 15246 14114
"200727_s_at" 2304 14030 20723
"200728_at" 2556 12757 20606
"200729_s_at" 1275 17836 16524
