"inst_3003" "inst_3341" "inst_4203"
"1007_s_at" 16988 14299 6492
"1053_at" 14883 12265 18307
"117_at" 20378 10000 4672
"121_at" 11777 15498 4098
"1255_g_at" 4393 5131 12361
"1294_at" 10793 3904 21174
"1316_at" 13978 13268 16633
"1320_at" 7040 8275 9245
"1405_i_at" 2133 7956 21673
"1431_at" 21302 2920 7567
"1438_at" 1636 1488 1006
"1487_at" 11021 16402 20075
"1494_f_at" 20195 1484 697
"1598_g_at" 21525 18587 19793
"160020_at" 13638 21688 4346
"1729_at" 13608 2193 4487
"1773_at" 20543 1056 2676
"177_at" 2772 5606 21658
"179_at" 1597 18744 5528
"1861_at" 21296 1503 6443
"200000_s_at" 2481 16978 16453
"200001_at" 18011 10732 3101
"200002_at" 9773 10306 5832
"200003_s_at" 4651 10346 9753
"200004_at" 16562 16473 16695
"200005_at" 10613 14718 7950
"200006_at" 11885 10661 14891
"200007_at" 14771 3069 14956
"200008_s_at" 17719 15240 5302
"200009_at" 12971 13111 6087
"200010_at" 9065 10529 5867
"200011_s_at" 16843 14277 6976
"200012_x_at" 2538 3322 7621
"200013_at" 10611 11151 5541
"200014_s_at" 11645 13099 14028
"200015_s_at" 14016 16016 13774
"200016_x_at" 9926 12528 17613
"200017_at" 4755 6052 14112
"200018_at" 4743 6042 8181
"200019_s_at" 2954 10915 6633
"200020_at" 13336 19157 16255
"200021_at" 11496 10533 9855
"200022_at" 4667 10736 1478
"200023_s_at" 12367 12214 17246
"200024_at" 2735 3426 5144
"200025_s_at" 2836 11919 14536
"200026_at" 4848 3935 7366
"200027_at" 12085 12282 8499
"200028_s_at" 11492 19622 18182
"200029_at" 3053 3930 14061
"200030_s_at" 10844 3897 8112
"200031_s_at" 4732 6032 9798
"200032_s_at" 4759 6055 7477
"200033_at" 12374 13896 13727
"200034_s_at" 9267 3947 8305
"200035_at" 14237 18706 18553
"200036_s_at" 9358 3802 8280
"200037_s_at" 12751 13998 16750
"200038_s_at" 4833 11697 8013
"200039_s_at" 14681 14137 14453
"200040_at" 11760 15387 16147
"200041_s_at" 13626 12192 16798
"200042_at" 15161 13320 8504
"200043_at" 15214 2851 16570
"200044_at" 16960 12968 8370
"200045_at" 16442 17699 13579
"200046_at" 18039 14612 5277
"200047_s_at" 15863 15824 18394
"200048_s_at" 13938 11061 17150
"200049_at" 18117 13564 13588
"200050_at" 20517 3607 5917
"200051_at" 9243 16309 7337
"200052_s_at" 17358 19530 6465
"200053_at" 10314 20887 2387
"200054_at" 11355 18342 15042
"200055_at" 13767 11844 8371
"200056_s_at" 19128 16355 17720
"200057_s_at" 12272 12424 17509
"200058_s_at" 15387 16712 7752
"200059_s_at" 14999 11016 13846
"200060_s_at" 13053 13551 20244
"200061_s_at" 4729 6030 9797
"200062_s_at" 4638 5917 9744
"200063_s_at" 4779 6095 9821
"200064_at" 13539 11848 5129
"200065_s_at" 14315 14586 6197
"200066_at" 14139 14497 18668
"200067_x_at" 12770 11657 13721
"200068_s_at" 12395 15407 7045
"200069_at" 19586 18407 8165
"200070_at" 13172 19025 21341
"200071_at" 19471 20677 17303
"200072_s_at" 16487 15102 17623
"200073_s_at" 11517 12118 18780
"200074_s_at" 9293 11135 5001
"200075_s_at" 13312 12314 5026
"200076_s_at" 17217 12853 2075
"200077_s_at" 9664 11269 7654
"200078_s_at" 12893 15224 3733
"200079_s_at" 13533 10497 13902
"200080_s_at" 10267 12110 13599
"200081_s_at" 9718 3429 7756
"200082_s_at" 9616 3658 4486
"200083_at" 13104 16478 15620
"200084_at" 14349 15877 16540
"200085_s_at" 14519 3598 4967
"200086_s_at" 10323 10701 6279
"200087_s_at" 14431 13044 15598
"200088_x_at" 4647 5927 7382
"200089_s_at" 2457 11659 7862
"200090_at" 12212 13725 14606
"200091_s_at" 3026 11014 13805
"200092_s_at" 9077 3796 3632
"200093_s_at" 14785 15098 16252
"200094_s_at" 9356 12374 8210
"200095_x_at" 4840 6178 9849
"200096_s_at" 18526 11617 7865
"200097_s_at" 16061 16809 15765
"200098_s_at" 15740 15820 7592
"200099_s_at" 4788 6109 14802
"200593_s_at" 16868 17967 7571
"200594_x_at" 14383 18720 14178
"200595_s_at" 16094 19278 19927
"200596_s_at" 16230 16599 16742
"200597_at" 15114 18804 19360
"200598_s_at" 14220 2853 3161
"200599_s_at" 11746 16244 6221
"200600_at" 11074 4760 4628
"200601_at" 20567 19539 21165
"200602_at" 16533 14987 7935
"200603_at" 14282 16067 15853
