"inst_1767" "inst_2760" "inst_4485" "inst_6822"
"1007_s_at" 19162 4074 14659 14631
"1053_at" 21565 4862 17030 12976
"117_at" 20048 10844 730 10286
"121_at" 13231 3186 12992 2330
"1255_g_at" 3605 6488 6056 7791
"1294_at" 17820 18631 20949 3872
"1316_at" 727 21147 17458 1042
"1320_at" 3260 12230 1745 1249
"1405_i_at" 2304 8640 1223 8201
"1431_at" 4103 6187 21202 1956
"1438_at" 5115 22055 1093 2830
"1487_at" 13715 2664 20519 3685
"1494_f_at" 21228 12991 4204 462
"1598_g_at" 20496 21805 20054 22079
"160020_at" 19654 2309 18502 665
"1729_at" 18901 19502 1508 18309
"1773_at" 10648 20099 19989 15354
"177_at" 21447 10851 15225 1747
"179_at" 18056 16603 19218 549
"1861_at" 6493 13625 4755 20393
"200000_s_at" 19380 13526 16275 11180
"200001_at" 17187 13109 4229 16946
"200002_at" 13016 4901 12858 12313
"200003_s_at" 13922 2497 7285 6067
"200004_at" 17066 4428 4765 14565
"200005_at" 16956 5121 14353 16761
"200006_at" 15183 4762 5251 12680
"200007_at" 14617 13497 12236 13102
"200008_s_at" 20524 18448 3037 13495
"200009_at" 16064 14396 4455 11577
"200010_at" 15251 12677 13123 12632
"200011_s_at" 14793 13397 14884 12158
"200012_x_at" 1962 13658 3001 3142
"200013_at" 14594 12899 4558 12597
"200014_s_at" 14688 12571 3824 11272
"200015_s_at" 16322 13530 14811 18057
"200016_x_at" 13529 12648 15568 13195
"200017_at" 2131 7665 7397 6203
"200018_at" 13905 3858 7384 6187
"200019_s_at" 1632 13424 15262 12506
"200020_at" 16028 20684 12926 13989
"200021_at" 189 14384 7520 6368
"200022_at" 2164 3583 11998 11239
"200023_s_at" 1778 4106 17688 15597
"200024_at" 2364 4648 15116 3343
"200025_s_at" 14248 4210 13533 11844
"200026_at" 18490 3852 12228 6373
"200027_at" 1661 17445 5460 15751
"200028_s_at" 13936 16922 3564 15257
"200029_at" 1499 14623 5395 2978
"200030_s_at" 13290 4848 11586 12439
"200031_s_at" 1688 7625 7370 6177
"200032_s_at" 13957 7669 14074 6207
"200033_at" 15046 3332 5320 14427
"200034_s_at" 19028 2756 12857 2564
"200035_at" 13678 4293 18296 15486
"200036_s_at" 13348 3444 11616 12666
"200037_s_at" 17265 12560 14742 14518
"200038_s_at" 13741 4774 14282 6342
"200039_s_at" 14543 18071 12287 11885
"200040_at" 20051 12682 14909 16687
"200041_s_at" 15640 15417 12268 14067
"200042_at" 21750 15443 13591 13555
"200043_at" 1460 2058 20098 13395
"200044_at" 15003 4150 18042 13912
"200045_at" 13791 12891 12748 14327
"200046_at" 16129 12958 11976 18979
"200047_s_at" 19641 4645 16375 17351
"200048_s_at" 1607 4545 16528 14329
"200049_at" 21109 20101 14206 12983
"200050_at" 19839 1620 13126 10847
"200051_at" 13125 4255 15485 15818
"200052_s_at" 17922 16480 11526 15301
"200053_at" 17184 2968 19552 10743
"200054_at" 13142 2198 11723 16569
"200055_at" 967 15138 13823 13209
"200056_s_at" 17967 12856 19659 16319
"200057_s_at" 13496 14207 5575 11774
"200058_s_at" 19903 16945 13321 13577
"200059_s_at" 17076 16061 4309 12029
"200060_s_at" 17097 4792 5508 12831
"200061_s_at" 13365 13780 7369 6174
"200062_s_at" 13984 7478 7276 6045
"200063_s_at" 1563 7722 7436 6257
"200064_at" 20431 12822 5354 13336
"200065_s_at" 19339 15586 4735 15386
"200066_at" 18679 12573 14499 12040
"200067_x_at" 14726 13802 11570 15325
"200068_s_at" 16096 17665 4461 12926
"200069_at" 13696 15599 14870 17380
"200070_at" 15100 18130 17055 3998
"200071_at" 17523 19120 17154 19658
"200072_s_at" 18783 15628 13330 17186
"200073_s_at" 16284 3240 18513 11616
"200074_s_at" 16032 3042 12082 3454
"200075_s_at" 17160 15290 15819 11576
"200076_s_at" 1952 14237 4541 20293
"200077_s_at" 13580 3787 14118 11913
"200078_s_at" 1583 17488 17085 18469
"200079_s_at" 19431 16919 5011 14447
"200080_s_at" 15858 2832 11692 11270
"200081_s_at" 15161 12940 14351 3358
"200082_s_at" 19182 5023 4028 6241
"200083_at" 16335 13277 14415 14568
"200084_at" 13690 15709 12712 14751
"200085_s_at" 13592 14943 16854 12781
"200086_s_at" 1787 4021 14641 12828
"200087_s_at" 19164 16309 11533 12856
"200088_x_at" 1363 4391 4783 6059
"200089_s_at" 13551 3837 14526 11961
"200090_at" 14142 13638 4609 17546
"200091_s_at" 16475 3188 14745 10777
"200092_s_at" 13565 4799 13274 10999
"200093_s_at" 13467 13814 14600 13399
"200094_s_at" 16331 4949 13596 12687
"200095_x_at" 1455 4355 7512 6353
"200096_s_at" 14166 15271 14648 12577
"200097_s_at" 16106 3804 3596 15268
"200098_s_at" 13341 4863 13988 13617
"200099_s_at" 13210 7738 4696 6275
"200593_s_at" 20891 17624 19946 12386
"200594_x_at" 16633 2973 5035 11682
"200595_s_at" 19468 13994 18729 17859
"200596_s_at" 20796 15426 18857 11905
"200597_at" 16569 2386 2096 1742
"200598_s_at" 17900 13345 12792 13569
"200599_s_at" 15002 14177 18403 18922
"200600_at" 20232 12372 5169 3470
"200601_at" 20441 20444 19043 18936
"200602_at" 21034 15891 18232 12084
"200603_at" 19331 3517 18175 15713
"200604_s_at" 22140 18005 17129 18343
"200605_s_at" 20684 20590 4183 14933
"200606_at" 12334 12630 18052 13861
"200607_s_at" 16599 20579 2943 12041
"200608_s_at" 17565 3793 17783 18265
"200609_s_at" 17969 16537 15477 19706
"200610_s_at" 17064 13332 11648 15269
"200611_s_at" 15515 16620 12847 15131
"200612_s_at" 14598 22033 18962 4027
"200613_at" 15750 12542 14789 14980
"200614_at" 16917 4968 12306 12079
"200615_s_at" 21941 18121 13402 14942
"200616_s_at" 2287 16785 12150 12948
"200617_at" 2351 17953 16387 12755
