"inst_2705" "inst_3444" "inst_6765" "inst_7123"
"1007_s_at" 21576 17187 939 18410
"1053_at" 18417 3830 8056 1711
"117_at" 14547 9623 13276 9656
"121_at" 1212 4596 19881 1515
"1255_g_at" 9277 6917 13731 6656
"1294_at" 17632 8099 156 10487
"1316_at" 909 4389 7054 16359
"1320_at" 8212 6972 4507 5712
"1405_i_at" 14750 9521 13609 11687
"1431_at" 20006 2760 20707 12222
"1438_at" 10481 21325 7370 1057
"1487_at" 20773 1766 11425 19866
"1494_f_at" 20163 7677 11569 10816
"1598_g_at" 11474 14367 1751 19628
"160020_at" 1213 16820 1806 2951
"1729_at" 18701 19229 2352 2482
"1773_at" 1602 15999 4805 21876
"177_at" 17945 6252 15576 4459
"179_at" 22271 18608 375 1988
"1861_at" 19417 20962 6475 17076
"200000_s_at" 11579 21742 3132 307
"200001_at" 12607 13864 4765 2751
"200002_at" 11399 4140 10583 2306
"200003_s_at" 6889 3944 11753 1063
"200004_at" 16158 16503 4481 14674
"200005_at" 11821 17546 6581 16640
"200006_at" 13963 2983 7204 12851
"200007_at" 12516 18917 9802 14151
"200008_s_at" 3599 17116 11399 13764
"200009_at" 12112 3929 6701 3000
"200010_at" 6890 18324 10862 2875
"200011_s_at" 18330 19187 2584 17675
"200012_x_at" 6845 3101 20730 2514
"200013_at" 6817 15104 11636 13672
"200014_s_at" 11146 2548 10410 14934
"200015_s_at" 19845 13622 5768 17773
"200016_x_at" 6816 17681 10699 13628
"200017_at" 6991 13835 14217 14384
"200018_at" 6980 15709 11769 15154
"200019_s_at" 6950 14543 10154 3324
"200020_at" 15641 21296 4029 14132
"200021_at" 7089 2263 14383 2175
"200022_at" 6903 3833 9788 1409
"200023_s_at" 16487 4720 5839 14507
"200024_at" 6952 4263 11215 13121
"200025_s_at" 6978 2757 9643 13955
"200026_at" 7092 4863 20651 2475
"200027_at" 14168 5481 4982 14492
"200028_s_at" 17111 14405 3856 14747
"200029_at" 6938 1881 10525 2338
"200030_s_at" 13580 13755 9319 14171
"200031_s_at" 6968 5254 14191 3141
"200032_s_at" 6993 5332 19355 13637
"200033_at" 17304 14996 7140 18478
"200034_s_at" 6894 2729 19302 14404
"200035_at" 17179 15760 3603 21279
"200036_s_at" 6879 5213 11231 3211
"200037_s_at" 19355 13543 5309 16314
"200038_s_at" 7069 5037 19208 2637
"200039_s_at" 11625 3595 8914 2716
"200040_at" 15882 15457 5005 13130
"200041_s_at" 3167 2645 6222 1566
"200042_at" 13432 16782 11057 16198
"200043_at" 14843 4905 7638 2871
"200044_at" 17279 5243 9559 15663
"200045_at" 5004 4756 3661 1960
"200046_at" 15974 20293 1253 14732
"200047_s_at" 19573 2148 1496 16051
"200048_s_at" 16460 4458 7284 16959
"200049_at" 19335 4848 3934 13067
"200050_at" 19104 21646 11633 19255
