"inst_2295" "inst_2334" "inst_3666" "inst_4689" "inst_7365"
"1007_s_at" 10609 4590 19861 4723 8318
"1053_at" 19127 18969 17259 4159 4570
"117_at" 8907 19060 6407 13649 14251
"121_at" 18982 20602 15520 19972 20948
"1255_g_at" 7432 6985 8708 13862 10933
"1294_at" 18707 753 21676 22110 13080
"1316_at" 13165 18071 1868 20746 21565
"1320_at" 2851 12532 16796 10772 15389
"1405_i_at" 5053 6376 7023 5597 14867
"1431_at" 19869 10751 1948 18033 12559
"1438_at" 17056 12763 14040 8697 17021
"1487_at" 15006 18719 17648 4100 6409
"1494_f_at" 10451 278 18861 9909 12520
"1598_g_at" 503 19154 3408 5064 7828
"160020_at" 2323 44 14766 21165 2738
"1729_at" 15966 1587 15726 2991 542
"1773_at" 18771 17212 1989 3073 4740
"177_at" 12375 16122 2309 11540 16129
"179_at" 20864 398 18402 2009 6908
"1861_at" 19636 21326 14194 2386 6173
"200000_s_at" 13249 1344 18276 17530 21521
"200001_at" 15310 3582 5865 5958 6164
"200002_at" 11213 15466 4006 8318 4419
"200003_s_at" 5836 16370 7659 7676 7037
"200004_at" 12856 16800 12766 17286 3257
"200005_at" 10403 2960 13391 15879 18656
"200006_at" 14456 16793 5455 8759 6722
"200007_at" 3535 2958 2584 5379 7202
"200008_s_at" 20988 6556 11756 4235 2437
"200009_at" 14205 16455 13637 16643 6129
"200010_at" 11217 5141 12965 4640 6708
"200011_s_at" 14795 17142 15671 5986 18318
"200012_x_at" 2601 15730 4127 7095 16895
"200013_at" 13015 17099 4249 16089 16543
"200014_s_at" 13337 15904 4602 6240 3694
"200015_s_at" 18302 18011 14389 18227 4025
"200016_x_at" 11296 6483 5658 17350 7836
"200017_at" 5891 16176 7764 17255 17045
"200018_at" 5839 16094 7750 16697 8183
"200019_s_at" 3262 6664 4243 16976 17865
"200020_at" 10889 4081 13290 17618 5573
"200021_at" 5769 4236 7862 11093 7939
"200022_at" 11966 16595 2067 4975 5281
"200023_s_at" 13412 5692 14108 16480 17925
"200024_at" 3497 5922 4782 15947 5714
"200025_s_at" 11055 16154 4160 16851 7166
"200026_at" 11171 9427 7866 8146 8261
"200027_at" 15373 16981 12136 7800 4295
"200028_s_at" 3624 4166 12786 4040 5842
"200029_at" 3269 16920 3278 8603 17187
"200030_s_at" 11278 16598 4757 16853 18125
"200031_s_at" 5884 9640 7742 8380 16957
"200032_s_at" 5718 9444 7767 16502 8316
"200033_at" 13001 5982 12685 8076 7291
"200034_s_at" 11326 15753 3502 16265 16553
"200035_at" 1192 3520 19059 19760 6593
"200036_s_at" 10389 6837 4282 6671 6186
"200037_s_at" 11809 5370 12541 5802 6830
"200038_s_at" 3845 9533 5742 17501 7380
"200039_s_at" 13455 18048 13633 18024 5756
"200040_at" 13671 18238 16401 15885 4286
"200041_s_at" 12440 4506 3904 18389 4989
"200042_at" 15828 20892 12006 17848 18977
"200043_at" 15080 17759 3683 16396 17355
"200044_at" 17031 17159 12785 17149 6501
"200045_at" 12932 15349 19811 7410 8194
"200046_at" 17324 4332 4640 7469 5595
"200047_s_at" 12211 17509 12253 7039 5952
"200048_s_at" 11355 2791 4464 7983 7028
"200049_at" 13282 2483 12903 17666 6998
"200050_at" 15503 16968 19526 951 2713
"200051_at" 11520 17265 17080 5292 18321
"200052_s_at" 17534 16641 12213 8396 3623
"200053_at" 12463 16437 19406 1523 18787
"200054_at" 17460 17765 17200 7513 18581
"200055_at" 11503 4723 12511 7014 16514
"200056_s_at" 14151 4561 14392 6105 3952
"200057_s_at" 3293 5551 5618 8376 16880
"200058_s_at" 11348 6129 13998 7849 6150
"200059_s_at" 15835 19890 5947 1774 16515
"200060_s_at" 3427 17347 13771 5456 6876
"200061_s_at" 5747 6814 7741 18113 16767
"200062_s_at" 5869 15803 7643 10810 18309
"200063_s_at" 5694 19364 7792 17166 16470
"200064_at" 13258 17256 6080 6697 7898
"200065_s_at" 12449 4412 5180 5925 5841
"200066_at" 16624 4254 18418 3006 16311
"200067_x_at" 15137 15717 12562 8062 5580
"200068_s_at" 2354 5859 15358 17281 8146
"200069_at" 15196 16435 4029 1483 7590
"200070_at" 13255 21235 13925 16447 20171
"200071_at" 16314 17745 3876 7546 4069
"200072_s_at" 12595 16770 18120 8488 7257
"200073_s_at" 12170 17219 15210 15737 7925
"200074_s_at" 17448 17402 4841 5669 6921
"200075_s_at" 17894 17053 4098 8257 8065
"200076_s_at" 12922 17547 12919 6566 3024
"200077_s_at" 3522 6839 4514 6379 6554
