"inst_2306" "inst_2344" "inst_3677" "inst_4700" "inst_7376"
"1007_s_at" 17704 19599 5457 2584 5278
"1053_at" 20462 3036 17569 2538 18238
"117_at" 8570 18932 6712 12751 11434
"121_at" 11401 22158 2427 19877 1865
"1255_g_at" 5883 11000 7138 12999 8386
"1294_at" 21098 19094 21216 21648 13312
"1316_at" 2089 22153 21329 20820 4956
"1320_at" 3365 12600 16391 6402 11538
"1405_i_at" 7798 18711 10078 18128 1626
"1431_at" 15392 6428 1531 20202 13366
"1438_at" 21257 13612 2387 3542 324
"1487_at" 18155 16374 13514 18180 14913
"1494_f_at" 2198 591 21460 3488 439
"1598_g_at" 13755 19510 3672 18742 17207
"160020_at" 365 1572 3662 20882 770
"1729_at" 1738 1863 17264 1100 17724
"1773_at" 20252 4304 20382 2220 15457
"177_at" 12951 18660 11438 905 10156
"179_at" 1805 130 3679 7071 20740
"1861_at" 17270 17238 16664 3371 19346
"200000_s_at" 19307 6403 19249 15376 1921
"200001_at" 12976 4684 11842 6369 17987
"200002_at" 10486 7108 14326 7090 5704
"200003_s_at" 6065 16603 7737 16868 3994
"200004_at" 12254 7547 17833 6299 14898
"200005_at" 13614 16936 11687 6044 16133
"200006_at" 11633 4997 12460 6717 15572
"200007_at" 13735 5201 15591 16985 14733
"200008_s_at" 11783 5972 20507 1130 4055
"200009_at" 3000 7363 5662 3573 4848
"200010_at" 11484 16349 5137 4465 4007
"200011_s_at" 18164 3240 5574 7024 15619
"200012_x_at" 2188 16152 5133 6958 5295
"200013_at" 4151 16379 11762 6989 4945
"200014_s_at" 13139 6919 12069 7095 17301
"200015_s_at" 17304 7381 13694 15519 15446
"200016_x_at" 11400 6247 5930 17505 14505
"200017_at" 5984 16487 7840 14663 5664
"200018_at" 6019 6439 7829 16848 15519
"200019_s_at" 12504 4589 12569 15351 13801
"200020_at" 11704 19745 13630 15556 5289
"200021_at" 5979 17962 7935 15839 13674
"200022_at" 6212 6852 5973 4033 4226
"200023_s_at" 17486 6718 17807 17387 17977
"200024_at" 10475 5529 5240 6111 4528
"200025_s_at" 10706 6362 12303 14712 15508
"200026_at" 6091 10424 7937 5263 13705
"200027_at" 14198 18427 14245 7259 15538
"200028_s_at" 11693 17122 5235 5838 17031
"200029_at" 11801 17308 4977 15509 13688
"200030_s_at" 10712 4552 4167 5609 15194
"200031_s_at" 5993 10594 7823 15956 3704
"200032_s_at" 5997 10294 7843 7535 5818
"200033_at" 12304 6515 16301 4208 17412
"200034_s_at" 2655 7532 4015 15114 5631
"200035_at" 3878 7572 11964 4984 18339
"200036_s_at" 14371 16468 14927 16716 5245
"200037_s_at" 12554 16556 15634 6322 16148
"200038_s_at" 10424 10482 4462 16154 5443
"200039_s_at" 3347 16094 13362 6924 5266
"200040_at" 13931 16460 18584 7592 18579
"200041_s_at" 11359 6389 12422 17596 4395
"200042_at" 14756 18737 13915 6504 19571
"200043_at" 18605 16230 16600 17182 16301
"200044_at" 15767 17714 14172 18730 17709
"200045_at" 17134 18171 5239 7109 17691
"200046_at" 16029 4873 15943 14562 17526
"200047_s_at" 10835 19033 13709 20043 14609
"200048_s_at" 14608 16948 16580 16801 16728
"200049_at" 14137 19911 4160 5575 16461
"200050_at" 12441 17012 4254 853 16786
"200051_at" 21362 2353 12378 18643 20829
"200052_s_at" 11936 16605 15283 4544 16029
"200053_at" 2384 20294 18349 1018 3050
"200054_at" 18215 18533 2936 3986 14941
"200055_at" 13567 5334 11977 17699 16369
"200056_s_at" 20503 16076 19960 15356 18400
"200057_s_at" 10761 4924 5989 15265 14343
"200058_s_at" 16733 6345 14815 16671 2951
"200059_s_at" 12930 7023 16908 3581 15890
"200060_s_at" 13850 19234 16008 14979 2949
"200061_s_at" 6219 6858 7822 7471 4318
"200062_s_at" 6017 7630 7722 9638 5058
"200063_s_at" 5966 19914 7864 9832 14192
"200064_at" 11136 17285 3414 4028 13772
"200065_s_at" 13929 5355 5030 4491 3905
"200066_at" 16458 6034 5304 2883 18404
"200067_x_at" 14325 16350 16057 5732 16242
"200068_s_at" 14600 18496 12873 15322 16099
"200069_at" 21350 16544 5024 18434 3237
"200070_at" 15892 5834 18926 19273 3483
"200071_at" 19812 20046 19854 4249 19491
"200072_s_at" 14812 18897 14224 6043 4726
"200073_s_at" 16042 17409 18169 19342 5884
"200074_s_at" 13837 7551 12257 4322 5417
"200075_s_at" 15472 17088 11711 16784 16434
"200076_s_at" 2859 18686 14420 16551 21064
"200077_s_at" 11287 16361 11867 15928 15612
"200078_s_at" 16073 6050 15086 15051 16160
"200079_s_at" 10741 7405 3139 5039 14375
"200080_s_at" 12287 7200 12388 16998 14625
"200081_s_at" 3297 6288 13529 7365 3554
"200082_s_at" 3059 6788 12009 4813 5137
"200083_at" 17971 17020 4803 14607 15196
"200084_at" 15818 6244 16309 5422 17555
"200085_s_at" 15899 6637 16056 7293 15172
"200086_s_at" 10539 6279 14474 5755 16900
"200087_s_at" 3506 19471 5292 18540 17313
"200088_x_at" 6106 16100 7731 9648 5462
"200089_s_at" 10954 17343 14189 16994 5148
"200090_at" 11760 4191 5109 4805 16291
"200091_s_at" 14217 6797 11770 17291 15502
"200092_s_at" 12251 17907 4089 17639 4280
"200093_s_at" 18980 7166 19214 18479 15739
"200094_s_at" 10501 5439 3822 7589 5849
"200095_x_at" 6101 7731 7925 9910 13632
"200096_s_at" 12387 19904 12916 16904 13690
"200097_s_at" 13144 19827 13368 4614 16505
"200098_s_at" 16481 19255 11825 16938 14573
"200099_s_at" 6079 10418 12074 7153 4583
"200593_s_at" 17862 20047 14039 14509 13840
"200594_x_at" 12046 19915 12544 4782 5293
"200595_s_at" 21541 19161 16080 20691 14474
"200596_s_at" 18722 19588 15108 6091 3773
"200597_at" 17464 21658 20735 15040 2071
"200598_s_at" 14027 16959 12513 14446 17371
"200599_s_at" 16464 20214 12470 7448 4398
"200600_at" 3449 7699 5519 4669 15204
"200601_at" 20626 16843 15451 16184 4527
"200602_at" 20616 20198 19606 5272 20133
"200603_at" 16967 1548 14394 6011 3884
"200604_s_at" 16877 432 12365 5153 3463
"200605_s_at" 15525 4103 14433 1241 3230
"200606_at" 13161 14819 2394 4575 2635
"200607_s_at" 3408 5542 17891 17268 14337
"200608_s_at" 13851 17276 16863 7644 17170
"200609_s_at" 15652 2588 15869 5808 17746
"200610_s_at" 3796 21313 5776 17627 3020
"200611_s_at" 16843 3330 18344 16516 16555
"200612_s_at" 20810 22229 21753 18634 3624
"200613_at" 13597 7534 14296 6320 15366
"200614_at" 10970 7611 12827 16148 18657
"200615_s_at" 3107 16491 16404 7436 15212
"200616_s_at" 11649 16880 3645 5536 14621
"200617_at" 10914 16859 3881 19528 13918
"200618_at" 13561 655 16412 3218 13702
"200619_at" 17766 19479 4343 15712 5361
"200620_at" 12097 6060 3757 4183 14736
"200621_at" 16355 2129 833 15966 702
"200622_x_at" 15484 1941 19062 4398 1729
"200623_s_at" 20585 20649 13872 19711 17582
"200624_s_at" 17509 19441 12192 4764 15761
"200625_s_at" 11848 1981 4772 14483 19310
"200626_s_at" 16343 5658 4752 16415 17747
"200627_at" 2321 5567 12474 6004 14859
"200628_s_at" 2048 4260 21140 983 17407
"200629_at" 19538 6933 12317 17448 18077
"200630_x_at" 3577 18888 14500 15926 13740
"200631_s_at" 13064 20555 6075 5975 3996
"200632_s_at" 21430 2396 15285 6536 18457
"200633_at" 6016 7301 7821 17741 14744
"200634_at" 14299 4747 12680 18198 4300
"200635_s_at" 20140 11214 4381 5291 21252
"200636_s_at" 20392 7766 16054 17416 16206
