"inst_2927" "inst_4168"
"1007_s_at" 10207 13299
"1053_at" 18721 11012
"117_at" 5 2
"121_at" 13713 17613
"1255_g_at" 2641 7106
"1294_at" 18040 18036
"1316_at" 9600 1086
"1320_at" 4790 19661
"1405_i_at" 11954 7481
"1431_at" 10082 9924
"1438_at" 8305 13738
"1487_at" 16314 13511
"1494_f_at" 904 3798
"1598_g_at" 14098 11407
"160020_at" 12474 11242
"1729_at" 16082 13937
"1773_at" 15165 15762
"177_at" 12456 12999
"179_at" 12179 19144
"1861_at" 9850 9803
"200000_s_at" 19073 19701
"200001_at" 17162 13498
"200002_at" 9712 9454
"200003_s_at" 4448 5570
"200004_at" 16874 14902
"200005_at" 16661 12197
"200006_at" 15234 9273
"200007_at" 12789 3198
"200008_s_at" 18890 15637
"200009_at" 18278 13196
"200010_at" 1799 9254
"200011_s_at" 20935 17581
"200012_x_at" 932 2882
"200013_at" 10539 3331
"200014_s_at" 18742 13987
"200015_s_at" 21640 14920
"200016_x_at" 10793 5502
"200017_at" 2148 5663
"200018_at" 4564 5656
"200019_s_at" 10013 3167
"200020_at" 20736 16229
"200021_at" 10414 5769
"200022_at" 1800 5583
"200023_s_at" 13057 9542
"200024_at" 1717 2829
"200025_s_at" 1961 5654
"200026_at" 4707 5772
"200027_at" 16863 15767
"200028_s_at" 21142 19839
"200029_at" 1634 3192
"200030_s_at" 17227 10295
"200031_s_at" 4551 5647
"200032_s_at" 4581 5664
"200033_at" 14184 10547
"200034_s_at" 9905 5575
"200035_at" 14455 12715
"200036_s_at" 10529 3820
"200037_s_at" 18453 12215
"200038_s_at" 4686 5748
"200039_s_at" 18989 9070
"200040_at" 16129 14652
"200041_s_at" 18228 9653
"200042_at" 16110 12861
"200043_at" 17190 9109
"200044_at" 16209 11293
"200045_at" 14095 16307
"200046_at" 17307 9676
"200047_s_at" 19368 12653
"200048_s_at" 15279 9286
"200049_at" 18452 17913
"200050_at" 17830 15752
"200051_at" 12299 12749
"200052_s_at" 18312 13625
"200053_at" 16782 12880
"200054_at" 18046 14334
"200055_at" 13616 3277
"200056_s_at" 14540 16066
"200057_s_at" 14468 12414
"200058_s_at" 20463 18684
"200059_s_at" 16301 13069
"200060_s_at" 18746 9923
"200061_s_at" 4550 5645
"200062_s_at" 2089 5554
"200063_s_at" 10574 5694
"200064_at" 714 9889
"200065_s_at" 15193 13095
"200066_at" 15160 17377
"200067_x_at" 11055 14562
"200068_s_at" 17624 15422
"200069_at" 21941 20947
"200070_at" 15514 10173
"200071_at" 17685 17921
"200072_s_at" 17002 14893
"200073_s_at" 13349 10276
"200074_s_at" 10217 3900
"200075_s_at" 14067 11551
"200076_s_at" 14331 9562
"200077_s_at" 10098 9785
"200078_s_at" 13945 9460
"200079_s_at" 20134 10364
"200080_s_at" 10473 5690
"200081_s_at" 9884 10285
"200082_s_at" 2109 5683
"200083_at" 16609 21331
"200084_at" 16703 14182
"200085_s_at" 11653 9035
"200086_s_at" 12384 3603
"200087_s_at" 19933 13551
"200088_x_at" 4439 5566
"200089_s_at" 9891 9353
"200090_at" 20136 3669
"200091_s_at" 1401 5603
"200092_s_at" 1559 5703
"200093_s_at" 18029 10933
"200094_s_at" 12529 3886
"200095_x_at" 4693 5760
"200096_s_at" 16053 11267
"200097_s_at" 14926 16342
"200098_s_at" 19707 14214
"200099_s_at" 4631 5706
"200593_s_at" 11881 13481
"200594_x_at" 19354 17509
"200595_s_at" 20872 17700
"200596_s_at" 16281 16745
"200597_at" 22051 22149
"200598_s_at" 12441 13359
"200599_s_at" 14491 13888
"200600_at" 18357 4897
"200601_at" 15504 19860
"200602_at" 20845 13543
"200603_at" 17866 17031
"200604_s_at" 15187 12664
"200605_s_at" 20550 19408
"200606_at" 4835 19902
"200607_s_at" 16701 16135
"200608_s_at" 17277 15641
"200609_s_at" 21835 17160
"200610_s_at" 19831 15095
"200611_s_at" 17571 14790
"200612_s_at" 21390 19656
"200613_at" 19140 11557
"200614_at" 15199 14971
"200615_s_at" 19635 13430
"200616_s_at" 15505 9946
"200617_at" 21258 21805
"200618_at" 20313 18174
"200619_at" 20196 18053
"200620_at" 14082 16163
"200621_at" 14695 10335
"200622_x_at" 17170 2684
"200623_s_at" 16260 16858
"200624_s_at" 20901 16778
"200625_s_at" 17445 15815
"200626_s_at" 20491 17996
"200627_at" 1887 10820
"200628_s_at" 16721 19348
"200629_at" 17111 14954
"200630_x_at" 17110 10124
"200631_s_at" 21319 14053
"200632_s_at" 22282 11416
"200633_at" 1041 5644
"200634_at" 16041 9492
"200635_s_at" 7173 19651
"200636_s_at" 1359 21610
"200637_s_at" 4240 22068
"200638_s_at" 19722 12911
"200639_s_at" 21189 13558
"200640_at" 19043 13893
"200641_s_at" 17846 15761
"200642_at" 2091 9300
"200643_at" 10371 16508
"200644_at" 17547 13670
"200645_at" 14574 12406
"200646_s_at" 11173 10731
"200647_x_at" 20497 9994
"200648_s_at" 16842 13879
"200649_at" 1803 11255
"200650_s_at" 17114 9151
"200651_at" 1811 5741
"200652_at" 16175 15737
"200653_s_at" 11921 11198
"200654_at" 16895 12386
"200655_s_at" 14648 13286
"200656_s_at" 18433 14424
"200657_at" 14129 3847
"200658_s_at" 17081 11992
"200659_s_at" 14784 17112
"200660_at" 11897 2848
"200661_at" 14346 11938
"200662_s_at" 21718 19250
"200663_at" 17984 11226
"200664_s_at" 24 1271
"200665_s_at" 3439 8651
"200666_s_at" 32 9547
"200667_at" 17042 15457
"200668_s_at" 11994 11605
"200669_s_at" 12168 13223
"200670_at" 14066 13684
"200671_s_at" 5951 13311
"200672_x_at" 21533 18871
"200673_at" 14983 12813
"200674_s_at" 1841 5712
"200675_at" 20368 15081
"200676_s_at" 14742 21658
"200677_at" 13925 15396
"200678_x_at" 16830 12362
"200679_x_at" 11497 3913
"200680_x_at" 11123 5764
"200681_at" 17323 14246
"200682_s_at" 12210 10355
"200683_s_at" 19188 15835
"200684_s_at" 21906 20965
"200685_at" 20376 18146
"200686_s_at" 19438 16770
"200687_s_at" 17869 20010
"200688_at" 18726 22072
"200689_x_at" 9989 9488
"200690_at" 16614 11928
"200691_s_at" 14398 14461
"200692_s_at" 13128 12987
"200693_at" 21219 15305
"200694_s_at" 17186 15342
"200695_at" 17808 16093
"200696_s_at" 14938 14127
"200697_at" 20554 19367
"200698_at" 18778 19022
"200699_at" 21564 16232
"200700_s_at" 16105 14116
"200701_at" 16106 12456
"200702_s_at" 10122 3048
"200703_at" 12625 10691
"200704_at" 16220 15402
"200705_s_at" 1684 3231
"200706_s_at" 19642 13087
"200707_at" 20529 16453
"200708_at" 19548 13998
"200709_at" 17887 15622
"200710_at" 12922 11460
"200711_s_at" 16256 13348
"200712_s_at" 13082 13404
"200713_s_at" 13737 13837
"200714_x_at" 18877 15809
"200715_x_at" 12397 11977
"200716_x_at" 4687 5749
"200717_x_at" 4548 5641
"200718_s_at" 15449 9004
"200719_at" 11195 14797
"200720_s_at" 15346 15547
"200721_s_at" 20797 17173
"200722_s_at" 20800 20470
"200723_s_at" 19935 17531
"200724_at" 10606 12908
"200725_x_at" 1993 3115
"200726_at" 19542 16502
"200727_s_at" 16095 16034
"200728_at" 17137 18458
"200729_s_at" 19397 17307
"200730_s_at" 16423 15715
"200731_s_at" 13912 21335
"200732_s_at" 17602 21259
"200733_s_at" 16473 17294
"200734_s_at" 16154 11347
"200735_x_at" 4623 5700
"200736_s_at" 14157 6542
"200737_at" 19700 19219
"200738_s_at" 15606 10992
"200739_s_at" 18653 9503
"200740_s_at" 20051 12360
"200741_s_at" 4425 5556
"200742_s_at" 14159 13825
"200743_s_at" 16627 17971
"200744_s_at" 18093 13838
"200745_s_at" 20510 19105
"200746_s_at" 20719 15352
"200747_s_at" 13596 19259
"200748_s_at" 223 9080
"200749_at" 22097 16085
"200750_s_at" 14881 3579
"200751_s_at" 18928 16577
"200752_s_at" 21505 12521
"200753_x_at" 16523 11033
"200754_x_at" 17119 11577
"200755_s_at" 19246 21302
"200756_x_at" 16409 20664
"200757_s_at" 20905 20797
"200758_s_at" 13437 19965
"200759_x_at" 14084 18426
"200760_s_at" 14777 15635
"200761_s_at" 18466 11772
"200762_at" 18015 21692
"200763_s_at" 4644 5716
"200764_s_at" 15831 13820
"200765_x_at" 9827 15456
"200766_at" 2055 16944
"200767_s_at" 21731 19710
"200768_s_at" 20377 17533
"200769_s_at" 22049 19885
"200770_s_at" 13760 12210
"200771_at" 16889 21116
"200772_x_at" 1744 3860
"200773_x_at" 11548 9968
"200774_at" 21346 14943
"200775_s_at" 12732 11410
"200776_s_at" 17028 18807
"200777_s_at" 17673 15568
"200778_s_at" 19936 13403
"200779_at" 10602 9224
"200780_x_at" 12190 3749
"200781_s_at" 1721 5627
"200782_at" 13229 11558
"200783_s_at" 20907 14159
"200784_s_at" 2860 875
"200785_s_at" 3250 5892
"200786_at" 15971 12110
"200787_s_at" 13808 10890
"200788_s_at" 14498 14505
"200789_at" 14172 11687
"200790_at" 20365 14980
"200791_s_at" 20677 21598
"200792_at" 17360 12719
"200793_s_at" 16399 12514
"200794_x_at" 17572 14410
"200795_at" 2320 19920
"200796_s_at" 14821 16013
"200797_s_at" 12328 17309
"200798_x_at" 13726 16277
"200799_at" 8 1401
"200800_s_at" 2 204
"200801_x_at" 11891 5526
"200802_at" 11135 15110
"200803_s_at" 14475 13917
"200804_at" 18171 13259
"200805_at" 17442 13761
"200806_s_at" 267 10249
"200807_s_at" 526 5538
"200808_s_at" 18737 12498
"200809_x_at" 4400 5543
"200810_s_at" 14596 12586
"200811_at" 18392 14838
"200812_at" 15281 15710
"200813_s_at" 21335 19862
"200814_at" 17762 10948
"200815_s_at" 10912 14515
"200816_s_at" 21145 21095
"200817_x_at" 4396 5540
"200818_at" 15062 12142
"200819_s_at" 4554 5649
"200820_at" 16526 11591
"200821_at" 20687 20374
"200822_x_at" 15844 11018
"200823_x_at" 2063 10332
"200824_at" 18979 18223
"200825_s_at" 21921 18130
"200826_at" 10387 3598
"200827_at" 10926 12316
"200828_s_at" 18157 17663
"200829_x_at" 18752 17384
"200830_at" 15486 14340
"200831_s_at" 21433 19995
"200832_s_at" 21785 19518
"200833_s_at" 15611 15281
"200834_s_at" 4472 5584
"200835_s_at" 1429 3039
"200836_s_at" 14296 11595
"200837_at" 16148 12983
"200838_at" 19617 14378
"200839_s_at" 15304 12874
"200840_at" 15910 3812
"200841_s_at" 18241 11541
"200842_s_at" 17669 11304
"200843_s_at" 19307 16787
"200844_s_at" 15824 10290
"200845_s_at" 20364 13733
"200846_s_at" 18232 12436
"200847_s_at" 1642 13019
"200848_at" 18329 16614
"200849_s_at" 15882 17828
"200850_s_at" 15865 12804
"200851_s_at" 17905 17414
"200852_x_at" 16504 10650
"200853_at" 14156 9201
"200854_at" 18695 19450
"200855_at" 17033 17982
"200856_x_at" 16989 21560
"200857_s_at" 17497 20205
"200858_s_at" 1801 3911
"200859_x_at" 20592 19226
"200860_s_at" 20344 21803
"200861_at" 20287 21017
"200862_at" 22241 19252
"200863_s_at" 15784 11562
"200864_s_at" 19074 17374
"200865_at" 9723 1987
"200866_s_at" 16839 20009
"200867_at" 15732 16238
"200868_s_at" 13403 10527
"200869_at" 4443 5567
"200870_at" 12955 13910
"200871_s_at" 18594 14362
"200872_at" 9822 3018
"200873_s_at" 13363 8999
"200874_s_at" 2064 2620
"200875_s_at" 11360 14478
"200876_s_at" 14318 12165
"200877_at" 10046 10259
"200878_at" 17845 20373
"200879_s_at" 8606 8951
"200880_at" 159 3630
"200881_s_at" 90 11777
"200882_s_at" 11962 10458
"200883_at" 20088 17498
"200884_at" 14049 10425
"200885_at" 19884 3859
"200886_s_at" 17911 11863
"200887_s_at" 20590 17189
"200888_s_at" 1702 3901
"200889_s_at" 16251 14927
"200890_s_at" 17882 17893
"200891_s_at" 20548 15746
"200892_s_at" 12146 15918
"200893_at" 11310 14227
"200894_s_at" 142 12410
"200895_s_at" 181 11858
"200896_x_at" 17665 9947
"200897_s_at" 12861 18919
"200898_s_at" 15737 17261
"200899_s_at" 19323 20692
"200900_s_at" 15106 12235
"200901_s_at" 19223 17692
"200902_at" 16426 17047
"200903_s_at" 18971 12096
"200904_at" 18523 20547
"200905_x_at" 12662 10695
"200906_s_at" 10752 11096
"200907_s_at" 1357 20807
"200908_s_at" 1641 3235
"200909_s_at" 4493 9667
"200910_at" 2139 10188
"200911_s_at" 12544 21464
"200912_s_at" 11347 3060
"200913_at" 17705 10481
"200914_x_at" 12979 3662
"200915_x_at" 20224 15283
"200916_at" 15595 10279
"200917_s_at" 19076 16960
"200918_s_at" 16850 16017
"200919_at" 21538 18118
"200920_s_at" 1570 13848
"200921_s_at" 16310 16143
"200922_at" 19071 12286
"200923_at" 7572 16428
"200924_s_at" 1011 10370
"200925_at" 12649 10336
"200926_at" 4645 5718
"200927_s_at" 21832 20372
"200928_s_at" 13784 20366
"200929_at" 14749 13785
"200930_s_at" 2003 7392
"200931_s_at" 18255 19837
"200932_s_at" 18630 14102
"200933_x_at" 4596 5678
"200934_at" 17688 14469
"200935_at" 12326 10713
"200936_at" 9672 5687
"200937_s_at" 10183 9131
"200938_s_at" 5150 4669
"200939_s_at" 1596 14286
"200940_s_at" 17242 19819
"200941_at" 16770 16257
"200942_s_at" 10881 9040
"200943_at" 21380 10506
"200944_s_at" 15155 10753
"200945_s_at" 19889 18271
"200946_x_at" 20014 17669
"200947_s_at" 20010 16330
"200948_at" 21125 12349
"200949_x_at" 1460 3108
"200950_at" 15767 18096
"200951_s_at" 10884 6312
"200952_s_at" 12781 8115
"200953_s_at" 21877 13534
"200954_at" 13487 11224
"200955_at" 19900 16517
"200956_s_at" 18090 12239
"200957_s_at" 18468 14293
"200958_s_at" 10880 14251
"200959_at" 14859 15667
"200960_x_at" 19022 10273
"200961_at" 15325 14367
"200962_at" 11835 20586
"200963_x_at" 4647 5721
"200964_at" 18184 19352
"200965_s_at" 2937 22016
"200966_x_at" 10702 9606
"200967_at" 14189 10698
"200968_s_at" 14105 9942
"200969_at" 19392 19840
"200970_s_at" 18756 17476
"200971_s_at" 12308 11592
"200972_at" 19425 13963
"200973_s_at" 21701 20640
"200974_at" 10916 12621
"200975_at" 20146 10898
"200976_s_at" 15900 9875
"200977_s_at" 13274 12118
"200978_at" 18339 14290
"200979_at" 22082 17826
"200980_s_at" 19472 11314
"200981_x_at" 11627 9313
"200982_s_at" 13878 13325
"200983_x_at" 9155 12002
"200984_s_at" 12800 11521
"200985_s_at" 12056 12610
"200986_at" 2780 3925
"200987_x_at" 19675 11860
"200988_s_at" 21792 18134
"200989_at" 13283 17540
"200990_at" 20178 11694
"200991_s_at" 21167 19681
"200992_at" 21242 17730
"200993_at" 21773 21137
"200994_at" 22012 20000
"200995_at" 21945 21236
"200996_at" 19849 16662
"200997_at" 12298 13787
"200998_s_at" 2141 14300
"200999_s_at" 2150 14764
"201000_at" 14872 17332
"201001_s_at" 12597 2569
"201002_s_at" 19932 11985
"201003_x_at" 21518 10938
"201004_at" 16977 10150
"201005_at" 18166 9714
"201006_at" 667 1287
"201007_at" 16888 13411
"201008_s_at" 21728 16490
"201009_s_at" 21555 19901
"201010_s_at" 22110 21652
"201011_at" 17521 13150
"201012_at" 984 2242
"201013_s_at" 21964 13591
"201014_s_at" 20038 17525
"201015_s_at" 17716 18611
"201016_at" 18783 10388
"201017_at" 18001 19207
"201018_at" 22222 20255
"201019_s_at" 16919 11813
"201020_at" 20875 12916
"201021_s_at" 16800 10856
"201022_s_at" 17684 9852
"201023_at" 862 12763
"201024_x_at" 11731 2577
